SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
1488,Veteran: Director's Cut,https://open.spotify.com/album/4CxDcp0zeaPOHd9hf663NH,2025,2984089,"1, 2
Oh you ain't got your flag now
Nigga what
No badge no gun you is not tuff
Got the benilli m4 with the big nuts
Tucan SAM whip it like big -?
Pay homage
You are not a guest
You're a hostage
Rap game thirsty
Piss same color as Logic
White boys act tough
I don't give. No fucks
Heard he acting like dex
Beat his ass till he russ
Keep it on the hush
I heard that yo momma, sister, auntie, getting touched
Gat in my lap
Catch me surfin stormfront
I put the Judge in seat
I send that bitch to the bing
I heard she pray to allah
Nah bitch you praying to me
I do this shit for Kalief
These coppers begging for war
You niggas marching for peace
I make they family weep
Kill em or give em the beats
We point the gun at your seed
Nigga
And I'm riding in that Bentley coupe bitch
Fuck a Trump and a fucking coon Bitch yea
This is not for no interviews bitch
Or the evening news bitch
Yeee
Yea
Fucking dry
I'm out of weed
I'm irritable
Fuck all my bands
Fuck all my friends
I got the weed
I got the stems
Fuck you I'm paid
Baby I'm -
I got these (Bills!)
I got these (Bills!)
I got these bills!!",https://open.spotify.com/track/0iQW2h63QZ4uEokLfnqzhK,148
1539 N. Calvert,Veteran: Director's Cut,https://open.spotify.com/album/4CxDcp0zeaPOHd9hf663NH,2025,87616454,"Yeah
One, one
Yeah (she wanna sit on my lap)
Yeah, she wanna sit on my lap
(You think you know me)
She wanna sit on my lap, yeah
She wanna sit on my lap (da-damn, Peggy)
She wanna sit on my lap (what? Hahahahaha, what? Ayy)
Yeah, she wanna sit on my lap, yeah
(Like three donuts)
(For real, though, what, what we orderin'?
(What food we gettin')
(What you wanna do?)
Fuck Postmates
Ayy, ayy, uh, ayy, uh, what, what, what, uh, what (look man), yeah
♪
I need all (let's get it)
I need all my bitches same color as Drake
If they not, then they getting rocked
Put that Pyrex in the pot
I don't give a fuck if you out there in the 6
Suck a dick, pussy boy you getting hit with the (woo)
And I'm really with the shits, so you not gon' take my hits
Break my heart while I break your bitch
Two black cards let me cloak my wrist
Fuck a diss, boy, I'm draggin bodies like it's Metal Gear
I don't care bout your fuckin' status, Peggy got no fear
♪
Jugg and I come with them bands, ayy
Gun do not come with no plan, ayy
Keep a Kimber at the pad, ayy
Crackers never get a pass, wait
Credit like my name was Chad, ayy
Watch who you fucking tag babe
Okay, get your demo out my face
Shawty, tryna give that dick to Kelly Conway
Pull my case, boy, I beat that shit like Lennon beat his bae
Young O'Shea (young Ice Cube on the map)
I need a bitch with long hair like Myke C-Town
You talking shit, I'm talking shit, you catch a beat down
I know you never in the hood or in the streets now
And still I'm hearing that you really want some beef now?
Bruh, take your tree out my backwood
Made the beat 'cause I'm that good
Got your girl on her hands, Johnny 5 with the cans
Fuck a blog, fuck a fan, hope my record get panned
'Least I made you niggas dance, fuck 12 nigga, stamp
Oh, your body, oh, you got it
On my body, my body, on my body
Oh, your body, oh, you got it
♪
(Hit it)",https://open.spotify.com/track/4UWoLV8BrMvJxhqUXQ3dkH,157
2015 Was a Great Year,Black Ben Carson + Instrumentals,https://open.spotify.com/album/4sta1Stg9fS022ePyuNdA4,2016,644266,"Sin city
Sin city, yeah, I'm in it, man
Rest in peace Mama Hendricks, rest in peace Kelly T, all my niggas
I lost my license this year
But most these niggas never had one
I'm speeding down the highway looking for grand outcome
My daddy moved back to Jamaica, told me I'm the man son
He said he want a grandson, but he gotta be black
You only fuck these crackers bust it in they throat or they back
Not the inside, grandma passed, I never said bye
Fell out with my sister, I see her, I'll never say hi
Got off the plane in Okinawa, now i'm stateside
Moved to Baltimore 'cause I figured it was a goldmine
Met a girl in Hampden, I figured she was the only
But mama told me these bitches is bitches
Let 'em be lonely, 'fuck em
Car crash putting me in a tough position
Worst credits but more debits, I'm fuckin' wishin'
No TV or WiFi
I'm scrolling down my timeline thinking about how much a life I'm missing
Bank account looking damn, only get overdraft
New job, crib to crash
Same shit, different staff
Unlock my phone and go straight to the Instagram
Need to see these crackers living lavish just to get me mad
So I can open notepad and bomb on a nigga
Young black mutant bringing storm to you niggas
2016, I'm still a legend in my own mind
'Cause niggas got expensive tastes but never pay you no mind
Ayy
Man
Close the door
2015 was a great year
Actually fuck 2015, I hope 2016 is better",https://open.spotify.com/track/4c5Nz2V75JAspXnGV6k4b8,170
ALL CAPS NO SPACES,Black Ben Carson + Instrumentals,https://open.spotify.com/album/4sta1Stg9fS022ePyuNdA4,2016,2875807,"Money talks
Niggas walk
Young Reagan
I'll be damned if I take a loss
I cut it up
I ship it off
Young vet
I triple debt
I'm never wrong
Bitch nigga
I'm the bad man, the bad man
Made a mil' from the acting, the acting
Where the stacks?
I put crack on spreadsheets
I wish a bitch nigga would try forgetting me
I said I'm JPEGMAFIA all caps no spaces
You coons be catching feelings
My niggas catch cases
I open hand
Slap a closed-minded nigga, face in
Wish a nigga wood like a tree at the base end
Root for the home team
Ran for the bases
Niggas wanna be white
Go and get a face-lift
You don't dapwell, we can't chill
Yo, Das Racist
Rapping is my hobby
I am not an artist
I'm a ghost in a black body
Roll deep, white Caddy with a black shotty
Looking for that bitch nigga Hopsin in the lobby
Like damn.
Shout out to the 'burbs
And all my niggas spitting fast to hide they shitty words, yo
One thing on my mind I can't figure?
Is why every rapper shady influence is a bitch nigga
Fucker
(yeah, any of you bitch ass trust fund
kids come fucking near me y'all niggas dead.
Fuck outta here)
Trust fund kids don't come outside
You might get your shit pushed back tonight (fuck nigga)
Oh shit, bitch it's lit!
Got a four-fifth
Aim it your head
Make an emo nigga slit his fucking wrists
I'm the man
And I got Stans
Fuck Eminem
I put that on the Quaran
Pussy nigga ran
Pussy nigga ran
Imma get your momma hit
Make you understand
Post it on the gram
I'm the new Cam
Crackers want beef?
I don't even like Spam
Damn
Trust fund kids don't come outside
You might get your shit pushed back tonight (fucker)
♪
Trust fund kids don't come outside
You might get your shit pushed back tonight (lil' nigga)
Heard you like Pantera
Bitch, not me!
Heard you like Burzum
Bitch, not me!
Heard you bumpin' Rolling Stones
Pussy nigga, please!
You play that shit around me
Imma put your ass to sleep
You fuckin fucking creep
I'm neo-nazi sheek
Got guns under arms
And I'm aiming at elites
I heard you fucking metalheads looking for some beats
I wish Varg would
Come to B'more we gon' see
Fucker
(fuck outta here man
You talk shit you gonna get your fucking head cracked open pussy
Fuck outta here)
Trust fund kids don't come outside
You might get your shit pushed back tonight (fuck nigga)
♪
""I ain't never heard something.
So.
Yo.
What the fuck was that shit you just played for me, yo.
Nah, for real, what the fuck was that shit, nah.
I ain't wanna hear that shit again I gotta, yo what.
That shit went so hard.
Yo.
I don't even know where I'm at right now.
I'm on planet mafia and shit.
Shit ridiculous in these headphones.
Ri-DICULOUS in these headphones""",https://open.spotify.com/track/2OSwVwQQBWMb86S7Lf9XMP,246
All My Heroes Are Cornballs,All My Heroes Are Cornballs,https://open.spotify.com/album/5ilsl5R2lGACTnPZMKIp7o,2019,6417868,"One, two
JPEG, because I like JPEGs (Say, say)
Um, for the resolution of color
You think you know me
The only thing about JPEGs I like
It's yours
Alright
Aw, nigga, nigga, nigga, I'm stayin' (Yeah, huh)
Aw, nigga, nigga, I'm just playin' (Playin', playin', playin', yeah)
Walk in the crib with the Glock 19 and a dirty clip
Snuck up in Coachella with a bald lil' buddy, I ain't Jaden Smith (No)
Herman, nigga, of course (Of course), I'm flagrant (Facts)
I can't keep no job, I can't commit
Hate goes into these bars, some niggas ain't built for it
I made rap my job, it's sacred
You don't wanna get them guns involved (Doo-doo-doo-doo)
'Cause your wifey gon' be callin' the law
Boys (Boys)
Alright
♪
Fuck
Motherfuckers, man
Fuck, fuck
These niggas out here, man
Gnarly, gnarly
Fuck, fuck
♪
Fuck (Fuck)
♪
Gnarly
Uh, damn, guess who had a big year? (Big year)
No whips, no chains, just a few tears
Pop filter, hopin' that you get the stock (Bah)
When I hit the stage, I hope that my enemies watchin'
Damn, I wonder when they droppin'?
Why these wiggas always showin' up when nigga be poppin'? Bruh
Don't turn yourself into a target (Into a target)
'Cause we can take this shit from beef to somethin' exhaustin'
Glock 43X with the sticky holster (Bah-bah-bah)
Pistol whip 'em, I can't waste the bullet in a poser (Blat)
Incels gettin' close 'cause I crossed over
How they go from Anne Hathaway to Ann Coulter?
All that shootin' in the air, that's for posin' (That's for posin')
Fast break, we jammin' it, nigga, no floaters
Lames gettin' bolder, straps on the shoulder
They gon' have to get the chap to console you
You know, everybody wanna say I do this, I do that (Don't play me)
Everyone wanna act like they hard and shit
But just stop, shit
Damn, haha
♪
Let me
Let me get, uh, uh
♪
Let me get a double bacon, a double bacon, double
Nah, not a double bacon, uh, uh
A bacon, a bacon smokehouse meal with no cheese
Mhm
Yeah, with, with no cheese on that thang, and uh
You like the meal large?
The meal is gon' be large, the meal is
Know what to drink?
Uh, the meal, uh, is gon' come with a...",https://open.spotify.com/track/4TfauqAajgNMANTOBu70zJ,203
ARE YOU HAPPY?,OFFLINE!,https://open.spotify.com/album/3STQHyw2nOlIbb1FSgPse8,2021,1467146,"And you're with me tonight, take one
There will come a time in your life
When you will ask yourself a series of questions
""Am I happy with who I am?""
(Am I happy with who I am?)
""Am I happy with the people around me?""
(Am I happy with the people around me?)
""Am I happy with what I am doing?""
(Am I happy with what I am doing?)
""Am I happy with the way my life is going?""
(Am I happy with the way my life is going?)
""Do I have a life?""
(Do I have a life?)
""Or am I just living?""
(Or am I just living?)
Do not let these questions restrain or trouble you (if you haters wanna know)
(Bring your ana to the door) just point yourself
In the direction of your dreams (boy, you know how you can get me)
(You can catch me at-) find your strength in the sound (if you haters wanna know)
And make your transition (bring your ana to the door)
Huh, huh, huh (will I die?)
(If you got it, I'm the one that's gotta fight it)
(Bring your ana to the door)
All of my music is Mission: Impossible
I made these normies believe in a vet (yeah)
Crackers be thinking these lines are deplorable
They just be mad 'cause I aim for they neck, wait
(Ease your trouble)
Mad 'cause I aim for they-
They just be mad 'cause I still get respect
Even when I got my foot on they- wait (bars)
Feel like I'm raiding they room
Crackers be yellin' out, ""MTV next"" (woo)
Rip up a deal, settled for less
You can tell Craig I doubled it back (uh)
Doubled it, doubled it, doubled it back (ease your trouble)
Nah, what? Uh (make your transition)
It's hard, it's easy to hate
Scraping the plate, I get it
But homie, I can't relate
These off-ass beats got me blue in the face in the face
R.I.P. DOOM, through the villain I'm raised
Giving these beats to pussy and cases only
(Ease your trouble)
Haga tu transición
Huh, huh, huh, uh (if you haters wanna know)
(Bring your ana to the door)
You not gon' rattle this nigga
Young Peg in the clutch turn to Damian Lillard
I made it out poverty richer
You heard one of my songs and got triggered
We ain't got the same type of issues (ease your trouble)
The text green, are you jealous or mental?
So unoriginal, you gon' have to
Awkwafina the accent if you want to trend
All of my hate come from weak-ass men
With they weak-ass hoes and their woke-ass friends
I come with the truth, I make 'em go bitch
I'm baiting these incels to meet with the clips, dirty
(Ease your trouble)
Make your transition
Make your trans-
There will be people who will say you can't
There will be people who will say
""You don't mix this with that""
And you will say, ""Watch me"" (watch me)
(Ease your trouble)
If you haters wanna know
Bring your ana to the door
Boy, you know how you can get me
You can catch me at a sh-
If you haters wanna know
I got my own pride (ease your trouble)
You can catch me at a show
This is how I represent
Bring your ana to the door
Hoe, you know how you can get me
You can catch me at a sh-
If you haters wanna know
I got my own pride (ease your trouble)
Nada más que júntate en la dirección de tus sueños (if you haters wanna know)
Encuentra fuerza en el sonido",https://open.spotify.com/track/7cHXss4b7AzJiofmG3TGig,185
Baby I'm Bleeding,Veteran: Director's Cut,https://open.spotify.com/album/4CxDcp0zeaPOHd9hf663NH,2025,29813861,"Let that shit run
Ah, fuck!
♪
Alright, alright, alright
Shit
♪
(You think you know me)
Ah, fuck! Uh, uh
S-Stop, it's over, uh
Peggy, where you been at? Getting all this promo
When it comes to money, bet these niggas is a no-show
I've been out in Bed-Stuy, chilling with my feet up
Laughing at these SoundCloud niggas trying to be us
When I say us, bet, I don't mean no fucking crew
Peggy been a solo act since Looney Tunes & Goofy Troop
Catch me out in Barksdale, counting fettuccine
While you pussy crackers still trying to pass P.T
Ooh, I'm up in Brownsville, strapped with a Kimber
All you yuppie purses getting swiped like Tinder
Now I'm at the White House, looking for your President
Hop out the van pointing guns at your residence
Ooh, I'm up in Queens now, showing y'all a body
Hoping that you pussy ass - try and find me
Chains on my body, looking like a rapper
Acting like a slave when I'm gunning for my masters, nigga
Fuck these niggas!
Buck these niggas!
Yeah
♪
It's ironic you pressed for a cooking
It's ironic you talk jail time
But you ain't never seen no central booking (yeah)
It's ironic you hang with a nigga that beat women
And have the nerve to call yourself ""Girl Pusher"" wow!
You ain't real, you're a Jarrod, I'm gonna show you how I really feel (yah)
White boy better put his hands up, I'm ready
And I'm getting Wilder, shoutout to Deontay
Country niggas booming Peggy, I'm the new Beyoncé
Devil on my entrée, cut like Dante
Promise I will never go blonde like Ka- (hold up!)
Promise I will never go blonde like Kanye?
Got so many styles, they should call me Peggy A.J
When I hit the stage, niggas know it's a payday
Tell your bitch, come here, like I work for Midway, nigga!
(Fuck!)
Like fire",https://open.spotify.com/track/5xDng0ELEOrvAjh8uyzhUr,152
BALD!,EP!,https://open.spotify.com/album/1uULaqGNfDrWb8pxKcxB9i,2020,52412151,"Yeah
Fuck that, woah
Uh, fuck that bitch I changed the plan
Switch my style like I switch hands
Block the witness take the stand
Fuck out the way bitch back it up
Shit better get played in a palace (word)
I can't treat niggas like big deals
Why put up a front I'm callous
Bald (ha)
I look like Ray Allen (real)
These niggas make beats on big wheels
Your files is not a challenge (nah)
Boy you can't rap for shit
Shuttlesworth blessed me with talent
Hairline proof God needs balance
Bald
(I'm makin' waves, bro)
Uh, look I'm cashing out
Young Darby I'm tagging in
They gon' bring your casket out
I hope that you fit in it
Ooh, what you doing? Yeah
How you get caught with no gat?
You niggas must got no pride
Peggy gon' give you no slack fo' real
'Cause you pussy
♪
Woah, woah, woah
Keep my business off the 'Gram
Switch my style like I switch hands
Going to war on foreign land
Fuck out the way bitch back it up
Shit better get played in a palace
Wait
Uh, I can't treat niggas like big deals
These toys don't come with no kids meal
Been there done that done seen it
Not my girl but I fuck her like she is
They be fucking up my lyrics on Genius
And these pussy ass critics repeat it
Been the same since Even Stevens
Y'all niggas switch with like the seasons
Y'all lives ain't got no meaning
And them deals ain't got no freedom
I can't just loop it and leave it
Gotta smack it up, rip it up and eat it (yeah, ha)
You can't feed your kid 'cause you spent that shit on your car (you broke)
Tape my hands I'm going over squares heads like a VCR (ha)
Bald",https://open.spotify.com/track/3djWekEDgbhAtkXGdFNbFt,153
BasicBitchTearGas,All My Heroes Are Cornballs,https://open.spotify.com/album/5ilsl5R2lGACTnPZMKIp7o,2019,3583451,"I know, I know, I know, I know (hahaha)
Shit is just, fuck it (yeah)
Long Island shit
Let's do it
A scrub is a guy who thinks he's fly
And also known as a buster (yeah)
Always talkin' 'bout what he wants
And just sits on his broke ass, so
No (Whoa), I don't want your number
No (Oh), I don't wanna give you mine and
No (Yeah), I don't wanna meet you nowhere
No, I don't wanna none of that, baby
A scrub checkin' me and his game is kinda weak
And I know that he cannot approach me
I'm lookin' like class, and he's lookin' like trash
Can't get wit' a deadbeat ass, so
I don't want no scrub
Scrub is a guy that can't get no love from me
It ain't hard to see, he",https://open.spotify.com/track/2XEdf7cprB6FSURwzFdxMp,75
BBW,All My Heroes Are Cornballs,https://open.spotify.com/album/5ilsl5R2lGACTnPZMKIp7o,2019,5662521,"You think you know me
Oh, it's stupid, but I will persevere
Oh
Yes
♪
Sad man, uh
Rap and prison (Uh)
I know these basement dwellers need a villain (Oh)
How you livin'?
It's Young Peggy without no pot to piss in
Heart throb, we pack pistols, we make your heart stop
Grab chest, meet God (Hahaha, sucka)
Rather go out the martyr way (Okay, martyr way?)
Still can't believe I'm gettin' paid off this art today (Damn, Peggy)
I'm the medicine man (Yeah), keep a zip in my hand (Yeah)
I do work on the stage (Haha), I still feel like a fan
Uh, when I pass I hope everything I did matter to you, baby, if it didn't
Fuck it, when my body frigid (Yeah), all this music gon' keep Peggy livin'
It's the young, black, Brian Wilson
Smile at these crackers who want me dead (Ack)
Fire helmets won't protect your head (Brrt)
Don't get sent to Jesus filled with lead, lil' nigga
Uh, 'sup
Yeah
You know what I mean?
Sometimes you just gotta keep it simple like that
I mean, it's just, it is what it is, you know?
Yeah, hahaha
That's what— that's what my dad tells me, no not at all
That's what my dad tells me, too, if I had a dad
My dad, my dad doesn't—
Ah, yeah",https://open.spotify.com/track/30y5xCtLMDruFoAdZXsPD8,96
