SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
August Relativity,1975,https://open.spotify.com/album/2xIRQoSQfFAoFdF4kxoCP8,1999,845227,"The yellow light
♪
Somewhere a talk as though
So warmer then we find
The levee overflowed
It's relativity
Relative matter",https://open.spotify.com/track/07vZzhLUyK6yzvw0zc4KHK,189
Auto-Mobile,Contemporary Movement,https://open.spotify.com/album/6CYyrh3J08jXacgo9wHwsU,2000,3970813,"The lighting is modern and bright
Broken amplifiers echo songs out of tune
And the stars take their place
Whispering, ""Come to me""
♪
The audience finds their feet
Clap and scream
But what does it mean?",https://open.spotify.com/track/0O3qGCkFwdvwznpQfFrio7,126
Capsule Losing Contact,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,957996,"Seven hundred miles away
From what you have to offer
♪
So sweet and soft, your pillow
♪
There is an evil to see us to death alone
And who couldn't miss the walls that cradle us?
And sometimes they closed in on you
Cause you to suffer
♪
The suffering emptiness will only fill the place with a death",https://open.spotify.com/track/1fuWpS0oSKml62GnNpigw1,377
Chocolate And Mint,Duster,https://open.spotify.com/album/7DH0auN5IxIWaqFj4SL98o,2019,17104090,"It's a fake hand
♪
Reaching through the gone
♪
And you're a cloud now
♪
But there's something on your mind
Hunting wild
♪
Gonna feed the ghost
♪
Haunting wild
Want to feel it in your bones
♪
Just take this chocolate and mint
All day in bed
With a bird nest in your mouth
Float through the dim
Without the strength to move
Hunting wild
Gonna feed the ghost
♪
Haunting wild
Want to feel it in your bones
Just close your eyes
Can't get the taste to fade
Haunting wild
Want to feel it in your bones
♪
Just take this chocolate and mint",https://open.spotify.com/track/2cfTyfv9MHQO9v7p53Xyfv,292
Close to Home,In Dreams,https://open.spotify.com/album/7ICxZugaZYhMQpt7zCemFK,2024,419129,"It's over and I'll undo
Unruin what's holding you
Withdrawn, wait and wait
Masquerade until it's too late
Packed my things and I've gone to roam
People seem to drone and drone
And in my dreams, I'm close to home",https://open.spotify.com/track/3ZMIDm8ZCfJepmP2XbjMha,188
Closer to the Speed of Sound,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,3722657,"Don't, don't, don't
Come over tonight
♪
Don't, don't, don't
Be over tonight
Don't, don't, don't
Look at me with your eyes
Don't, don't, don't
Sleep over tonight
♪
Don't, don't, don't
Come at me with your lies
Don't, don't, don't
Go over tonight
No, no, don't, no
♪
Relight your fire
No, don't, no
♪
Come over tonight",https://open.spotify.com/track/7ud8YQ4kp8dNMygWHcaC3I,179
Constellations,Stratosphere,https://open.spotify.com/album/2S3289mypNw2zP0OpFexMb,1998,103019161,"Reoccurring
♪
Constellations
♪
Put it to rest
♪
Terror again
♪
Horror in town
♪
No sleep 'til then
♪
Turn down the lights
Don't fuck around
♪
No ins and outs",https://open.spotify.com/track/1MXOWbSCEjoGwivtIMnlBV,223
Cooking,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,5753484,"While people on the phone
And talking to each other
♪
While people on the phone
And talking to each other
♪
Dreams come back
Later in the day",https://open.spotify.com/track/4kJoe3o6F9CsKRweH4HOUG,275
Copernicus Crater,Duster,https://open.spotify.com/album/7DH0auN5IxIWaqFj4SL98o,2019,2304929,"Shy for the shadows
♪
Like you've been here before
Can't find a place in this world
You don't belong, moon child
♪
Do you want to be here?
You feel empty just near it
We are the same damn thing
I've been emptied beneath it
♪
Stretch our legs searching below
Chewing through its grip
I can't find the bottom
Just drifting in darkness
But I don't want the shore
♪
'Cause I've been there before
Come to me like a ghost
♪
Whispering, ""I don't know""
Come to me like a ghost
Whispering, ""I don't know""",https://open.spotify.com/track/3kRYyjPKi32fqmTR1Wy6Jo,289
Country Heather,Remote Echoes,https://open.spotify.com/album/5L7puAZ2GT1XQuiXNzPstC,2023,320296,"There's a feather in your hair
Every time I think of you
With less time, just like a moment
Slipping away just like yesterday
A thousand days no one remembers
But you still, when you need something
Try and smile with a loving heart
Comfort within the heart
But hold the feather",https://open.spotify.com/track/35GXx9tHMMEoUEgtYAXGGi,119
Diamond,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,3941498,"You know the way before you walk again
Our time is like diamonds in the sand
We have the key to anything we want
Or aim to find
♪
Close up
♪
Close up
♪
Flows in, flows out, television lines
It's now the time for secret hearts to marry
'Cause summer's gone, can't change again
♪
A darkness in your eyes
And you were close
♪
To what you wanted
Close up
Close up
Open up
♪
Open up",https://open.spotify.com/track/2XbDI0EeLMk6ONbwoLBUxf,206
Earth Moon Transit,Stratosphere,https://open.spotify.com/album/2S3289mypNw2zP0OpFexMb,1998,6474732,"It's dark around me now
And cigarettes are fine
I wonder if you think
About me like I do
Of you at night
And who will write the hits
With Bowie back on earth?
♪
It's in the way
♪
It's in the way",https://open.spotify.com/track/43dQORo6QSBPTH27OwNgXl,263
East Reed,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,493740,"It's alright
It's quiet tonight",https://open.spotify.com/track/0vQ1xDAeyBJpWPjqCyhVbM,63
"Echo, Bravo",Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,6826525,"It's a lot like before
♪
That was the way it had to be
♪
It's alright without you
♪
We can make it on our own",https://open.spotify.com/track/4uCJIXEXsZ79Rrgn0snrAy,273
Escalator,Together,https://open.spotify.com/album/428iId26KsW5U3fhyC7S3W,2022,921415,"Time elapsed in my grave
Because nothing connects
Like the foam on a wave
Insignificant hex
Jacket draped on a chair
Are you waiting to leave?
Are you going nowhere
Or are you looking for me?
Do you
Imagine what your heart seeks?
Were you born on the down
Like us mysterious freaks?
Lost count
How many days in a row?
Lost count
How many days in a row?",https://open.spotify.com/track/5pgWAqGVUP4Be0hK1rCK4U,239
Everything You See (Is Your Own),Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,1817985,"Mouse mover, suffering
The empire's dust (by human hands)
Reconstruct your little heart
♪
Microtones and carousels
Tapping the lines
Bugging the veins
(leaver)",https://open.spotify.com/track/43NSXHtghuDJeKv1JWVBxf,160
Faint,Capsule Losing Contact,https://open.spotify.com/album/0PQKxvYXBokFo7oxsKmwXq,2019,1844336,"Faint as a dream
Hands lean from the sky
♪
All white to an old shape
God forbid
♪
Unclose your eyes
Unstir your flamed tongue fading
Unclose your eyes
Faint as a dream
Hands leaned from the sky
♪
All white to an old shape
God forbid",https://open.spotify.com/track/3XPkjGWMBgavsmHXCsS6E6,195
Familiar Fields,Together,https://open.spotify.com/album/428iId26KsW5U3fhyC7S3W,2022,3334365,"If you could hold on to this
Thought we lost it long ago
In dream we'll return to this
In familiar fields before
And I thought we had forever and we would have it all
Secret on the breath like a path to lead you home
I hear your voice like you are still here
Part of a dream I can't remember
♪
Just out of reach
♪
If you could hold on to this
I thought we lost it long ago
In dream we'll return to this
In familiar fields before
And I thought we had forever and that we would have it all
The secret on the breath like a path to lead you home
I hear your voice like you are still here
Part of a dream I can't remember
Just out of reach
Wait for me there, coming to find you
Stars in the sea fade into nothing
Fall in too deep",https://open.spotify.com/track/2JaUbapUFcKEly61vqlaRz,312
