SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
2 Deep,Daily Operation,https://open.spotify.com/album/74DwNAuirHLDLVLrBQAnVg,1992,1092642,"I'm too deep, and yes much too complicated
My lines when stated are quite often underrated
So consider it a privilege to hear this
The weak-minded opinions could never come near this
For my outlook on life is a profound view
While the suckers act down thinkin' that they sound new
Only a few sound true, me and the crew know who
'Cause see me and the fellas have been waitin' for a while now
Givin' you the time to get your wack-ass style down
You punks pop junk as if life is a fantasy
Knowin' that hard is somethin' you can't be
So you front, but you can never call my bluff
You catch hell kid, you get dealt with
I never sleep, I always peep, rhymes creep
I'm too deep, I'm too deep, I'm too deep
I forgive you, psych! I'm takin' your life
'Cause you continue to disrespect so I'ma get trife
But then again I think I'll spare ya
'Cause I know that all it takes is one rhyme just to scare ya
♪
See I'm the holder of the key
Don't ask me if I'm Muslim, don't say nothin' to me
I said I was raised like one son, I had two cousins
They pushed me to find myself or else they knew I wasn't
Gonna make it, and then end up a statistic
My life was twisted, I almost missed it
The chance, yes the chance to make you feel good
I used to steal goods and fake my parents out real good
But now I got K-N-O-W-L-E-D-G-E of self 'cause I'm me
And the Nation of Islam has my support
'Cause they try to re-educate ones who are lost
And the Five Percent Nation takes other steps
To get through to the brothers on the corners with the reps
And in the prisons, givin' the brothers new visions
Of how we can gain wealth and gain self-esteem
And dream, of a total different scene
I dress clean, stand lean, say what I mean and I'm out
Like a scout on a new route, exhibiting clout
I never sleep, I always peep, rhymes creep
I'm too deep, I'm too deep, I'm too deep
♪
But right now, yo, my religion is rhymin'
Perfect timin', test the flow then climb in
Ansaar, Sunnite, Shiite, Jihad
All must regard that times are hard
United Pharisees the message that I cherish
That goes for my people of all religions
If we're all black, why have so many divisions?
Superficial factors are drivin' us apart
Don't let it happen, let's put some respect back in
So, before I act I think, 'cause it's the brink of destruction
World corruption, what's up son?
Your gun is just one, and I just might have one
Or two, or maybe even three or four
Plus an army of about one hundred or more
But violence, is never my first choice
I come in peace to release the effect of my voice
I never sleep, I always peep, rhymes creep
I'm too deep, I'm too deep, I'm too deep",https://open.spotify.com/track/5RrgzrzB9Mq1C095cIqgJc,219
Above The Clouds,Moment Of Truth,https://open.spotify.com/album/5f6Nz2v1DESbpu1NerEql2,1998,104149148,"It has come to our attention that a mysterious force is loose
Somewhere in outer space
The mysteries of creation are there
(Up in the sky?) Up in the sky
The moon and the planets are there
And new hopes for knowledge and peace are there
And therefore as we set sail, we ask God's blessing
On the most hazardous and dangerous and greatest adventure
Of which man has ever embarked
Our self-lord and master shall bring disaster to evil factors
Demonic chapters shall be captured by kings
Through the storms of days after
And to the earth from the sun through triple darkness to blast ya
With a force that can't be compared to any firepower
For its mind power shared, the brainwave causes vessels to circulate
Like constellations reflect at night
Often late, word to the father and mother earth
Seek an everlasting life through this hell for what it's worth
Look, listen, and observe, and watch another sea cycle pullin'
My peeps to the curb, heed the words
It's like ghetto-style proverbs
The righteous pay a sacrifice to get what they deserve
Cannot afford to be confined to a cell, brainwaves swell
Turnin' a desert to a well, experience is the best teacher
Thoughts will spray like street sweepers
Little daddy street preacher, illustrious feature, narrator you select
Accompanied by deck, plus the DJ you respect
It's seven and a half combined, over the front line
The ten-percenters, promotin' slander in the airtime
Bear in mind, jewels be the tools of the trade, sharp blades
Heavenly praise, and dues are paid, above the crowds
Above the clouds, where the sounds are original
Infinite skills create miracles, warriors spiritual
Above the clouds, rainin' down, holdin' it down
Yeah, I leave scientists mentally scarred, triple-electro lords
Wild like rock stars who smash guitars, poison bars from the guards
Bust holes in your mirage, and catch a charge
Shake them down like the riot squad, invasion zone
Ruin like ancient Rome, I span the universe and return to earth
To claim my throne, the maker, owner, plus sole controller
Ayatollah, rest in the sky, the clouds, my sofa
Stand like colossus, regardless to whom or what
Numerous attempts in my life, so who to trust, who but us
To supply you with the fire, the burning truth, 150 absolute proof
On the mic like Moses, spoken golden scribe, survivor of the oldest tribe
Whose soldiers died, I know the five families, we shed tears and mourn
But our heads are on the ammo, 'cause the battle's still on
Sound the horn, we come rumbling through the function
Precise laser beam technique to touch something
When we die hard, they build a monument to honor us with
Humongous effect on the world, we could've conquered it
Above the clouds, above the clouds
Where the sounds are original
Infinite skills create miracles, warriors spiritual
Above the clouds raining down, holding it down
Above the crowds above the clouds
Where the sounds are original infinite skills
Create miracles warriors spiritual above
The clouds raining down holding it down",https://open.spotify.com/track/3ZBSXNYdTZVaBUQI3E2rF6,221
As I Read My S-A,Step In The Arena,https://open.spotify.com/album/05wcY4zcfSawCyoutTTxda,1991,519286,"Parahraphs, portraying my viewpoint
So stay attentive, cause this is a new joint
From the G-A-N-G with the info
Lyrical elements emerge from the intro
Forming a poetic mass over pathetic trash
Other writers are outclassed
Surpassed by the words and the wit
Rhymes fit and hit cause that's how we designed it
Page for page, we are the new age
Dope in the videos and dope when we're on stage
Commanding respect with my ink pen while suckers are sinking
as I'm keeping them thinking
Narrating phrases of value, and I can see now you
relate to what I create
From back in the days of my youth, I've looked for the truth
And yo my rhymes are the real proof
New heights and new realms have been reached
by use of my speech along with one of Premier's beats
So listen and we'll show you the best way
and then sway, as I read my S-A
(DJ Premier cuts and scratches again)
(Guru)
Worshipful words giving insight, so just be observant
so you can get this right
My oratory gift is abundant, so dazzling to minds
that you should come get
a glimpse of the one who puts wimps out of work
The script is a mess and they dress like they're jerks
Beyond them, is where I'll be dwellin
The Guru will tell em, why their records ain't sellin
Placin my fingers on the tool, I runaway all fools
when I'm dispersin a verse
Think of an enjoyable moment, then boogie your body
Cause this party I own it
The origin of this is on paper
Vibes will ascend from my mind to each line
I go with the flow as I show expertise
The powers increase as my voice hits the streets
Then gripping your soul with authority
I pour these rhymes in a cup so drink up
And then I might bring another round
Watch the sound pound from the floor to the ground
And keep aware, cause we'll show you the best way
And then sway, as I read my S-A",https://open.spotify.com/track/5gVsn9UIVKgVqe6BQxbknh,182
B.I. Vs. Friendship,Moment Of Truth,https://open.spotify.com/album/5f6Nz2v1DESbpu1NerEql2,1998,3262638,"*GangStarr's ""Who's Gonna Take the Weight?"" plays in the background*
It's like, a friendship, and a business partnership
And, we have to always be concious of the difference
Between em; because y'know, some things can happen
That'll ruin one or the other, so
We alwa-we always stay concious of those things
Those obstacles that can, y'know trip us up
Because we ain't trying to go out like that
*Primo scratching fades in gradually*
""friends""""business"" (repeat 3X)
AhhhhhhhhhhhhhhhhhhhhhHHHHHHHHHHHHHHHHHHHHRAHHAHHH!!!
C'mon! Motherfucker! Yeah! ...
GangStarr! GangStarr! M.O.P.
Ghetto people!
Son you're supposed to be my man, but you ain't wise enough to realize
This is B.I., see I wanna taste the whole cake
Some things in this industry, shit be so fake
Make no mistake, if you're my man you'd understand
About the plan, to stack hundreds of grands (That's right!)
And how to stand, on much more acres of land
And to expand from the days of goin hand to hand
So like I was CEO I do my thing son
And turn this underground rap thing to my kingdom
Release a fistful, of rhymes for the fiscal year
MC's are wishful fuckin with this here
They stuck with the tear, for fear they foresake a brother's love
It's clear -- I'd have to be the better man I'm thinkin
The 7th Letter Man ain't got no time for petty speakin (uhh)
So we go our seperate ways I see the fork in the road
I know I blessed you with a portion of gold
And some good fortune to hold, so KEEP THAT
While I keep it movin, just like truckloads
Of interstate cargo, taxin niggaz like U.S. embargoes
You my man like I said so all the best
You shoulda known we do shit differently than all of the rest
Can't afford to let a link be, loose in the chain
It's time for us to get mad more, juice in the game
You're buggin son (that's right) that's word to Billy and Fame
So I'ma stay the game, that we play to win (Yeah!)
So I don't care what you say to her or say to him
The object son, is to excel and lead
And niggaz be bluffin fallin for nothin but greed
Chorus: M.O.P. and Guru
[M.O.P.]If it's animosity
[Guru]Let me know
[M.O.P.]If you plottin to stop my dough
[Lil' Fame]Time to go!
[M.O.P.]GangStarr, M.O.P. nigga
[Billy Danze]Tryin to blow!
[M.O.P.]If you my man you could understand!
*repeat 2X*
I'm true to myself y'all, and I'm a down ass nigga!
So don't fool yourself, clown ass nigga!
I always been the type of cat that'll put it on ya
Since back in the days when Laze snatched me off the corner
And every since then, the whole game changed
Everybody's against, Lil' ass Fame
They wanna see me stretched out with my back smokin
Left for dead in the street with my back opened
So I don't keep friends I just roll with
Niggaz I was RAISED WITH, went out in a BLAZE WITH
In the penile, to B.ville, down to Grayson
And we thick together, in these last days kid
So I don't have what you call friends
Cause when it's on then they gone in the end!
But I'ma handle my business indeed
Cause niggaz be bluffin fallin for nothin but greed!
Hey yo what happened to the love soldier? It never crossed my mind
That you would doubt my love inside and test my pride
I divide, anything that I got
With my M.O.P. staff -- WE ALL AND WE OUT!
To the First Family loyalty, is no game
We them type of niggaz that, money won't change
We all aim, for the big picture
But to me it don't mean shit if your dogs ain't witcha
I sacrifice my main arteries -- WHY NIGGA?!
Ain't nobody never loved me, like my niggaz
See my business is my friendship and my friendship is my business
Can I get a witness?! (Preach on nigga!)
Hey yo we went through all out wars, half-assed tours
Travelled 'cross this land with heavy contraband
(See you my man!) And you ain't never got to
Second guess or question the love of William Danze (Sho' nuff!)
I am invaluable, to my niggaz
Cause they all rest there in thirty-two -- BETTER THAN NOTHIN!
Think of William when they start bustin, I hold you down
(When them body parts pop up cousin) I'll be around!
""friends""""business"" (repeat 6X to fade)",https://open.spotify.com/track/2SZIwfcsfjLDZ0c72tKwlY,277
B.Y.S.,Daily Operation,https://open.spotify.com/album/74DwNAuirHLDLVLrBQAnVg,1992,5406033,"I'm like a sniper rhymes'll strike ya when I'm rockin'
Mad chicks be jockin' when the G Starr's talking
And that's because my word is bond
I get much fan mail and I always respond
So tell your hon to write me too
Make sure she puts attention Mr. Guru
Brothers know the flow is unique
I got 100 wild styles in my black valise
MC's wanna be me so they keep askin'
For me to teach 'em methods both slow and fast
And others wanna act as if they're better
But they only got one style which ain't all that clever
I'm cooler than wind, harder than cold steel
I get the ladies with more than just sex appeal
A mystic psychic scanning all your thoughts
I'll touch your soul and make your brain feel caught
When my rapture traps ya and makes you mine
You'll submit to the gift and to the lyrical lines
So suckers realize that the size is too large
when I come through I'm pullin' whole crews cards
I be wreckin' correct and on the gangster tip
MC's who front, Imma' gonna burst your shit
Bust your shit
♪
Ok, party people in the house
I wonder do you love it enough
I'm steppin' rugged and tough, never to front or to bluff
I got the fresh cut baldy, the brothers call me
Guru the man yes with all the
J-A-Z-Z-Y type essence, street type lessons manifesting
The one who make the fly ladies feel pleasant
Never forgettin' that to myself I'm true
Do what you want to but watch yourself though ""duke""
I don't wanna hear all of that loud mouthing
Try to pull yours out when nothing comes out
Then you'll see why you can't compete with me
The notorious Guru of the Gang you see
Starr stands for power like I said before
I'm like the doctors cure slicker than Roger Moore
I slide up to a crab MC like this
Tap 'em in the head with my mic like this
I'll be revealing that you're weak to the world if you wish
And I insist that if you persist
Then you get creamed, 'cause Imma' get real steamed
So don't you try to flex and try to look all mean
Hey yo check it that's dead that's it
'Cause all you phony ass rappers Imma' bust your shit
Bust your shit
♪
Now when you see me on the set you know I may unleash
A lyric like a mad dog barking through the speaker
Step off unless you wanna get torn up
Your raps worn out, burned out, fucked up
You locked up or maybe you locked out
'Cause at the battle last time you snuck out
But now I'm rolling over you full blast
I'm here to let you know no longer will the bull last
MC's telling lies and poppin' all those myths
Keep on fakin' moves and Imma'...",https://open.spotify.com/track/1YvfwfLjfKNrO5Iz8obuqD,185
Bad Name,One Of The Best Yet,https://open.spotify.com/album/4VxyKgulAGSpJwhIJjgiJr,2019,12392725,"I hate tellin' good people bad news
I hate, I hate
I hate tellin' good people bad news
Word to God, if Big and 'Pac was still here
Some of these weirdos wouldn't act so cavalier
We all know that the game has changed
It's crazy out here, rap's got a bad name
Think about it, what if bling never happened?
And the true artists were gettin' rich from rappin'
Word to God, some should give
Let's delete the politics so real Hip-Hop can live
Beef is what's up now
Careers are gettin' shut down
The media wants something meaty
People are fuckin' greedy
Music and culture is like a foreign language
You be better off stagin' a fake beef in Spanglish
Compadre, can you handle the whole weight?
¡Ay, Dios míos!, watch'em swallow your whole plate
You used to support your fam' off of this
Now you can't even buy spam off of this
And I don't deal with swine, I ain't Dr. Phil
I'm truly up in here, your mind
Nowadays it's like everybody's losin' it
Instead of them preservin' this gift, they're all abusin' it
It's not drama, they want us reachin' for the llamas
Causin' hysteria, the new Hip-Hop criteria
And they forgot about the blood, sweat and tears
Now we see the results of all the blunts, chicks and beers
Word to God, if Big and 'Pac was still here
Some of these weirdos wouldn't act so cavalier
We all know that the game has changed
It's crazy out here, rap's got a bad name
Think about it, what if bling never happened?
And the true artists were gettin' rich from rappin'
Word to God, some should give
Let's delete the politics so real hip-hop can live
I hate tellin' good people bad news
I hate tellin' good people bad news
I hate tellin' good people bad news",https://open.spotify.com/track/544S44LQ1kkDoQLoEkxYNx,141
Betrayal,Moment Of Truth,https://open.spotify.com/album/5f6Nz2v1DESbpu1NerEql2,1998,4866127,"Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal
Check the horror scene
The kid was like twelve or thirteen
Never had the chance like other kids to follow dreams
Watched his father catch two in the dome and to the spleen
Nothin' but blood everywhere, these streets are mean
They spared his life, but killed his moms and his sister Jean
Of course over some drug shit
His pops was on some ill-out, spill your guts, on some thug shit
Didn't know his boys was on some shady ass no love shit
His pops got played out though, with silencers they laid him out yo
Took his stash and all the cash and left 'em, tied up on the couch yo
With tape over his mouth, so he couldn't cry out
Cause his dad was the nigga with clout
Survival of the fittest so they split his wig no doubt
Despite the stocking caps he noticed the same cat, who used to give him dough
And taught him, to use the same gat
Supposed to be an Uncle, fam and all that
He could tell that it was him cause he had on the same slacks, he wore when
He took him to Meadowlands racetrack
Why did he flip and go out like that?
It's called betrayal
Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal
A Betrayal
Punk ass niggas
It's called betrayal
He on a mission to become a ball player
Flip big Benz's, flossin all gators
Had it all mapped out, 6-8, 12th grader
Fresh outta school, he fin' to go lay paper
He had abrother who was hustlin collectin his change
Never let his baby brother stick his neck in the game
Told him all he had to do is just enjoy the ride
And he ain't have to worry about money cause that's in time
So now he's pacin as the time moves slowly
Can't wait to face Shaquille in the paint and school Kobe
Kept his grades and stayed up under neighborhood functions
And then a group of knuckleheads came through dumping
So now he's sittin on the sidewalk bleeding
Fell into a puddle of his own blood and stopped breathin
And everybody in the neighborhood still grievin
But destiny caught up with his ass and he got even
And all the cryin in the world ain't goin to bring him back
His brother, sittin at the wake wipin tears from his mother's eyes
Why'd the game have to go and take the young boys life
Only the wicked live shife, payin the price
While he's starin at the shell
His brothers soul wants hell the trigger man made bail
And you, wouldn't pay the boys mail, and sacrificed the fuckin family
That's betrayal
Betrayal(echoes)
Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal",https://open.spotify.com/track/52o2J4kDdCGcZm5nXm0nIj,329
Beyond Comprehension,Step In The Arena,https://open.spotify.com/album/05wcY4zcfSawCyoutTTxda,1991,673628,"Expanding the depth of your brainpower
Ours is a better gift, not to be bragging nor lolligagging
I can see dimensions of sound and light around my mic
Transmitting lyrics like teletype
Reacting to a beat in a whisper
And like a transistor, I'm sounding dope when I'm crisper
The shortest length between two points is a straight line
I've gotta take mine, I heard it through the grapevine
That some can't find hype lines (hype lines...)
And so I'm smothering, over my prey I am hovering
Suckers I'm shoving at the same time covering
You with the blanket of some language that's distinguished
How swift can I get? you ask and I'll tell
For I can excel real well like a gazelle
Past your head, I'm grabbin abstract thought
Like some gain glory, while others get no part
I feel for the hurt ones, the victims of wrong deeds
Awareness is key, our people have strong needs
Science, math, history theology
Philosophy psychology english and biology
Et cetera, and all of these have a purpose
But genocide makes me nervous
So many questions, many opinions to mention
And damn (damn...) this jam's beyond comprehension
Like planets in orbit, we ride the life cycle
Some take a rifle on the street cause it seems neat
Whatever turns you on I guess, that's why vests are in season
I'll do my show then I'm leavin
I'd rather be blastin dope sounds on the other side of town
Than be there when they close the place down
But anyway, everyday, there's another way
For a person to just flip, so a brother may
Simply go buckwild, get crazy and mad
I know the struggle my father had
Poetry it comes from within, and will always win
Hold captive bodies from end to end
And at a party, I'll survey then slay with the quickness
Displaying the fitness
Easing the mind and relieving the tension
And singing my own song... that's beyond comprehension",https://open.spotify.com/track/6XtbUGgpXbbvF2lm5N6qX7,193
Bless The Mic,One Of The Best Yet,https://open.spotify.com/album/4VxyKgulAGSpJwhIJjgiJr,2019,977946,"Everything changing nowadays, man
Kids got technology and the rap music
I mean, I like rap music, I ain't gon' lie
I like rap music, man, I like some of it, man
But I don't think you gon' see, like, rap reunions 20 years from now
I don't think you're gonna see a 50-year-old rapper
""How ya like me now?""
(""Bless the mic for the gods"")
When it's concerning these bars, I'm leaving permanent scars
On you half-ass rappers, you ain't earnin' it, pa
So come to my class, then I can son you real fast
Just 'cause you comin' with cash, you still a wannabe ass
I get chicks state to state, offer me face from the gate
'Cause the sound of my voice makes their juices marinate
As opposed to those with mediocre prose
Wet you from head to toe, and watch you soak in your clothes
It's the lessons in the song that makes you rock on
Some people go to places where they don't belong
Whether wrong or right, a lot of people fight
But I'm here to bless this mic (""Bless the mic for the gods"")
It's the lessons in the song that makes you rock on
Some people go to places where they don't belong
Whether wrong or right, a lot of people fight
But I'm here to bless this mic (""Bless the mic..."")
Now, why'd they try to pull a plug on a brother?
Pull the rug from a brother?
Catch a slug from the toolie of a gun-lovin' brother
Violence, wylin', whatever, they know
The more rappers come, the quicker they go
This underground is mine, might even see me in a hoop'
Switch to a droptop coupe—why you cock blockin', dukes?
Baldhead Slick, I represent my clique
I got my little man loadin' the ammo, this shit is sick
It's the lessons in the song that makes you rock on
Some people go to places where they don't belong
Whether wrong or right, a lot of people fight
But I'm here to bless this mic (""Bless the mic for the gods"")
It's the lessons in the song that makes you rock on
Some people go to places where they don't belong
Whether wrong or right, a lot of people fight
But I'm here to bless this mic (""Bless the mic for the gods"")
(""Bless the mic for the gods"")
(""Gang Starr has got to be the sure shot"")",https://open.spotify.com/track/0pe8MPsKTrVVlDHhPYGdWZ,155
Blowin' Up The Spot,Hard To Earn,https://open.spotify.com/album/67kl5m0df6Bn0aSe3g5Ea7,1994,2640919,"Ah so now ya got me pissed off, blast off lift off
Time for me to twist off a vocal fist off
into your domepiece, Homepeace, I heard your chick wants to bone me
I get, wild like rugby, respected like Bugsy
Don't even ask me, cause I'm livin lovely
Born to succeed, foes bleed, true indeed
The oral combat will romp that, your one of my seeds
when I first, busted on the scene
Nigga, you knew I had more than a gangsta lean
I mean my lean is gangsta though so check it
I'll stick an MC for his spot and sign in blood on his wack record
Boo-ya-ka, to your face as I ruin ya
Clown ya, dumbfound ya, while I'm screwin the
fuck out cha girl as she steps into my world
I'm not the tallest, but that ass I'll polish
And if the hooker runs her mouth she gets cut off
But then you'll sweat her, cause like my leather you're butter soft
Your style stinks kid, ya garbage
And if you keep talkin shit, I'ma make ya pay homage
Cause the G to the U to the R-U, came too far to
let you slide through, rhymes will scar you
And who the fuck are you anyway?
I catch more wreck in a minute than if you rhyme for ten days
Throw the cash in the pot
You betta dash nigga, cause I'm blowin up the spot
♪
""I'm bout to blow the fuck up""
* Premier scratches *
(Guru)
No ex-capin the explosion, those who are dozin, I close in
Set the thermostat at sub-zero, they're frozen
Extreme temperatures from my mic, stuns amateurs
Unable to conquer the Gang, I ain't mad at cha
Peace to Jeru, the Big Shug and the Group Home
Keepin it real, no playin niggaz or chrome
I'm way past the kid shit, brothers already did shit
You want some props? Yo dog, here's a biscuit
I'm a smooth nigga and my groove's bigga, move nigga
And we don't care who's wit cha, got the picture?
And you don't wanna hear the burners go pop
Gang Starr motherfucker, what, blowin up the spot
""I'm bout to blow the fuck up""
* Premier scratches *
♪
(Guru)
I go from one format then switch to the next
Reflex sets the pitch vocals rip through projects
Crazy shouts are heard all around
Cause the GangStarr sound carries more weight per pound
I got some brand new Timbs, so emcees sing new hymns
You betta repent, come correct, represent
or get stomped, smacked and slapped, cap peeled back
I got you open, and now you cling to my sac
Get off, hands off, stay off, you're way off
You rookie motherfuckers it's the finals not the playoffs
I'll break you up into particles, to small pieces
Because your brain is miniscule
You little fool, come learn the tools of the trade
I made the rules so go to school and get played
Just when you're thinkin that your jam is hot
Up steps the niggaz who be blowin up the spot",https://open.spotify.com/track/3utwclnuOnGog3INkGsc3t,190
