SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Afterparty Lover,Afterparty Lover (Sped Up Edit),https://open.spotify.com/album/0C1AYisAVR8Tz952tlaExg,2023,12472421,"You know, I've been thinkin' 'bout the night we met
Stood there in the kitchen, smokin' cigarettes
4 a.m. is messy, so we went to bed
Now it's fuckin' with my head
I say it doesn't faze me, but I think about you daily
You want me, but only when we're gettin' wavy
Go mess around and you can find yourself another
'Cause I don't wanna be your after-party lover (after-party lover)
You know it gets easy when you're bored and drunk
The later that it gets, the more it seems like fun
I wake up in the morning, phone is blowin' up
Enough just ain't enough so
I get out of bed
It's messed up in my head
I cycle like our meds
To feel good off the sex
I fought to block his calls, his texts, the end
Hmm, since I seem lax
I say it doesn't faze me, but I think about you daily
You want me, but only when we're gettin' wavy
Go mess around and you can find yourself another
'Cause I don't wanna be your after-party lover
You say it's complicated whenever you're not wasted
I'm crazy, still want us to be datin'
Go mess around and you can find yourself another
'Cause I don't wanna be your after-party lover
(Increase the volume)
(Smash it up, don't know)
(When I lose ya)
(Increase the volume)
(Smash it up, don't know)
(When I lose ya)
I say it doesn't faze me, but I think about you daily
You want me, but only when we're gettin' wavy
Go mess around and you can find yourself another
'Cause I don't wanna be your after-party lover (when I lose ya)
I say it doesn't faze me, but I think about you daily
You want me, but only when we're gettin' wavy
Go mess around and you can find yourself another
'Cause I don't wanna be your after-party lover
('Cause I don't wanna be your after-party lover)",https://open.spotify.com/track/0ZvEoFBhk7omeEVLOs2WnP,141
"Hey, Hi, How are you?",The After Taste,https://open.spotify.com/album/48LLbdWgJTes4u2R324tdC,2024,2563864,"Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
I took the motorway
To drive past your place
Then I heard you moved away
But you said you'd stay
People tell me all the time to try be someone new
But I don't wanna talk to anybody else but you
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
I think of the last day
When we chilled at mine
I wish there was a way
Of knowing it's the last time
People tell me all the time to try be someone new
But I don't wanna talk to anybody else but you
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Mm
And I can't seem to get through
Ooh, ooh
And I can't seem to get through
Really makes me hate myself
That I can't get you out my head
I wish that I was strong, but you're gone
Really makes me hate myself
That I can't get you out my head
I wish that I was strong, but you're gone
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Hey. Hi. How are you?
I've been trying to call you
Life's hard without you
And I can't seem to get through
Mm
And I can't seem to get through
Ooh, ooh
And I can't seem to get through",https://open.spotify.com/track/3gHuGQHrRUereyoqzSgBKj,194
It's not fair,It's not fair,https://open.spotify.com/album/3qdOVGEaqhJHJBbd2qz6NP,2024,10475593,"One, two, three
All the nights in summertime
I was yours and you were mine
We were young, I was dumb
Now you're happy and you moved on
In my head, I can't forget
All the stupid shit you said
And it's not fair, you don't care
But I see you everywhere
It's not fair
That you're polite to friends of mine
You were always the one they liked
I called them up when we were done
I swear they took it as hard as us
And my mom said she saw you
Stood with somebody new
She said, ""What went wrong with you two?""
Well, I wish I knew
In my head, I can't forget
All the stupid shit you said
And it's not fair, you don't care
But I see you everywhere
In my head, I can't forget
All the words you never meant
And it's not fair, you don't care
But I see you everywhere
It's not fair
It's not fair
It's not fair
It's not fair
So tell me, truly, do you think about me?
Are you happy with some other girl?
Tell me, baby, don't you kinda miss me?
I hope you picture me when you're with her
In my head, I can't forget
All the stupid shit you said
And it's not fair, you don't care
But I see you everywhere
It's not fair
It's not fair
It's not fair
Oh
In my head, I can't forget
All the stupid shit you said
And it's not fair, you don't care
But I see you everywhere
It's not fair
It's not fair
It's not fair
Oh
It's not fair",https://open.spotify.com/track/3FJ992ud0OqK9ZS6fgMuDc,162
Meteor,Meteor,https://open.spotify.com/album/1JjbPKrwVxetgpnVa4yUnX,2023,28222428,"One day left on earth
You were in my dream
And you told me that a meteor was heading straight for me
You said I've got a week to make sure I know who to see
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
Would you want me?
Would you want me?
Would you want me?
Would you want me?
Would you want me?
It's only complete
The world wouldn't feel finished without you next to me
You said I've got a week
And if I think about it too much, then I forget to breathe
I see faces in places, mean nothing to me
When everything is over, I know where I'll be
But in the last second, I call your phone and I got nothing
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
Would you want me?
Would you want me?
Would you want me?
Would you want me?
In the end, it falls apart, I won't be scared if you're here with me
Here with me
In the end, it falls apart, I won't be scared if you're here with me
One day left on earth
One day left on earth
♪
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
If we had one day left on earth, would you call me? Would you call me?
And in our last few moments left, would you want me? Would you want me?
Would you want me?
One day left on earth (would you want me?)",https://open.spotify.com/track/2msR2VBDb8oWfkhdLuv6W0,171
Mr. Cool,Mr. Cool,https://open.spotify.com/album/0WWOtu5YJdA6KPxZj9Z6dn,2025,3316610,"I bet he's with somebody, bet she's half his age
Picked her up at 7, fell in love by 8
But trust me, by tomorrow, he'll forget her name
I'm sure by now, they're leaving, driving to his place
Talking 'bout the future, I'm around the ways
They say he's never felt this, not since yesterday
I bet he's with somebody
I bet he's with somebody
I'm sure by now, they're leaving
I'm sure by now, they're leaving
Mr. Cool, I feel for you
Doesn't it get lonely, always meeting someone new?
Mr. Fine, so divine
Doesn't it get lonely, different person every night?
I know what you think about, you think about
I know how you play about, you play about
Gone through every good and time, good and time
Tell me, are you happy now?
One day, he'll meet somebody, she might make a change
He says, ""This girl is different, she moves another way""
But trust me, by tomorrow, she'll forget his name
She'll leave in the morning, he'll text her every day
But they both know that he won't see her face again
And that's the thing 'bout playing common love's game
I bet he's with somebody
I bet he's with somebody
I'm sure by now they're leaving
I'm sure by now they're leaving
Mr. Cool, I feel for you
Doesn't it get lonely, always meeting someone new?
Mr. Fine, so divine
Doesn't it get lonely, different person every night?
I know what you think about, you think about
I know how you play about, you play about
Gone through every good and time, good and time
Tell me, are you happy now?
What are you chasing?
Something to make you feel alive
What are you facing?
Do you hate being lonely late at night?
Or are you escaping?
Scared of your own thoughts in your mind
What are you chasing? Ah-ah-ah-ah-ah-ah
Mr. Cool, I feel for you
Doesn't it get lonely, always meeting someone new?
Mr. Fine, so divine
Doesn't it get lonely, different person every night?
I know what you think about, you think about
I know how you play about, you play about
Gone through every good and time, good and time
Tell me, are you happy now?",https://open.spotify.com/track/5vRvTccr05SrSnqVvNAmVX,229
My Baby Loves to Dance,The After Taste,https://open.spotify.com/album/48LLbdWgJTes4u2R324tdC,2024,1437783,"With you, I'm just silent
All my thoughts are quiet
I could be with you forever
Hold in me in denial
All I want is you here with me
He stays out too late at the club for the feeling
I can't sleep at home, staring up at the ceiling
Said he loved to dance all alone, I don't believe him
My baby loves to dance
♪
You're so good at lying
You're doing it without trying
And I can't bear to look at you
'Cause I know what you've been typing
'Cause all I want is you here with me
He stays out too late at the club for the feeling
I can't sleep at home, staring up at the ceiling
Said he loved to dance all alone, I don't believe him
My baby loves to dance
♪
My baby loves to dance
♪
My baby loves to dance (dance, dance, oh, oh)
My baby loves to dance (dance, dance, oh, oh)
(Dance, dance, oh, oh)
He stays out too late at the club for the feeling
I can't sleep at home, staring up at the ceiling
Said he loves to dance all alone, I don't believe him
My baby loves to dance
(Dance, dance, oh, oh)
(Dance, dance, oh, oh)
My baby loves to dance
(Dance, dance, oh, oh)
(Dance, dance, oh, oh)
My baby loves to dance (dance, hm-hm)",https://open.spotify.com/track/4h8y9Ebqp8RxYRBdEyNZAD,197
Only In My Mind,The After Taste,https://open.spotify.com/album/48LLbdWgJTes4u2R324tdC,2024,47352464,"In my room, I hear you call my name
Your perfume inside my pillowcase
I feel you and your finger's trace
But I know you haven't been here in days and
I have a video that I watch in my bed
It replays in my head
You say you love me
We, we lay together every night
You touch me
I, I, I'm losin' track of time
You kiss me
I, I, I look into your eyes
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
Honestly, I only think of you
See your face alone in a crowded room
Hallucinate, that is the one where you lay
But I know you haven't been here in days and
I have a video that I watch in my bed
It replays in my head
You say you love me
We, we lay together every night
You touch me
I, I, I'm losin' track of time
You kiss me
I, I, I look into your eyes
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
You say you love me
We, we lay together every night
You touch me
I, I, I'm losing track of time
You kiss me
I, I, I look into your eyes
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind
But it's only in my mind",https://open.spotify.com/track/2x6zsD0MEION24OVstnPsc,161
Oranges,Oranges,https://open.spotify.com/album/7v6sybbsm7QVp6P3qS2v7p,2022,4421505,"Our conversations always end up in a mess
We're mid-argument before I'm even dressed
And I wish I could quit you, but I'm drawn into your net
I love you, but I hate you
You're like smoking cigarettes
It's all day, it's all night
We're fighting every second, but I miss you all the time
It's okay, we're fine
Yes, I make excuses 'cause you're toxic and you're mine
(Fighting every second, but I miss you all the time)
(Yes, I make excuses 'cause you're toxic and you're mine)
I always said our fighting was only a dumb phase
You say we're good together, but you're lying to my face
And when it's bad I want you more as I call time to game
But I, I love to play
It's all day, it's all night
We're fighting every second, but I miss you all the time
It's okay, we're fine
Yes, I make excuses 'cause you're toxic and you're mine
(Fighting every second, but I miss you all the time)
(Yes, I make excuses 'cause you're toxic and you're mine)
It's all day, it's all night
We're fighting every second, but I miss you all the time
It's okay, we're fine
Yes, I make excuses 'cause you're toxic and you're mine
(Toxic and you're mine)
(Toxic and you're mine)
(Toxic and you're mine)
(Toxic and you're mine)",https://open.spotify.com/track/1sfLRmfnsHo4HwTAGK6u1k,103
Paris,Paris,https://open.spotify.com/album/5DFNdBjKvIRlPl0i76yBSC,2023,9173152,"Take me to Paris, we'll stay in a palace
Pretend we're in love just to Instagram it
We'll go on a date just to post what we're havin'
Everything's fake and none of it matters
So take me to Paris, we'll stay in a palace
Pretend we're in love just to Instagram it
We'll go on a date just to post what we're havin'
Everything's fake and none of it matters
We can spend a few days in a fantasy
Drinkin' wine, it's too much for our sorries
We will barely speak out on the balcony
But in front of everybody, we'll act happily
And I swear, everything is fickle and it's hard to tell it's fake
And if we turned our phones off, baby, would it feel the same?
Maybe we would talk without the need to compensate
Is that insane?
Take me to Paris, we'll stay in a palace
Pretend we're in love just to Instagram it
We'll go on a date just to post what we're havin'
Everything's fake and none of it matters
So take me to Paris, we'll kiss on the terrace
Pretend we're in love to make people jealous
And we'll barely talk until we're posin' for pics that we hate
Everything's fake and none of it matters
Everything that's genuine is paper thin
And if we think about it too much, then I'll hate my skin
Relationships are ruined over messages
But you can just replace 'em with a swipe and click
And I swear everything is fickle and it's hard to tell it's fake
And if we turned our phones off, baby, would it feel the same?
Maybe we would talk without the need to compensate
Is that insane?
Take me to Paris, we'll stay in a palace
Pretend we're in love just to Instagram it
We'll go on a date just to post what we're havin'
Everything's fake and none of it matters
So take me to Paris, we'll kiss on the terrace
Pretend we're in love to make people jealous
And we'll barely talk until we're posin' for pics that we hate
Everything's fake and none of it matters
(Oh, oh) everything's fake and none of it matters
(Oh, oh) everything's fake and none of it matters
Take me to Paris, we'll stay in a palace
Pretend we're in love just to Instagram it
We'll go on a date just to post what we're havin'
Everything's fake and none of it matters
So take me to Paris, we'll kiss on the terrace
Pretend we're in love to make people jealous
And we'll barely talk until we're posin' for pics that we hate
Everything's fake and none of it matters",https://open.spotify.com/track/3WzmwVmkRDTYroaLg0Klcb,180
Someone Else,The After Taste,https://open.spotify.com/album/48LLbdWgJTes4u2R324tdC,2024,5837585,"I think of the mornings
We lied there talking
And we sat for hours
And it never got boring
You told me you loved me
While drinking your coffee
And I could've sworn
You really did want me
Then we're in the club and you're kissing her neck
I'm stood by myself, texting my friends
'Cause I, I, I
Hate to see you with someone else (with someone else)
Then I'm getting a drink while you're falling in love
And you dance with her like you did with us
And I, I, I
Hate to see you with someone else (with someone else)
I wish that I was someone else, ah
I wish that I was someone else, ah
I think of the evening
And wine on the weekend
I hate to admit
That I was so in the deep end
And we split a taxi
Hold hands on the backseat
Yeah, I could've sworn
You really did want me
Then we're in the club and you're kissing her neck
I'm stood by myself, texting my friends
'Cause I, I, I
Hate to see you with someone else (with someone else)
Then I'm getting a drink while you're falling in love
And you dance with her like you did with us
And I, I, I
Hate to see you with someone else (with someone else)
I wish that I was someone else, ah
I wish that I was someone else, ah, ah
So tell me, baby, why not me?
Was I just a novelty?
Why'd you choose her over me?
Tell me, baby, why not me?
Did you love me, honestly?
God, I hate that you're happy
Then we're in the club and you're kissing her neck
I'm stood by myself, texting my friends
'Cause I, I, I
Hate to see you with someone else (with someone else)
Then, I'm getting a drink while you're falling in love
And you dance with her like you did with us
And I, I, I
Hate to see you with someone else (with someone else)
I wish that I was someone else
I wish that I was someone else
I wish that I was someone else",https://open.spotify.com/track/5KMkFkV2x5NyFFaSWzCVF9,197
