SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Children Of The Wild (feat. Mako),Children Of The Wild (feat. Mako),https://open.spotify.com/album/1AuLbKhgKagvHL0rnJ133H,2015,28512126,"We are children of the wild
We take our chance to face the fall
Go on and on and on
To chase our shadows of the wall
As children of the wild we make our choices on our own
Our path is full of fear but must be taken all alone
As children of the wild
We take our chance to face the fall
Go on and on and on
To chase our shadows of the wall
As children of the wild we make our choices on our own
Our path is full of fear but must be taken all alone
♪
We are children of the wild
We take our chance to face the fall
Go on and on and on
To chase our shadows of the wall
As children of the wild, we make our choices on our own
Our path is full of fear but must be taken all alone
As children of the wild
We take our chance to face the fall
Go on and on and on
To chase our shadows of the wall
As children of the wild, we make our choices on our own
Our path is full of fear but must be taken all alone
♪
As children of the wild
We take our chance to face the fall
Go on and on and on)
To chase our shadows of the wall
As children of the wild, we make our choices on our own
Our path is full of fear but must be taken all alone
We are the children of the wild",https://open.spotify.com/track/7xRQZjynlfUeSatKMiz8qG,251
Craziest Day I Ever Had,Hourglass,https://open.spotify.com/album/2j2U3SyYuAraU6ax4bztHv,2016,2159282,"Can I tell you bout the craziest day I ever had
It started with a boy just coming from his past
Then you never knew what day got in his plans
All I know
I was driving down Sunset
Down on my luck, car broke down
I was sticking my thumb out
Driver had the door up, said her name was Dora
Had a cute smile and a tatoo on her forehead
Come and play, come and play, come and play with me
Far away, far away, far away
Oh we drank all day
And we danced all night
I woke up inside a church somewhere on the west side
No regrets
We're running out of time
I know
We only get one shot
♪
We only get one shot
♪
Somehow we landed in a jail cell, wasn't half bad
A couple tall tails and made a couple friends
I could fit it in able locked up for revenge
All I know
He was risking too deeper, handed out his gun
He used to be a preacher then he found love
Saying ""If it come easy, it weren't much""
I never thought teachers come in hand cuffs
And he said
Come and play, come and play, come and play with me
Far away, far away, far away
Oh we drank all day
And we danced all night
I woke up inside a church somewhere on the west side
No regrets
We're running out of time
I know
We only get one shot
♪
We only get one shot
♪
Come and play, come and play, come and play with me
Far away, far away, far away
Oh we drank all day
And we danced all night
I woke up inside a church somewhere on the west side
No regrets
We're running out of time
I know
We only get one shot
♪
We only get one shot
♪
We only get one shot
♪
We only get one shot",https://open.spotify.com/track/6ASjUNMqEOKp8gDqRcjkns,202
Devil May Cry,Hourglass,https://open.spotify.com/album/2j2U3SyYuAraU6ax4bztHv,2016,4661150,"I'm starting to crave it, I'm starting to need it
I'm not gonna fake what I know I believe in
Because you are, are, are, are holy water
I'm dying of thirst, no, I'm not gonna make it, oh
I'd sell you my soul
If only my heart wasn't empty
I'd give you my love
If all I got was a heartbreak
Please save me from hell
'Cause I've got one foot in the grave
If I made you my God
The Devil may cry
♪
I've got too many sins
I've got too many problems
With one touch of your skin
You'd know how to solve them
Because you are, are, are, are holy water
I'm dying of thirst, no, I'm not gonna make it
I'd sell you my soul
If only my heart wasn't empty
I'd give you my love
If all I got was a heartbreak
Please save me from hell
'Cause I've got one foot in the grave
If I made you my God
The Devil may cry
♪
The Devil may cry",https://open.spotify.com/track/16J8IBHqKE3wzfbZZxArdY,193
Ghosts - Radio Edit,Ghosts (Radio Edit),https://open.spotify.com/album/6d6k8hcVll3NcxfwtQcn2W,2014,3996883,"You've confessed all you had to do
Youth possessed out of fear that they never had to lose
Are we changing I need you to say that
Tomorrow we're safe from our yesterday
Who are the Ghosts watching over us
Who do we follow when we're lost and we've had enough
Who are the Ghosts watching all of us
Who do we call to know we're not here alone in the dark
Know we're not here alone in the dark
Who are the Ghosts watching all of us
Who do we call to know we're not here alone in the dark
You've confessed all you had to do
Youth possessed out of fear that they never had to lose
Are we changing I need you to say that
Tomorrow we're safe from our yesterday
Who are the Ghosts watching over us
Who do we follow when we're lost and we've had enough
Who are the Ghosts watching all of us
Who do we call to know we're not here alone in the dark
Who are the Ghosts watching all of us
Who do we call to know we're not here alone in the dark",https://open.spotify.com/track/7deidgGN4CK6V8GXDryvyE,236
I Won't Let You Walk Away (feat. Madison Beer) - Luke Shay Remix,I Won't Let You Walk Away (feat. Madison Beer) [Luke Shay Remix],https://open.spotify.com/album/2vPhDRS86z7TMKSWveLz2k,2015,2759219,"I know I won't stop if you give me the keys
'Cause I can drive it like a criminal
I won't watch if you want me to leave
'Cause I keep lookin' back for a miracle.
I'm just a lighter without a spark,
Take a bullet right straight through the heart,
Oh, I've made my mistakes,
But I won't let you walk away!
Please don't tell me you're gone 'cause
Baby, I want this
Please don't give it too long 'cause
Baby, I got this.
Please don't tell me you're gone 'cause
Baby, I want this
Please, 'cause I won't let you walk away.
♪
I got my windows down, getting lost in the breeze
And I feel like I'm causing a fairytale
I can't stop wanting you next to me
'Cause I keep holding up for a miracle.
I'm just a lighter without a spark,
Take a bullet right straight through the heart,
Oh, I've made my mistakes,
But I won't let you walk away!
♪
I won't let you walk away!
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
I won't let you walk away
♪
I won't let you walk away
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh
I won't let you walk away!",https://open.spotify.com/track/3oiSuCoQTlUeoJwfq0g60f,250
Let Go Of The Wheel,Hourglass,https://open.spotify.com/album/2j2U3SyYuAraU6ax4bztHv,2016,5774642,"Do you remember whispering on Friday night?
We were drinking whiskey at your father's house
You took me by the hand and then we kissed for hours
Those were the good days, those were the good days
Do you remember laughing took you far from here?
And I could see you crying even lend you held back tears
Leaving me behind was everything you feared
'Cause I remember the good days
What I'm trying to say is
Hey you, let go of the wheel
Let someone cut the breaks lose, let's get lost for real
I know that love will find a way to you, but would you trust me
If it took a leap of faith to make it real
Let go of the-
♪
Let go of the wheel
Do you remember climbing out your windowsill
You met me late at night before the sun could hold you still
We've run into a tire point
And camped out here
Holding onto the good days
What I'm trying to say is
Hey you, let go of the wheel
Let someone cut the breaks lose, let's get lost for real
I know that love will find a way to you, but would you trust me
If it took a leap of faith to make it real
Just let go of the wheel
♪
Just let go of the wheel
Let go of the wheel
What I'm trying to say is
Hey you, let go of the wheel
Let someone cut the breaks lose, let's get lost for real
I know that love will find a way to you, but would you trust me
If it took a leap of faith to make it real
Let go of the wheel",https://open.spotify.com/track/5u3QowKibqJkKrQRoslSN5,240
Lose You Now (Acoustic),Lose You Now (Acoustic),https://open.spotify.com/album/0CiJCYgMMfzGI6LSV0bBzA,2021,1688684,"I wish I could remember every second we had
I know I tried to count 'em all one by one, one by one
But you don't get 'em back, you don't get 'em back
Take every memory we've ever had
Oh, I wanna live 'em all one by one, one by one
And I swear that I'm not gonna lose you now
I'll keep you in my life somehow
And even when the lights go down, down
I could never lose you now
And even though we're not so close, yeah
Maybe you can pick me up still
'Cause I can't stop falling down
I can't stop falling down
And I'm not gonna lose you now
♪
Oh, I'm not gonna lose you now
♪
Oh, I can still remember all the lessons you gave me
I hope that I can live 'em all one by one, one by one
Don't you go looking back, there's no looking back
And I don't mean to open every picture I saved, yeah
I'm only tryin' to visit with you one by one, one by one
And I swear that I'm not gonna lose you now
I Need you in my life somehow
And even when the lights go down, down
I could never lose you now
Even though we're not so close, yeah
Maybe you can pick me up still
'Cause I can't stop falling down
I can't stop falling down
And I'm not gonna lose you
♪
Even when I'm fallin' down
I'm not gonna lose you
'Cause I can't stop fallin' down
I can't stop fallin' down
I'll keep you in my life somehow
And even when the lights go down, down
I'm not gonna lose you now
I'm not gonna lose you now",https://open.spotify.com/track/5d08yruwIoNUnJ7raLyFrL,189
Misfit Toys (from the series Arcane League of Legends),Misfit Toys (from the series Arcane League of Legends),https://open.spotify.com/album/76wOGJh4irz8szcQ0PsgUU,2021,64289521,"I declare war
On anybody standing in the way of what I dream for (dream for)
How could you ignore (ignore)
The ones that are voiceless, screams from the poor (from the poor)
They only here to score
I do it for the underground kings that'll need more (need more)
I'm kickin' down your door (door)
If I wonder why you got a pocket full of green for
It's all about the get back
It's hard to give back while the politicians kick back (kick back)
They say I'm only brick rap (brick rap)
Well, that's the foundation of this mountain that I live at
I can get you kidnapped (kidnapped)
These kids ain't playin' with you, actin' like you live rap (live rap)
And all those little mishaps
That only happen to you misfits, I'm here to fix that (yah)
Time to dig up your grave
Make it lower your voice
I told you not to play with the misfit toys
We running this gang
Getting sick of your noise
You stranded with a bad bunch of misfit toys
Rich get richer while the poor pickpocket (pickpocket)
Swipes Maxwell 'til the cops come knockin' (knockin')
Have or have not, bein' broke is not an option
Time after time when you got a thing for watches
When you the plug in the socket
And the powers that be can't stop it
So obnoxious, borderline toxic
Both sides go to war like a mosh pit
Now let me switch up the optics
Our neighborhoods held us hostage (that's real)
Some nights we slept in our closets (that's real)
Gun fights was outside the projects
So you can't blame me for nonsense
I'm here to collect deposits (deposits)
All else defies the logic (logic)
My people need me beside them (now)
Time to dig up your grave
Make it lower your voice
I told you not to play with the misfit toys
We running this gang
Getting sick of your noise
You stranded with a bad bunch of misfit toys
Don't play with the misfits
Come play with the misfits
Don't play with the misfits
Come and play with the misfits (I, I, I)
I told you don't play with the misfits
Must be deaf dumb and blind you a triplet
Don't you make me erase your existence
All by my lonely need no assistance
Any disrespect gets met with a vengeance
Burn down gossip and hidden agendas
We set the tone for all to remember
You rewrite history the greatest pretenders
(You rewrite history the greatest pretenders)
Time to dig up your grave
Make it lower your voice
I told you not to play with the misfit toys
We running this gang
Getting sick of your noise
You stranded with a bad bunch of misfit toys
Don't play with the misfits
Come play with the misfits (yes)
You stranded with a bad bunch of misfit toys",https://open.spotify.com/track/0oKPOxrcUkvJ8YVaV79qE8,189
North Dakota,Hourglass,https://open.spotify.com/album/2j2U3SyYuAraU6ax4bztHv,2016,1581064,"I think that I'd love North Dakota
I saw it once inside a magazine
Get this chip up off of my shoulder
Settle down somewhere the grass is green
'Cause California dreams has too many sleepless nights
I wanna feel the earth beneath my feet
Been searching for relief from all these city lights
I just need a place to let me be
Let me be free
Let me be whole again
Let me be me
Let me take hold again
Let me be free
Let me be free
I took a ride in New York City
But, it was too much cocaine and the girls ain't cheap
I had to get out before it killed me
Running good ain't running at that speed
'Cause California dreams has too many sleepless nights
I wanna feel the earth beneath my feet
Been searching for relief from all these city lights
I just need a place to let me be
Let me be free
Let me be whole again
Let me be me
Let me take hold again
Let me be free
Let me be free
♪
Let me be free
Let me be whole again
Let me be me
Let me take hold again
Let me be free
Let me be whole again
Let me be me
Let me take hold again
Let me be free
Let me be free",https://open.spotify.com/track/2l70NKAySm5pCzRAZxzPbn,190
Not Alone - Tom & Jame Remix,Not Alone (The Remixes),https://open.spotify.com/album/7r05tq3tjq5yfDN2HLuVxa,2016,10764,"You are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Are not alone
You are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Are not alone
Not alone
I'm making up every minute
A little bit tired
I've ended up in the middle of
Million times
I can't keep up with the feeling
I'm living in now
And I could see you holding on
If only for a moment at all
I wish I could hold the dark
Away for long for you
But you gotta know
You are not alone
Are not alone
Not alone, no
You are not alone
Are not alone
Not alone, no
Not alone",https://open.spotify.com/track/4oWJBnQFMgAs7rtBF3y2pV,262
