SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
12 Through 15,Monsters In The Closet,https://open.spotify.com/album/0z4nD6xjZlQEq4BDF8GRFu,2013,9374050,"(How you are fallen from heaven, O Lucifer, son of the morning
How you are cut down to the ground
You who weakened the nations
I will ascend above the heights of the clouds
I will be like the Most High
Yet you shall be brought down to Sheol, to the lowest depths of the pit)
Hey, the walls keep coming down but I'll stand, brave
Love is just an empty word you, say
I found loyalty and it was, pain
And you hate, God keeps coming down
'Cause you're afraid, Lucifer just might be your middle name
You're the only angel that got away
♪
And we're all alone now
With nothing to stand in our way
Don't swear that it's over, if love is our secret
I know you won't keep it
We're taking this easy
'Cause darling, that's what dreams are made of
This story is probably made up
So why don't you go back to sleep?
♪
Hey, the walls keep tumbling down but I stand, brave
Maybe I'm the one who's in your, way
I'm the only reason love got away (love got away)
And we're all alone now
With nothing to stand in our way
Don't swear that it's over, if love is our secret
I know you won't keep it
We're taking this easy
'Cause darling that's what dreams are made of
This story is probably made up
So why don't you go back to sleep? (Just like we never did)
Why don't you dream about me? (Just like we wanted to)
'Cause I'm the reason you're alone now
You're blaming everything on your hometown
Why would you say that?
♪
Oh, oh, oh, I think you're better off when you're on your own
You say to keep me close
'Cause I'm the closest thing that you've ever known
You said the problem's in your heart
But the problem's who you are
So leave me alone now
I'd rather be lonely when I scream and shout, and let it out
We're taking this easy
'Cause darling that's what dreams are made of
This story is probably made up
So why don't you go back to sleep? (Just like we never did)
Why don't you dream about me? (Just like we wanted to)
Cause I'm the reason you're all alone now
Quit blaming everything on your hometown
Why would you say that?",https://open.spotify.com/track/5AUs5AhzesAk96EmYO8oNQ,298
A Shot Across the Bow,Mayday Parade,https://open.spotify.com/album/5y34kPaIpcN3LNU3BZGEsn,2011,6482026,"It's time I said this but I'm so choked up
And I need my sanity
I'm scared, believe me
You can see me smile
If you let me just stick around
Well this is bye, bye baby
It ended like a sudden stop on a freight train
If you're not happy and you hurt this much
Then let me just stick around
Can I have one second of your time
Cause if I don't it'll drive me crazy
As I drop to my knees
And scream I hate you more than you could know
I hope you fall into the ocean
And the current leaves you helpless swimming around
As the waves crash over you until you drown and float away
We'll hold a funeral for nothing
And celebrate how empty love can be broken
It takes the sea to put you six feet happily underground
Now it's back to reality
I'm left in shambles but I guess that's how I should be
I knew the wedding bells were ringing loud but my bride was missing
No, it's not supposed to hurt this much
But when someone slowly breaks it off
It tends to leave a bitter taste
A scar, that slowly rips apart
Can I have one second of your time
Cause if I don't it'll drive me crazy
As I drop to my knees
And scream I hate you more than you could know
I hope you fall into the ocean
And the current leaves you helpless swimming around
As the waves crash over you until you drown and float away
And hold a funeral for nothing
And celebrate how empty love can be broken
It takes the sea to put you six feet happily underground
Underground
♪
I've had enough but it's all for the best
I need to get a few things off my chest
There's got to be another way I can say it
But to get it right, I have to think straight
I hope he tasted like the way I used to taste
I can't believe I'd even say this to you now
When you won't listen at all
I hope you fall into the ocean
And the current leaves you helpless swimming around
As the waves crash over you, and over you until you drown
And we'll hold a funeral for nothing
And celebrate how empty love can be broken
It takes the sea to put you six feet happily underground
It takes the sea to put you six feet happily underground",https://open.spotify.com/track/0i3ZL3tnLWDVfLiFSD38Mm,225
All On Me,Black Lines,https://open.spotify.com/album/2jZ7KCJvqvq3lUIAiil0Vd,2015,1466860,"I'm homesick
Got a lot on my mind
I'm pathetic
Never know when I'm right
rock bottom
I'm painting a smile for now
I've got a feeling you're the reason
I'll let you down, down, down.
♪
I'm lonesome
Save a photo for that
I'm on fire
You're the flame in my head that I can't put out
maybe I'm the first one
to fall apart on my own
don't act like I'm the first one
why don't you stand in line and watch me do it again
I'm blaming everything that's happening
All on me
All on me
And who will be the first to finally see?
Save me
Save me
We're all liars and let truth be told
I'm lost and so afraid.
And I won't come down
♪
Well maybe I'm the first one
to fall apart on my own
Don't act like I'm the first one
why don't you stand in line and watch me do it again
I'm blaming everything that's happeing
All on me
All on me
And who will be the first to finally see?
Save me
Save me
We're all liars and let truth be told
I'm lost and so afraid.
To tell you everything that's happinging
So blame me
blame me
♪
(Maybe I'm the first one)
(Maybe I'm the first one)
why don't you stand in line and watch me do it again
I'm blaming everything that's happeing
All on me
All on me
And who will be the first to finally see?
Save me
Save me
We're all liars and let truth be told
I'm lost and so afraid.
To tell you everything that's happinging
So blame me
blame me
I'm lost and so afraid of what's to come
I'm lost and so afraid of what's to come",https://open.spotify.com/track/4IlN4mKjrOkLAUfS8h8Z2t,255
Always Leaving,Sunnyland,https://open.spotify.com/album/6VgJZRUsCbR1NTnJWU85G4,2018,2087299,"Kindly disregard this one feeling
My clothes on the floor can be misleading
As soon as they're unpacked, they'll need to be put back
To me, it always seems I am leaving
Yes, to me it always seems I am leaving
This bed can be decieving
'Cause my time here is so fleeting
These bones hold the load of the open road
To me, it always seems I am leaving
Well, to me it just seems I am leaving
As soon as I arrive, I must say goodbye
All this despite my pleading
Those relentless miles are never satisfied
Never say you're here to stay
♪
Tangled friends start unweaving
Like a thread from a quilt receding
Even though I'm home, I feel the most alone
To me, it always seems I am leaving
Well, to me it always seems I am leaving
As soon as I arrive, I must say goodbye
All this despite my pleading
Those relentless miles are never satisfied
Never say you're here to stay
♪
There's no point in grieving, this pattern is just repeating
I've seen those tears before and there's something I ignore
To me it always seems I am leaving
Well, to me it always seems I am gone",https://open.spotify.com/track/4qycHk0wgPGX2lHyRKVWqu,221
Angels,Monsters In The Closet,https://open.spotify.com/album/0z4nD6xjZlQEq4BDF8GRFu,2013,9407393,"Three years of something I call love
When the phone calls and photographs are never enough
To save a heart that's been broken, so close to screaming
This can't be happening, I must be dreaming
What's the worst that could happen? I never knew
When all I ever wanted was to get away from you
But now the possible's impossible and I can't refuse
Grab all your dreams and raise all your glasses
Let's toast to the lucky ones
To the girl that just broke my heart
I can't breathe after all that you've told me
You took my heart and made me melt again
I could never imagine we'd end up this way
After all that we went through now I'm fighting through the pain
It's like this heart that's been broken, so close to screaming
Was ripped from my chest and I can't stop the bleeding
Now we all fall for the bad ones
They'll just break us 'cause we're so young
Dumb and vulnerable
Young and vulnerable
Here's a toast to the lucky ones
To the girl that just broke my heart
I can't breathe after all that you've told me
You took my heart and made me melt again
You ripped apart these pages (I can't breathe)
Our book was overrated (after all that you've told me)
This brings up all these questions
Tell me what just happened (you took my heart and made me melt again)
I'll say
I put your picture in a frame
That stands at the side of my bed
So whenever I get sad I can stare at your face
And overplay that I won't forget
When all I remember is talking is cheap
And you're eyes were expensive
And God only knows when I'll come to my senses
Now I can't breathe at all (now I can't breathe at all)
Here's a toast to the lucky ones
To the girl that just broke my heart
You ripped apart these pages (I can't breathe)
Our book was overrated (after all that you've told me)
This brings up all these questions (you took my heart and made me melt again)
(You ripped apart these pages) I can't breathe
(Our book was overrated) After all that you've told me
You took my heart and made me melt again
Tell me what just happened",https://open.spotify.com/track/4Wl3yzoeDmhdiNTHJuWt3G,254
Angels Die Too,What It Means To Fall Apart,https://open.spotify.com/album/2g7EfmQjCCOPKN2jcvBrtm,2021,1286029,"Maybe I'm just scared of a winter
With no warmth again
The seasons change, it changes more
Than just the scene in front of me
It's worth my while
But it seems miles away from where I can see from here
I wish that I could tell you why
But I don't think that's me
Out in Sunnyland we got caught
So bad in the storm again
We lost our time and watched
It all fall down 'til there was barely anything
And I keep on looking for it
It's probably best I just ignore it
What happened to all that time in front of me
So I will try to hold you as you fall apart
'Cause even angels die, too, they die in the dark
Know that I'll always love you even when it's too late to
And you'll always live inside of me
♪
For a moment I thought I could use these hands again
I look down and feel pathetic
Withered as they've come to be
Even my clothes look sad
I'll take them back and give them all away
I'll give, you take, we breathe
I promise I'll try to hold you as you fall apart
'Cause even angels die, too, they die in the dark
Know that I'll always love you even when it's hard to
And you'll always live inside of me
♪
I will try
♪
I will try, oh
♪
So I will try to hold you as you fall apart
'Cause even angels die, too, they die in the dark
Know that I'll always love you even when it's too late to
And you'll always live inside of me",https://open.spotify.com/track/6kYLCbSLYODiVPiYNp6R1b,233
Bad At Love,What It Means To Fall Apart,https://open.spotify.com/album/2g7EfmQjCCOPKN2jcvBrtm,2021,3837837,"Every day I wake up
Hoping you might call
You might call
Counting each mistake like
It was all my fault
All my fault
Said you'd never leave
Then hung me out to dry
The only time we talk
Is when we start to fight
You know you're bad at love
Bad at love
Seems as if you can't get enough
You know you're bad at love
Bad at love
Go on and tear me down in such a beautiful way
Waiting for the answers
Calling down the line
Down the line
Tracing over outlines
Searching for a sign
Searching for a sign
Said you'd never leave
Whether wrong or right
You're every other thought
Always on my mind
You know you're bad at love
Bad at love
Seems as if you can't get enough
You know you're bad at love
Bad at love
Go on and tear me down in such a beautiful way
And nothing is safe, yeah
Pull me down from these clouds
You know you're bad at love
Bad at love
Tell me before we burn out
What will you do with me now?
♪
Every day I wake up
Hoping you might call
Counting each mistake like
It was all my fault
You know you're bad at love
Bad at love
Seems as if you can't get enough
You know you're bad at love
Bad at love
Go on and tear me down in such a beautiful way
And nothing is safe, yeah
Pull me down from these clouds
You know you're bad at love
Bad at love
Tell me before we burn out
What will you do with me now?
Tell me before we burn out
What will you do with me now?
Tell me before we burn out
What will you do with me now?",https://open.spotify.com/track/2b8AQgpNmgWM00ZMMf51av,202
Black Cat,A Lesson In Romantics (Anniversary Edition),https://open.spotify.com/album/1Ewi8Uxjw5Etf7y8zaww9K,2017,17731684,"Close up, camera one
The hero sings in this scene
The boy that gets the girl gets to go home where they get married
But stop the tape
The sunset still looks fake to me
The hero looks like he can't breathe
The damsel just left everything
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, yeah)
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, whoa)
Oh, close up, camera two
'Cause the hero dies in this scene
Your inspiration is the loss of absolutely everything
And flashback on the girl
As we montage every memory
And we bleed out in the bathroom sink
Then we fade out as the soundtrack sings
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, yeah)
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, whoa)
She said, ""Get your hands off of my star
It's not your part, but all your fault""
And this jealous actress has a habit
Of making things sound way too tragic
""Get your hands off of my star
It's not your part, but all your fault""
And this jealous actress has a habit
Of making things sound way too tragic
♪
And this jealous actress has a habit
Of making things sound way too tragic
Oh, this jealous actress has a habit
Of making things sound way too tragic
You're like a black cat with a black backpack full of fireworks
You're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, whoa)
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh my God)
You're like a black cat with a black backpack full of fireworks
And you're gonna burn the city down right now
(Whoa, oh, oh, whoa, oh, whoa)
And this jealous actress has a habit
Whoa, oh, whoa",https://open.spotify.com/track/2U6473fd0HcUyzTpWfBhZV,203
Breakup Song,Sad,https://open.spotify.com/album/7AglGpevhw3sJGjgYKVgW9,2025,139874,"This is our breakup song
We've been writing it for, oh, so long
Another night, stayed up until dawn
Tracing the anxious lines of your palm
I tried to write something nice
The words were forced, they just collide
No need for tears or to cry
Let's not pretend that we tried
I'll take the blame for this one
The credit all for a song with no name
I wish it were a happier one
But every note we sang seemed to come out wrong
Shattered against the wall
Leaving the one thing we agree on
I tried to write something nice
The words were forced, they just collide
No need for tears or to cry
Let's not pretend that we tried
I'll take the blame for this one
The credit all for a song with no name
♪
This is our breakup song
We've been writing it for, oh, so long
We said we'd still be friends
But it's hard to make a start from an end
I tried to write something nice
The words were forced, they just collide
No need for tears or to cry
Let's not pretend that we tried
I'll take the blame for this one
The credit all for a song with no name",https://open.spotify.com/track/3LZWN4w75HkhcMt08Jzgju,213
"Call Me Hopeless, Not Romantic",Mayday Parade (Deluxe Edition),https://open.spotify.com/album/5ioUIvpedCZXXXPE1zvsoV,2011,10305700,"I can't believe that so much time was spent on my own
Just tryin' to figure it out all alone
Don't show emotion, let this go.
I can pretend that everything is still okay
Until you rightfully say what you said
The night you left me here for dead, for dead.
Why do you cry when you're falling asleep?
And girl, how can you love without you ever losing it all?
Don't put your faith in this, when you won't believe it.
Where did you go?
How will you find yourself, when your hand to hold is letting go?
Where did you go?
How will you tell yourself you're losing hope, losing hope?
Is it just me or has the time we spent come undone?
I know forever is not what you want
I'll pack my bags and brush it off, brush it off.
Why do you cry when you're falling asleep?
And girl, how can you love without you ever losing it all?
Don't put your faith in this, when you won't believe it.
Where did you go?
How will you find yourself, when your hand to hold is letting go?
Where did you go?
How will you tell yourself you're losing hope?
Tell me that you're alright (Yeah, like I really care)
Why do we fight sometimes (Just like we always do)
Try and make up your mind (I'll make it up for you)
Try and make up your mind (Your mind, your mind)
♪
Where did you go?
How will you find yourself, when your hand to hold is letting go?
Where did you go?
How will you tell yourself you're losing hope, losing hope?
Where did you go?
How will you find yourself, when your hand to hold is letting go?
Where did you go?
How will you tell yourself you're losing hope, losing hope?",https://open.spotify.com/track/3xVC56rIYsxy1bMuf5ijpA,209
