SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
405 - Metronomy x Biig Piig,405 - Metronomy x Biig Piig,https://open.spotify.com/album/2GJgVsNLu7RkTe6HoXvzEi,2021,24295041,"Put my head on a pillow
And I watch you singing ""Blue Moon"" on the drive home (on the drive home)
(On the drive home, on the drive home)
You smiled in the mirror with those bright eyes
And you froze time, you're an old soul (you're an old soul)
(You're an old soul, you're an old soul)
How'd I miss the sweetest gaze
All those times you looked my way?
I don't know (my way I don't-)
(I don't know, I don't know)
'Cause I ran off in the wrong direction
Looking for love when you were stood right there
Under my nose
You gave me your sweater in the late day
Watching rain pour, then you came in close (then you came in close)
(Then you came in close, then you came in close)
You taste like vanilla and your hand's soft
Holding my cheek, you're an angel (you're an angel)
(You're an angel, you're an angel)
How'd I ever lose my way
With all those times you called my name?
I don't know (my name, I don't know)
(I don't know)
'Cause I ran off in the wrong direction
Looking for love when you were stood right there
Under my nose
'Cause I ran off in the wrong direction
Looking for love when you were stood right there
Under my nose
♪
'Cause I ran off in the wrong direction
Looking for love when you were stood right there
Under my nose
'Cause suddenly it's all I want
To keep you safe, away from harm
To make it easy
Don't you believe me?
'Cause suddenly it's all I want
To keep you safe, away from harm
To make it easy
Don't you believe me?
('Cause suddenly it's all I want) 'cause I ran off in the wrong direction
(To keep you safe, away from harm)
Looking for love when you were stood right there (to make it easy)
(Don't you believe me?), under my nose
('Cause suddenly it's all I want) 'cause I ran off in the wrong direction
(To keep you safe, away from harm)
Looking for love when you were stood right there (to make it easy)
(Don't you believe me?), under my nose
Under my nose (under my nose) under my nose",https://open.spotify.com/track/1KjLbuPsJmYdZJt0CsyVAg,265
A Thing For Me,Greatest Hits,https://open.spotify.com/album/7ciLPNvNyh8rHltzwfp0rs,2025,6811929,"I told you how long we've got
All the time in the world
I've got a thing for you
You've got a thing for me
I've got my mind made up
You've got my heart, you know
You've got a thing for me
You've got a thing for me
I told you how long we've got
All the time in the world
I've got a thing for you
You've got a thing for me
I've got my mind made up
You've got my heart, you know
You've got a thing for me
You've got a thing for me
She's gonna leave at three
That's what her friend told me
Now I can't bear to check the time
Tonight she'll take my heart home with her
But I'm not ready to let it go now
Oh, how long have we got? (How long we've got)
I told you how long we've got
All the time in the world
I've got a thing for you
You've got a thing for me
I've got my mind made up
You've got my heart, you know
You've got a thing for me
You've got a thing for me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
For me
And now it looks to me
Like she's about to leave
But as she passes she leans close and says
""My boy, you got to keep that chin up
I'm gonna come back here next week for now (for now)
Please take my telephone number
Just remember what I told you""
I told you how long we've got
All the time in the world
I've got a thing for you
You've got a thing for me
I've got my mind made up
You've got my heart, you know
You've got a thing for me
You've got a thing for me
I told you how long we've got (for me, for me)
I told you, I told you (for me, for me)
I told you how long we've got (for me, for me)
I told you, I told you (for me, for me)
I've got my mind made up (for me, for me)
I told you, I told you (for me, for me)
You've got a thing for me (for me, for me)
You've got a thing for me (for me, for me)",https://open.spotify.com/track/20EuJHpTDfKz4SVAzrP5px,208
Back On The Motorway,Nights Out,https://open.spotify.com/album/2lREW5Vbyy6CiNwkN6JtS4,2008,1844842,"I went and messed around with her heart
So now she's run off with my car
But I can't live without her
(And it's so hard to take)
So I've set off out to find her
I'm back on the motorway
At this wheel I'd drive the earth for her
Every carriageway a mile for her
These five gears and wheels could drive to her
But this carriageway can't take me there
Drivin' at 90 miles per hour (miles per hour)
It's hard to know what's comin' (know what's comin')
Then on the horizon (then on the horizon)
Something makes me brake
I can see me darlin' (I can see me darlin'), ahead on the motorway
(I can see us dying on the bonnet of a chevrolet)
So why's my baby lying on the side of the motorway?
(I wish that I had never said the things that I'd told her today)
'Cause now she's left me crying on the shoulder of the motorway
At this wheel I'd drive the earth for her
Every carriageway a mile for her
These five gears and wheels could drive to her
But this carriageway can't take me there",https://open.spotify.com/track/7e2MVNZvzwBdKhXvKb6orC,236
Call Me,Love Letters,https://open.spotify.com/album/4ncxigcuC9s3fyjiuJSfQq,2014,3199993,"Call it as you see
Call it what you like
Call it you and me
Call it anything only wrong to do
Saw it from afar
Coming into view
Call it anything
Call it your friend
But everyone's your friend
Only if they say
Call up on me
We all need company
♪
Call me Valentine
♪
Call me Valentine
♪
Follow Rivoli
Follow Vivienne
Follow them to me
Follow anything
Only wrong to do
Saw them from afar
Crashing in to view
Follow anything
Follow your friends
But everyone's your friend
Only if they say
Call up on me
But you belong to me
♪
We can get better
We can get better
We can get better
We can get better
We can get better
We can get better
Oh, we can do anything
We can do anything
You could be mine
We can try anything
We can say we'll try anything
And you could be mine",https://open.spotify.com/track/2OfJP9BW8HnZpPvDDZ5Dx2,231
Corinne,Greatest Hits,https://open.spotify.com/album/7ciLPNvNyh8rHltzwfp0rs,2025,31769889,"Oh, Corinne
I've got a pain in my heart
I think it's because of you
'Cause they kicked me out of the forces
When I laid a hand on you
♪
♪
Oh, Corinne
I'd take this pain in my heart
For just one night with you
If they'd let me back in the forces
And I could lay my hand on you
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
I've got my heart in a bind
She just wants to dance all the time
I've got my heart tight up
I've got my heart in a bind
She just wants to dance all the time
I've got my heart tight up
I've got my heart in a bind
She just wants to dance all the time
I've got my heart tight up
I've got my heart in a bind
She just wants to dance all the time
♪
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again
I've got my heart tight up
Now with the boom and the bang
I'm not gonna fight you again",https://open.spotify.com/track/6YbvWwq7fJz4gFNLfkyIMH,196
Everything Goes My Way,Everything Goes My Way,https://open.spotify.com/album/5iWwMkJRWbW5KVBfC2Rsvz,2011,56017955,"When I took you back
I thought you'd only up and run
But you're still here, I know
And when I took you back
I thought you'd only up and run
But you're still here, you're still here
And now everything goes my way
And now everything goes my way
It feels so good to have you back, my love
I'm in love again (love again)
Love, I'm in love again (love again)
I'd given up on you
You shot a hole in my heart straight through
When you pushed me aside, three weeks I cried
But now you've got me back
You know I'll never up and run
Yeah, I'll stay here, I'll stay right here
And now everything goes my way
And now everything goes my way
It feels so good to have you back, my love
I'm in love again (love again)
Love, I'm in love again (love again)
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love, I'm in love again
Love",https://open.spotify.com/track/0gJUqRed1nLTEKryfCKV93,210
Heartbreaker,Greatest Hits,https://open.spotify.com/album/7ciLPNvNyh8rHltzwfp0rs,2025,13370681,"I heard she broke your heart again
So now you're gonna come and see me
We're back to the start again
When's she gonna set me free?
I've been there time and time again
The girl's no good for me and you
She hurts me too
I heard she broke your heart again
I heard she broke your heart
Well, that girl's a heartbreaker
I heard she broke your heart again
I heard she broke your heart
Well, that girl's a heartbreaker
♪
Well now, that girl may have friends in the business
And great qualities that I have yet to see
But in my eyes, she's done us wrong
Enough times, for you to side with me
♪
I heard she broke your heart again
I heard she broke your heart
Well, that girl's a heartbreaker
I heard she broke your heart again
I heard she broke your heart
Well, that girl's a heartbreaker
♪
Heartbreaker, I'll break her
Heartbreaker, I'll break ya
Heartbreaker, I'll break her
Heartbreaker, I'll break ya
Heartbreaker, I'll break her
Heartbreaker, I'll break ya
Heartbreaker, I'll break her
Heartbreaker, I'll break ya",https://open.spotify.com/track/2j9c0aA9iR6bsCIaTdfv0t,252
Hold me tonight (feat. Porridge Radio),Small World,https://open.spotify.com/album/5CHaXCMeag2aPjo72Ib8Xj,2022,2131200,"Hold me tonight
Please, hold me tonight
I know where you live
It's right past the bridge
And I'll walk you home there
If ever you ask me to, but
Did you know that every time we talk
My heart, it beats a little faster?
And did you know that when our eyes meet
My God, it feels like I love you?
Please, hold me tonight
Just hold me tonight
Hold me tonight
Just hold me tonight (night, night, night, night)
Take a look inside
I'm trying to find the courage
But I can't find it yet
And in your eyes
They're glowing in the dark
But I can't look at them yet
So how am I to know
How to approach
Someone like you?
Oh my, it's uncontrollable
The way I'm only thinking about you
So you found the courage
Do you regret it yet?
It's not what you wanted
But I guess it's off your chest
Hold me tonight
Just hold me tonight
So hold me tonight
Please, hold me tonight
(Tonight, tonight, tonight, tonight)
'Cause I don't know what l'll do
Instead of loving you
And I don't know who I'll talk to (l don't know who I'II talk to)
I could fake the feeling
I could fake anything you like
But I don't want to (I'm on the outside now)
(I'm on the outside) and I don't know who l'll talk to
(I'm on the outside now) I don't know who I'll cry to
(I'm on the outside) and I don't know what I'll do
(I'm on the outside now) instead of loving you
(I'm on the outside) and I don't know what I'll do
(I'm on the outside now) I don't know who I'll talk to
(I'm on the outside) instead of loving you
(I'm on the outside now)",https://open.spotify.com/track/6eKt37hsddMUisZhtklhu3,211
Holiday,Nights Out,https://open.spotify.com/album/2lREW5Vbyy6CiNwkN6JtS4,2008,1870174,"I've been watching my money (watching my money)
Save, saving up for a holiday (up for my holiday)
A week in Paris (a week in Paris), a trip to Rome
I can't afford to go on my own
So, you want me to yourself
Well, you must know that won't happen
So, you want me to yourself
Well, you must know that won't happen
♪
I've prepared my bikini (my bikini)
Prepared for my holiday (for my holiday)
We won't go to Paris
It's full of things you like too much
We won't go to Germany
It's full of girls that you like to touch
We won't go to Paris
It's full of things you like too much
We won't go to Germany
It's full of girls that you like to touch
So, you want me to yourself
Well, you must know that won't happen
So, you want me to yourself
Well, you must know that won't happen
So, you want me to yourself
Well, you must know that won't happen
So, you want me to yourself
Well, you must know that won't happen",https://open.spotify.com/track/0tdmZr8NLTCney1fW5scXO,256
I have seen enough,Small World,https://open.spotify.com/album/5CHaXCMeag2aPjo72Ib8Xj,2022,1066439,"I have seen enough
I have seen enough
I have seen enough
But I just can't look away
We can watch the flowerbeds rising
Each year, our children grow
I will sit with you in silence
As we watch our favourite show
But I have seen enough
I have seen enough
I have seen enough
But I just can't look away
♪
I have seen enough
I have seen enough
I have seen enough
But I just can't look away
We could pick the fruit in autumn
We can turn the ground in spring
And I'll watch another sunset, by your side
And together we will sing
I have seen enough
I have seen enough
I have seen enough
But I just can't look away",https://open.spotify.com/track/6jH7syu4BDAdAsfZiusI4y,212
