SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
All The Roses,Come To Life,https://open.spotify.com/album/72gxs3VqZZmAYhefqyuJaR,2009,111948,"What do I do with all the roses outside
There not supposed to grow this time of year
It's a hard rain but you got me smiling
And you are the only one who can get me through
I can hear your voice when you're whispering
I can feel your heart when it's beating
I believe you're near when the ghost comes in
I can hear you when you're calling out my name
I can remember when a day lasted forever
Summer was everything and there was nothing to fear
You were so tough but your heart said so much
And nobody else got through quite like you
I can hear your voice when you're whispering
I can feel your heart when it's beating
I believe you're near when the ghost comes in
I can hear you when you're calling out my name
Did I get hit by the moonlight, under the stars
'Cos you feel so close that I can reach you
Wherever you are
I can hear your voice when you're whispering
I can feel your heart when it's beating
I believe you're near when the ghost comes in
I can hear you when you're calling
I can hear your voice when you're whispering
I can feel your heart when it's beating
I believe you're near when the ghost comes in
I can hear you when you're calling out my name",https://open.spotify.com/track/5RPbhhhTdD4H2GB8w6IRg8,208
Beauty on the Fire,White Lilies Island,https://open.spotify.com/album/1XAbHdKbNGjFMvPYoVMwAy,2001,1673161,"Here it comes again
Cannot outrun my desire
Cover my descent
And throw the beauty on the fire
Drawn towards the edge
Do I assume I could fly?
Every secret shared
Why do I drink the feelings dry?
Don't go too far limitation scars
Tonight, could I be lost forever
To drown my soul in sensory pleasure?
Here it comes again
You raise the bar even higher
I cannot catch my breath
So throw the beauty on the fire
Don't push too hard limitation scars
Tonight, could I be lost forever
To drown my soul in sensory pleasure?
Sensory pleasure
Sensory pleasure
Sensory pleasure
Could I be lost forever?
Do I assume I could fly?
Tonight, could I be lost forever
To drown my soul in sensory pleasure?
Sensory pleasure
Sensory pleasure
Sensory pleasure
Could I be lost forever?",https://open.spotify.com/track/5Q5pTV57YHsByob6X97K2Z,261
Big Mistake,Left Of The Middle,https://open.spotify.com/album/38alWeQVP9UUAGJvLptys9,1997,5693191,"There's no sign on the gate
And there's mud on your face
Don't you think it's time we reinvestigate the situation
Put some fruit on your plate
You've forgotten how it started
Close your eyes
Think of all the bubbles of love we made
And you're down on your knees
It's too late, oh don't come crawlin'
And you lie by my feet
What a big mistake, I see you fallin'
♪
Got a buzz in my head
And my flowers are dead
Can't figure out a way to rectify this situation
Don't believe what you've said
You've forgotten how it started
Close your eyes
Think of all the bubbles of love we made
And you're down on your knees
It's too late, oh don't come crawlin'
And you lie by my feet
What a big mistake, I see you fallin'
♪
I could sting like a bee
Careful how you treat me
Baby, I don't think I'll accept your sorry invitation
Close the door as you leave
You've forgotten how it started
Close your eyes
Think of all the bubbles of love we made
And you're down on your knees
It's too late, oh don't come crawlin'
And you lie by my feet
What a big mistake, I see you fallin'
And you cry over me
I can't wait, I feel you stalling
And you try to reach me
What a big mistake, I hear you callin'
And you're down on your knees
It's too late, oh don't come crawlin'
And you lie by my feet
What a big mistake, I see you fallin'",https://open.spotify.com/track/2rN6NKR8ZjMhcBCXsZUDWi,273
Build It Better,Firebird,https://open.spotify.com/album/7uR0WmniogdAeIinq4CCXY,2021,1806471,"Is everything broken?
If I could take it back, even for a moment
Because some nights I want that
Should I call you?
I could try to explain
But I'll just make
The same mistake
So I'll just lie here
Lock away these words
Just keep them inside me
If you only knew how much it hurts
But if I'm honest
In the cold light of day
I'll be okay
More than okay
If it's falling, let it fall
I love that you gave
My heart a home
The place hasn't changed
But I'm here alone
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better
This bed feels five miles wide
Beginning to dread
These lonely nights
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better
I'll take down the pictures
Read your letters one last time
Try not to remember (remember)
All the good times at the start
It's never easy (never easy)
When things don't last
And it's hard for my heart
When I'm alone here in the dark
But if it's breaking, let it break
I love that you gave
My heart a home
The place hasn't changed
But I'm here alone
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better
This bed feels five miles wide
Beginning to dread
These lonely nights
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better
Let it fall down
Let it fall down and build it better
Let it fall down
Let it fall down and build it better
Let it fall down
Let it fall down and build it better
Let it fall down
Let it fall down
I love that you gave
My heart a home
The place hasn't changed
But I'm here alone
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better
This bed feels five miles wide
Beginning to dread
These lonely nights
I know it's crazy walking wires
But nothing lasts forever
When it all falls down, gotta build it better",https://open.spotify.com/track/1dFZMxxWDImYJOrLphU095,203
Butterflies,White Lilies Island,https://open.spotify.com/album/1XAbHdKbNGjFMvPYoVMwAy,2001,363073,"Swallow purple terror candy
Don't forget to breathe
Sickened by the wanting
And drowning from the need
This dichromatic vision
Of one who does not care
To sipping cocktail sedatives
Two months to hide somewhere
CHORUS
Butterflies, Butterflies
Cut the stomach out and hand it over
Butterflies, Butterflies
My heart will be the bridge that-
you walk over
VERSE
The wolf has caught the chicken
And now I feel unsteady
Emotions on the blink again
So kick me when you're ready
Here lies a violet coffin
The death of my control
Along with all my skeletons
They put them in the hole
VERSE
Sickened by the notion
I give myself again
Choking on the bullet, the gun-
thats found a friend
So raise your glass to sorrow
And drink to all the pain
Tie a silver ribbon around
The pieces that remain
CHORUS
Butterflies, Butterflies
Cut the stomach out and hand it over
Butterflies, Butterflies
My heart will be the bridge that-
you walk over",https://open.spotify.com/track/40JCFtzBASUz6EPneQTVRG,296
Cameo,Come To Life,https://open.spotify.com/album/72gxs3VqZZmAYhefqyuJaR,2009,91227,"Move a little closer and I'll prove
That I have something that you crave
But you know all about it
Climb, give me a minute of your time
And I can figure out a way
To make it worth your while
'Cause I am drawn to you and
Everybody stares when you walk in the room
But you keep disappearing
Have I told you you're my cameo
Want you lover, baby
Here we go, cameo
Leave or you will find yourself in need
Of something more than you can take
And it'll drive you wild
I was a slave to every signal that you gave
You had me ready for the chase
And there was no denying
'Cause I am drawn to you and
Everybody stares when you walk in the room
But you keep disappearing
Have I told you you're my cameo
Want you lover, baby
Here we go, cameo
I want you in it, give me a minute
I want you in it
Have I told you you're my cameo
Want you lover, baby
Here we go, cameo",https://open.spotify.com/track/2DvK5jWdpCXzw7pcUjfXuO,192
Cannonball,Male,https://open.spotify.com/album/4iwZndHMH6ZzGddN5kh109,2015,652395,"Still a little bit of your taste in my mouth
Still a little bit of you laced with my doubt
Still a little hard to say what's going on
Still a little bit of your ghost your witness
Still a little bit of your face I haven't kissed
You step a little closer each day
That I can't say what's going on
Stones taught me to fly
Love it taught me to lie
Life it taught me to die
So it's not hard to fall
When you float like a cannonball
Still a little bit of your song in my ear
Still a little bit of your words I long to hear
You step a little closer to me
I can't see what's going on
Stones taught me to fly
Love it taught me to lie
Life it taught me to die
So it's not hard to fall
When you float like a cannon
Stones taught me to fly
Love taught me to cry
So come on courage teach me to be shy
'Cause it's not hard to fall
And I don't wanna scare her
It's not hard to fall
And I don't wanna lose
It's not hard to grow
When you know that you just don't know",https://open.spotify.com/track/5jfg8RMii7DI1U7UjPdYnc,205
City,Left Of The Middle,https://open.spotify.com/album/38alWeQVP9UUAGJvLptys9,1997,769037,"Had a dream
Had a drowning dream I was in a river of pain
Only difference this time
I wasn't calling out your name yeah
Has it ended before it's begun
You hold on
And I try to run but
Anybody heading in my direction
Away from the city
Anybody wanna change the way they feel
Step inside
Doesn't really matter where you wanna take me
Away from the city
I wanna start again
I wanna start again
I wanna take it back
I wanna start again
Start again
Funny how those friends forget you when you're tired of their games
You miss a show or a party that blows
And they've, they've forgotten your name, yeah
And you wonder what you've become
They pull you back when you try to run
Well anybody heading in my direction
Away from the city
Anybody wanna change the way they feel
Step inside
Doesn't really matter where you wanna take me
Away from the city
I wanna start again
I wanna start again
I wanna take it back
I wanna start again
♪
Start again
♪
I left the me I used to be
I wanna see this through
I left the me I used to be
If only you'd see it too
Well I wonder what you've become
You pull me back when I try to run
Well anybody heading in my direction
Away from the city
Anybody wanna change the way they feel
Step inside
Doesn't really matter where you wanna take me
Away from the city
I wanna start again
I wanna start again
I wanna take it back
I wanna start again
♪
Start again",https://open.spotify.com/track/1z56gUN9MRCy6lapCC9KMz,274
Come On Home,Counting Down The Days,https://open.spotify.com/album/1PD3hNs0PRMtOeU11DPpim,2005,223568,"Beautiful day
Shined when I needed that most
Shined on the church yard
Tin cans full of gold
Come on home
It's not too late
We can fall apart together
Beautiful girls smiled
When I needed it the most
Smiled on my heavy eyelids again
Come on home
It's not too late
You can fall apart together
Come on home
It's not too late
We can fall apart together
Fall apart together
Fall apart together
Fall apart together
Ooh don't wait to long
Come on home
It's not too late
We can fall apart together
Come on home
Oh baby It's not too late
We can fall apart together
Fall apart together",https://open.spotify.com/track/1x9HoaN2rqMdjMMCUfy74w,235
Come September,White Lilies Island,https://open.spotify.com/album/1XAbHdKbNGjFMvPYoVMwAy,2001,657757,"Her bones will ache
Her mouth will shake
And as the passion dies
Her magic heart will break
She'll fly to France
Cause theres no chance
No hope for Cinderella
Come September
Everything wrong
Gonna be alright
Come September
Her violet sky
Will need to cry
Cause if it doesn't rain
Then everything will die
She needs to heal
She needs to feel
Something more than tender
Come September
Everything wrong
Gonna be alright
Come September
♪
The souls that burn
Will twist and turn
And find you in the dark
No matter where you run
She's made her mark
But lost her spark
And what she's pushing for
She can't remember
Everything wrong
Gonna be alright
Come September
♪
Her eyes surrender, her cry
A crying shame
Coming undone is she ever gonna
Feel the same
She will run
She's gonna drink the sun
Shining just for you
Instead of everyone
And so it goes
She'll stand alone
And try not to remember
Come September
Everything wrong
Gonna be alright
Come September
Everything wrong
Gonna be alright
Come September
Come September
September",https://open.spotify.com/track/17L0WiLf6EHWdUOkNQakJg,251
