SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Don't Want To Love You,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,11749,"Someday, someday, I'll be so much better, baby
Call you when I get there
Till then maybe, don't think I can see you, baby
I know you think it isn't fair
Always, always, you are where I'd run to baby
To make the pain go away, yeah
So what do I do now that it's you, makes it rain?
I don't wanna hold on so damn tight
To somebody else hands
I wanna wake up, what I come to
I don't wanna love you
Don't wanna keep wondering why, why
Tell myself that you just need time
I wanna wake up, what I come to
I don't wanna love you
Tell me no lies
Does she make you happy, baby?
Thought I was the only one
I was wrong
So goodbye, goodbye
Can't say I won't miss you, baby
But the damage is already done
How do you choose to let yourself lose someone?
I don't wanna hold on so damn tight
To somebody else hands
I wanna wake up, what I come to
I don't wanna love you
Don't wanna keep wondering why, why
Tell myself that you just need time
I wanna wake up, what I come to
I don't wanna love you
I always wanna call my own that I don't have
Trying to find myself a home in the bitter grass
Always betting on a love that won't last
Tell her we've spoken
Don't say I was crying, baby
Can you promise me that?
♪
My heart isn't broken
It's beating but it's dying baby
Ever since you gave it back
I don't wanna hold on so damn tight
To somebody else's hands
I wanna wake up, what I come to
I don't wanna love you
Don't wanna keep wondering why, why
Tell myself that you just need time
I wanna wake up, what I come to
I don't wanna love you
No, I don't wanna love you
No, I don't wanna love you
Always wanna call my own what I don't have
Trying to find myself a home in the bitter grass
Always betting on a love that won't last",https://open.spotify.com/track/3D5d8L3uNzKyLSMy7KuFBh,247
Enough (Moving Target),Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,10019,"Stuck in traffic in my head
Standing still but I can't climb the freeway
But he woke me up and said you haven't done enough
And I said okay, okay, okay
What is enough? Tell me how does it feel
Hunger returns after every meal
I finish first, then I'm back where I started, enough
It's a moving target
It's a moving target
My appetite's from childhood
Cause every school year comes with graduation
Maybe that's why trying hurts
If it's not served with constant affirmation
♪
What is enough? Tell me how does it feel?
Is it when you win or is it when you heal?
Clearly it don't come from trying my hardest, enough
It's a moving target
It's a moving target
What's the first thing that you've done
When you're on top of a hill
You're at the bottom of another
Why can't I be satisfied, be grateful and still
Keep that hunger, that keeps me climbing
What is enough, tell me how does it feel
Starting to wonder if enough is real
Father forgive all your gifts disregarded
There's too much light here to be heavy hearted
I decide what is enough and then guard it, enough
It's a moving target
It's a moving target
It's a moving target
It's a moving target, yeah
It's a moving target, target
It's a moving target, yeah
It's moving",https://open.spotify.com/track/4tS7SZihlQWDVZ6k7bD5Ug,216
Love Returned,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,10631,"♪
He opened up the door like, what are you here for
And I don't wanna hurt you so you should go
Cause the person I'm here with, you know
And I'm like, clearly you don't know me
Because I don't run away from collisions
Any easier than bad relationships or decisions
And why are we whispering in the hall?
Who's in there with you?
Why didn't you call?
He says, why didn't you call?
And I'm bawling now
Because I can't tell who he's protecting me
Or him, or her
And the rest is a blur
I'm running down a winding staircase
Through the lobby, onto the street
Running and running and the sound at my feet is water splashing
My world is crashing in the rain, and I realize
My life is a scene from a movie
Where I played the wrong part
Fell off of the screen when the villain, broke my heart
This night I will always remember, as the moment I learned
I'm best on the stage in a drama
Where love's returned
Last hour of the night before the morning light
When anyone who out ain't right
And I'm running alone, like a fool of my own
He's racing after me
Must have chosen to chase after me
So I let him catch me cause he left her there
Snatches my arm and says he wouldn't dare let me leave upset
It's okay well
Since we're putting on a show
I start screaming, let me go
He says no, he's holding
I'm folding, it's cold
And I'm heading to hurt him like he hurt me
Under the street light, in a fight
And the thunder claps my pain, and I realize
My life is a scene from a movie
Where I played the wrong part
Fell off of the screen when the villain, broke my heart
This night, I will always remember, as the moment I learn
I'm best on the stage in a drama
Where love's returned
Where love's returned",https://open.spotify.com/track/0PWJAfwKXLPlLo6UPOAyek,203
Met Someone,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,22342,"Together every moment
Trying to make a dream come true
I said, I want everything
You said, I want you
One step from forever
Just about to cross that line
You said, it only gets better
I said, I need time
I need time
I said, I need time
I left in search of an answer
I prayed to God it would come
And he rushed in like the water flood in the sky like the sun
So I drove home to tell you
Rehearsed the words on the way
But had to fight for the breath to say
I met someone
I met somebody new
I know it kills to hear
It kills to say it too
I met someone
It's not what I meant to do
I never thought I'd be, the one that hurt you
I met someone
I met someone
♪
Don't remember leaving
Don know how I got back to my place
But I recall the mirror cause I didn't recognize my face
They call it friendly fire, when you hit someone who's on your side
In every resurrection, something dies
I met someone
I met somebody new
I know it kills to hear
It kills to say it too
I met someone
It's not what I meant to do
I never thought I'd be, the one that hurt you
I met someone
I met someone
I met someone
♪
And I was so far apart
But love's in my life and yours
Cause she walked in through your window
And I was closing the door
We found forever when we, got out of each other's way
The truth may hurt but it saves the day
I met someone
I met somebody new
I know it kills to hear
It kills to say it too
I met someone
It's not what I'm meant to do
I never thought I'd be, the one to hurt you
I met someone
I met somebody new
I know it kills to hear
It kills to say it too
I met someone
It's not what I'm meant to do
I never thought I'd be, the one to hurt you
I met someone
I met someone",https://open.spotify.com/track/6oTW9L2714jyS13cyay8qQ,209
Normal,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,12453,"Look at all them crazies
Growin' wild as daisies
Cut em' out like some paper dolls
Duplicate, imitate, wait!
One's out of line
Has its own mind
Doesn't belong?
The shapes wrong!
Why would you put a circle in a square?
I'm who I am
Love me if you dare
The one and only
I'm not normal
And I don't need you to be to be with me
I'm not normal
Just know that what you get is what you see
I'm not normal
Come with love and satisfaction guaranteed
And I make no apology
I'm not normal
Face without a filter
Rather be off kilter
Don't need no one to validate
Swipe it left, swipe it right
I'm awkward and long
Scarred but I'm strong
My own design
First of my kind
Some look away
And some people stare
Diamonds are jewels
Just because they're rare
One and only
I'm not normal
And I don't need you to be to be with me
I'm not normal
Just know that what you get is what you see
I'm not normal
Come with love and satisfaction guaranteed
And I make no apology
I'm not normal
Be what you gon' be
Pop it, drop it, set it free
Be what you gon' be
Don't worry about nobody
Be what you gon' be
Never care what people say
Be what you gon' be
What is normal anyway?
I'm not normal
And I don't need you to be to be with me
I'm not normal
Just know that what you get is what you see
I'm not normal
Come with love and satisfaction guaranteed
And I make no apology
I'm not normal
I'm not normal
And I don't need you to be to be with me
I'm not normal
Just know that what you get is what you see
I'm not normal
Come with love and satisfaction guaranteed
And I make no apology
I'm not normal
Don't worry about nobody
Don't worry about nobody
Don't worry about nobody
Don't worry about nobody",https://open.spotify.com/track/4HM1ddY1L0NUVWiontqFEX,188
Satisfied,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,366894,"A toast to the groom, to the bride
From your sister who is always by your side
To your union and the hope that you provide
May you always be satisfied
♪
I remember that night
I just might regret that night for the rest of my days
I remember those soldier boys
Tripping over themselves to win our praise
I remember that dreamlike candlelight
Like a dream that you can't quite place
But Alexander, I'll never forget the first time I saw your face
I have never been the same
Intelligent eyes in a hunger-pang frame
And when you said ""Hi"" I forgot my dang name
Set my heart aflame, every part aflame
This is not a game
I'm sure I don't know what you mean, you forget yourself
Is that right?
Heard you've never been satisfied
My name is Angelica Schuyler
Where's your family from? Yes
Ooh-ooh-ah
So so so
So this is what it feels like to match wits with someone at your level
What the hell is the catch?
It's the feeling of freedom, of seeing the light
It's Ben Franklin with a key and a kite
You see it, right?
The conversation lasted two minutes, maybe three minutes
Everything we said in total agreement
It's a dream and it's a bit a dance
A bit of a posture, it's a bit of a stance
He's a bit of a flirt but I'mma give him a chance
I asked about his family did you see his answer?
His hands started fidgeting, he looked askance
He's penniless, he's flying by the seat of his pants
Handsome, boy, does he know it
Peach fuzz and he can't even grow it
I want to take him for away from this place
Then I turn and see my sister's face and she is
(Helpless)
And I know she is (Helpless)
And her eyes are just (Helpless)
And I realise three fundamental truths at the exact same time
(Number one)
I'm a girl in a world in which my only job is to marry rich
My father has no son so I'm the one who has to social climb for one
Cause I'm the oldest and the wittiest
And the gossip in New York City is insidious
And Alexander is penniless (haha)
That doesn't mean I want him any less
(Number two)
He's after me cause I'm a Schuyler sister that elevates his status
I'd have to be naive to set that aside
Maybe that is why I introduced him to Eliza now that's his bride
Nice going Angelica, he was right, you will never be satisfied
(Number three)
I know my sister like I know my own mind
You will never find anyone as trusting or as kind
If I tell her that I love him she'd be silently resigned
He'd be mine
She would say ""I'm fine"", she'd be lying
But when I fantasise at night it's Alexander's eyes
As I romanticise what might have been
If I hadn't sized him up so quickly
At least she's his wife
At least I keep his eyes in my life
A toast to the groom, to the bride
From your sister who is always by your side
To your union and the hope that you provide
May you always be satisfied
And I know she'll be happy as his bride
And I know he will never be satisfied
I will never be satisfied",https://open.spotify.com/track/74mkYwp6R5H1q2pXQEizBC,276
Skate Song,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,7542,"Curtains up, bridges down, all over this town
Moving in, going out, get close without a doubt
Breathing deep outside with arms open wide
Gotta love the sound of all my friends around
I don't wanna end this day
Wanna play the record forever and ever
Long as you will stay
I don't wanna end this day
Wanna play the record forever and ever
Long as you will stay
All night, all night, alright, alright
Forever and ever, long as you will stay
All night, all night, alright, alright
Forever and ever, long as you will stay
Now come back to open doors
Come through mine, I'll go through yours
Feels like home in this crowd
One voice singing loud
Now we know what we have cause we sure missed it bad
Gotta love being free with all the family
I don't wanna end this day
Wanna play the record forever and ever
Long as you will stay
I don't wanna end this day
Wanna play the record forever and ever
Long as you will stay
All night, all night, alright, alright
Forever and ever, long as you will stay
All night, all night, alright, alright
Forever and ever, long as you will stay
Alright
♪
Alright
All night, all night, alright, alright
♪
Forever and ever, long as you will stay
All night, all night, alright, alright
Forever and ever, long as you will stay
All night, alright
Forever and ever, long
All night, alright
Alright",https://open.spotify.com/track/7o3eMCCZpfNBgjlK63Wuw1,195
Smiling,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,14504,"They say that you should leave them wanting
Before somebody's wanting you to leave
I said an hour ago, I was gonna hit the road
Don't know what has gotten into me
A simple get-together, turning into so much better
A moment, becomes a memory
Oh, it's a good goodbye
Hope you had a real good time
Cause I know I'm smiling while I walk away
Hey, feeling alright
Wrapping up a real good night
Cause I know I'm smiling while I walk away
Still laughing now as I remember
Crying at the crazy things we said
(Crying at the crazy things we said)
And I can't make it home
Cause we're still texting on the phone
Dropping bombs and blowing up this thread
I've got a favorite new song
It's that one we played all night long
And now it's spinning in my head
Oh, it's a good goodbye
Hope you had a real good time
Cause I know I'm smiling while I walk away
Hey, feeling alright
Wrapping up a real good night
Cause I know I'm smiling while I walk away
See you again
I'd wanna see you again real soon
See you again
I wanna, make it soon
See you again
See you again
See you again
Make it soon
Oh, it's a good goodbye
Hope you had a real good time
Cause I know I'm smiling while I walk away
Hey, feeling alright
Wrapping up a real good night
Cause I know I'm smiling while I walk away
Goodbye
Goodbye
A good goodbye
Had a good time
I'm smiling while I walk away
Goodbye
Goodbye
A good goodbye
Had a good time
I'm smiling while I walk away
Goodbye
Goodbye
A good goodbye
Had a good time
I'm smiling while I walk away
(Repeat Fade out)",https://open.spotify.com/track/42uzbM2DxqO8a0lirFC3BM,205
Staring,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,88132,"You walked in the room and you arrested me
Ain't no man got the best of me in so long
Try-na keep steady but you got me shook
Wasn't ready for the way you look
I'm so gone
Need something to hold on
You are the headlights and I'm the deer
About to get hit but I'm standing here
Glad I got eyes cuz I get to see
This man in front of me, you got me
Staring
You got me swearing
That I ain't never gonna leave
All I wanna do
Is spend my life standing here staring at you
Staring
You got me swearing
That I ain't never gonna stray
Baby everyday
I'm a be here cuz I can't look away
Mercy, mercy me, your physiology
I got chills over all of me
It's insane
Bet you hear my heart racing from over there
Catch me watching you
I don't care
No shame
Bless me with your name
You are the headlights and I'm the deer
About to get hit but I'm standing here
Glad I got eyes cuz I get to see
This man in front of me, You got me
Staring
You got me swearing
That I ain't never gonna leave
All I wanna do
Is spend my life standing here staring at you
Staring
You got me swearing
That I ain't never gonna stray
Baby everyday
I'm a be here cuz I can't look away
Call me a doctor cuz I'm 'bout to faint
Feel like I'm drunk or I'm sniffing paint
Six feet, dark meat, crispy skin and all
Somebody check my cholesterol
It's just unlawful the way you look
I'll lock you up for that breath you took
From the F to the I to the N to the E
Look what God made for me
You got me
Staring
You got me swearing
That I ain't never gonna leave
All I wanna do
Is spend my life standing here staring at you
Staring
You got me swearing
That I ain't never gonna stray
Baby everyday
I'm a be here cuz I can't look away",https://open.spotify.com/track/2OLypsflvdA2I8qvtAd7Ic,178
Twinkle,Who I Really Am,https://open.spotify.com/album/07D4Uocg83G7iPN8BZVNIh,2025,14677,"Twinkle, twinkle, little black girl star
Dark and lovely shining bright and far
Wouldn't dare call you fair, cause you're too fine
Nothing better than your front, but your behind
Show me, show me, show me your light
Bitsy, bitsy, baby on your climb
When the rain comes down, don't change your mind
You are destined to get to the tip top
Nothing scareder than the sun, than a raindrop
So show me, show me, show me your life
I wanna tell them
Ooh, ooh, ooh
Hey, little star
Ooh, ooh, ooh
(You will buy)
Every diamond ring can make the mocking bird sing
So don't hush about anything
(When you cry)
The Lord always hears you so keep singing to light
(Wear your crown)
On top of the highest hill
Don't tumble like Jack Jill
Right in the water you spill
(Round and round)
Let the wheels of your mind
Claim every nursery rhyme
It's time
Shine, shine, shine
Little star
If you're happy, baby, just say so
Clap your hands and let the whole world know
Don't you dare hold your power and fight it
God gave you joy and don't be hiding
Show me, show me, show me your life
Show me, show me, show me your life
Show me, show me, show me your life",https://open.spotify.com/track/3L3y6tgHOUDijaZ9Egodef,196
