SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
"Ain't Gone 'N' Give up on Love - Live at Montreux Casino, Montreux, Switzerland - July 1985",Live Alive,https://open.spotify.com/album/7pAjlt1BWH880YZhpT1OyW,1987,3894547,"I ain't gone 'n' give up on love...
Love won't give up on me
I ain't gone 'n' give up on love...
Love ain't gone 'n' give up on me
Every tear that I've cried...
Only washed away the fear inside
Now I, I ain't gone 'n' give up on love
Every beat of my heart...
Pounds with joy and not with pain
Every beat of my heart...
Pounds with joy and not in vain
And although those are painful memories...
Only brought me to my knees
I was just given up on love
Little Johnny Taylor told us so long ago
What about the midnight cryin'...
Wo that cheatin' and lyin'
What about the price that will...
Oh surely be paid
Those that gave up on love...
Love will have it's day
I ain't givin' up on love
I ain't gone 'n' give up on love...
Love won't give up on me
I ain't gone 'n' give up on love...
Love won't give up on me
Every time I cry...
Love just won't let me be...
Won't set me free",https://open.spotify.com/track/1vKt1g82KVYVMEwpfRUg4R,384
Ask Me No Questions,In Session,https://open.spotify.com/album/0NVSx5grH054ZMpiOYieyb,1999,1371516,"You go out when you get ready
You come home when you please
You don't ever wanna love me
You think it outta be alright with me
When I try to talk to you, woman
And let you know just how I feel
All you tell me if I don't like it
There's someone else out there will
Oh, I done got wise to you, woman
You're not the only bird that flies in the sky
Or if you don't ask me no questions, darling
You know I, I won't tell you no lie
Because I like love your arms to be 'round me
And your lip to be close to mine
Oh, I want to love you, woman
And be with you all the time
Go ahead
Come on, yes
Come on
♪
I'm comin', yeah
♪
Come on
♪
Oh, I done got wise to you, woman
You're not the only bird that flies in the sky
Oh, they don't ask you no question, darlin'
You know I, I won't tell you no lies
Because I love your arms to be 'round me
And your lip to be close to mine
Hey, I love to love you, woman
And be with you all the time
Now that's good
♪
Whee! (You got it)
You got to play 'til the end to pull on that night",https://open.spotify.com/track/2lLsxW07QzVfneL7Ov2bIT,302
Blues At Sunrise,In Session,https://open.spotify.com/album/0NVSx5grH054ZMpiOYieyb,1999,2879336,"We're gonna take ya way back, ha ha
I said we're gonna take ya way back Ha, ha
(Let's start!)
When the sunrise in the east, lover
It set deeply in the west
(Spoken:
Oh, turn my organ down a-lil' bit so I can croon a lil' bit on ya)
Oh, the sunrise in the east
It set deeply in the west
I've been lookin' for my lover
An' I haven't found her yet
I'm gonna call up China
An' see if my woman's over there
Well, I'm gonna call up China
An' see if my woman's over there
You know, I've searched the whole world over, Lord
I can't find my lover, nowhere (hey-ya)
She won't write me no letter
She won't even call me on the telephone
No, she won't write me no letter
She won't even call me on the telephone
You know I haven't had no real good lovin'
Since that gal-a mine been gone
(Spoken:
I can't see my, engineer
Hey, somebody! (hey, hey)
Where's Mister ...
Well, Ooh!)
Someday baby, hahahaha
You're gonna want me, like I want you
Oh, someday baby, you're gonna want me, like I want you
But when you call me long distance, darlin'
I'll say I have nothing for you to do
Someday baby, you're gonna want me, like I want you
Hey, someday baby, you're gonna want me, like I want you
Oh, but when ya call me on the phone, angel
I'll say I have nothin' for you to do
Woo, thank you!",https://open.spotify.com/track/2iRvnj638AaNON730B5yIs,910
Boot Hill - 1984 Version,Couldn't Stand The Weather (Legacy Edition),https://open.spotify.com/album/5vxBOzakDbJleNA1rbA7FQ,1984,1646493,"Look up on the wall baby, hand me down my shootin' iron
Look up on the wall baby, hand me down my shootin' iron
Call your mother long distance, tell her to expect your body home
If the city don't bury you baby, Lord knows the county will
If the city don't bury you baby, Lord knows the county will
You've made your last mistake, you're goin' way out on Boot Hill
Lord, I don't wanna whacks you darlin', cause you gave my first thrill
Lord, I don't wanna whacks you baby, 'cause you gave me my first thrill
You did me so wrong baby, you're goin' out on Boot Hill",https://open.spotify.com/track/1MaHBd3XxjeYxv054gRNgA,140
Call It Stormy Monday,In Session,https://open.spotify.com/album/0NVSx5grH054ZMpiOYieyb,1999,10795829,"They call it stormy Monday
But Tuesday's just as bad
They call it stormy Monday
But Tuesday's just as bad
Lord and Wednesday's worse
Thursday's oh so sad
The eagle flies on Friday
Saturday I go out to play
The eagle flies on Friday
Saturday I go out to play
Sunday I go to church
I get down to pray
Lord have mercy, lord have mercy on me
Lord have mercy, lord have mercy on me
You know I tryin', tryin' to find my baby
Pleas",https://open.spotify.com/track/20nQpaFVoEMA5aUGD8yn3i,540
Change It - Live,Live Alive,https://open.spotify.com/album/7pAjlt1BWH880YZhpT1OyW,1987,327749,"You can't change it, can't rearrange it
If time is all we got, then baby, let's take it
Lovin' is a lovin', the moment is a-right
It's worth all the years in the past, let's go one more night
Get away from the blind side of life
Honey, I want you to be by my side
Me and my backdoor moves ain't no more, no more
Get away from the blind side of life
Honey, I want you to be by my side
Me and my backdoor moves ain't no more, no more
Get away from the blind side of life
Honey, I want you to be by my side
Me and my backdoor moves ain't no more, no more
Goonight my darlin', another day has passed
Forget all those painful memories, our love's gonna last
Come to me baby, come to me one more time
It's time we we got movin', time to move on
Let's slide out the door, let's slide out the door
Ride our way home, let's glide our way home
Let's go, let's go, let's go, let's go
Let's go, let's go, I've come back for more",https://open.spotify.com/track/3QCQyqnkevfJvs2JLs2qJv,303
Close to You,The Sky Is Crying,https://open.spotify.com/album/7pBJuCKTNKFLf6JztTYv6B,1991,2725819,"I wanna be close to you baby, as I can get
Close to you baby, as water is wet
Close to you baby, as the hair on your head
Close to you baby, you better believe what I said
I wanna be close to you baby
Yeah, let me be close to you
I wanna be close to you darlin'
'Til you don't know what to say or do
I wanna be close to you baby, as white is to rice
Close you you baby, as cold is to ice
Close you you baby, as fire is to smoke
Close you you baby, as a pig is to pork
I wanna be close to you baby
Whoa, let me be close to you
I wanna be close to you darlin'
'Til you don't know what to say or do
I said closer and closer, baby
Closer and closer, baby - ha ha
Closer and closer, baby
Closer and closer, baby
I wanna be close to you, darlin'
'Til you don't know what to say or do
I wanna be close to you baby, as the whites of your eyes
Close to you baby, as cold is to ice
Close to you baby, as an egg is to a hen
Close you baby, as Siamese twins
I wanna be close to you baby
Yeah, let me be close to you
I wanna be close to you darlin'
'Til you don't know what to say or do",https://open.spotify.com/track/2vouRqWVk9C31CNDSMfjP8,191
Cold Shot,Couldn't Stand The Weather (Legacy Edition),https://open.spotify.com/album/5vxBOzakDbJleNA1rbA7FQ,1984,31550903,"Once was a sweet thing, baby
We held that love in our hands
And now I reach to kiss your lips
It just don't mean a thing
And that's a cold shot, baby
Yeah, that's a drag
A cold shot, baby
I've let our love go bad
Remember the way that you loved me
Do anything I say
But now I see you out somewhere
You won't give me the time of day
And that's a cold shot, girl
Yeah, that's a drag
That's a cold shot, baby
We've let our love go bad
♪
I really meant I was sorry
For ever causing you pain
You showed your appreciation
By walking out anyway
And that's a cold shot, baby
Yeah, that's a drag
And that's a cold shot, baby
We've let our love go bad
So sad
Too bad
So sad
Don't let our true love run cold",https://open.spotify.com/track/3QwDN08fGnGfRrsn5wLTej,240
"Come On, Pt. III - 1984 Version",Couldn't Stand The Weather (Legacy Edition),https://open.spotify.com/album/5vxBOzakDbJleNA1rbA7FQ,1984,2590065,"People talkin' but they just don't know...
what's in my heart and why I love you so
I love you baby like a miner loves gold...
come on baby let the good times roll
Let the good times roll...
come on it soothes my soul
Oh let the good times roll...
come on, come on, come on
A lot of people live in make believe...
they keep a lot of dirt up their sleeve
My love baby ain't the kind to fold...
come on baby let the good times roll
Let the good times roll...
♪
come on an' let it roll
Aw yeah...
let it roll...
come on...
let it roll
Our lovin's nice if it's understood...
it's even nicer when you feel so good
You got me flippin' like a flag on a pole...
come on sugar let the good times roll
Oh let the good times roll...
♪
come on let it roll...
come on, come on
Come on, come on...
come on and let it roll",https://open.spotify.com/track/38zQiwO1f8l7wEuCJAp1TC,273
"Couldn't Stand The Weather - Live at The Spectrum, Montreal; August 17 1984 (Late Show)",Couldn't Stand The Weather (Legacy Edition),https://open.spotify.com/album/5vxBOzakDbJleNA1rbA7FQ,1984,656255,"Runnin' through this business of life
Raisin' sand if I'm needed to.
Ain't so funny when things ain't feelin' right.
Then daddy's hand helps to see me through.
Sweet as sugar, love won't wash away.
Rain or shine, it's always here to stay.
All these years you and I've spent together.
All this, we just couldn't stand the weather.
♪
Like a train that stops at every station,
We all deal with trials and tribulations.
Fear hangs the fellow that ties up his years.
Entangled in yellow and cries all his tears.
Changes come before we can grow.
Learn to see them before we're too old.
Don't just take me for tryin' to be heavy.
Understand, it's time to get ready for the storm.",https://open.spotify.com/track/7JiB0PqMjk5Egj2P6PVpy9,293
