SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
"4th of July, Asbury Park (Sandy) - 2008 Remaster",Another Night,https://open.spotify.com/album/37cphYbhQrs9VykbLKjdDO,1975,2723877,"Sandy the aurora is risin' behind us
Those pier lights our carnival life forever
Oh love me tonight for I may never see you again
Hey sandy girl my baby
Sandy the fireworks are hailin' over little eden tonight
Forcin' a light into all those stony faces left stranded on this warm july
And the boys from the casino dance with their shirts open like latin lovers on the shore
Chasin' all those silly new york virgins by the score
Sandy the aurora is risin' behind us
Those pier lights our carnival life forever
Oh love me tonight and I promise I'll love you forever
Oh I mean it sandy girl oh my baby
Hey sandy girl my baby
Sandy the waitress I was seein' lost her desire for me
I spoke with her last night she said she won't set herself on fire for me anymore
Did you hear the cops finally busted madame marie for tellin' fortunes better than they do
For me this boardwalk life is through you ought to quit this scene too
Hey sandy girl oh my baby
Hey sandy girl my baby",https://open.spotify.com/track/6qlBoDiQ9pH1lbJzrRKLOA,251
A Little Thing Like Love - 1999 Remaster,Distant Light (Expanded Edition),https://open.spotify.com/album/0zoquAfzZquEJIos24KUJr,1971,248946,"Took you from Dakota
From the Black Hills to the plains
I brought you up a lady
And the right way to behave
Turned my pockets inside-out
And not a dime was saved
And now you're trying to decide
Whether to go or stay
Don't let a little thing like love
Keep on bringing you down, my babe
Or ever change the plans you made
Don't let a little thing like tears
Keep on turning you 'round, my babe
You're old enough to change your ways
And if you're feeling all run down,
You look for the brighter lights uptown
Don't let a little thing like me
Ever stand in your way
♪
Took you on a fast train
Across the Rio Grande
A Mexicano wedding
With a Tijuana band
You blew my whole life savings
And all the gold I'd panned
So if you're trying to find a way
To say your sweet goodbyes
Don't let a little thing like love
Keep on bringing you down, my babe
Or ever change the plans you made
Don't let a little thing like tears
Keep on turning you 'round, my babe
You're old enough to change your ways
And if you're feeling all run down,
You look for the brighter lights uptown
Don't let a little thing like me
Ever stand in your way
♪
You're old enough to change your ways
And if you're feeling all run down
You look for the right to light the town
Don't let a little thing like me
Ever stand in your way
♪
Don't let a little thing like love",https://open.spotify.com/track/2jc3QWLswweXjrv5JOYOiZ,199
A Taste of Honey - Mono - 2011 Remaster,Hollies Sing Hollies (Expanded Edition),https://open.spotify.com/album/4E3pPHbduq4ldkGL9oLZF0,1969,29428,"A taste of honey
Tastin' much sweeter than wine
Yours was the kiss that awoke my heart
And lingers still, though we're far apart
A taste of honey (Honey, honey)
Tastin' much sweeter
I dream of your first kiss and then
I feel upon your lips and then
A taste of honey (Honey, honey)
Tastin' much sweeter
I will return, yes, I will return
I'll come back for the honey
I will return, yes, I will return
I'll come back for the honey
And you
Whoa, whoa, whoa, whoa, whoa, you
Whoa, whoa, whoa, whoa, whoa, you
Whoa, whao, whoa, whoa, whoa, you",https://open.spotify.com/track/6cFOYDd3QUWK8Ai4MxkOSn,130
All I Really Want to Do,Words and Music By Bob Dylan,https://open.spotify.com/album/65LI99lf0f7hmm8Nz3kGMh,1969,2241,"All I really want to do
Is, baby, be friends with you
I don't want to compete with you
Beat or cheat or mistreat you
Classify ya, simplify ya
Deny, defy or crucify you
All I really want to do
Is, baby, be friends with you
Baby, be friends with you
No, I ain't lookin' to fight with you
Frighten you, uptighten you
Bring you down or chain you down
Drag you down or bring you down
All I really want to do
Is, baby, be friends with you
Baby, be friends with you
All I really want to do
Is, baby, be friends with you
I don't want to meet your kin
Make you spin or do you in
Or select you or dissect you
Or respect you or reject you
All I really want to do
Is, baby, be friends with you
Baby, be friends with you
Baby, be friends with you
Baby, be friends with you
Baby, be friends with you
Baby, be",https://open.spotify.com/track/7MLK17RMM5HYyHb0uOL7uO,141
Amnesty,A Crazy Steal,https://open.spotify.com/album/03mlCaPRHqgCHSZ17qFo63,1978,43285,"Love is the sweetest amnesty
Floats like a cloud between the sky and sea
I'll give it to you
Could you please give it to me
Love is the sweetest amnesty
Given by the powers
Then let us be
I'll give it to you
Could you please give it to me
'Cos I need you
We can talk
We can see
If we disagree we do it honestly
Let our lovin' be
The sweetest amnesty
Between you and me
There's bound to be
Some conscientious objection
Our spirits dressed in mystery
Speak solely through affection
Between you and me
There's bound to be
Some conscientious objection
Our spirits dressed in mystery
Speak solely through affection
Love is the sweetest amnesty
Floats like a cloud between the sky and sea
I'll give it to you
Could you please give it to me
'Cos I need you (need you)
We can talk
We can see
If we disagree we do it honestly
Let our lovin' be
The sweetest amnesty
Let our lovin' be
The sweetest amnesty",https://open.spotify.com/track/1Os9YyWz0cctAsd3oqcVA6,219
Another Night - 2008 Remaster,Another Night,https://open.spotify.com/album/37cphYbhQrs9VykbLKjdDO,1975,428276,"Out on the town
Kicking around feeling bluesy
It's getting late
I can't afford to be choosy
Should be home and dry by now
Tried every trick in the book, but
Another night
Saturday night and I'm losing
Another night
Saturday night and I'm losing
The DJ plays a song from the past I remember
I hold her tight in my arms, she surrenders
It's the same old record playing
But it's a different girl that's swaying
Another night
Saturday night and I'm losing
Another night
Saturday night and I'm losing
As we move ""round the room
Whispering things with my eyes closed
It feels that you're here
Then the music stops
I open my eyes
My fantasy ends
We're not even friends
So leave me to
Catch my ride
Pay my fare on my way home
The same thing
Every week on my own
Next time around
You might be there
My luck might change
But until then
Another night
Saturday night and I'm losing
Another night
Saturday night and I'm losing
Another night
Saturday night and I'm losing
Another night
Saturday night and I'm losing",https://open.spotify.com/track/7KDPgVKkCvghe221XGuhT0,237
Away Away Away - Mono,Butterfly (Expanded Edition),https://open.spotify.com/album/5xDiuWoLbWNo1fAYjpFJWK,1967,63089,"I couldn't leave you if I tried
There would be no place I could hide
Away, away, away from you
When we are walking hand-in-hand
Throwing a shell across the sand
It's grand, so grand to hold your hand
Nobody there except the two of us
Digging what we see
Wouldn't it be so nice to drag your feet
In the edge of the sea?
So we are staying where we are
All of our problems seem so far
Away, away, away, away
Nobody there except the two of us
Digging what we see
Wouldn't it be so nice to drag your feet
In the edge of the sea?
So we are staying where we are
All of our problems seem so far
Away, away, away, away
Nobody there except the two of us
Digging what we see
Wouldn't it be so nice to drag your feet
In the edge of the sea?
So we are staying where we are
All of our problems seem so far
Away, away, away, away
Away, away, away, away
Away, away, away, away
Away, away, away, away",https://open.spotify.com/track/4FpbDqqLTacbwZGX7zp276,145
Baby Don't Cry,Stay With the Hollies,https://open.spotify.com/album/1pFVm3MAKE8i9H3z2WgXGY,1964,68084,"I've got a girl, she's crazy about me
She'll go down in history
Twenty four hours of every day she'll cry
So baby, don't
Baby, don't cry
Oh, baby, don't
Baby, don't cry
Dance a little, shake a little
You can even twist and shout
But baby, don't cry
Baby, don't cry
Everytime we say good night
As I go to hold her tight
Never get to kiss her 'cause she'll cry
So baby, don't
Baby, don't cry
Oh, baby, don't
Baby, don't cry
Dance a little, shake a little
You can even twist and shout
But baby, don't cry
Baby, don't cry
♪
Does she love me?
Yes or no?
Will she ever tell me so?
She just hasn't got the time, she'll cry
So baby, don't
Baby, don't cry
Oh, baby, don't
Baby, don't cry
Dance a little, shake a little
You can even twist and shout
But baby, don't cry
Baby, don't cry
Dance a little, shake a little
You can even twist and shout
But baby, don't cry
Baby, don't cry
♪
One, two, three, four",https://open.spotify.com/track/24PuxDeLMFNHYsZkBO8XQm,130
Blowin' in the Wind - 1999 Remaster,Hollies Sing Dylan (Expanded Edition),https://open.spotify.com/album/73xOjgzTA5cqnAVYsq4egl,1969,2767469,"How many roads must a man walk down
Before you can call him a man?
And how many seas must a white dove sail
Before she can sleep in the sand?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
♪
Well, how many times must a man look up
Before he can see the sky?
And how many ears must one man have
Before he can hear people cry?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
♪
Well, how many years can a mountain exist
Before it's washed to the sea?
And how many years can some people exist
Before they're allowed to be free?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
♪
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
In the wind
In the wind
In the wind
♪
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
In the wind
In the wind
In the wind",https://open.spotify.com/track/4NO1RgryZJjVI1TBfsnTc3,252
Boulder to Birmingham,A Crazy Steal,https://open.spotify.com/album/03mlCaPRHqgCHSZ17qFo63,1978,1995004,"I don't wanna hear your love song
I got on this aeroplane just to fly
And I know there's life below me
But all that you can show me
Is the prairie and the sky
And I don't wanna hear a sad story
Full of heartbreak and desire
The last time I felt like this
I was in the wilderness
And the canyon was on fire
And I stood on the mountain
In the night and I watched it burn
I watched it burn
I watched it burn
I would rock my soul
In the bosom of Abraham
I would hold my life
In his saving grace
I would walk all the way
From Boulder to Birmingham
If I thought I could see
I could see your face
Well, you really got me this time
And the hardest part is knowin' I'll survive
I've come to listen for the sound
Of the trucks as they go down
Out on ninety-five
And pretend that it's the ocean
Comin' down to wash me clean
To wash me clean
Baby, do you know what I mean?
I would rock my soul
In the bosom of Abraham
I would hold my life
In his saving grace
I would walk all the way
From Boulder to Birmingham
If I thought I could see
I could see your face
I would rock my soul (I wanna rock, I wanna rock my soul)
In the bosom of Abraham (In the bosom of Abraham)
I would hold my life (Gonna hold my life)
In his saving grace (In his saving grace)
I would walk all the way (Gonna walk all the way)
From Boulder to Birmingham (From Boulder to Birmingham)
If I thought I could see
I could see your face
I would rock my soul (Rock my soul)
In the bosom of Abraham (In the bosom of Abraham)
I would hold my life (I would hold my life)
In his saving grace (In his saving grace)
I would walk all the way
From Boulder to Birmingham",https://open.spotify.com/track/08GF7g2XBo8Izm03SKWDha,238
