SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
We Don't Talk Enough,We Don't Talk Enough,https://open.spotify.com/album/1E9Q39TqWoZnYF08dHuzIR,2020,2427490,"Down and now I'm flyin'
I'm okay, okay
There's somethin' that I'm dyin'
To say, to say
We don't talk enough, no, no
It's only been an hour or so
My heart's workin' on this shit
That my head wants me to quit
'Cause we don't talk enough, no, no
We don't really talk enough
We don't really talk enough
Maybe that could solve so much
I know we haven't talked
But I think we don't talk enough
♪
But I think we don't talk enough
♪
Put it down to timin'
Behave, behave
Give me points for tryin'
Look my way, my way
We don't talk enough, no, no
It's only been an hour or so
My heart's workin' on this shit
That my head wants me to quit
'Cause we don't talk enough, no, no
We don't really talk enough
We don't really talk enough
Maybe that could solve so much
I know we haven't talked
But I think we don't talk enough
I know we haven't talked
But I think we don't talk enough
I know we haven't talked
But I think we don't talk enough
♪
But I think we don't talk enough",https://open.spotify.com/track/62yfWgcfq5sYDcDkxfYZvV,180
Let Us Love,Let Us Love,https://open.spotify.com/album/2znIiVu8XHg4Drlcctgmzs,2019,8931194,"Hey, you there
I can see that you are so unaware
But your eyes, they know
It's better if you gave him all the control
'Cause we got something special, you and I
And all the people in here's trying to find it
Yeah, you deserve attention and I won't mind
If we gave, if we gave it a try
Even if we're not in love tomorrow
Maybe we're not meant to be for life
Even if it's not the same tomorrow
Let us love, let us love here tonight
Even if we're not in love tomorrow
Maybe we're not meant to be for life
Even if it's not the same tomorrow
Let us love, let us love here tonight
'Cause I got a feeling (feeling)
You want it babe (want it babe)
Let us, let us love tonight
'Cause I got a feeling (feeling)
You want it babe
Let us love, let us love here tonight
Free your mind
Let the rhythm take over for a while
It's what you need
So why don't you move your body closer to me?
'Cause we got something special, you and I
And all the people in here's trying to find it
Yeah, you deserve attention and I won't mind
If we gave, if we gave it a try
Even if we're not in love tomorrow
Maybe we're not meant to be for life
Even if it's not the same tomorrow
Let us love, let us love here tonight
Even if we're not in love tomorrow
Maybe we're not meant to be for life
Even if it's not the same tomorrow
Let us love, let us love here tonight
'Cause I got a feeling (feeling)
You want it babe (want it babe)
Let us, let us love tonight
'Cause I got a feeling (feeling)
You want it babe
Let us love, let us love here tonight
Even if we're not in love tomorrow
Maybe we're not meant to be for life
Even if it's not the same tomorrow
Let us love, let us love here tonight",https://open.spotify.com/track/2Ln8KzONjBfBYoap9lNh7W,182
Island,Island,https://open.spotify.com/album/0QxjJVRmuztdSeM0IwkOHt,2023,1305095,"I've gone places where I shouldn't go
I've kissed faces that I don't belong to
I don't belong to the marks that they left on my soul, oh no
I've gone crazy for less, you know
Summer's changing and my heart is open
My heart is open to more than I thought it was capable of
Tide high, feels like we're drownin' 'cause I want more
Hold tight, baby, I'm dyin' to feel like before
I want you to rock this boat
Pull me in nice and slow
Teach me to ride the waves as we go
And I'll be your island
My heart is open
My heart is open
My heart is open to more than I thought it was
My heart is open
My heart is open
My heart is open to more than I, than I, than I
♪
I've seen memories that fill in the sky
I've heard stories that I can't hold on to
I can't hold on to the scars, paint them over in time, oh no
I want you to rock this boat
Pull me in nice and slow
Teach me to ride the waves as we go
And I'll be your island, oh yeah
I'll be your island
And I'll be your island, oh yeah
My heart is open
My heart is open
My heart is open to more than I thought it was
My heart is open
My heart is open
My heart is open to more than I thought that it
♪
And I'll be your island",https://open.spotify.com/track/5QI0UFUWuRVtDi4MlwImXm,165
Take This Ride,V,https://open.spotify.com/album/19pnnR3EjDy4mtt26BX2gB,2018,34615184,"Feels like I've lost my way
I hadn't slept in days
Another drink, another day
Another girl that didn't care
There was no heart to break
But she woke a feeling
Something I never thought I had in me
She's surely too good for me
I keep telling myself
O-oh, don't you dare choke now
She's seen all your worst behavior
But she still don't wanna change her soul
So don't fuck this up now
Look in her eyes, cause this is where your future lies
'Cause this is where your future lies
♪
She hears what's in my head
Those thoughts I've never said
When everyone was scared to feel
Me and her, we kept it real
And they tell me love is dead
But she found a feeling
Something she always feel I had in me
She's surely too good for me
Saying over again
Don't you dare choke now
She's seen all your worst behavior
But she still don't wanna change your soul
So don't fuck this up now
Look in her eyes, cause this is where your future lies
'Cause this is where your future lies
♪
I can't think, where I'd be
What if that day she took a different street
Whenever we take this right
I know this is where my future lies
♪
'Cause this is where your future lies
'Cause this is where your future lies",https://open.spotify.com/track/1bjd4UgjnK5hedJJKmi3YP,203
Be Your Friend,V,https://open.spotify.com/album/19pnnR3EjDy4mtt26BX2gB,2018,139046009,"I recall when
We were young and
Never cared 'bout a thing, woah
We were fire
Perfect liars
We were gone with the wind
Everybody wants to know what
Different really means
And everybody tries to be like us
But some things they could never be
'Cause we will never
Turn our hearts away
You and I
I will be your friend
All my life
If I lose my way
I'll be fine
'Cause you won't let me go
You won't let me go
You won't let me
Turn our hearts away
You and I
I will be your friend
All my life
If I lose my way
I'll be fine
'Cause you won't let me go
You won't let me go
You won't let me
♪
You won't let me
You won't let me go
You won't let me go
You won't let me
Just like cold play
You will fix me
When I'm down at a low
No more guessing
Where we fit in
'Cause we know where to go
Everybody wants to know what
Different really means
And everybody tries to be like us
But some things they could never be
'Cause we will never
Turn our hearts away
You and I
I will be your friend
All my life
If I lose my way
I'll be fine
'Cause you won't let me go
You won't let me go
You won't let me
Turn our hearts away
You and I
I will be your friend
All my life
If I lose my way
I'll be fine
'Cause you won't let me go
You won't let me go
You won't let me
♪
You won't let me
♪
You won't let me
♪
You won't let me
'Cause you won't let me go
You won't let me go
You won't let me",https://open.spotify.com/track/5AdfJ3SoWUHEBhTtLcqHaW,180
Friday Night,Friday Night,https://open.spotify.com/album/3L7dWkpi2vNPu3qiskT6Yj,2017,175263956,"Friday night
Put my backpack on to do my thing
But the bouncer wouldn't let me in
He just stood there with a stupid grin
Last time I went on cryin', but I kept tryin'
'Cause he don't know the moves that I'm supplyin'
I'll take my glasses, I'm gonna bounce back up
And kick some asses, I've waited long enough
You think you own me, you don't control me
You think you hurt me sayin' that I'm freaky
You're just a fake, I'm here to stay
Just 'cause I'm different, I shouldn't walk away
You think you own me, me, I control you, baby
You think you own me, me, I control you, baby (okay)
Own me, me, I control you, baby
You think you own me, me, I control you, baby
You're a freak
Don't belong 'cause you're alone and weak
But I'm just as cool as I am geek
Mr. Power, I am all on fleek
And this time I won't be cryin', no, I'm not buyin'
You know the slide as the moves that I'm supplyin'
I'll take my glasses, I'm gonna bounce back up
And kick some asses, I'm 'bout to call your bluff
You think you own me, you don't control me
You think you hurt me sayin' that I'm freaky
You're just a fake, I'm here to stay
Not gonna be that geek who walked away
You think you own me, you don't control me
You think you hurt me sayin' that I'm freaky
You're just a fake, I'm here to stay
Just 'cause I'm different, I shouldn't walk away
You think you own me, me, I control you, baby
You think you own me, me, I control you, baby (okay)
Own me, me, I control you, baby
You think you own me, me, I control you, baby
Own me, me, I control you, baby
You think you own me, me, I control you, baby
Own me, me, I control you, baby
You think you own me, me, I control you, baby",https://open.spotify.com/track/78zc6DT7A2ccehmIqef9mT,173
Dad Are You Listening?,Dad Are You Listening?,https://open.spotify.com/album/5Z256fVdSlgJaIvM5QFJGN,2022,2018964,"Never thought I would right my wrongs
Here I am with the life I've loved
Dad, are you listening?
I said, ""Dad, are you listening?""
No I've not been the greatest kid
I ran fast after troubles I did
Dad are you listening?
I said, ""Dad, are you listening?""
Look at us now, where we are
You and me said we'll go far
I just wanted you to know
Wherever I go, you go
♪
Wherever I go, you go
♪
Wherever I go, you go
No one can make it out alive
But you taught me to live my best life
So mom, are you listening?
I said, ""Mom, are you listening?""
Yeah you told me to always be kind
Never leave anybody behind
So mom, are you listening?
I said, ""Mom, are you listening?""
Look at us now, where we are
You and me said we'll go far
I just wanted you to know
Wherever I go, you go
♪
Wherever I go, you go
Look at us now, where we are
You and me said we'll go far
I just wanted you to know
Wherever I go, you go",https://open.spotify.com/track/3xNZE1emasCuhWItmQU4Zu,170
Pong Dance,Pong Dance,https://open.spotify.com/album/4IKH5abUhMLxIuy9wZS3uB,2016,146543112,"Been away for college, was the baddest geek around
He's been doing everything but make his parents proud
He tried his best to study hard but still, he got too drunk
Won lots of beer pong tournaments but still, he had to flunk
His ex-girlfriend got a girlfriend
His barbie tried a female Ken
But when the white ball hits the red cup
He's the baddest fucker in the frat club
♪
Then he does the pong dance
The the the the pong dance
He does the pong dance
The the the the pong dance
♪
He'd never touched a cigarette, but tried to smoke a joint
He coughed and soon he felt regret, just screaming ""What's the point?!""
And every time he saw this girl his face would turn to red
Even though he told the guys he got her into bed
But when you see him at the table
He turns out to be rather stable
And when the white ball hits the red cup
He's the baddest fucker in the frat club
Then he does the pong dance
♪
Then he does the pong dance",https://open.spotify.com/track/0DBTrH6kBbF8CzNVcu5MQR,157
Let's Escape,Let's Escape,https://open.spotify.com/album/1YZOZQDH2YSBVWyUiwYKfi,2016,12882332,"Friday night is coming and we saved that money yah
We save that money ah,
Friday night is coming and we saved that money yah
Save that money ah, save that money ya
Friday night is coming and we've saved that money yah!
Saturday will be the day when we fill our cups
Travel to the city, and the city is where will be
Looking for the party that we'll never gonna leave
Now we are getting out of work
and we just got paid
trynna find somebody
let me hear you say
Now getting out of work
and I've just got paid
will you be my salvatory
Let's escape
♪
Let's escape
♪
Friday night is coming and we've saved that money ah!
Saturday will be the day when we will fill our cups
Travel to the city, and the city is where will be
Looking for the party that we'll never gonna leave
So let's fill our cups and drink today
There's nothing left at all
Oh DJ please believe me if you owe me play my song
I'm gonna forget all about the things I'm never gonna do
Gonna find someone to love me
Yeah, this I know it's true,
Baddest will be you
♪
Let's escape
oh oh oh oh oh oh oh oh
Let's escape",https://open.spotify.com/track/2jnpyo0nIUkQYVlB75Gu88,142
Follow,Follow,https://open.spotify.com/album/3YrFyf8XpoG8VVc4gUmYQj,2020,2227334,"She said I'm trouble and I know
I'm just a fuck up feeling low
Not even Chris could fix me now
So can I stay a while
He said I'm no good and it's true
A sinking ship without a crew
And if you let me hang around
We'll burn the past right down to the ground
I'm gonna follow where you go
Down every valley broken road
Through every wild and lonely night
Hold me tight
Wherever you go I will follow
Whooooo
Follollollollow
Whooooo
Follollollollow
Whooooo
Follolloll
Ollow
Whooooo
Follollollollow
A different day a different crime
I'll do my best I'll walk the line
A naked flame out in the cold
Is gonna guide you home
They say we're no good and it's true
A sinking ship without a crew
And if you let me hang around
We'll burn the past right down to the ground
I'm gonna follow where you go
Down every valley broken road
Through every wild and lonely night
Hold me tight
Wherever you go I will follow
Whooooo
Follollollollow
Whooooo
Follollollollow
Whooooo
Follolloll
Ollow
Whooooo
Follollollollow
Whooooo
Follollollollow
Whooooo
Follollollollow
Whooooo
Follolloll
Ollow
Whooooo
Follollollollow",https://open.spotify.com/track/4dKHVablxFjf9r6JQQKfQV,178
