SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Fountains (with Tems),Certified Lover Boy,https://open.spotify.com/album/3SpBlxme9WbeQdI9kx7KAV,2021,223138899,"How do you know the way I feel?
You got me losing my mind, oh
♪
Try to suppress my emotions
They're bursting like fountains, baby
They take me up, they take me down
I'm getting weak in my knees, oh
I got nothing to admire, taste certain
Baby, longing you make me feel something
I got my eyes on you, pull down the curtain
I'll be patient with you, no more fighting
Oh, baby
Come in, come in, yeah, come in
I cannot fathom this life without you
Woah, oh, come in, come in, yeah, come in
This feels like home now
Come in and stay here, baby
Baby, baby
Baby, baby
♪
I feel you in my mind
I wanna dance tonight
It's in the air tonight, yeah, yeah, yeah
You know it's all your fault
No, I don't want to say, no
You've broken down the door
Don't make me go, no
I just wanna hold you
I need no control, no
Would you let me love you, me love you?
It's all over
I lost my composure
I got love to show you
Would you let me love you, me love you, baby?
I got nothing to admire, taste certain
Baby, longing you make me feel something
I got my eyes on you, pull down the curtain
I'll be patient with you, no more fighting
Oh, baby
Come in, come in, yeah, come in
I cannot fathom this life without you
Woah, oh, come in, come in, yeah, come in
This feels like home now
Come in and stay here, baby
Baby, baby",https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z,192
Wednesday Night Interlude,If You're Reading This It's Too Late,https://open.spotify.com/album/0ptlfJfwGTy0Yvrk14JK1I,2015,104090799,"Been a minute since we've slept together
Gotta get myself together
I've been thinkin' about everything
I don't know if it's because I'm lonely
Lonely on a Wednesday night
Girl I'm lonely
I'll admit it if you just keep quiet
Girl I'm lonely
That shit ain't my fault girl
Cause I'm lonely
Name another woman, ain't no other woman who should come for me
When I'm lonely
Mix the Remy, little bit of Henny
I'm running on empty, I'm lonely
When I'm lonely, when I'm lonely
♪
Heard you spend your summers in Miami
At somebody's house
That you didn't buy
You're young so have fun girl
I hope it's worth it
Cause fuck it I'm not here to judge
Fuck it I'm not here to love
Everything you did to ball
Fuck it, I'm just glad you called
Ring ring ring, what a thing
Ring ring ring, school bell I ring
You and I got options there
Name another woman
Ain't no other woman that should come for me when I'm lonely
When I'm lonely
Mix the Remy with a little bit of Henny
I'm running on empty, I'm lonely
When I'm lonely, when I'm lonely
♪
This shit ain't my fault",https://open.spotify.com/track/6oLHyWvmk6bKrA91EIYZBp,212
Too Much,Nothing Was The Same (Deluxe),https://open.spotify.com/album/5mz0mJxb80gqJIcRf9LGHJ,2013,229672849,"Let's try it one more time
Cool
Don't think about it too much, too much, too much, too much
There's no need for us to rush it through
Don't think about it too much, too much, too much, too much
This is more than just a new lust for you
Oh, don't think about-
Done sayin' I'm done playin'
Last time was on the outro
Stuck in the house, need to get out more
I've been stackin' up like I'm fundraising
Most people in my position get complacent
Wanna come places with star girls, and they end up on them front pages
I'm quiet with it, I just ride with it
Moment I stop havin' fun with it, I'll be done with it
I'm the only one that's puttin' shots up
And like a potluck, you need to come with it, don't run from it
Like H-Town in the summertime, I keep it 100
Met a lot of girls in my times there
Word to Paul Wall, not one fronted
I was birthed there in my first year
Man, I know that place like I come from it
Backstage at Warehouse in '09 like ""Is Bun comin'?
Fuck that, is any one comin' 'fore I show up there and there's no one there?""
These days, I could probably pack it for like twenty nights if I go in there
Back rub from my main thing, I've been stressed out
Talkin' to her like, ""Back then they didn't want me, I'm blessed now""
Talkin' to her like, ""This drop, bet a million copies get pressed out""
She tell me, ""Take a deep breath, you're too worried about bein' the best out""
Don't think about it too much, too much, too much, too much
There's no need for us to rush it through
Don't think about it too much, too much, too much, too much
This is more than just a new lust for you
Oh, don't think about it-
Uh, someone go tell Noel to get the Backwoods
Money got my whole family goin' backwards
No dinners, no holidays, no nothin'
There's issues at hand that we're not discussin'
I did not sign up for this
My uncle used to have all these things on his bucket list
And now he's actin' like ""Oh well, this is life, I guess"", nah, fuck that shit
Listen man, you can still do what you wanna do, you gotta trust that shit
Heard once that in dire times when you need a sign, that's when they appear
Guess since my text message didn't resonate, I'll just say it here
I hate the fact my mom cooped up in her apartment
Tellin' herself that she's too sick to get dressed up and go do shit
Like that's true shit
And all my family from the M-Town that I've been 'round
Started treatin' me like I'm ""him"" now
Like we don't know each other, we ain't grow together, we just friends now
Shit got me feelin' pinned down, pick the pen up or put the pen down
I'm writin' to you from a distance like a pen pal, but we've been down
Don't think about it too much, too much, too much, too much
There's no need for us to rush it through
Don't think about it too much, too much, too much, too much
This is more than just a new lust for you, oh-whoa
Don't think about it too much, too much, too much, too much
There's no need for us to rush this through, oh-oh
Don't think about it too much, too much, too much, too much
This is more than just a new lust for you, oh, oh
Don't feel like you give up when your heart stop
You're loved up, don't give up
Don't fake it, don't have to
You say I-, you say it now",https://open.spotify.com/track/4XKBoqWQjPdNM4t0znWu7E,261
BackOutsideBoyz,Her Loss,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6,2022,144567432,"BackOutsideBoyz, toting a 70 on the strip, I'm ready to die (die)
Cutting the traction, bending the corner, bet I make shit glide (shh)
Tried to bring the drama to me, he ain't know how we cha-cha slide (yeah)
I'll never lose sleep over no bitch, way too much pride (yeah, yeah, yeah)
Fill it up in a briefcase, split this shit with the vibes (yeah, yeah, hm, hm, hm)
Breaking a Brink's truck, my right wrist Van Cleef (Cleef)
I spent days in the East tryna figure if I'm geeked ('kay)
This bitch tweaking, talked too much while I was geeked, blew my peep (brr)
Fuckin' rap niggas' hoes, I'm on the street, this shit sweet (hey)
I went half a million on Rosé, did four million on my ice (hey, hey)
Couple million on my cars, I went Tyson, I'm too nice (hey, hey)
Nigga stopped me on the street, wanted to talk, so he asked my price (yeah, hey, 'kay)
The number was high as me, I ain't gon lie (yeah, okay)
I was fuckin' with this lil' woe, I think she bi (bi)
Tweakin', the 6 God is comin' back (brr)
BackOutsideBoyz, toting a 70 on the strip, I'm ready to die (okay)
Cuttin' the traction, bending the corner, bet I make shit glide (hm)
Tried to bring the drama to me, he ain't know how we cha-cha slide (hm, slide)
I'll never lose sleep over no bitch, way too much pride (brr, brr)
Fill it up in a briefcase, split this shit with the vibes (hm, hm, uh, hm, hm, let's go)
I'on know nothin' 'bout no crime or no news
I'm an owl, but I'll never tell you who (who)
Wagon when she walk, she get on planes, it take up two (go)
My member just got out, he still on papers, still'll shoot (shoot)
Shoot, ayy (shoot it up)
Still'll shoot (shoot up, brrt, shit)
Love on me, stay down just like a root (just like a root)
She a ten tryna rap, it's good on mute, yeah (it's good on mute, shh)
It's financial, girl, I got the loot, ayy, yeah (I got the loot)
For the bands, lil' bae, what you gon' do? Yeah (oh, what you do?)
Tropicana, that shit there the juice, yeah (juice)
I'm the president, some Secret Service shit, we down to dump (brrt)
Yeah, who the president? I never voted once, ayy, yeah
If I did, I would vote Teanna Trump, ayy, yeah (hm, go)
If you play with me, I'm backin' out that one (backin' out that one)
I treat mil' tickets like a hundred racks (let's go)
Tweakin', the 6 God is coming back (damn, damn, okay)
BackOutsideBoyz, toting a 70 on the strip, I'm ready to die (die)
Cuttin' the traction, bendin' the corner, bet I make shit glide (shh)
Tried to bring the drama to me, he ain't know how we cha-cha slide (yeah)
I'll never lose sleep over no bitch, way too much pride (yeah, yeah, yeah)
Fill it up in a briefcase, split this shit with the vibes (yeah, yeah, hm, hm, hm)",https://open.spotify.com/track/0wshkEEcJUQU33RSRBb5dv,152
Live From The Gutter,What A Time To Be Alive,https://open.spotify.com/album/1ozpmkWcCHwsQ4QTnxOOdT,2015,123487141,"Hendrix ah, ah
♪
I woke up like this
Reporting live from the fucking gutter bitch
I ain't talking about some real money shit
I ain't talking nothin' but big money shit
I ain't talking nothin' but big money bitch
Reporting live from the gutter
I'll buy these motherfuckers talking big money shit bitch
Straight up out the gutter, never had shit
Now we got 90210 on our address
Talking 10 mill just to get an asset
I know them tears did on my last bitch
The money made me hungry I'm a savage
I've seen stars lining up you can't imagine
I watched my broad give up on me like I'm average
I went back inside the attic count it up and started laughing, ha
I went back inside the attic count it up and started laughing, ha
Cuban links hanging on my wrist I was on welfare
Wake up in the house I look around see bales everywhere
I see girls everywhere, I see scales everywhere
I see hell everywhere, I get mail everywhere
Walked outside Buford County came out in a Learjet
A fiend for that lean I ain't even started drinking beer yet
The pussy I trap out I need that
Came out clean, I ain't clean my shit still there
Just imagine you was living lavish and they still there
Walk up in the crib look pools sitting on the hill now
I just need some niggas with me that will keep it real yeah
Got a lot of pretty bitches I just paid their bills now
Money make me feel good but does she make me feel good
Known for gettin' that guala out in europe while we're still hood
Known to pop a bottle on a motherfucker like I'm on my last damn dollar
Reporting live from the fucking gutter bitch
I ain't talking about some real money shit
I ain't talking nothin' but big money shit
I ain't talking nothin' but big money bitch
Reporting live from the gutter, I will buy this motherfucker
It's not even a discussion (whoop)
And I got my niggas with me, yeah, yeah
She gon' end up dipping with me, yeah, yeah
And I got her tripping off of yay, yay
Pillow talking dishing out on all y'all
In one ear and out the other
Shut your mouth and take what's coming
Live from the gutter dog, yeah, yeah
She don't want pets but I'm a dog, yeah, yeah
And she love it dog, yeah, yeah
And she love it dog, yeah, yeah
On the Billboards, all we do is pop shit
Soon as that night fall, that's when we lock in
This for my niggas on that bullshit and that nonsense
This for my dogs who go Karrueche with the chopsticks
And we gon miss you
They don't wanna smoke they don't want no issue
But these the times we gotta live through
But these the times we gotta live through
And I'm...
Reporting live from the fucking gutter
I ain't talking about some real money shit
Reporting live from the damn gutter
Swear to god I'll buy this motherfucker ahh",https://open.spotify.com/track/2uTG00P1DkhB97pdITkl2O,211
No Friends In The Industry,Certified Lover Boy,https://open.spotify.com/album/3SpBlxme9WbeQdI9kx7KAV,2021,266941135,"No friends in the industry
My brothers been my brothers
Man, you niggas ain't no kin to me, a fact (woah)
Yeah, you heard about me, you don't know me more than that
Yeah, I know I-
Hey, hey, yeah
No friends in the industry
My brothers been my brothers
Man, you niggas ain't no kin to me, a fact (woah)
I was known for snappin' when I chat before the app
Stood on everything I said and never took it back (woah)
No friends in the industry
I had to draw the line between my brothers and my enemies, a fact
Niggas love to start the beef, don't wanna keep it rap
Yeah, he hit us up and now we owe you something back
See, I was young angel but these niggas turned me evil
Yeah, I know, I know you but you really ain't my people
Yeah, I heard some people say they know 'em as my equal
Truth be told, I son these niggas, girl, I don't compete with 'em
Ask about The Boy and they gon' say they got the streets with him
Niggas so offensive knowin' they don't have no defense
Why they always act like we can fix it with a meeting?
All that linking up man, I'ma see ya when I see ya
Yeah, yeah, yeah
Brothers with my brothers
Man, you niggas ain't no kin and that's a fact (ayy)
And I'm like Sha'Carri, smoke 'em on and off the track (ayy)
And you left that hoe wit' me, I put her on the back
You get Drizzy on a track, he'll put you on the map
Oh, it's like that? Hell yeah, it's like that, ayy
And I got a contract, it's a max, ayy
Since I got in contact, she attached
When I signed my first deal, that shit came through a fax
That should let you know how long I been out here runnin' laps
(I been doin' this for a long time)
Yeah, no friends in the industry
My brothers been my brothers
Man, you niggas ain't no kin to me, a fact (woah)
I was known for snappin' when I chat before the app
Stood on everything I said and never took it back (woah)
No friends in the industry
I had to draw the line between my brothers and my enemies, a fact
Niggas love to start the beef, don't wanna keep it rap
Yeah, he hit us up and now we owe you something back
♪
(Ayy, what?)
Damn, this shit too dirty, gotta yellow tape it
And I got her waitin' at the telly naked
We ain't drop though, how you niggas celebrating?
Already disrespecting, something I ain't tolerating
You niggas fuck with me, I give 'em motivation
And your circle shrinkin', see some boys escapin'
Rest of them is guilty by association, ayy, what?
Fuck the batin', who the G.O.A.T.?
Bet not make the shit up 'bout the numbers all I know
Bet not make the shit up 'bout the summer all I know
Better find ya someone else to hit with all that smoke, nigga, yeah
And all them tweets and all them posts
Ain't got the type of time to be playin' with you folk
I had a Richard prior to these niggas, that's the joke
I'm really down to die behind these verses in my notes
Yeah, yeah
Yeah, brothers been my brothers
Man, you niggas ain't no kin and that's a-
♪
I could play off the iPod?
Yeah 'cause this a motherfuckin' 2016, baby
I see the way the lights go, on the dashboard
The lights go to the dashboard
That's how you know it's new, ooh",https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,204
Childs Play,Views,https://open.spotify.com/album/40GMAhriYJRO1rsY4YdrZb,2016,335072559,"Breaking news my niggas
If your girlfriend has went to any
Season opener basketball game
Best believe, she's fucking some niggas on that team
She's fucking somebody on the basketball team
If she's at the game
♪
Right, right, yeah
I say bounce that shit like woah
Yeah, bounce that shit like woah
This is not a fairytale, I already know how you like it
Take you to the mall and get you a new outfit
Girl, that's just some child's play
Bounce that shit like, woah, woah, woah
Woah, woah, heard all of the stories about you
I already know and I like it
Take you to the mall and get you a new outfit
Girl that's just some child's play
Bounce that shit like, woah, yeah
Bounce that shit like, woah
Why you gotta fight with me at Cheesecake
You know I love to go there
Say I'm actin' lightskin, I can't take you nowhere
This a place for families that drive Camrys and go to Disney
They don't need to know all of our business
You wildin', you super childish, you go to CVS for Kotex
In my Bugatti, I took the key and tried to hide it
So you can't drive it, and put on mileage
Then you find it, awkward silence
Momma is a saint, yes she raised me real good
All because of her I don't do you like I should
Don't make me give you back to the hood
Don't make me give you back
I say bounce that shit like woah
Yeah, bounce that shit like woah
This is not a fairytale, I already know how you like it
Take you to the mall and get you a new outfit
Girl that's just some child's play
Bounce that shit like, woah, woah, woah
Woah, woah, heard all of the stories about you
I already know and I like it
Take you to the mall and get you a new outfit
Girl that's just some child's play
Bounce that shit like, woah, yeah
Bounce that shit like, woah
♪
Yeah, rode that dick like a soldier
She rode it like a soldier
She rode it like a jungle soldier
She rode it like a, yeah, yeah
I got it, yeah
You don't wanna fall in love I know
I'm not someone you should trust I know
I give Chanel out like a hug I know
I knew a couple of your friends way before
How many girls have slept in this bed
Say a different number than the one that's in my head
Lying to protect you I be doing that a lot
My past checkered like the Louis you just got
Married in our twenties now, where the fun in that?
My city love me like a college running back
Pack a bag you gon' end up staying where I'm at
Took you from the hood, and I could never give you back
I just wanna let you know that someone love you back
All the Cadillac, like I'm Teddy Pendergrass
Whippin' on this shit I'm getting ready, where you at?
Riding...
She rode that dick like a soldier
She rode it like a soldier
She rode it like a Melpomene soldier
She rode that dick like a soldier
She rode it like a soldier
She rode it like a jungle soldier
Rode that dick like a soldier
She rode it like a soldier
She rode it like a Melpomene soldier
Burrrrat stick it, b-burrrrat stick it
Burrrrat stick it, ba-ba-ba stick it
Burrrrat stick it, ba-ba-ba stick it
Burrrrat stick it, ba-ba-ba stick it
Burrrrat stick it, ba-ba-ba stick it
Burrrrat stick it, ba-ba-ba stick it
Thank you, thank's Drake, thanks baby
Motherfuckers drunk and tired
Tired, I'm tired boss",https://open.spotify.com/track/3NxAG2ni1lLa8RKL6a0INc,241
Fair Trade (with Travis Scott),Certified Lover Boy,https://open.spotify.com/album/3SpBlxme9WbeQdI9kx7KAV,2021,1039958245,"I don't understand why you blame me
Just take me as I am, it's the same me
We should be a (yeah) senseless sight to see (yeah)
Senseless sight to see (ay)
Ay
Feelin' young, but they treat me like the OG
And they want the tea on me, I swear these bitches nosey
Said he put some money on my head, I guess we gon' see
I won't put no money on his head, my niggas owe me
I gotta be single for a while, you can't control me
Uno, dos, tres, in a race, they can't hold me
And I show my face in a case so you know it's me
Imitation isn't flattery, it's just annoyin' me
And I'm too about it
And the dirt that they threw on my name
Turned to soil and I grew up out it
Time for y'all to figure out what y'all gon' do about it
Big wheels keep rollin', rollin'
I'm outside, 29, G5, Seaside
I've been losin' friends and findin' peace
But honestly, that sound like a fair trade to me
If I ever heard one and I'm still here
Outside, Frontline, Southside
I've been losin' friends and findin' peace
Honestly, that sound like a fair trade to me
Look, don't invite me over if you throw another pity party
Lookin' back, it's hard to tell you where I started
I don't know who love me, but I know that it ain't everybody
I can never love her, she a busybody
Baby, if you want me, can't be turnin' up with everybody, nah
Can't be fuckin' on just anybody, yeah
I got feelings for you, that's the thing about it, yeah
You know that it's somethin' when I sing about it, yeah
Mama used to be on disability but gave me this ability
And now she walkin' with her head high and her back straight
I don't think you feelin' me, I'm out here
Bein' everything they said I wouldn't be and couldn't be
I don't know what happened to them guys that said they would be
I said, ""See you at the top,"" and they misunderstood me
I hold no resentment in my heart, that's that maturity
And we don't keep it on us anymore, it's with security
I'm outside (yeah), 29 (yeah), G5, Seaside
I've been losin' friends and findin' peace
But honestly, that sound like a fair trade to me
If I ever heard one and I'm still here
Outside, Frontline, Southside (Southside)
I've been losin' friends and findin' peace
Honestly, that sound like a fair trade to me
I don't understand why you blame me
Just take me as I am, it's the same me (I'm trying)
Senseless sight to see (outside)
Senseless sight to see
Rollin' 84s, it ain't no safety
Ridin' rich and wavy
Gotta roll over to you, gotta get my release
Spread your legs downtown as I'm goin' out to eat
Even hear the raw sounds when that raw got me in sleep
I'ma roll on 'em 'fore I ever let 'em roll on me
Split this one down the middle, wake up in the harmony (sick)
Worried sick, I'm sick of worryin' (sick, sick)
It's just the world we in, I'd rather bury them
I'm talkin' fake friends and skeletons (yeah)
Early-mornin' shoulder rubs, the lawyer sounding celebrant (it's lit)
I'm never settlin', this shit get darker than my melanin
At the crib all by myself, this shit been cavin' in
Scrollin' through my call log by emojis, how I'm savin' 'em
Them heart eyes, that peach one, my old ones, but I favorite them
That butterfly emoji hold me down and all my babies them (yeah)
Purple demon face one push away, he got the K on him
I broke bread instead of watchin' niggas break down (break it)
And saved a couple bitches too like I'm from Cape Town
Know their position, you know ass up with the face down (let's go)
I'm never content, two mil' a event, I get it frequent
I'm make an expense, to me, it's just cents
I'm droppin' the top, not to feel the wind
I'm droppin' the top 'cause bro tryna spin
She droppin' her top, she back again
Publicly she at the crib again, company
I let it slide when I really shoulda slid (ooh)
After all the shit I did
Look at how they repayin' me back (oh)
Now follow my rift
Tell me what type of payment is that? (Oh)
I put that on my kid
And my trust, yeah, it is what it is
I'm outside, 29, G5, Seaside (ah)
I've been losin' friends and findin' peace (ah)
But, honestly, that sound like a fair trade to me
If I ever heard one and I'm still here
Outside, Frontline, Southside (Southside)
I've been losin' friends and findin' peace (ah)
Honestly, that sound like a fair trade to me
I don't understand why you blame me
Just take me as I am, it's the same me
We should be a senseless sight to see
Senseless sight to see (ay)
Up on a mountain (up on a mountain)
Search through the valley (search through the valley)
You hear me calling (you hear me calling)
Won't you come find me? (Won't you come and find me?)
Please don't forsake me (please don't)
All of a sudden (all of a sudden)
My heart is breaking (mm-hm)
I feel it coming (I, I)",https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS,291
Wu-Tang Forever,Nothing Was The Same,https://open.spotify.com/album/1XslIirSxfAhhxRdn4Li9t,2013,151512683,"(Machine gun rap for all my niggas in the back) uh
(Machine gun rap for all my niggas in the back) uh
(Machine gun rap for all my niggas in the back) uh
(Machine gun rap for all my niggas in the back) I
I just love when I'm with you
Yeah, this shit is on ten
We used to be friends, girl, and even back then
You would look at me with no hesitation
And you'd tell me, ""Baby, it's yours, nobody else's
Yeah, this shit belong to nobody, it's yours, nobody else's
Yeah, this shit belong to nobody"" and that
What made me think about the game, girl
And how I switched it up with a new thing
Young nigga came through on his Wu-Tang
And nowadays, when I ask about who got it
They say, ""It's yours, nobody else's
Yeah, this shit belong to nobody
It's yours, nobody else's
Yeah, this shit belong to nobody, it's yours
It's yours, it's yours, it's yours, that's for sure
That's for sure, yeah
It's yours, it's yours, it's yours, it's yours, that's for sure
That's for sure""
How you feel about
Comin' home with a nigga for the night?
If you nervous, hit the lights
I know we only fucking out of spite
'Cause your man don't
Do you right
Do you right
I could fuck you so good
Then I hit you with the 9:00 a.m. in Dallas
Who you like, baby, who you like?
Machine gun raps for all my niggas in the back
Stadium packed, just glad to see the city on the map
I just gave the city life, it ain't about who did it first
It's about who did it right, niggas looking like ""Preach""
Open cases on me for a half a million each
I find peace knowing that it's harder in the streets, I know
Luckily, I didn't have to grow there
I would only go there 'cause there's niggas that I know there
I don't know what's getting into me I just like the rush
When you see your enemy somewhere in the club and you realize
He just not in a position to reciprocate your energy
You ain't ever worried 'cause he's not who he pretends to be
People like Mazin who was, a best friend to me
Start to become a distant memory
Things change in that life and this life started lacking synergy
And fucking with me mentally, I think it's meant to be
Yeah, paranoid, always rolling with my motherfuckin' boys
But you gotta understand when it's yours
They don't really leave yo' ass with a motherfuckin' choice, man
I just love when I'm with you
Yeah, this shit is on ten
We used to be friends, girl, and even back then
You would look at me with no hesitation
And you'd tell me, ""Baby, it's yours, nobody else's
Yeah, this shit belong to nobody
It's yours, nobody else's
Yeah, this shit belong to nobody"" and that
What made me think about the game, girl
And how I switched it up with a new thing
Young nigga came through on his Wu-Tang
And nowadays, when I ask about who got it
They say, ""It's yours, nobody else's
Yeah, this shit belong to nobody
It's yours, nobody else's
Yeah, this shit belong to nobody, it's yours
It's yours, it's yours, it's yours, that's for sure
That's for sure
It's yours, it's yours, it's yours, that's for sure
That's for sure""
♪
(It's yours, it's yours)
(It's yours, it's yours)",https://open.spotify.com/track/5LAKjqbB5uurPpxFEicd9S,217
6 God,If You're Reading This It's Too Late,https://open.spotify.com/album/0ptlfJfwGTy0Yvrk14JK1I,2015,199957964,"Rrrr Ting (Brrt, brrt)
I'll admit it, I'll admit it (Ga, grrra-ga-ga-ga-ga)
Watch your motherfuckin' tone, boy (Watch that)
Get hurt, boy (Get hurt)
Aww, here go another muhfucker that don't understand
The concept of puttin' money first, boy (First)
I'm 'bout to hit you with the work, boy (Work)
I'm 'bout to hit you with the work, boy (Work)
I hate comin' through stuntin' on niggas that I know
Ahh, that's the worst, boy (Worst)
I'll admit it, I'll admit it (I'll admit it)
You haven't been the man for like a minute
I told you that I'm in it for the long haul
You can really get the business (Get it)
I'll admit it, I'll admit it (I'll admit it)
Rolling swishers, hittin' swishes
Got me feelin' like a ball hog
I don't pass 'em when I get it (Naw)
I'll admit it, I'll admit it (Why?)
You too worried 'bout the bitches (What you worried 'bout?)
I got one girl, and she my girl, and nobody else can hit it (Try a ting)
She'll admit it, she'll admit it (Try a ting)
She ain't fuckin' with you niggas
And just like every single other thing in my life
You can have her when I'm finished (Why?)
I hear the talk on road is I'm the shit, boy
Phone call back home, shit is hot up in the 6, boy (Hot up in the 6)
Shit hot up in the 6 right now
Shit hot up in the 6, boy (Hot up in the 6)
Shit is hot up in the 6 right now (Ga, ga, ga)
Come see us and get it fixed, boy (Hey)
Black Benz on the road, boy (On the road)
Already had a Rolls Royce (On the road)
Sold a couple Bentley last week
Them were my old toys (Man, this shit is old)
I give a fuck about old, boy (Man, that boy old)
I give a fuck about his squad, boy (Man, that thing old)
I give a fuck about your mob, boy (Oh)
I'm the real 6 God, boy (Whoa)
I'm about to say a true thing (Yeah)
I'm about to say a true thing (Yeah)
You was poppin' back when Usher wore a U-chain
Goddamn, you changed
I put it on 'erything, it's a Rrr Ting
It's a OVO come through murk things
I know you heard things
Bitch, I know you heard things
Yeah, I know you heard things, I know you
I'm not new to this
Coming from the motherfucking 6 side
I'm not new to this
Niggas wouldn't make it on this side
I'm not new to this, I'm not new, I'm not new
Yeah, I know you heard things
Nobody really likes us except for us
Yeah, all I ever needed was the squad so that's what's up
Yeah, my sound got the whole city in your way right now
Yeah, so I don't give a fuck about what anybody sayin' right now",https://open.spotify.com/track/3a8tAZFJxlmBwOtrf5L1oC,180
