SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
GO BABY,SWAG,https://open.spotify.com/album/5vD5M5VW62LL78Ko8x0CVZ,2025,89928125,"That's my baby
She's iconic
iPhone case
Lip gloss on it
And oh, my days
She keeps 'em takin'
It's comedy just block it out my baby
When sunlight turns to shadows
And its gets hard to face
Like water to a flower
Babe I know you need the rain
Nothing needs to work out
And nothing needs to break
You don't need to pretend that you're ok
So cry on my shoulder
Just turn into me
Cry on my shoulder
Whenever you need it
You better believe I can hold all the weight
That you feel inside
So cry on my shoulder
That lone melody
Cry on my shoulder
I know your heart breaks but
Lay it all down and I can love it away
Just stay by my side
So go baby go baby go baby go
♪
Said go baby go baby go baby go
♪
Sunday to Sunday
I'm here when you're weak
Closer beside me
Is always ok
Every moment
You know where to find me
You don't have speak
I can read you
When sunlight turns to shadows
And its gets hard to face
Like water to a flower
Babe I know you need the rain
Nothing needs to work out
Nothing needs to break
Don't need to pretend that you're ok
So cry on my shoulder
Just turn into me
Cry on my shoulder
Whenever you need it
You better believe I can hold all the weight
That you feel inside
So cry on my shoulder
That lone melody
Cry on my shoulder
I know your heart breaks but
Lay it all down and I can love it away
Just stay by my side
So go baby go baby go baby go
♪
Said go baby go baby go baby go
Cry on my (wontcha cry on)
Cry on my (wontcha cry on)
Cry on my (wontcha cry on)
Cry on my",https://open.spotify.com/track/01p5urrGw5fuFCcfT7PBgc,194
Hold On,Justice (Triple Chucks Deluxe),https://open.spotify.com/album/6mzpIm84OXCBxw6Tuhp1OA,2021,853057514,"You know you can call me if you need someone
I'll pick up the pieces if you come undone
Painting stars up on your ceiling 'cause you
Wish that you could find some feeling, yeah, you
You know you can call me if you need someone
I need you to hold on
Heaven is a place not too far away (far away)
We all know I should be the one
To say we all make mistakes (we all make mistakes)
Take my hand and hold on
Tell me everything that you need to say (need to say)
'Cause I know how it feels to be someone (be someone)
Feels to be someone who loses their way
You're looking for answers in a place unknown
You need the connection, but you can't get close (can't get close)
Painting stars up on your ceiling 'cause you
Wish that you could find some feeling, yeah, you
You know you can call me if you need someone
I need you to hold on (hold on)
Heaven is a place not too far away (yeah)
We all know I should be the one
To say we all make mistakes (we all make mistakes)
Take my hand and hold on (oh, whoa, whoa, whoa)
Tell me everything that you need to say
'Cause I know how it feels to be someone (be someone)
Feels to be someone who loses their way
Midnight 'til morning, call if you need somebody
I will be there for you (I will be there for you)
Midnight 'til morning, call if you need somebody
I will be there for you
I need you to hold on
Heaven is a place not too far away (far away)
We all know I should be the one
To say we all make mistakes (we all make mistakes)
Take my hand and hold on
Tell me everything that you need to say
'Cause I know how it feels to be someone (be someone, ooh, yeah)
Feels to be someone who loses their way
Midnight 'til morning, call if you need somebody
I will be there for you (oh, yeah, yeah)
Midnight 'til morning, call if you need somebody
I will be there for you",https://open.spotify.com/track/1woTc5oI7Eqj8thvGfdsxw,170
Red Eye (feat. TroyBoi),Justice (The Complete Edition),https://open.spotify.com/album/3uPnO1aZBwMgWK1DI5zve9,2021,104009351,"Hoppin' on the red eye
Hoppin' on the red eye
I can rest assured knowing you're on the other end of it
Looking forward to the descent and then you're out
See you when I touch down
You're my champagne
You make me pop off everywhere like confetti (yeah)
I know it seems strange
I seen you last night and I miss you already (yeah)
My bed is depressed (depressed)
My pillow's a victim (hmm, hmm)
Got me in chills while my hands are sweaty (B-O-I)
And I gotta fly out
Hate you got me strung-out
And I gotta fly out
Hate you got me strung-out, oh-ooh
Only been ten hours but my sanity is gone
Hoppin' on the red eye
Hoppin' on the red eye (big bag, oh, big-big)
Hoppin' on the red eye (hey, big bag, big-big)
Hoppin' on the red eye (big bag, oh)
Got a new job, for a big bag
You better go get it
You'll be gone for a few days, posin' in the heat
I ain't gon' sweat it
I miss your distractions
My touch is in distress
You're just a plane ride away from my permanent visit
And I gotta fly out
Hate you got me strung-out
And I gotta fly out
Only been an hour, but I'm feelin' all alone
You should be hoppin' on the red eye (right now)
Hoppin' on the red eye (right away)
I can rest assured knowing you're on the other end of it
Looking forward to the descent and then you're out (ooh-woah, ooh-woah, oh)
See you when I touch down
(Hey)
Na-na-na-na-na, na-na, na-na-na, na-na, ah-ah (oh)
Na-na-na-na-na, na-na, na-na-na, na-na, ah-ah (hey)
Na-na-na-na-na, na-na, na-na-na, na-na, ah-ah
See you when I touch down
(Hey)
Big bag (oh)
Big-big
Big bag (hey)
Big-big
(T-R-O-Y-B-O-I, oh)",https://open.spotify.com/track/24OeEKPQ8qqNZnPevRHxUT,187
Hold Tight,Journals,https://open.spotify.com/album/1rknZw4cyL9NInAqSwc8AA,2014,94824648,"Yeah, yeah, yeah
Happy birthday
♪
That hold on tight
Yeah, that hold on tight, ooh that hold on tight
Them lips won't let me go (lips won't let me go, lips won't let me go, oh)
Hold on tight (that hold on tight)
Yeah, hold on tight (that hold on tight)
Ooh, that hold on tight
Them lips won't let me go
Don't let this go to your head
But you're the best I've ever had
Not to mention that thing is swollen
You got me oh so in a trance
Something like a ziplock, but a lip lock
Want you wrapped around my arm like a wristwatch
Oh, so hard walking out
Got me stuck like Krazy Glue, ooh
That hold on tight
Yeah, that hold on tight, ooh that hold on tight
Them lips won't let me go (lips won't let me go, lips won't let me go oh)
Hold on tight (that hold on tight)
Yeah, hold on tight (that hold on tight)
Ooh, that hold on tight
Them lips won't let me go
Got me tossing turning in the bed
Your place is where I'd rather be instead
You don't know your strength
Missing you is like adrenaline
Ooh, when you got me in a gridlock, what a great spot
With a turned up kind of loving, it just won't stop
No, so hard walking out
Got me stuck like Krazy Glue, ooh-wee
That hold on tight
Yeah, that hold on tight, ooh that hold on tight
Them lips won't let me go (lips won't let me go, lips won't let me go oh)
Hold on tight (that hold on tight)
Yeah, hold on tight (that hold on tight)
Ooh, that hold on tight
Them lips won't let me go
Oh baby, holding back the faces I would make
I'm a fan, and you're the rock star, making it hard on me
Visualise a monster, 'cause you're too bad for me
Shot that arrow I'm hit, need you right near me
I try to maintain
So don't mind if I turn away, no no
I try to maintain
So don't mind if I turn away, ooh
That hold on tight
Yeah, that hold on tight, ooh that hold on tight
Them lips won't let me go (lips won't let me go, lips won't let me go, oh)
Hold on tight (that hold on tight)
Yeah, hold on tight (that hold on tight)
Ooh, that hold on tight
Them lips won't let me go, oh",https://open.spotify.com/track/71g1UlX2OtS9axwBIBa5Zm,254
Die For You (feat. Dominic Fike),Justice (Triple Chucks Deluxe),https://open.spotify.com/album/6mzpIm84OXCBxw6Tuhp1OA,2021,116787199,"Ba-ba-da, ba-da
Ba-ba-da, ba-ba-da, ba-da, ba
She's a stranger to the night shift
The type of girl you only dream about
I was lost under the lights, yeah (yeah)
An angel in the flames, she pulled me out
Next time that I g-g-g-g-get her
I'ma tell her in every kind of way (yeah, yeah, yeah, yeah, yeah)
I would walk through burning fire
Even if your kiss could kill me
You know I would die for you
Yeah, I would die for you (yeah, yeah, yeah, yeah)
Pain and passion, my desire
You're the right now and what will be
You know I would die for you
The rest of my life for you
Yeah-yeah-yeah-yeah
(Ba-ba-da, ba-da)
I would die for you (ba-ba-da, ba-da, ba)
She's a danger to the mindset
Displaced and stretched it out in every way
Crossin' every line, yeah
T-t-touch base until you find the chemistry
And I know this ain't rocket science
And I never leave the house
Without checking on your first
And begin to wonder
Next time that I g-g-g-g-get her
I'ma tell her in every kind of way (yeah, yeah, yeah, yeah, yeah)
I would walk through burning fire
Even if your kiss could kill me
You know I would die for you (die for you)
Yeah, I would die for you (yeah, yeah, yeah, yeah, yeah)
Pain and passion, my desire
You're the right now and what will be
You know I would die for you (die for you)
The rest of my life for you
Yeah-yeah-yeah-yeah, yeah
Oh, I would die, I would die, I would die
Oh, I would die, I would die, I would die
I would walk through burning fire
Even if your kiss could kill me
You know I would die for you (I would die for you)
Yeah, I would die for you (I would die for you, baby)
Pain and passion, my desire
You're the right now and what will be
You know I would die for you (die)
The rest of my life for you
Yeah-yeah-yeah-yeah, yeah-yeah
Yeah-yeah
Yeah
I would die for you",https://open.spotify.com/track/2gBPZEtW6sxFHHa7TL4jd0,198
SOULFUL,SWAG,https://open.spotify.com/album/5vD5M5VW62LL78Ko8x0CVZ,2025,19806415,"No, I said this album kinda sound, you got some soul on this album too, bro
You kinda sound black on this motherfucker, man, I
You played that last song, I said, ""Damn""
You got a lil'- ay, I'm tellin' you, you more than two percent
On this album right here? I can hear the soul (thank you)
Your soul is black (thank you)
Your skin white, but your soul black, Justin, I promise you, man (thank you)
Damn, you sure you don't want no Black & Mild?",https://open.spotify.com/track/5PAKAADzrSpMDxcaRpSDCm,36
Recovery,Journals,https://open.spotify.com/album/1rknZw4cyL9NInAqSwc8AA,2014,56234828,"First, I'll acknowledge our trust has been broken
A successful recovery, I pray for us at night
Blessed me with a second chance
Never thought I'd see your face again
Learned a lot through trial and error
Tryna make it right
Make it right
Make it right
Make it right
This time I'll do you right
Whoa-whoa, whoa
Missing your good intentions
Missing you from a distance
Hope you did the same
I know that I caused a problem
Know that I left you livid, pushed you far away
Learned it don't pay to lie
Costs more to see you cry
Sayin' nothing gets you nowhere fast
I'ma hold it back inside
Well now that I'm back around ya
Nothing else really matters
Hope you feel the same
First, I'll acknowledge our trust has been broken
A successful recovery, I pray for us at night
Blessed me with a second chance
Never thought I'd see your face again
Learned a lot through trial and error
Tryna make it right
Make it right
Make it right
Make it right
This time I'll do you right
Whoa-whoa, whoa
Going through all the motions tryna find a reason
Why we ended that way
Nothing in life is perfect
When you're changing like the seasons
That's what they used to say
'Cause going to sleep alone at night
I don't wanna close my eyes
Wanna give you all I have to give
No more holding back this time
Now that I'm back around, ya
Nothing around me matters
Hope ya feel the same
First, I'll acknowledge our trust has been broken
A successful recovery, I pray for us at night
Blessed me with a second chance
Never thought I'd see your face again
Learned a lot through trial and error
Tryna make it right
Make it right (make it right, make it right)
Make it right (make it right, make it right)
Make it right (make it right, make it right)
This time I'll do you right
Whoa-whoa, whoa (you know I'ma do you right)
You know I'ma do you right
You know I'ma do you right
You know I'ma do you right
I'ma do you right
You know I'ma do you right",https://open.spotify.com/track/6pFqCPdvm6C9IHbJrEu8aG,182
I Can't Be Myself (feat. Jaden),Justice (The Complete Edition),https://open.spotify.com/album/3uPnO1aZBwMgWK1DI5zve9,2021,44415665,"Be myself with you
Be myself with you
I can't be myself when you're not there
Ooh, woah, oh
La-la, la-la, la-la, I feel amazing
How are you? How are you?
La-la, la-la, la-la, ten thousand faces
Still your eyes are the view
What can I do?
When the chances are a billion stars, they can't compare to you
Nowhere to move
'Cause it's new to me, consuming me, I might be scared of you
Oh, yeah
I could travel any place but without you, it's just runnin' around
They could open Heaven's gates but without you
I'm just stuck in the clouds (yeah, yeah)
I can't be myself when you're not there
The sweetest dreams turn to nightmares
I can't be myself when you're not there
Oh-oh
La-la, la-la, la-la, I'm talkin' backwards
High on you, high on you
La-la, la-la, la-la, don't know what's after
But I know it's with you
What can I do?
When the chances are a billion stars, they can't compare to you
Nowhere to move
'Cause it's new to me, consuming me, I might be scared of you
Oh, yeah
I could travel any place but without you
It's just runnin' around (girl, I'm just runnin' around)
They could open Heaven's gates but without you
I'm just stuck in the clouds (yeah, yeah)
I can't be myself when you're not there
The sweetest dreams turn to nightmares
I can't be myself when you're not there (be myself)
Oh-oh
La-la, la-la, la-la, I feel amazing
How are you? How are you?
I can't be myself when you're not there (no, I can't)
The sweetest dreams turns in nightmares
I can't be myself when you're not there
Oh-oh
Oh-oh-oh-oh
(Be myself with you)
Woah, ooh-ooh-oh-oh
(Be myself with you)
When you're not in my arms
I can't be myself when you're not there
I need you close
Ooh-oh, oh-oh-oh
I can't be myself when you're not there",https://open.spotify.com/track/6lYxkQglLrKTc0mfTj7Esl,193
DAISIES,SWAG,https://open.spotify.com/album/5vD5M5VW62LL78Ko8x0CVZ,2025,426109287,"Throwing pedals like do you love me or not
Head is spinning and it don't know when to stop
Cause you said forever babe did you mean it or not
Hold on hold on
You leave me on read babe but I still get the message
Instead of a line its 3 dots but I can connect em
And if it ain't right babe
You know I respect it
But if you need time just take your time
Honey I get it I get it I get it
The way you got me all in my head
Think I'd rather you in my bed
Whatever it is you know I can take it
I'm counting the days how many days
Til I can see you again
Blowing kisses like will you catch 'em or not
I'm Cupid with arrows babe I'm just shooting my shot mhmm
If I could get in drop me a pin
Hop in the — and come over
Don't wanna be friends just skin to skin
I wanna get closer and closer and closer
The way you got me all in my head
Think I'd rather you in my bed
Whatever it is you know I can take it
I'm counting the days how many days
Til I can see you again
You got me all in my feelings
And you got me all I've been all in my feelings
And you got me all weak in my knees every time
Cause you got me all, all in my feelings
♪
The way you got me all in my head
Think I'd rather you in my bed
Whatever it is you know I can take it
I'm counting the days how many days
Til I can see you again",https://open.spotify.com/track/5BZsQlgw21vDOAjoqkNgKb,176
Off My Face,Justice (Triple Chucks Deluxe),https://open.spotify.com/album/6mzpIm84OXCBxw6Tuhp1OA,2021,427138495,"One touch and you got me stoned
Higher than I've ever known
You call the shots and I follow
Sunrise, but the night still young
No words, but we speak in tongues
If you let me, I might say too much
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh
Can't sleep 'cause I'm way too buzzed
Too late, now you're in my blood
I don't hate the way you keep me up
Your touch blurred my vision
It's your world and I'm just in it
Even sober I'm not thinkin' straight
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh
Ooh, ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh
Ooh, ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh
'Cause I'm off my face, in love with you
I'm out my head, so into you
And I don't know how you do it
But I'm forever ruined by you, ooh-ooh-ooh
By you, ooh-ooh-ooh",https://open.spotify.com/track/3hQnKdzsVzF0eEauZAnpvl,156
