SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
She Needs Me (Remix),Overly Dedicated,https://open.spotify.com/album/7MoLQ8vckhwBbQqEYQTYQC,2010,37560172,"I miss you, where you been?
It's been months and I haven't heard from you, I need you
It's been months and I haven't heard from you, come back to me
Come back, I need you in my life
I miss you, I miss you, come back to me, I miss you
What's up baby? It's been a while
You been good? I've been around
different girls, different towns
To keep it real, you missing out
I'll all bored, next city
Random cars, TEC's with me
Like I miss you so much, have sex with me
Not right now, look you know I got the ex with me
She like fuck that, I don't care Dom
So selfish and that really isn't fair Dom
Meet me here, where Dom?
Get undressed, yeah Dom
Yeah Dom, what you need?
Some bomb head? A bag of weed?
Good food? Japanese?
That's me on page forty in that magazine
""Dom Kennedy"" you need that
She said nobody come close, I agreed back
I'm the nigga who used to help her pull that weed back
and she need me, believe that
That girl is smoking
and can you believe that I'm her focus?
It ain't hard to see she got me open
and together, we are roller-coasting, on, on, on
What's up love? It's been a while
You been good? I've been around
Remember dinner dates I was late? Mr. Chiles
Truant like a student, you the principal
Schooled me on timing, we was both shining
like the sun bouncing off the brightest blood diamond
I was Your Highness, you was my queen
You got over him when I got in between
Watching Martin on TV as it was T-D-S
for us to eat TV dinners every time we was famished
But it was such a pleasure to watch you try to hold it together
Every time I put the head in you would panic
and come right down like an avalanche
Make your legs slant, whisper till you juicing up your pants
Baby how that sound? Kosher, no sir
Wake it back up, Folgers posters
By my waistline, shout for your hard hit
You called it a hate crime, say you want me back
and your girl wanna date Dom, that's high school shit
4-0-1 K, we could be friends with benefits, you dig that?
That girl is smoking
and can you believe that I'm her focus?
It ain't hard to see she got me open
and together, we are roller-coasting, on, on, on
I upped and walked out, now she crying cuz
She need me, I got that John Bryan love
Had to find love, we called it punch-drunk
We was a two-piece, she was a one-punch
You know, a knock-out, and if she was to walk out
my heart would go black, shrivel up and drop out
There we go again, what the fuck you talking bout?
We used to fuck all the time back at my momma's house
Smoking beedies, laying on the futon
Memories I got saved up like a coupon
And we'd be too gone off a sack of stress weed
I was broke then, couldn't count the best weed
Then she would just leave in a black hatchback
Homies from the hood used to ask me if I'd tapped that
I would say yep, smiling so freely
That was back then, but I bet she still need me
She need me, she need me
She need me, she need me
I would say yes, smiling so freely
That was back then, I bet she still need me
That girl is smoking
and can you believe that I'm her focus?
It ain't hard to see she got me open
and together, we are roller-coasting, on, on, on",https://open.spotify.com/track/6D5GoogBIBMUBlQ1CYTkOH,195
GOD.,DAMN.,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,2017,174867294,"This what God feel like, huh, yeah
Laughing to the bank like, ""ah-ha,"" huh, yeah
Flex on swole like, ""ah-ha,"" huh, yeah
You feel some type of way then, ah-ha, huh, yeah
(A-ha-ha, a-ha-ha)
Ever since a young man (since a young man)
All I want to be was a gunman (was a gunman)
Shootin' up the charts, better run man
Y'all gotta see that I won, man
Slick as El DeBarge with the finger waves, work it, JT
Handle bars like a fade, watch me, work it, JT
I'm at large, running plays like a circuit, JT
I'm selling verses, JT, watch me work it, JT
Look, look, hold up
Don't judge me, my mama caught me with a strap
Don't judge me, I was young, fucking all the brats
Don't judge me, aimin' at your head for a stack
Don't judge me, don't judge me
Now, my home got a Valley peak
Don't judge me, if I press your line, you're a freak
Don't judge me, won't you tell a friend? Y'all gon' see
This what God feel like, huh, yeah
Laughing to the bank like, ""ah-ha,"" huh, yeah
Flex on swole like, ""ah-ha,"" huh, yeah
You feel some type of way then, ah-ha, huh, yeah
(A-ha-ha, a-ha-ha)
Fuck is you talking to?
Aye, do you know who you're talking to?
Slide on you like fallen drapes
God toss full of carnivals
I kill 'em with kindness
Or I kill 'em with diamonds
Or I put up like fifteen hundred
Get your ass killed by the finest
Everything life is a gamble
Nothing in life I can't handle
Seen it all, done it all, felt pain more
For the cars, I done put blood on sword
Everything I do is to embrace y'all
Everything I write is a damn eight-ball
Everything I touch is a damn gold mine
Everything I say is from an angel
I don't rush shit, fuck shit
Always your shit, my shit
Cannonballs to ignite shit
Morning to the night shift, I'm on
I ain't sorry for it, ask for a piece of mine
You charged me for it
I wanna see sometimes if you ignore it
I'm in the streets sometimes and can't afford it
I got a bad habit, levitate, ducking haters
Oh my, my heart is rich, my heart is famous
Ooh-ooh, ooh
Ooh-ooh, ooh
Ooh-ooh, ooh
This what God feel like, huh, yeah (this what God feel like)
Laughing to the bank like, ""ah-ha,"" (this what God feel like) (uh)
Yeah (this what God feel like)
Flex on swole like, ""ah-ha,"" (this what God feel like) (uh)
Yeah (this what God feel like)
You feel some type of way then (ah-ha) (this what God feel like), uh, yeah
This what God feel like
This what God feel like
Ooh-ooh, ooh
Ooh-ooh, ooh",https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I,248
Wesley's Theory,To Pimp A Butterfly,https://open.spotify.com/album/7ycBtnsMtyVbbwTfJwRjSP,2015,243211381,"Every nigga is a star, yeah
Every nigga is a star
Every nigga is a star, yeah
Every nigga is a star
Every nigga is a star, yeah
Who would deny that you and I, and
Every nigga is a star
Hit me
When the four corners of this cocoon collide
You'll slip through the cracks, hoping that you'll survive
Gather your wind, take a deep look inside
Are you really who they idolize
To pimp a butterfly?
At first, I did love you
But now I just wanna fuck
Late night thinkin' of you
Until I got my nut
Tossed and turned, lesson learned
You was my first girlfriend
Bridges burned, all across the board
Destroyed, but what for?
When I get signed, homie, I'ma act a fool
Hit the dance floor, strobe lights in the room
Snatch your little secretary bitch for the homies
Blue-eyed devil with a fat ass monkey
I'ma buy a brand new Cutty on fours
Trunk the hood up, two times, deuce four
Platinum on everything, platinum on wedding ring
Married to the game, made a bad bitch yours
When I get signed, homie, I'ma buy a strap
Straight from the CIA, set it on my lap
Take a few M-16s to the hood
Pass 'em all out on the block, what's good?
I'ma put the Compton swap meet by the White House
Republican, run up, get socked out
Hit the Pres with a Cuban link on my neck
Uneducated but I got a million dollar check, like that
We should never gave
We should never gave niggas money
Go back home, money, go back home
We should never gave
We should never gave niggas money
Go back home, money, go back home (everybody get out)
At first, I did love you (love you)
But now I just wanna fuck (I just wanna fuck)
Late nights thinkin' of you (of you)
Until I got my nut (you know I get money)
Tossed and turned, lesson learned
You was my first girlfriend
Bridges burned, all across the board
Destroyed, but what for?
Yo, what's up? It's Dre
Remember the first time you came out to the house?
You said you wanted a spot like mine
But remember, anybody can get it
The hard part is keeping it, motherfucker
What you want you? A house or a car?
Forty acres and a mule, a piano, a guitar?
Anything, see, my name is Uncle Sam, I'm your dog
Motherfucker, you can live at the mall
I know your kind (that's why I'm kind)
Don't have receipts (oh man, that's fine)
Pay me later, wear those gators
Cliché and say, ""Fuck your haters""
I can see the baller in you
I can see the dollar in you
Little white lies, but it's no white collar in you
But it's whatever though because I'm still followin' you
Because you make me live forever baby, count it all together baby
Then hit the register and make me feel better baby
Your horoscope is a gemini, two sides
So you better cop everything two times
Two coupes, two chains, two c-notes
Too much ain't enough both we know
Christmas, tell 'em what's on your wish list
Get it all, you deserve it Kendrick
And when you hit the White House, do you
But remember, you ain't pass economics in school
And everything you buy, taxes will deny
I'll Wesley Snipe your ass before 35 (yeah)
Lookin' down is quite a drop (it's quite a drop, drop)
Lookin' good when you're on top (when you're on top you got it)
A lot of metaphors, leavin' miracles metaphysically in a state of euphoria
Look both ways before you cross my mind
We should never gave
We should never gave niggas money
Go back home, money, go back home
We should never gave
We should never gave niggas money
Go back home, money, go back home
Tax man comin'",https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6,287
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u,2012,686869001,"Every second, every minute, man, I swear that she can get it
Say if you a bad bitch, put your hands up high
Hands up high, hands up high
Tell 'em dim the lights down right now, put me in the mood
I'm talkin' about dark room, perfume, go, go
I recognize your fragrance, hol' up, you ain't never gotta say shit, uh
And I know your taste is a little bit, mmm, high maintenance, uh
Everybody else basic, you live life on an everyday basis
With poetic justice, poetic justice
If I told you that a flower bloomed in a dark room, would you trust it?
I mean, I write poems in these songs dedicated to you when
You're in the mood for empathy, there's blood in my pen
Better yet, where your friends and 'em?
I really wanna know you all
I really wanna show you off
Fuck that, pour up plenty of champagne
Cold nights when you curse this name
You called up your girlfriends and y'all curled in that little bitty Range, I heard that
She wanna go and party, she wanna go and party
Nigga, don't approach her with that Atari
Nigga, that ain't good game, homie, sorry
They say conversation rule a nation, I can tell
But I could never right my wrongs 'less I write it down for real, PS
(Anytime)
You can get it, you can get it, you can get it, you can get it (and any place)
And I know just, know just, know just, know just, know just what you want
Poetic justice, put it in a song, alright
(Anytime)
You can get it, you can get it, you can get it, you can get it (and any place)
And I know just, know just, know just, know just, know just what you want
Poetic justice, put it in a song, alright
I really hope you play this, 'cause, oh, girl you test my patience
With all these seductive photographs
And all these one-off vacations you've been takin'
Clearly a lot for me to take in, it don't make sense
Young East African girl, you too busy fuckin' with your other man
I was tryna put you on game, put you on a plane
Take you and your momma to the motherland
I could do it, maybe one day
When you figure out you're gonna need someone
When you figure out it's alright here in the city
And you don't run from where we come from
That sound like poetic justice, poetic justice
You were so new to this life, but goddamn, you got adjusted
I mean, I write poems in these songs, dedicated to the fun sex
Your natural hair and your soft skin and your big ass in that sundress, ooh
Good God, what you doin' that walk for?
When I see that thing move, I just wish we would fight less and we would talk more
They say communication save relations, I can tell
But I can never right my wrongs unless I write 'em down for real, PS
(Anytime)
You can get it, you can get it, you can get it, you can get it (and any place)
And I know just, know just, know just, know just, know just what you want
Poetic justice, put it in a song, alright
(Anytime)
You can get it, you can get it, you can get it, you can get it (and any place)
And I know just, know just, know just, know just, know just what you want
Poetic justice, put it in a song, alright
Every time I write these words, they become a taboo
Makin' sure my punctuation curve, every letter here's true
Livin' my life in the margin and that metaphor was proof
I'm talkin' poetic justice, poetic justice
If I told you that a flower bloomed in a dark room, would you trust it?
I mean, you need to hear this
Love is not just a verb, it's you lookin' in the mirror
Love is not just a verb, it's you lookin' for it, maybe
Call me crazy, we can both be insane
A fatal attraction is common, and what we have common is pain
I mean, you need to hear this, love is not just a verb
And I can see power steerin', sex drive when you swerve
I want that interference, it's coherent, I can hear it, mm-hmm
That's your heartbeat, it either caught me or it called me, mm-hmm
Read slow and you'll find gold mines in these lines
Sincerely, yours truly, and right before you go blind, PS
(Anytime)
You can get it, you can get it, you can get it, you can get it (and any place)
And I know just, know just, know just, know just, know just what you want
Poetic justice, put it in a song, alright
♪
I'm gon' ask you one more time, homie
Where is you from? Or it is a problem
Ayy, ayy, ayy, ayy, ask him if he heard from Sherane
Ayy, you out here for Sherane, homie?
I don't care who this nigga over here for
If he don't tell me where he from, it's a wrap! I'm sorry
Hol' up, hol' up, hol' up, we gon' do it like this, okay
I'ma tell you where I'm from, okay?
You gon' tell me where you from, okay?
Or, or, or where your grandma stay
Where your mama stay, or where your daddy stay, okay?
Fuck all this talkin'
Matter of fact, get out the van, homie
Get out the car 'fore I snatch you out that motherfucker, homie",https://open.spotify.com/track/3MLOAIJNWWS8FQpvdaiKR7,300
DUCKWORTH.,DAMN.,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,2017,348607924,"It was always me versus the world
Until I found it's me versus me
Why, why, why, why?
Why, why, why, why?
Just remember, what happens on Earth stays on Earth!
We gon' put it in reverse
♪
Darling, I told you many times
And I am telling you once again
Just to remind you, sweetheart
That my-
Oh, Lamar, Hail Mary and marijuana, times is hard
Pray with the hooligans, shadows all in the dark
Fellowship with demons and relatives, I'm a star
Life is one funny mo'fucker
A true comedian, you gotta love him, you gotta trust him
I might be buggin', infomercials and no sleep
Introverted by my thoughts; children, listen, it gets deep
See, once upon a time inside the Nickerson Garden projects
The object was to process and digest poverty's dialect
Adaptation inevitable, gun violence, crack spot
Federal policies raid buildings and drug professionals
Anthony was the oldest of seven
Well-respected, calm and collected
Laughin' and jokin' made life easier, hard times, Momma on crack
A four-year-old tellin' his nanny he needed her
His family history, pimpin' and bangin'
He was meant to be dangerous
Clocked him a grip and start slangin'
15, scrapin' up his jeans with quarter pieces
Even got some head from a smoker last weekend
Dodged a policeman, workin' for his big homie
Small-time hustler, graduated to a brick on him
10,000 dollars out of a project housing, that's on the daily
Seen his first mill' 20 years old, had a couple of babies
Had a couple of shooters
Caught a murder case, fingerprints on the gun they assumin'
But witnesses couldn't prove it
That was back when he turned his back and they killed his cousin
He beat the case and went back to hustlin'
Bird-shufflin', Anthony rang
The first in the projects with the two-tone Mustang
That 5.0 thing, they say 5-0 came
Circlin' parking lots and parking spots
And hoppin' out while harrassin' the corner blocks
Crooked cops told Anthony he should kick it
He brushed 'em off and walked back to the Kentucky Fried Chicken
See, at this chicken spot
There was a light-skinned nigga that talked a lot
With a curly top and a gap in his teeth
He worked the window, his name was Ducky
He came from the streets, the Robert Taylor Homes
Southside Projects, Chiraq, the Terror Dome
Drove to California with a woman on him and 500 dollars
They had a son, hopin' that he'd see college
Hustlin' on the side with a nine-to-five to freak it
Cadillac Seville, he'd ride his son around on weekends
Three-piece special with his name on the shirt pocket
'Cross the street from the projects, Anthony planned to rob it
Stuck up the place before, back in '84
That's when affiliation was really eight gears of war
So many relatives tellin' us, sellin' us devilish works
Killin' us, crime, intelligent, felonious
Prevalent proposition with 9's
Ducky was well-aware
They robbed the manager and shot a customer last year
He figured he'd get on these niggas' good sides
Free chicken every time Anthony posted in line
Two extra biscuits, Anthony liked him and then let him slide
They didn't kill him, in fact, it look like they're the last to survive
Pay attention, that one decision changed both of they lives
One curse at a time
Reverse the manifest and good karma, and I'll tell you why
You take two strangers and put 'em in random predicaments
Give 'em a soul so they can make their own choices and live with it
20 years later, them same strangers, you make 'em meet again
Inside recording studios where they reapin' their benefits
Then you start remindin' them about that chicken incident
Whoever thought the greatest rapper would be from coincidence?
Because if Anthony killed Ducky, Top Dawg could be servin' life
While I grew up without a father and die in a gunfight
♪
So, I was takin' a walk the other day",https://open.spotify.com/track/0y9uTzK9cNKSAEHnpeRG8C,248
good kid,"good kid, m.A.A.d city (Deluxe)",https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u,2012,125647403,"Mass hallucination, baby
Ill education, baby
Want to reconnect with your elations?
This is your station, baby
Look inside these walls
And you see I'm havin' withdrawals of a prisoner on his way
Trapped inside your desire to fire bullets that stray
Track attire just tell you I'm tired and ran away
I should ask a choir, ""What do you require
To sing a song that acquire me to have faith?""
As the record spin, I should pray
For the record, I recognize that I'm easily prey
I got ate alive yesterday
I got animosity buildin', it's probably big as a buildin'
Me jumpin' off of the roof is me just playin' it safe
But what am I 'posed to do when the topic is red or blue
And you understand that I ain't?
But know I'm accustomed to just a couple that look for trouble
And live in the street with rank
No better picture to paint than me walkin' from Bible study
And called his homies because he had said he noticed my face
From a function that tooken place, they was wonderin' if I bang
Step on my neck and get blood on your Nike checks
I don't mind 'cause one day you'll respect the good kid, m.A.A.d city
Mass hallucination, baby
Ill education, baby
Want to reconnect with your elations?
This is your station, baby
All I see is strobe lights blinding me in my hindsight
Finding me by myself, promise me you can help
In all honesty, I got time to be copacetic until
You had finally made decision to hold me against my will
It was like a head-on collision that folded me standing still
I can never pick out the difference and grade a cop on the bill
Every time you clock in the morning, I feel you just want to kill
All my innocence while ignoring my purpose to persevere as a better person
I know you heard this and probably in fear
But what am I 'posed to do with the blinking of red and blue?
Flash from the top of your roof, and your dog has to say, ""Woof""
And you ask, ""Lift up your shirt,"" 'cause you wonder if a tattoo
Of affiliation can make it a pleasure to put me through
Gang files, but that don't matter because the matter is racial profile
I heard them chatter, ""He's probably young, but I know that he's down""
Step on his neck as hard as your bulletproof vest
He don't mind, he know we'll never respect the good kid, m.A.A.d. city
Mass hallucination, baby
Ill education, baby
Want to reconnect with your elations?
This is your station, baby
All I see in this room, 20s, Xannies, and these 'shrooms
Grown-up candy for pain, can we live in a sane society?
It's entirely stressful upon my brain
You hired me as a victim, I quietly hope for change
When violence is the rhythm, inspired me to obtain
The silence in this room with 20s, Xannies, and 'shrooms
Some grown-up candy, I lost it, I feel it's nothing to lose
The streets sure to release the worst side of my best
Don't mind, 'cause now you ever in debt to good kid, m.A.A.d. city
Mass hallucination, baby
Ill education, baby
Want to reconnect with your elations?
This is your station, baby",https://open.spotify.com/track/0PKJxo97zXT8oAwl2zFnPh,214
Compton,"good kid, m.A.A.d city (Deluxe)",https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u,2012,100097084,"Now everybody serenade the new faith of Kendrick Lamar
This is King Kendrick Lamar
King Kendrick and I meant it, my point intended is raw
Fix your lenses forensics would've told you Kendrick had killed it
Pretend it's a massacre and the masses upon us
And I mastered being the master at dodging your honor
And the chapter that read at 25 I would live dormant like five in the morning
They raid your spot while Kendrick's performing
And if they take everything, know I got
Compton, Compton, ain't no city quite like mine
Ay, Dre what's happening wit' it my nigga?
Still I'm at it, peel the plastic off it, you can feel the magic
Still I'm laughing at the critics talking, I can see 'em gagging
When I'm back in the back of my city, back in the 'bach
With a batch of them banging Dre Beats with me, look where I'm at
It's the murder cap' and I'm captain at birthing this gangsta rap
It's a wrap when I'm done and I come a long way from a hundred dollars a month
To a hundred mil' in a day, bitch, I'm from
Compton, Compton, ain't no city quite like mine
So come and visit the tire screeching, ambulance, policeman
Won't you spend a weekend on Rosecrans, nigga?
Khaki creasing, crime increasing on Rosecrans, nigga
Kendrick Conan, nigga
Where you sword at? Hand on the cross and swore that
I do it big as Rasputia for them shooters
Kama Sutra, scream, ""Fuck your position"" and make you hold that
I'm trying to stay grounded like four flats
But I know flats and Piru Crip tats
Will swarm on me like a beehive
Hop in the G ride
From the West to the East side
Know that's just how Compton roll
And that's a given
I pass the blunt then pass the torch of course that's my decision
I crash the Porsche then you report that you see me in Benzes
I must report that we import the narcotics you bought it
Then talked about it when crack hit the speakers, the music business
I blow up every time we throw up a record
Depending on what you expecting, I'm sure it's bigger than your religion
Perfected by niggas that manifested music to live in
Compton, Compton, ain't no city quite like mine
So tell that gangster throw his set high
Roll it up in a blunt, I'ma take you on the next high
I did exactly what I wanted that's what made them checks fly
In my direction, you never questioned when I said I
Would be a mogul before I visit 2Pac and Left-Eye
Eazy and Aaliyah when I see you we gon' test drive
A Lambo' in heaven but for now I'm on the redeye
Flying back to my city 'cause I'll forever standby
Compton, Compton, ain't no city quite like mine
Now we can all celebrate
We can all harvest the rap artists of N.W.A
America target our rap market, as controversy and hate
Harsh realities we in made our music translate
To the coke dealers, the hood rich and the broke niggas that play
With them gorillas that know killers that know where you stay
Roll that kush, crack that case, ten bottles of rosé
This was brought to you by Dre
Now every motherfucker in here say, ""Look who's responsible
For taking Compton international, I make 'em holla""
Ayo, Just Blaze, good looking homie
Just Blaze
♪
Ain't no city quite like mine, yeah
In the city of Compton
Ain't no city quite like mine
Mom, I finna use the van real quick
Be back, 15 minutes",https://open.spotify.com/track/0O6cYePgIBlMQ0pAFate3q,248
Big Shot (with Travis Scott),Black Panther The Album Music From And Inspired By,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,2018,223115864,"Wakanda
Welcome
Big shot, hol' up, wait, peanut butter insides (no)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Big shot, big shot, (hol' on, hol' on), peanut butter insides (hol' on)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Serve that work for Kung-Fu Kenny
Got juice, got work, got weight, got plenty
Got them, got her, got more, got Benji (yeah)
Top off gettin' topped-off in the city
Big Top Dawg and I dance on 'em like Diddy
Pop off and I pop back like Fiddy (yeah)
I hit the ceiling and forgot about the floor (yeah)
Brand so big, got my haters on the ropes (yeah)
This be the wave, plus I live on the coast (yeah)
When I touch a bag, young nigga do the most (yeah)
Mmm, woo, and I Wakanda flex
And you know what time it is (yeah)
But don't know what grindin' is
Baby, I care, baby, I swear
Only one real nigga here
Only two real niggas here (yeah)
Big shot, hol' up, wait, peanut butter insides (no)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Big shot, big shot, (hol' on, hol' on), peanut butter insides (hol' on)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Big shots (yeah)
Purped up, syrup'd up, nigga, like Pimp C
Flight suit, 'bouta slide down space city
Top down, she down under like Iggy (yeah, it's lit)
Lockjaw when the night-call too litty
Knockoff, get your rocks off, got plenty
Got rocks, got Js, got 'Ye, got liney (yeah)
I need my engine, she need extensions (yeah)
Don't be the center-attention, just play your position (straight up)
Got my life on the admission 'cause they been up fishing (yeah, yeah)
Runnin' through these racks like I'm Moses off the boo
Hop out the trees, whippin' up four, gettin' lean
Foggy, can't breathe, fuck her right off a Phillipe (alright)
Out in the street (yeah), chill with the gang, make it sweet
Big shots, yeah (do-do-do-do)
Forget your name like I'm Steve
Big shot, hol' up, wait, peanut butter insides (no)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah
Big shot, big shot, (hol' on, hol' on), peanut butter insides (hol' on)
Outside, cocaine white, body look like Gentiles (Gentiles)
Emotion, emotion, emotion, emotional
Why you emotional? Why you emotional?
Ah, bitch, you emotional, yeah",https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7,221
I Am,Black Panther The Album Music From And Inspired By,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,2018,110671512,"Try it if it feels right (try it)
Try it if it feels right, yeah
When you try, oh, oh
♪
I'm tryin'
I'm just, yeah, I'm just, yeah
I been out here tryin' to see my homecoming
And of course, somebody's always gonna say something
Try and shoot me down for voicin' my own opinion
Triggerin' a part of me that's always been indifferent
And I know that we have asked for change
Don't be scared to put the fears to shame
When you know what you got, sacrifice ain't that hard
Feel like dependin' on me, sometimes we ain't meant to be free
When you know what you got, sacrifice ain't that hard
Feel like dependin' on me, sometimes we ain't meant to be free
Open up this letter you ain't tryin' to read
You've been blind to the subject but not blind to me
And I know that this margin ain't too small for me
Not too real, not too much anymore, not enough
And I know that we have asked for change
Don't be scared to put the fears to shame
When you know what you got, sacrifice ain't that hard
Feel like dependin' on me, sometimes we ain't meant to be free
When you know what you got, sacrifice ain't that hard
Feel like dependin' on me, sometimes we ain't meant to be free
If who I am offends you, don't feel sorry
Don't feel, don't feel sorry, don't feel, don't feel sorry
My loss is worth more than your wins
I'm satisfied if it starts over again
That is everything, that is everything, that is everything
That is everything, that is everything
I try to make it stop, I pray it will stop
I try to make it stop, I pray it will stop
I, stop, I am what you not
I try to make it stop, I pray it will stop
I try to make it stop, I pray it will stop
I try to make it stop, I pray it will stop
I, stop, I am what you not
I try to make it stop, I pray it will stop",https://open.spotify.com/track/0DJBgBiYeSn6n1AXAkFVE8,208
The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,2018,195576384,"Most of them gon' talk, I know, I know
Most of them gon' fall, I know, I know
We gon' bet it all, I know-oh-oh-oh
We gon' bet it all, I know-oh
Power girl
I really wanna know your ways
I really wanna know your ways
I really wanna know your ways
I really want a power girl
You been runnin' through my section all day
You been runnin' through my mind all day
All day, all day, all day, all day, yeah, uh
Somethin' in the way you move
Radion beams castin' vibrant views
Pick me up when I fall down and out
Dust me off and show me all truth
Show me that I'll never fly alone
I fucked up so many times, but I still have you
Show me how you do it like that
Carryin' a brother is not easy on your back
Most of them gon' talk, I know, I know
Most of them gon' fall, I know, I know
We gon' bet it all, I know-oh-oh-oh
We gon' bet it all, I know-oh
Power girl
I really wanna know your ways
I really wanna know your ways
I really wanna know your ways (wanna know, I wanna know)
I really want a power girl
You been runnin' through my section all day
You been runnin' through my mind all day
All day, all day, all day, all day, yeah, uh
Your body and your mind is your contribution
I'm here to give you love and never lose ya (lose)
Power girl, power girl
If I had you, I'd travel light years for you
Power girl, power girl
Let me show you what it do, aye
Workin' on me and you all day (all day)
Makin' sure what we have is safe, doin' it all (ooh)
She's over the city (she's over the city)
She go there if she been there (she go there if she been there)
I'm only one nigga (I'm only one nigga)
I can't be everywhere (ooh)
But I can take you anywhere, I know I swear, power girl
Power girl
I really wanna know your ways
I really wanna know your ways
I really wanna know your ways (wanna know, I wanna know)
I really want a power girl
You been runnin' through my section all day
You been runnin' through my mind all day
All day, all day, all day, all day, yeah, uh
Power girl out in the city, some niggas, they out in the city
Goin' nowhere, girl, you doin' in it
Goin' everywhere, girl, you don't need it
Goin' everywhere, what you doin' in it?
Power girl, why you move in the city?
Do you know, girl, girl, you know the city?
You over the city, you over the city
Power girl, yeah, she's over the city
Hourglass, yeah, she turned it over
Power girl, yeah, she's over the city
Hourglass, yeah, she turned it over",https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN,238
