SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Speak Now (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023,140181285,"I am not the kind of girl
Who should be rudely barging in on a white-veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
I sneak in and see your friends
And her snotty little family all dressed in pastel
And she is yelling at a bridesmaid
Somewhere back inside a room, wearing a gown shaped like a pastry
This is surely not what you thought it would be
I lose myself in a daydream
Where I stand and say
Don't say, ""Yes,"" run away now
I'll meet you when you're out of the church at the back door
Don't wait or say a single vow
You need to hear me out, and they said, ""Speak now""
♪
Fond gestures are exchanged
And the organ starts to play a song that sounds like a death march
And I am hiding in the curtains
It seems that I was uninvited by your lovely bride-to-be
She floats down the aisle like a pageant queen
But I know you wish it was me
You wish it was me, don't you?
Don't say, ""Yes,"" run away now
I'll meet you when you're out of the church at the back door
Don't wait or say a single vow
You need to hear me out, and they said, ""Speak now""
Don't say, ""Yes,"" run away now (run away now)
I'll meet you when you're out of the church at the back door
Don't wait, or say a single vow (say a single vow)
Your time is running out, and they said, ""Speak now""
Ooh (run away now)
Ooh, ooh (say a single vow)
I hear the preacher say, ""Speak now or forever hold your peace""
There's the silence, there's my last chance
I stand up with shaky hands, all eyes on me
Horrified looks from everyone in the room
But I'm only looking at you
I am not the kind of girl
Who should be rudely barging in on a white-veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
So don't say, ""Yes,"" run away now
I'll meet you when you're out of the church at the back door
Don't wait or say a single vow
You need to hear me out, they said, ""Speak now""
You'll say, ""Let's run away now (run away now)
I'll meet you when I'm out of my tux at the back door
Baby, I didn't say my vows (say a single vow)
So glad you were around when they said, 'Speak now'""",https://open.spotify.com/track/5xXqyjLicvEpch72qEryFT,242
Ours (Taylor’s Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023,78537549,"Elevator buttons and morning air
Strangers' silence makes me wanna take the stairs
If you were here, we'd laugh about their vacant stares
But right now, my time is theirs
Seems like there's always someone who disapproves
They'll judge it like they know about me and you
And the verdict comes from those with nothing else to do
The jury's out, but my choice is you
So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours
♪
You never know what people have up their sleeves
Ghosts from your past gonna jump out at me
Lurking in the shadows with their lip-gloss smiles
But I don't care, 'cause right now you're mine
And you'll say, ""Don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
The stakes are high, the water's rough
But this love is ours""
♪
And it's not theirs to speculate if it's wrong, and
Your hands are tough, but they are where mine belong, and
I'll fight their doubt and give you faith with this song for you
♪
'Cause I love the gap between your teeth
And I love the riddles that you speak
And any snide remarks from my father about your tattoos
Will be ignored, 'cause my heart is yours
So don't you worry your pretty little mind
People throw rocks at things that shine
And life makes love look hard
Don't you worry your pretty little mind
People throw rocks at things that shine
But they can't take what's ours
They can't take what's ours
The stakes are high, the water's rough
But this love is ours",https://open.spotify.com/track/3yNJkriPzWjkkDAWHIAVUq,235
Down Bad,THE TORTURED POETS DEPARTMENT,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt,2024,485797220,"Did you really beam me up?
In a cloud of sparkling dust
Just to do experiments on
Tell me I was the chosen one
Show me that this world is bigger than us
Then sent me back where I came from
For a moment I knew cosmic love
Now I'm down bad crying at the gym
Everything comes out teenage petulance
""Fuck it if I can't have him""
""I might just die, it would make no difference""
Down bad, waking up in blood
Staring at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up
I might stay down bad
Fuck it if I can't have him
Down bad
Fuck it if I can't have him
Did you take all my old clothes?
Just to leave me here naked and alone
In a field in my same old town
That somehow seems so hollow now
They'll say I'm nuts if I talk about the existence of you
For a moment I was heaven struck
Now I'm down bad crying at the gym
Everything comes out teenage petulance
""Fuck it if I can't have him""
""I might just die, it would make no difference""
Down bad, waking up in blood
Staring at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up
I might stay down bad
Like I lost my twin
Fuck it if I can't have him
Down bad
Down bad
Waving at the ship
Fuck it if I can't have him
I loved your hostile takeovers
Encounters closer and closer
All your indecent exposures
How dare you say that it's -
I'll build you a fort on some planet
Where they can all understand it
How dare you think it's romantic
Leaving me safe and stranded
'Cause fuck it, I was in love
So fuck you if I can't have us
♪
'Cause fuck it, I was in love
Now I'm down bad crying at the gym
Everything comes out teenage petulance
""Fuck it if I can't have him""
""I might just die, it would make no difference""
Down bad, waking up in blood
Staring at the sky, come back and pick me up
Fuck it if I can't have us
I might just not get up
I might stay down bad
Like I lost my twin
Fuck it if I can't have him (I'm down bad)
Down bad
Waving at the ship
Fuck it if I can't have him
Like I lost my twin
Fuck it if I can't have him
Down bad
Waving at the ship
Fuck it if I can't have him",https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,261
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023,174982692,"Now go stand in the corner and think about what you did
♪
Ha
Ha-ha, time for a little revenge
The story starts when it was hot, and it was summer, and
I had it all, I had him right there where I wanted him
She came along, got him alone, and let's hear the applause
She took him faster than you could say, ""Sabotage""
I never saw it coming, wouldn't have suspected it
I underestimated just who I was dealing with (oh)
She had to know the pain was beating on me like a drum
She underestimated just who she was stealing from
She's not a saint, and she's not what you think
She's an actress, whoa
He was a moth to the flame
She was holding the matches, whoa
Soon she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge (revenge), ha
♪
She looks at life like it's a party, and she's on the list
She looks at me like I'm a trend, and she's so over it
I think her ever-present frown is a little troubling, and
She thinks I'm psycho, 'cause I like to rhyme her name with things
But sophistication isn't what you wear or who you know
Or pushing people down to get you where you wanna go
They didn't teach you that in prep school, so it's up to me
But no amount of vintage dresses gives you dignity (think about what you did)
She's not a saint, and she's not what you think
She's an actress, whoa
He was a moth to the flame
She was holding the matches, whoa
Soon she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge (ha-ha)
I'm just another thing for you to roll your eyes at, honey
You might have him, but haven't you heard?
I'm just another thing for you to roll your eyes at, honey
You might have him, but I'll always get the last word
Whoa
(Come on, can you take it back?)
(Come on)
She's not a saint, and she's not what you think (no)
She's an actress, whoa (you know that you deserve it)
He was a moth to the flame
She was holding the matches, whoa
Soon she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge (come on)
Do you still feel like you know what you're doing?
'Cause I don't think you do, oh (no, no, no, no)
Do you still feel like you know what you're doing? (No)
I don't think you do, I don't think you do (come on, come on)
Let's hear the applause (oh, oh)
Come show me how much better you are (feels so much better, yeah?)
See, you deserve some applause
'Cause you're so much better
She took him faster than you could say, ""Sabotage""",https://open.spotify.com/track/0NwGC0v03ysCYINtg6ns58,220
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb,2024,322691745,"Who's gonna stop us from waltzing back into rekindled flames
If we know the steps anyway?
We embroidered the memories of the time I was away
Stitching, ""We were just kids, babe""
I said, ""I don't mind, it takes time""
I thought I was better safe than starry-eyed
I felt aglow like this
Never before and never since
If you know it in one glimpse, it's legendary
You and I go from one kiss to getting married
Still alive, killing time at the cemetery
Never quite buried
In your suit and tie, in the nick of time
You lowdown boy, you stand-up guy
You Holy Ghost, you told me I'm
The love of your life
You said I'm the love of your life
♪
About a million times
Who's gonna tell me the truth, when you blew in with the winds of fate
And told me I reformed you?
When your impressionist paintings of Heaven turned out to be fakes
Well, you took me to Hell too
And all at once, the ink bleeds
A con man sells a fool a get-love-quick scheme
But I've felt a hole like this
Never before and ever since
If you know it in one glimpse, it's legendary
What we thought was for all time was momentary
Still alive, killing time at the cemetery
Never quite buried
You cinephile in black and white
All those plot twists and dynamite
Mr. Steal Your Girl, then make her cry
You said I'm the love of your life
♪
You shit-talked me under the table
Talking rings and talking cradles
I wish I could unrecall
How we almost had it all
Dancing phantoms on the terrace
Are they secondhand-embarrassed
That I can't get out of bed
'Cause something counterfeit's dead?
It was legendary
It was momentary
It was unnecessary, should've let it stay buried
Oh, what a valiant roar, what a bland goodbye
The coward claimed he was a lion
I'm combing through the braids of lies
""I'll never leave,"" ""never mind""
Our field of dreams engulfed in fire
Your arson's match, your somber eyes
And I'll still see it, until I die
You're the loss of my life",https://open.spotify.com/track/3YkNIrAvbKNrrwwEd7NVLl,277
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,2021,159929462,"What about your promises, promises?
♪
What about your promises, promises, promises? No
What a shame
Didn't want to be the one that got away, yeah
Big mistake, you broke the sweetest promise
That you never should have made
I'm here on the kitchen floor
You call, but I won't hear it
You said no one else, how could you do this, babe?
(What about your promises, promises?)
You really blew this, babe
We ain't getting through this one, babe (yeah, yeah, yeah)
This is the last time I'll ever call you, babe
(This is the last time, this is the last time)
This is the last time I'll ever call you, babe
(What about your promises, promises, promises? No)
What a waste
Taking down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe
I break down every time you call
We're a wreck, you're the wrecking ball
We said no one else, how could you do this, babe?
(What about your promises, promises?)
You really blew this, babe
We ain't getting through this one, babe (yea, yea, yea)
This is the last time I'll ever call you, babe
(This is the last time, this is the last time)
This is the last time I'll ever call you
Since you admitted it (oh-oh), I keep picturing (oh-oh)
Her lips on your neck (oh-oh), I can't unsee it (oh-oh)
I hate that because of you, I can't love you, babe
What a shame
Didn't want to be the one that got away
How could you do this, babe? (Eh, eh, eh, eh, eh)
You really blew this, babe (babe, eh, yeah, eh)
We ain't getting through this one, babe (yeah, yeah, yeah)
This is the last time I'll ever call you, babe
(This is the last time, this is the last time)
This is the last time I'll ever call you
I'm here on the kitchen floor
You call, but I won't hear it
You said no one else
We ain't getting through this one, babe
I break down every time you call
We're a wreck, you're the wrecking ball
You said no one else
This is the last time I'll never call you, babe (yeah, yeah, yeah)
(What about your promises, promises?)",https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d,224
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://open.spotify.com/album/1o59UpKw81iHR0HPiSkJR0,2023,966155074,"He said, ""Let's get out of this town
Drive out of the city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever
But this is gonna take me down
He's so tall, and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your wildest dreams, ah-ah, ha
Wildest dreams, ah-ah, ha
♪
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever
But this is getting good now
He's so tall, and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request, it is
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your wildest dreams, ah-ah, ha (ah-ah, ha)
Wildest dreams, ah-ah, ha
You'll see me in hindsight, tangled up with you all night
Burning it down
Someday when you leave me, I bet these memories
Follow you around
You'll see me in hindsight, tangled up with you all night
Burning (burning) it (it) down (down)
Someday when you leave me, I bet these memories
Follow (follow) you (you) around (around)
(Follow you around)
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again, even if it's just pretend
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (just pretend, just pretend)
Wildest dreams, ah-ah, ha (ah-ah-ah-ah)
Wildest dreams, ah-ah, ha
(Even if it's just in your) wildest dreams, ah-ah, ha
In your wildest dreams, ah-ah, ha",https://open.spotify.com/track/27exgla7YBw9DUNNcTIpjy,220
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023,177724303,"The way you move is like a full-on rainstorm, and I'm a house of cards
You're the kind of reckless that should send me running
But I kinda know that I won't get far
And you stood there in front of me, just close enough to touch
Close enough to hope you couldn't see what I was thinking of
Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile
♪
My mind forgets to remind me you're a bad idea
You touch me once and it's really something
You find I'm even better than you imagined I would be
I'm on my guard for the rest of the world, but with you, I know it's no good
And I could wait patiently, but I really wish you would
Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile
♪
I'll run my fingers through your hair and watch the lights go wild
Just keep on keeping your eyes on me, it's just wrong enough to make it feel right
And lead me up the staircase, won't you whisper soft and slow?
I'm captivated by you, baby, like a fireworks show
Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile
And the sparks fly
And, oh, baby, smile
And the sparks fly",https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp,261
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt,2024,312603401,"Was any of it true?
Gazing at me starry-eyed
In your Jehovah's Witness suit
Who the fuck was that guy?
You tried to buy some pills
From a friend of friends of mine
They just ghosted you
Now you know what it feels like.
And I don't even want you back
I just want to know
If rusting my sparkling summer was the goal
And I don't miss what we had
But could someone give
A message to the smallest man who ever lived
You hung me on your wall
Stabbed me with your push pins
In public, showed me off
Then sank in stoned oblivion
Cause once your queen had come
You'd treat her like an also-ran
You didn't measure up
In any measure of a man
And I don't even want you back
I just want to know
If rusting my sparkling summer was the goal
And I don't miss what we had
But could someone give
A message to the smallest man who ever lived
Were you sent by someone
Who wanted me dead?
Did you sleep with a gun underneath our bed?
Were you writing a book?
Were you a sleeper cell spy?
In 50 years will all this be declassified?
And you'll confess why you did it
And I'll say, ""Good riddance""
Cause it wasn't sexy once it wasn't forbidden
I would've died for your sins
Instead I just died inside
And you deserve prison, but you won't get time
You'll slide into inboxes
And slip through the bars
You crashed my party and your rental car
You said normal girls were ""boring""
But you were gone by the morning
You kicked out the stage lights
But you're still performing
And in plain sight you hid
But you are what you did.
And I'll forget you but
I'll never forgive
The smallest man who ever lived",https://open.spotify.com/track/2v1ivOOsgn64g5OywuH55L,245
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt,2024,232381229,"Now pretty baby I'm runnin back home to you
♪
Fresh out the slammer
I know who my first call will be to ...
Fresh out the slammer
Another summer, taking cover
Rolling thunder, he don't understand me
♪
Splintered back in winter
Silent dinners, bitter
He was with her in dreams
♪
Gray and blue and fights and tunnels
Handcuffed to the spell I was under
For just one hour of sunshine
Years of labor, locks and ceilings
In the shade of how he was feeling
But it's gonna be alright. I did my time.
Now pretty baby I'm runnin back home to you
♪
Fresh out the slammer
I know who my first call will be to ...
Fresh out the slammer
Camera flashes, welcome bashes
Get the matches, toss the ashes off the ledge
As I said in my letters, now that I know better
I will never lose my baby again
My friends tried but I wouldn't hear it
Watched me daily disappearing
For just one glimpse of his smile
All those nights you kept me going
Swirled you into all of my poems
Now we're at the starting line
I did my time.
Now pretty baby I'm running
To the house where you still wait up
And that porch light gleams
To the one who says
I'm the girl of his American Dreams
And no matter what I've done
It wouldn't matter anyway
Ain't no way I'm gonna screw up
Now that I know what's at stake
Here. At the park where we used to sit on children's swings
Wearing imaginary rings ...
♪
But it's gonna be alright.
I did my time ...",https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC,210
