SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
The Morning - Live,Live At SoFi Stadium,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92,2023,4646957,"This is for the ""House of Balloons"" fans in SoFi tonight, yeah
♪
I'm fucking gone right now
""Listen, listen""
From the morning to the evening
Complaints from the tenants
Got the walls kicking like they six months pregnant
Drinking Alizé with our cereal for breakfast
And girls calling cabs at dawn quarter to seven
Sky's getting cold, we're flying from the north
We rockin' with LA like a sold out show
A house full of pros that specialize in the ho'in'
Make that money rain as they taking off they clothes
Order plane tickets
Cali was the mission
Visit every month like I'm split lifе living
Let the world listen
If a hatеr's caught slipping
Then my niggas stay tight
Got my back like Pippen
Fast life gripping
Yeah, we still tippin'
Codeine cups paint a picture so vivid
Fakes try to mimic
Get girls timid
But behind closed doors they get poles so rigid
And all that money, the money is the motive
All that money, the money is the motive
All that money, the money she be folding
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work
Girl, put in work
Push it to the limit
Push it through the pain
I push it for the pleasure like a virgin to the game
A virgin to that money
A virgin to the fame
So this my only chance
And when I'm over, only pray
That I flow from the bottom
Closer to the top
The higher that I climb
The harder I'ma drop
These pussy ass niggas tryna hold on to their credit
So I (tell them use a debit) oh baby
(Watch they image start to lessen) ooh, yeah
(I warn them like discretion)
Why these niggas testing?
Always fucking testing
Why these niggas testing?
Shit that I got them on straight bar hopping
To the music of the ambiance
Get shit popping
Zombies of the night (Zombies of the night)
Niggas ain't talking if they hyping to the crew
Get it in like pockets
Downtown loving
When the moon coming
Only place to find bassheads and hot women
(Lets go)
All that money, the money is the motive (the money is the motive)
All that money, the money is the motive (eh-eh, say, I say)
All that money, the money she be folding
Girl, put in work, girl, girl, put in work
Girl, put in work, girl, girl, put in work
Girl, put in work
Work, work, work
Work, work, work
(Work, work, work)
Los Angelo's
Let's",https://open.spotify.com/track/3Tz5B0wTyLdz4jE8LgYA3J,199
Escape From LA,After Hours (Deluxe),https://open.spotify.com/album/742eAldb4AJKLoPgJhGRE7,2020,215026461,"You pillow talk to me about the men who try to get in between us
They buy you bags and jewelry, yeah
They think your kindness is so weak
No, you don't give it up so easy, baby
But you just wanted my attention
You just wanted my affection
You got me tattooed on your mind
You just want me all the time
We'll figure out our shit and find a way (oh, yeah)
When you say that you need space, I give you space (you space)
Girl, when you're ready, you know where I stay
When it comes to all these hoes, I'll never chase
But this world is such a, such an evil place
Man, these hoes will always find a way
'Cause when I'm on the liquor, I go crazy
And for that pussy, you know I'm a slave, yeah
Well, this place is never what it seems
Take me out LA
Take me out of LA
This place will be the end of me
Take me out LA
Take me out of LA, yeah
Yeah
I'm in the Spyder Porsche cruising down the street
Black on black venom colored seats
Keanu Reeves, the way a nigga speed
Diamond cross hangin' off of me
I'm fighting for my soul, Constantine
And it's slowly burning, it was never cheap
If you see what I seen, you wouldn't sleep
I can't sleep
'Cause I got everything I wanted
Got the money, got the cars, got the ceiling with the stars
Got everything I wanted
But I'd be nothing without you
Gave you everything you wanted
Gave you power, gave you life, gave you space so you can shine
Gave you everything you wanted
But none of that matters to you, oh-oh
This place (this place) is never what it seems
Take me out LA
Take me out of LA
(Oh, out LA, woah-oh) this place will be the end of me
Take me out LA
Take me out of LA, yeah
Woah, no, oh, no, no
No, no, no, no, no, ooh-woah
♪
Oh-ah, no, no, no, no, woah-woah
Oh, no, oh
Hey
♪
She pulled up to the studio
Nobody's watching
She closed the door and then she locked it
For me, for me
We had sex in the studio
Nobody walked in
I cut my verse and then she popped it
For me, for me
LA girls all look the same
I can't recognize
The same work done on their face
I don't criticize
She a coldhearted bitch with no shame
But her throat too fire
She got Chrome Hearts hangin' from her neck
And them shits going wild
When she ride, she hold tight
She gon' ride 'til sweat fall down her spine
She's all mine for the night
She's all mine until he calls her line
She pulled up to the studio
Nobody's watching
She closed the door and then she locked it
For me, for me
We had sex in the studio
Nobody walked in
I cut my verse and then she popped it
For me, for me
Oh-oh, oh-oh",https://open.spotify.com/track/51a6oFNsFpB2zew1tdzT6I,355
Or Nah - Live,Live At SoFi Stadium,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92,2023,6640644,"Na-na, na-na, na-na, na-na-na
Do you like the way I flick my tongue or nah?
You can ride my face until you're drippin' cum
Can you lick the tip then throat the dick or nah?
Can you let me stretch that pussy out or nah?
I'm not the type to call you back tomorrow
But the way you wrappin' 'round me is a prob'
Ain't nobody tryna save ya, baby, get that paper
Probably got a lotta other bitches owe you favors
Pussy so good, had to save that shit for later
Took her to the kitchen, fucked her right there on the table
She reppin' XO to the death, I'm tryna make these bitches
I'm tryna keep that pussy, I'm tryna fuck her and her friends, I'm tryna, talk to me
(You gon' run it for these hunnids, girl, or nah?)
Show me, is you really 'bout your money, girl, or nah?
Don't play with a boss, girl, take it all
Took her for a real one, you gon' get it all (na-na-na, na-na-na, na-na-na, say or nah, baby)
(Is you really 'bout your money or nah?)
(Can you really take dick or nah?) Can you really take dick or nah?
(Can I bring another bitch or nah?) I wanna know, ooh
(Is you with the shits or nah?) Oh-whoa-whoa (or nah, or nah)
(Would you ride for a nigga or nah?) Na-na-na
(Would you die for a nigga or nah?) Na-na-na
(Would you lie to a nigga or nah?) Na-na-na
Say it all baby (can you really take dick or nah?)
Ooh-yeah, and I wanna know (can I bring another bitch or nah?)
(Is you with the shits or nah?) wanna know, oh-oh-oh (or nah, or nah)
(Would you ride for a nigga or nah?) Would you ride for a nigga, or
Would you die for a nigga, or nah, or nah?",https://open.spotify.com/track/6tB01QHgH9YuVA8TomAzni,101
Lonely Star,Thursday (Original),https://open.spotify.com/album/6F87lH0I09qlrzvCCKc7lz,2011,69911338,"If, all I could say is if
Promise me you won't regret me like the tattoos on my skin
Like the wrong kind
Promise me you'll all love me one day you'll remember me
When you fuck them you'll see my face
My body is yours
Happy Thursday
It seems like pain and regret
Are your best friends
Ooh-ooh-ooh, oh, yeah
'Cause everything you do leads to them
Right, right, right
Yeah, but baby, I could be your best friend
Ooh-ooh-ooh-ooh
Baby, I could fuck you right
Ooh-hoo-ooh
Who-oo-oo-aa-ah
Baby, you can have it all
Ooh, whoah
Baby, you can have it all
Ooh, yeah
Baby, you can have the cars, the clothes
The jewels, the sex, the house
Baby, you could be a star
Oh, yeah
Baby, you can have it all
Baby, you can have it all
♪
Baby, you can have the cars, the clothes
The jewels, the sex, the house
Baby, you could be a star
♪
Wo-ho-aa-ah
You're blaming all your sins
On your best friends
Ooh-ooh-ooh, oh, yeah
And nothing's ever ever your fault
And nothing's your fault, baby
No-oo-oo
But baby, you don't need
Your best friends
Woah, woah, woah, oh-ooh, yeah
'Cause I got everything you want
Hoo-ooh, ayy, yeah
Baby, you can have it all
Ooh, baby
Baby, you can have it all
Ooh, yeah
Baby, you can have the cars, the clothes
The jewels, the sex, the house
Baby, you could be a star
Baby, you could be a star
Baby, you can have it all
Baby, you can have it all
Baby, you can have the cars, the clothes
The jewels, the sex, the house
Baby, you could be a star
Oh, yeah
♪
If, all I could say is if
Promise me you won't regret me like the tattoos on my skin
Let the wrong doing come with me
One day I'm hoping that you will remember me
When you fuck them you'll see my face
My body is yours
Give them any other day but Thursday
You belong to me every Thursday
I'll wait for you
I'll be beautiful for you
Every Thursday
I exist only on Thursday
♪
Not on Monday, Tuesday, Wednesday, Friday, Saturday, Sunday
But on Thursday, Thursday
Not on Monday, Tuesday, Wednesday, Friday, Saturday, Sunday
But on Thursday
I love the guitars",https://open.spotify.com/track/5JpSjNcjuP8L9QrYmv3xcn,349
Scared To Live,After Hours,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj,2020,189470967,"When I saw the signs, I should've let you go
But I kept you beside me
And if I held you back, at least I held you close
Should have known you were lonely
I know things will never be the same
Time we lost will never be replaced
I'm the reason you forgot to love
So don't be scared to live again
Be scared to live again
No, don't be scared to live again
Be scared to live again
You always miss the chance to fall for someone else
'Cause your heart only knows me
They try to win your love, but there was nothing left
They just made you feel lonely
I am not the man I used to be
Did some things I couldn't let you see
Refused to be the one who taints your heart
So don't be scared to live again
Be scared to live again
No, don't be scared to live again
Be scared to live again
I hope you know that
I hope you know that
I've been praying that you find yourself
I hope you know that
I hope you know that
We fell apart, right from the start
I should have made you my only
When it's said and done
So don't be scared to live again
Be scared to live again
I said don't be scared to live again
Be scared to live again
I hope you know that
I hope you know that
I've been praying that you find yourself
I hope you know that
I hope you know that
We fell apart, right from the start",https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv,191
Initiation,Echoes Of Silence (Original),https://open.spotify.com/album/04hy4jb1GDD00otiwzsFUB,2011,46540574,"Oh, yeah
Got you drinking out them white cups, sodas
All this shit so foreign to you, thick smoke, choking
Baby, get familiar with the order
Just crack it, then pour it, then sip slow, then tip low
My eyes red but my brim low, that XO
She climbing, straight to the top
Forgetting why she there in the first place
No more crying, heart rate slow
Put that rum down you don't wanna die tonight
I promise, when you're finished, we'll head to where I'm living
The party won't finish, it's a fucking celebration, oh yeah
For my niggas out tonight
And they high off Shakespeare lines
There's enough to pass around, you don't gotta wait in line
And the clocks don't work, you don't gotta check the time
And the blinds don't work, you don't gotta check the sky
We'll be going all night, 'til light
I got a test for you
You say you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys
And you've been going hard, baby
Now you rolling with some big boys, baby
Got a lot you wanna show off, baby
Close that door before you take your fucking clothes off, baby
Don't mind, all my writings on the wall
I thought I passed my peak and I'm experiencing fall
And all I wanna do is leave 'cause I've been zoning for a week
And I ain't left this little room, tryna concentrate to breathe
'Cause this piff so potent, killing serotonin
In that two floor loft in the middle we be choking
On that all black voodoo, heavy gum chewing
Go on if you thirsty, baby, if you dancing
Grab a cup of that XO, baby, I been leaning
Back from the come down, girl, I've been fiending
For another round, don't you blame it on me
When you're grinding up your teeth and it's fucking hard to sleep
I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high
Baby, come over here and ride it out, ride it out
Work that back 'til I tire out
Roll that weed, bring that fire out
Taste that lean when you kiss my mouth
Bed so wet when I eat you out
Girl's friends scream that I'm creeping out
If they're not down, better keep 'em out
Ex-man hollering, keep him out
Hard to let go, I could teach you how
Take a puff of this motherfucking weed for now
Bet a shot of this cognac, ease you out
Just one night, trying to fucking leave you out
Baby, baby
I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high
Baby, come over here and ride it out
(Ooh yeah, ooh yeah, ooh yeah)
Come over here and ride it out
(Ooh yeah, ooh yeah, ooh yeah)
(Ooh yeah)
That north north, that up top, that OVO and that XO (ooh)
That north north, that up top, that OVO and that XO (ooh yeah)
That north north, that up top, that OVO and that XO (oh yeah)
That north north, that up top, that OVO and that XO (XO)
That north north, that up top, that OVO and that XO (oh yeah)
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO",https://open.spotify.com/track/3QWENKFYGEgp3itgTnrgq9,260
D.D.,Echoes Of Silence (Original),https://open.spotify.com/album/04hy4jb1GDD00otiwzsFUB,2011,124475855,"Oh, no
Oh, no
You'll never make me stay, so take your weight off of me
I know your every move, so won't you please let me be?
I've been here times before but I was too blind to see
That you seduce every man, this time you won't seduce me
She's saying that's ok, hey baby do what you please
I am the stuff that you want, I am the thing that you need
She looked me deep in the eyes, she touchin' me so to start
She say there's no turnin' back, she trapped me in her heart
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana let me be, ooh, oh
♪
She likes the boys in the band, she knows when they come to town
Every musician's fan after the curtains come down
She waits at backstage doors for those who have prestige
Who promise fortune and fame, a life that's so carefree
She's saying that's ok, hey baby do what you want
I'll be your night lovin' thing, I'll be the freak you can taunt
And I don't care what you say, I want to go too far
I'll be your everything if you make me a star
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Dirty Diana
Dirty Diana, no
Dirty Diana, no
Dirty Diana, let me be!
♪
She said I have to go home 'cause I'm really tired you see
But I hate sleepin' alone, why don't you come with me
I said my baby's at home, she's probably worried tonight
I didn't call on the phone to say that I'm alright
Diana walked up to me, she said I'm all yours tonight
At that I ran to the phone sayin' baby I'm alright
I said unlock the door 'cause I forgot the key
She said he's not coming back because he's sleeping with me
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Dirty Diana
Dirty Diana
Dirty Diana
Dirty Diana
Let me be!",https://open.spotify.com/track/0WdJTI3UVvUMbLwPk5ObKI,274
Final Lullaby - Bonus Track,After Hours (Deluxe),https://open.spotify.com/album/742eAldb4AJKLoPgJhGRE7,2020,68552680,"I'm running out of time
And you'll always be on my mind
And I can't make you stay in this broken place
And I hope you find peace
Close your eyes as I put us to sleep
Finally
To sleep
Finally
And I can't make you stay
In this broken place
And I hope you find peace
Close your eyes as I put us to sleep
Finally
Go to sleep
Finally
Oh-oh, oh, oh-oh
Oh-oh, oh, oh-oh-oh, oh
I'm home alone
My trauma, alone
I can't make you stay in this broken place
Won't you find peace?
Close your eyes and I put us to sleep
Whoa, oh, oh
To sleep, woah
Na-na-na-duh-na-na
Whoa, no, no
Na-na-na-na
Oh, oh, oh
Oh, oh, oh",https://open.spotify.com/track/4TA5KWeqdDmgdVPHE7Yj3B,185
Can't Feel My Face - Live,Live At SoFi Stadium,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92,2023,5946110,"And I know she'll be the death of me
At least, we'll both be numb
And she'll always get the best of me
The worst is yet to come
But at least, we'll both be beautiful and stay forever young
This I know, yeah, girl, I know
One time
She told me, ""Don't worry about it""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me, ""You'll never be-""
One, two, three, let's go
(I can't feel my face when I'm with you)
Yeah
But I love it, but I love it, oh
I can't feel my face when I'm with you, hey
But I love it, hey, but I love it
And I know she'll be the death of me
At least we'll both be numb
And she'll always get the best of me
The worst is yet to come
All the misery was necessary when we're deep in love
This I know, yeah, girl, I know
One time
She told me, ""Don't- (worry about it)""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me, ""You'll never be alone"", let's go
(I can't feel my face when I'm with you)
Yeah, but I love it, hey, but I love it, oh
I can't feel my face when I'm with you, hey
But I love it, say, but I love it
I can't feel my face when I'm with you, oh
But I love it, say, but I love it, oh
I can't feel my face when I'm with you, oh
But I love when I'm with you, baby
Oh-oh, ooh
She told me, ""Don't worry"" (about it)
She told me, ""Don't worry"" (no more)
We both know we can't go (without it)
She told me, ""You'll never be alone""
Let's go
(I can't feel my face when I'm with you)
I can't feel my face, girl (but I love it)
But I love it, babe, yes, I love it
I said I can't feel my face when (I'm with you)
I can't feel my face, girl (but I love it)
When I'm with you, baby (but I love it)
When I'm with you, oh
I can't feel my face when I'm with you, oh
But I love it, yeah, but I love it, oh
I can't feel my face when I'm with you, oh
But I-, when I'm with you, baby
Los Angeles, make some noise
Oh, say",https://open.spotify.com/track/47vfGRaXEGzcM2vI7JC2OO,183
Missed You - Bonus Track,After Hours (Deluxe),https://open.spotify.com/album/742eAldb4AJKLoPgJhGRE7,2020,145513626,"Convinced myself to run around with someone else to forget about you
But I can't hold you responsible for the things I do
I said your name by mistake, played it off like I'm just confused
But I was frontin', lyin' to myself when I know the truth
Was I missed you
Yes, it's true
I should've known not to let you go, let you go
'Cause I missed you
Baby boo
We could've grown if I held you close, held you close
I hurt myself a hundred times just to feel something in my soul
I kept knocking even though I knew what's behind that door
But then I heard you call my name and it sounded like the sweetest song
You never moved on, you were waiting for me all along
Well, I missed you
Yes, it's true
Should've known not to let you go, let you go
Well, I missed you
Baby boo
We could've grown if I held you close, held you close
Well, I missed you
Yes, it's true
Should've known not to let you go, let you go
Girl, I missed you
Baby boo
We could've grown if I held you close, held you close
Girl, I missed you",https://open.spotify.com/track/5SGEPm9ge10bD4j3ec9UHV,144
