SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
MY EYES,UTOPIA,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ,2023,750643681,No Lyrics,https://open.spotify.com/track/4kjI1gwQZRKNDkw1nI475M,251
MM3,JACKBOYS 2,https://open.spotify.com/album/32lGAqeVkdJxEj2iv2Q01B,2025,22034750,"Mm, like I said, this shit forever
Believe that
Yeah
Maison Margiela my shoes, Maison Margiela my-, ay (bitch, bitch)
Saint Laurent my denim, Saint Laurent my swag
Bitch, you can't keep up wit' 'em, that lil' nigga pop tag (whoo, bitch)
Yeah, you know a nigga got rocked, yeah, you know a nigga pop back (okay)
I fell in love with the high (yeah), I fell in love with the high (bee, yeah)
You can't even look in my eye (yeah) because you livin' a lie (bitch)
I fell in love with the love (world), she fell in love with the life (yeah)
Cartier came with two type (two type), bitch, do you see what you like?
I know you been seen the hype, she wanna run and get right (right)
You never wanna go back, know I treat you better, bae, please do not fight (skrrt)
Tokyo Drift when I slide, I keep that hot shit on side (blaow)
I live a wonderful life, bitch, you fucked, you tryna be sheisty (fuck)
Is it 'cause I get fly like a byes? Is it 'cause of my nigga beside? (Bee)
Is it 'cause I've been out of my mind, and I got all this sauce, and I don't even try?
Matter fact, I know Lord is my God (yeah), and them racks gettin' bigger in size (yeah)
When they tell me that I'm never stop poppin', I just go and walk with that blue when I cry (ho)
Maison Margiela my shoes, Maison Margiela my-, ay (bitch, bitch)
Saint Laurent my denim, Saint Laurent my swag (ooh, brr)
Bitch, you can't keep up with 'em, that lil' nigga pop tag (bitch)
Yeah, you know a nigga got rocked, yeah, you know a nigga pop back (okay, yeah)
I fell in love with the high (yeah), I fell in love with the high (bee, yeah)
You can't even look in my eye (yeah), because you livin' a lie (bitch)
I fell in love with the love (world), she fell in love with the life (yeah)
Cartier came with two type (two type), bitch, do you see what you like?
Huh, I got the wave, whoa, huh, I made that bit' lose control
Uh, MM3, all of my clothes, uh, I'ma go Maison the toes (huh)
I make 'em sweat at my shows, I'ma keep bitin' my flows (let's go)
I'm with the gang, right or wrong (yeah)
Bitch, you know money get long (skrrt)
Fuck with me, you know that I'm gone
I wake up and get fly like a drone (buh)
On the road, I've been barely at home (huh, what?)
Fuck that bad bitch, I've been in that zone (huh)
Stars align, man, I feel like I'm chosen (what?)
I don't got time to kick with you hoes (yeah)
I'm on mine and don't give me no more (yeah, yeah)
When it's time, and I'm ready for war (yeah, oh)
Maison Margiela my shoes, Maison Margiela my-, ay (bitch, bitch)
Saint Laurent my denim, Saint Laurent my swag (ooh, brr)
Bitch, you can't keep up with 'em, that lil' nigga pop tag (bitch)
Yeah, you know a nigga got rocked, yeah, you know a nigga pop back (okay, yeah)
I fell in love with the high (yeah), I fell in love with the high (bee, yeah)
You can't even look in my eye (yeah), because you livin' a lie (bitch)
I fell in love with the love (world), she fell in love with the life (yeah)
Cartier came with two type (two type), bitch, do you see what you like?",https://open.spotify.com/track/2D8i2yY8z3kB5gRaUJ5weK,174
SICKO MODE,ASTROWORLD,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,2018,2484528799,"Astro'
Yeah
Sun is down, freezing cold
That's how we already know winter's here
My dawg would probably do it for a Louis belt
That's just all he know he don't know nothing else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Going on you with the pick and roll
Young LaFlame, he in sicko mode
♪
(Woo) made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hop in our coupes
This shit way too big, when we pull up gimme the loot (gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two-four hour lockdown, we made no moves
Now it's 4:00 a.m. and I'm back up popping with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really selling fruits
And they choking, man, know the crackers wish it was a noose
Someone said
To win the retreat, we all in too deep
Play-Play-Playing for keeps, don't play us for weak (someone said)
To win the retreat, we all in too deep
Play-Play-Playing for keeps, don't play us for weak
This shit way too formal, ya'll know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you coming too""
In the 305, bitches treat me like I'm Uncle Luke (don't stop, pop that pussy)
Had to slop the top off, it's just a roof, uh
She said, ""Where we going?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together, I'm the glue
Someone said
Shorty FaceTime me out the blue
Someone said
Play-Play-Playing for keeps
Someone said, motherf-
Someone said
Don't play us for weak
♪
Yeah!
Astro
Yeah, yeah
Tay Keith, fuck these niggas up
Ayy, ayy
She's in love with who I am
Back in high school, I used to bust it to the dance (yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, 13 hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah, like a light, ayy
Slept through the flight, ayy
Not for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (down the block)
Made a right (yeah), cut the lights (yeah)
Pay the price (yeah)
Niggas think it's sweet (nah, never), it's on sight (yeah)
Nothing nice (yeah), baguettes in my ice
Jesus Christ (yeah), checks over stripes (yeah)
That's what I like (yeah), that's what we like (yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (bitch!)
See the shots that I took (ayy), wet like I'm Book (ayy)
Wet like I'm Lizzie, I be spinning Valley, circle blocks 'til I'm dizzy (yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (yeah, yeah)
I'm tryna clean 'em (yeah)
She's in love with who I am
Back in high school, I used to bust it to the dance
Now I hit the FBO with duffels in my hands (woo!)
I did half a Xan, 13 hours 'til I land
Had me out like a light (like a light)
Like a light (like a light)
Like a light (like a light)
Like a light
Yeah, passed the dawgs a celly
He sending text ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife"", yeah
It's absolute (yeah), I'm back reboot (it's lit)
LaFerrari to Jamba juice, yeah (skrr, skrr)
We back on the road, they jumping off, no parachute, yeah
Shorty in the back
She said she working on her glutes, yeah (oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (yeah)
Baby mama cover Forbes, got these other bitches shook, yeah",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,312
CHAMPAIN & VACAY,JACKBOYS 2,https://open.spotify.com/album/32lGAqeVkdJxEj2iv2Q01B,2025,60033541,"Brick Squad
Travis, Waka, Scott, Flocka, Flame
Mm, mm
Mm
This shit get intergalactic (yeah, Flocka)
They like to ski, let's take these bitches to Aspen (baow, baow, baow, baow, baow)
Know you a freak, girl, you can stop all the actin' (baow, baow, baow, baow, baow, baow)
She don't really do the vacay and the champagne (no way, yup)
She wanna go hard in the damn paint (Flocka, yeah)
Let me see you go hard just for me, babe
Can you go hard? (Baow, baow, baow, baow)
♪
Squad (North Memphis, South Memphis, Westwood, Orange-)
♪
Baow, baow, Flocka
Back and I'm causin' a stir
How the fuck I got the drink out in Europe? Shawty keep twistin' her hair (baow)
She wanna see how the-, ah, ah, she wanna see how the JACKBOYS move (flex, baow, brr)
Spit on the mic, baby, check, one, two (yup, yup, yup, yup, yup, yup, yup, yup)
Couple of killers, I'm flyin' a private, I ain't even gotta go check my tool (Flocka)
Like, what's up? What's up? What's up with niggas?
They wonder why I don't wanna fuck with niggas
Remember when they wouldn't fuck with niggas?
I changed the city from all that I know (baow, baow)
I'm tryna bring a Grammy to the Mo
Soon as she see me, she open her throat
Call her Little Caesars, she hot, hot and ready to go (rollin')
I don't like turnin' up none of my hoes
Shit that I hit, niggas never would know
You not my shit, that's twinski
Fuck me good, get an AMG Benzki or a brand-new Lambski (ski)
Niggas be prayin' they turn me down, whole time, nigga, I been geeked (JACKBOYS 2, squad)
Yeah, hittin' your bitch whole time you been asleep
Walked in LV, ten chains, feelin' like a nigga just walked in ten deep (yeah, JACKBOYS 2)
Yeah, man, I swear these old niggas kill me (baow, baow)
Know my YNs feel me (baow, baow, baow)
They just want the real me, yeah
Blue Bugatti, I'm dodgin' TMZ (baow, baow)
Made a hundred off pushin' Ts (baow, baow, baow)
Now my phone on DND, yeah
I just made her pay the fee, I just made her stay for keeps
Ridin' shit, it never leaks
You know how many Ts I- pssh
This shit get intergalactic
They like to ski, let's take these bitches to Aspen
Know you a freak, girl, you can stop all the actin' (baow, baow, baow, baow)
She don't really do the vacay and the champagne (flex)
She wanna go hard in the damn paint (you know, Flocka)
Let me see you go hard for me, babe
Can you go hard? (Squad)
♪
Paul and them, Paul and Juicy and them was the last niggas to fly
'Cause they was not goin' nowhere without it
And when goddamn Excursion came, that was-, nigga, that was it for them
They damn sure wasn't flyin', 'cause now they can bring as many niggas as they want
They got enough room for clothes, DJ turntables, sticks
Weed, liquor, all that shit
All in one motherfuckin' truck, nigga",https://open.spotify.com/track/5wNIHa6wvCCKP6fWgo3UAh,184
guidance,Birds In The Trap Sing McKnight,https://open.spotify.com/album/42WVQWuf1teDysXiOupIZt,2016,70131703,"And I found out that you're bad for me
I found out that you had someone
Every time I get this drunk
I hope I wake up in another place
I roll up behind it, I wanna try it
Grip on your waist, bust up the place, tantalizin'
You're from the Islands, you stay wildin'
I guide, I guide you, like a pilot
Haven't been around this year
I like to see you change your gears
To a motion that's more faster, babe
I'm grippin' like I'm tryna catch up, babe
Come through, follow me
Rumble, follow me
Rollin', follow me
Opt, follow me
Do you like that? Follow me
Nicest, follow me
Backwoods, follow me
Practice, follow me, yeah
Hop up, it's time for the switch
Lightskinned girls like the hair, man it come with a twist
Badmon, badmon, yeah you know it come with a risk
Ain't a bouncer... but the way you bouncin'
I might just frisk ya
I roll up behind it, I wanna try it
Grip on your waist, bust up the place, tantalizin'
You need some guidance, you stay wildin'
I'ma guide you like a pilot
Haven't been around this year
I like to see you change your gears
To a motion that's more faster, babe
I'm grippin' like I'm tryna catch up, babe
And I found out that you're bad for me
I found out that you had someone
Every time I get this drunk
I hope I wake up in another place
(Roll up, roll up)
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, oh
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah oh, oh
♪
You silent, you quiet
What happened to the loud talkin'?
All that noise, you done?
Are you finished? Or are you done?
How you been with your workout business?
Got my subscription
Got my attention
You know my intentions
You know that nobody know our business
God's our witness
Lit like my wrist is
Only like it when you're at your littest
I roll up behind it, I wanna try it
Grip on your waist, bust up the place, tantalizin'
You need some guidance, you stay wildin'
I'ma guide you like a pilot
Haven't been around this year
I like to see you change your gears
To a motion that's more faster, babe
I'm grippin' like I'm tryna catch up, babe
Bop-bop-bop-bop-bop-bop!
Grrrrrrrrrrrrrrrrrah!
I roll up, I roll up",https://open.spotify.com/track/2c2csx4OTYtbkzvbSTXlGY,207
HYAENA,UTOPIA,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ,2023,201923954,"The situation we are in at this time
Neither a good one, nor is it so unblessed
It can change, it can stay the same
I can say, I can make my claim
Hail, hail, hail
♪
Yeah
Okay, this shit is outta control
I'm drivin' through Hell and I done brought snow
It's shinin' in here, then I done brought glow
I hear the sirens right out the chateau, run me the info
Tryna hear what you did, not how you came close
'Cause I get bobblehead like I done made pro
I made Italian bread like I done made dough
I be all around the map
Write a show 'bout myself like I'm Chelsea Handler
Or write a series 'bout my bitches like I'm Kelsey Grammer
Nicknamed the jet Jayhawk 'cause it's outta Kansas
You know it's Spaldin' in my top, I'm in my esperanza
You know it's slammin' wall to wall
We gotta fill the stands up with slaps and the anthems
Poetic justice, I got you in all my stanzas
With your model stances, you everything I know about it
Know about it, know about it
Know about it, know about it (ah)
Know about it, know about it
Know about it, know about it
What we know
Where you shall go
♪
Power, ah
Uh, yeah
C-notes, B-notes, I took the biggest boat
We stayed down for life, it's like a jingle to do 'em all
We too much involved to spend a single ounce of time
She bust a whole ounce by doin' lines
I had to leave, like the leaves do trees
I'm finally home, I wiped the stress, then I touched that sweat
We took 'em 35 to 1 like this shit roulette
Hold up, beg your pardon, we done lit up, baby
Set up, told the preacher, ""Never finish,"" that's to say the least
Buy it, never lease it, but I gotta lease it
Mobile, Mona type of pieces, Met Gala, night Jesus
Skip it, hit the city, party pack, I got it with me
I'm shotty while I let you with me
I'm too bent to let you ride, barely 'til it's empty
Gotta feel me, pockets dumb fat and I got a skinny
Squad is with me, and that's everything I know about it
I know about it, I know about it
I know about it, I know about it
I know about it, I know about it
I know about it, I know about it
I know about it, I know about it
I know about it, I know about it
♪
Mother Earth is pregnant for the third time
For y'all have knocked her up
I have tasted the maggots in the mind of the universe
I was not offended
For I knew I had to rise above it all
Or drown in my own shit",https://open.spotify.com/track/0hL9gOw6XBWsygEUcVjxEc,222
JB2 RADIO,JACKBOYS 2,https://open.spotify.com/album/32lGAqeVkdJxEj2iv2Q01B,2025,6515675,"You're now listenin' to KJB2 (JACKBOYS)
Stay tuned for more (you must see it to believe it)
Talmbout Screw and candy paint, swangers and drank
It's, you, you know I'm sayin'? (Yeah, yeah)
And we tellin' them, ""This is where it's goin'"" (mhm)
Like, this is, this is what's happenin', we're, we're the next city to blow
We got the lifestyle, the night scene, we got everybody, everything
And this is the album that will explain it to people (yeah)",https://open.spotify.com/track/69cLn7zwq2oIfnahAOIwV1,31
sweet sweet,Birds In The Trap Sing McKnight,https://open.spotify.com/album/42WVQWuf1teDysXiOupIZt,2016,136119739,"'Cause you're sweet
Sak pasé? Wah yah seh?
Run it up, all this cake
Bag it up, then come right away
'Cause you're sweet, yeah, what's your status?
Might hit your address, if I'm on a mattress
Jet right to you, I can't do no traffic (skrrt, skrrt)
I can't do no lackin' (skrrt, skrrt)
'Cause you're sweet like cocoa
But all you wanna do is the coco (yeah)
Hangin' out with you is a no go (yeah, yeah, yeah, straight up)
'Cause you're sweet like cocoa (sweet, sweet, sweet)
But all you wanna do is the coco (sweet, sweet, sweet)
Hangin' out with you is a no go (sweet, sweet, sweet)
'Cause you're sweet (sweet)
Like my time, like my juice (sweet, sweet)
We been downstairs in the basement with the moves (sweet, yeah)
Shout my town, shout my troops
Shout my jeweler, made my chain look like Froot Loops (yeah, it's lit)
Come get a taste, come get a scoop (scoop)
I done made it out the hood through all the hoops (hula-hoops)
I done finally found a way to make the loot (make the loot)
Link up all my niggas and my jewelers
Yeah, link up, link up, yeah, link up, pour my syrup
Bad bitch, yeah, they link up, link up
Go bezerk, do some shit you think of (yah, yah)
Link, link, link, all these link, link, links
Leave my link, link, links
Smoke all my shit, stop and start again (yah)
'Cause you're sweet like cocoa
But all you wanna do is the coco
Hangin' out with you is a no go
'Cause you're sweet, yeah
Sak pasé? Wah yah seh? (yah, yah, yah)
Run it up (yah), all this cake (yah)
Bag it up, then come right away
When I ask who bigger (yah)
Ain't tryna argue with ya
I'm tryna figure (straight up)
Who you with? Who your team?
What's your side?
How you, how you, how you ride (skrrt-skrrt)
How you use me to survive (straight up)
Yeah, 'cause we up, lit at five
At the crib goin' live, oh, so live (yeah)
Eric hit the strippers (yeah), order V Live
Order wings, told 'em, ""Hold it""
'Cause you're sweet like cocoa (it's lit)
But all you wanna do is the coco (yeah, yeah)
Hangin' out with you is a no go (straight up)
'Cause you're sweet like cocoa
But all you wanna do is the coco
Hangin' out with you is a no go
'Cause you're sweet",https://open.spotify.com/track/01Ch5LzVStxCFPKkT1xg6k,222
Impossible,Rodeo,https://open.spotify.com/album/4PWBTB6NYSKQwfo79I3prg,2015,120918465,"You the one, you know me the best
You the one I call when I'm stressed
This the time of the year I feel alone
This the time of the year you treat me wrong
Yeah, this the late night, you know the deal (deal)
On a late night, nowhere to chill
Yeah, I'm on the west, yeah, I'm on the west side
Off the drugs, know I'm not the best guy
But you know I always get it done, yeah
You done had all of the rappers, I'm the one, yeah
Ain't gon' lie, I remember how it feels, yeah
I ain't gon' lie, I'ma tell you this for real
(Woah)
Split a pack of the woods down
Ride with me, yeah, you wish you could now
Always come and go and never fail
It was never love, I can tell now
She pop 'em up, Blue Chanel just to get it up
Parking lot full of foreign hoes on the regular
With them painted toes in them heels
Let's go find a place that's far from here, for real
(Far from here)
Nights like this, nights like this, I wish I could do the impossible
I wish I could do the impossible
Nights like this, nights like this, I wish
I could do the impossible, I could do the impossible
Yeah, you the one, you know me the best
You the one I call when I'm stressed (this the time)
This the time of year when I'm alone
This the time of the year we get our own
I can't lie when I'm out on the west
Yeah, the west, yeah, yeah, the west side
And lately, I ain't been feeling the best
'Cause you the best, yeah, you my best side
Now you know what you're dealing with
Now you know what's wrong, what the feeling is
Yeah, yeah, yeah, yeah, yeah
Rastas rolling in Benz up in here
Bandits poppin' them bars up
Man don't run up the bands up make them gun claps in here
No fear, no fear, you rock, I hear
I'm gon' let you know that the man is for real
Yeah, for real
(Far from here)
Nights like this, nights like this, I wish I could do the impossible
I wish I could do the impossible
Nights like this, nights like this, I wish
I could do the impossible, I could do the impossible
You already (yeah) know right? That you are irreplaceable (irreplaceable)
And I'm gonna take it slow, baby (baby)
You already know right? That you are irreplaceable (Irreplaceable)
And I'm gonna take it slow, baby (baby)
♪
I wish I could do the impossible
♪
I wish I could do the impossible
I could do the impossible",https://open.spotify.com/track/0IabpxMpUV7waD7U4uDIMJ,242
2000 EXCURSION,JACKBOYS 2,https://open.spotify.com/album/32lGAqeVkdJxEj2iv2Q01B,2025,31821142,"Yeah
♪
Ay, ay, what?
2000 Excursion (whip it), 40 for a bird (bird, yeah)
Tryna hit the Booby, bitch, just say the word (don't say it)
Peeped it for my brother first, it's the early bird, ay (brr, yeah)
Ay (whoo), ay (whoo), ay (ay, what's up? Yeah)
I don't get the bag, get the duff' (whoo)
My baby can't do me enough (bitch)
The best, they pourin' me up
No plastic, styrofoam cup
I'm on the Southside whippin' the truck
On tracks, not givin' a fuck (skrrt)
On wax, not givin' a fuck (whoo, fuck)
Like Jalil, not givin' a fuck, yeah (whoo)
He sleep with a Spanish bitch in the club
Bro know his Spanglish, that's good enough
We took an hour out of the after hours just to fuck up all the ones
I got a bunch, you ain't doin' brunch
I got a front that ain't gotta front
I put a blunt in a blunt
Make it last tonight (whoo)
Before you pass me by (whoo)
♪
Hey, I'm tryna see somethin' shake, see somethin' go crazy, girl, you out with the JACK right now
Gang-gang-gang on the block with the drop, still tryna flip that pack right now
I'm tryna see somersault hit the vault, I'm tryna see somethin' jump right now
We cause a scene with the team, you know it's a panic every time that the JACK touch down (bitch, yeah, bitch)
I'm tryna hit it, see your vertebrae (whoo, whoo)
I got hoes on salary from Sydney out to Paraguay
Gotta pay your passage, baby, you can't be no stowaway (yeah)
You can't bring that baggage on this voyage, just took a dose a day (yeah)
You obey me, do what I say (whoo)
I score goals like Pelé, Zizou, Ginola, Galatasaray (bitch)
I got a bitch stay out in the bayou, play Marvin Gaye, sip chardonnay (bitch)
I touch down all over the map, my bitch a dog, my bitch a brat
She send the stacks
Night, make it last tonight (yeah)
Before you pass me by (yeah)
♪
Make it last tonight (yeah)
Before you pass me by (before you pass me by)
(What's goin' on? What's goin' on? What's goin' on? What's goin' on? What's goin' on?)
Late night in the alleyway, cars parked on the corner (yeah, every time the JACK touch down)
I been waitin' for three hours, I been waitin' on you (yeah, JACK touch down)
JACKBOYS in Texas, JACKBOYS in California (every time the JACK touch down, yeah)
Whoa, it was nice to know you, mm
When the JACK touch down (ay)
I'm tryna see somethin' shake, see somethin' go crazy (yeah)
I'm tryna see somethin' shake, see somethin' go crazy, hey
Back in the mix, you fell through from where you fell
You dipped from somewhere else
Left for somewhere else
Ridin' with my strap, so I'm not really by myself
Hand on my belt, price on my health
Crackin' a seal, yes, I sip by myself
Ten different Chanels on this trip
So why am I still trippin' on myself?
Ay, ay, what?
2000 Excursion, 40 for a bird (bird)
Tryna hit the Booby, bitch, just say the word (don't say it)
Peeped it for my brother first, it's the early bird (brr)
Ay, ay, ay (brr), ay, what's up? (Yeah)",https://open.spotify.com/track/6Gp3pYkydEOkl8EHHJxa9s,222
