SongName,AlbumName,AlbumLink,Year,Runtime,PlayCount,Lyrics,SongLink
Keep My Spirit Alive,Donda,https://open.spotify.com/album/5CnpZV3q5BcESefcB3WJmz,2021,3:41,"67,874,611","Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh
Keep my spirit alive
Keep my spirit alive, alive
More than anything
You can take it all, but the Lord on my side
Spirit won't die, yeah
Oh-oh-oh, my life
Is in his hands, so I don't stress, I pray and strategize
Yo, flushed the work just in time and they raided
Thank God (thank God)
Screamin' through the GT roof like ""-, we done made it""
Thank God (thank God)
Hundred round drum didn't jam when my shooter tried to spray it
Thank God (thank God, brr)
Drop a thousand grams, got 2000 grands, we'll be waiting
Thank God (thank God)
I was facing 15 and I beat it (and I beat it)
Just spent about 20 up at Neimans (up at Neimans)
Did 200 in a demon (in a demon, skrrt)
I'm the illest - and I mean it (and I mean it)
My homie dropping bodies for no reason (boom, boom, boom, boom, boom)
Now his kids see him on the weekends (argh)
Got the baking soda for the remix (remix)
Millionaires on, I can see it
More than anything
You can take it all, but the Lord on my side
Spirit won't die-ie
Oh-oh-oh, my life, yeah
Is in his hands, so I don't stress, I pray and strategize
Yeah, don't hate me 'cause my heart is full of love
No weapon formed against me 'cause I'm covered in the blood
Laying in the hospital when I got shot, fam
Mama prayed for me, said she left it in God's hands, yeah
So I'ma leave it in God's hands
Everything I'm doing now is God's plan
Doctor said I wouldn't walk no more, now I stand
Then I ran, here I am, Machine
Keep my spirit alive
More than anything
You can take it all, but the Lord on my side
Well, between a mix of bad schools with the fast-food
Bad-had tools and a bad mood
If you don't turn to a Lil Gotti
They gon' drain all the strength in your lil' body
They turned me into a Lil Gotti, uh, yeah
Not Wakanda, but Wakanda is kinda like what we 'bout to make
And who gon' make it? Kan', duh
Who the squad? Donda
Who the mom? Donda
Who can see? Don, duh, get Don C
Who needs practice? I don't do rehearsals
And I don't do commercials 'cause they too commercial
Give it all to God and let Jesus reimburse you
She said, ""You in the studio with who? I'ma hurt you""
How I'm 42 and you got a curfew?
How nerves dictate how they gon' curve you?
Quiet all the cordialness
We walk in God's spiritual ordinance
We know the blacks, the orphans, refused to be runaways
Rebel, renegade, must stay paid
More than anything
You can take it all, but the Lord on my side
Spirit won't die-ie
Oh-oh-oh, my life, yeah
Is in his hands, so I don't stress, I pray and strategize",https://open.spotify.com/track/7EagormFign5ag6f16ua3I
DO IT,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,3:45,"97,221,445",No Lyrics,https://open.spotify.com/track/1oNaDXXu9I4UCJ8Fh0Hfjg
Off The Grid,Donda,https://open.spotify.com/album/5CnpZV3q5BcESefcB3WJmz,2021,5:39,"313,505,916","Yeah
♪
What?
We off the grid, grid, grid
This for my kid, kid, kid
For when my kid-kid-kids have kids
Everything we did for the crib
Everything we did, how we live (what?)
All this smoke got a scent
All that smoke, heaven sent (what?)
Everything I spoke what I meant (ah)
Never disguise my intent, lines outside the event
Brought my life out the trench
God, thank God, look what He did, did, did, did, did, did
We off the grid, grid, grid, grid, grid (ayy, what?)
We off the grid, grid, grid, grid
I'm off the grid (homicide, homicide, what?)
Got tat's on my ribs (ah), tattoos on my ribs (what?)
I just tatted my kid, Onyx (slatt)
I just threw 20, count it, we was at Onyx (ah, what?)
I just bought me some brand-new clothes
Dover Street Market (Givenchy)
Ayy, we just took the route to Charlotte (yeah, ah, what? Yeah)
I'm in the Rolls-Royce f-in' on, what you call it? (yeah, yeah)
I light the opp blunt and let your - try it (ah)
Uh, I'm off the grid and wanna- yeah (what?)
We off the grid, grid, grid
This for my kid, kid, kid, kid
Everything we did for the crib did here
Flexing with the business trip
Going cray, take some G6
Lit, lit, '76
He spit this, we off the grid, grid, grid
Yeah, look, when I was in jail, I was low-key (uh)
Shout out to supporters that wrote me
Eat food, work out, and then go to sleep
You know I'm praying, he carrying both feet (yeah)
Know we got God with us (God with us)
You look at me and see a God figure (uh)
And when I start vibing, I know that he with me
And I'ma always catch a hard shiver (uh)
I know it's demons in that dark liquor (Uh)
We buy a bottle and squash with ya (uh)
Everybody turn into a harsh -
But my pockets bigger and my heart richer (uh)
My mind smarter, my grind harder (skrr)
And my car quicker (skrrt)
I met her in church, she pray for me
She my God-sister (she my God-sister, yeah)
I'm only trustin' the people I keep close
- Sellin' they soul for a repost
Remember when I was broke, wearin' cheap coats
Now it's diamonds and houses and C notes (uh)
I'm feelin' marvelous (I'm feelin' marvelous)
Who let the monster loose? Huh? (Who let the monster loose?)
They call me a product of my environment (uh)
I tell them, ""Nah, I'm what God produced"" (baow)
Defense good, and them guards can shoot (baow)
I put 'em on you, it get hard to move
Tattoo in my face is the mark of truth
Gotta watch what you say when they market you (huh)
I already predicted this (huh, I already predicted this)
Y'all only witnessed it (y'all only witnessed it)
Look, got a couple old friends that I'm not really clickin' with
I know they pray that we settle our differences
I pray that they lower all my nig- sentences
I got some demons I'm not even dealin' with
They in they feelings, I'm not really feelin' it
And I know some members that gave back they membership
You switched up, huh, like how you not feelin' me?
Look, I act like I care, but I don't really care
Now I live in a new building with amenities
I got a new ceiling with a chimney
I got a few niggas wanna finish me
I don't get too friendly with the enemy
You gotta move different when you in the industry, woo, yeah
You gotta move different when you in the industry, huh
You gotta move different when you in the, look
God blessed me with amazing grace (uh)
She fell in love with my day to day (uh)
I just want my problems to fade away (uh)
Man, I'm tired of niggas, I need Gatorade
Boy, I got on my feet and I made a name
And I made it a necklace, huh
When you from the bottom and you working hard
Just to get the top, then they gotta respect it
If you got a voice, then you gotta project it
If you got a wrong, then you gotta correct it
If you got a name, then you gotta protect it
If you give me shock, then you gotta electric
Tryna live a new life (woo) so I got a new plan that I gotta finesse with, look, yeah
'Cause they want me to lose, they ain't part of the Woos
I been trying so hard not to move reckless
We off the grid, grid, grid
This for my kid, kid, kid, kid
Everything we did for the crib did here
Flexing with the business trip
Going cray, take some G6 (ah)
Lit, lit, '76
Even spinning this then they'll have to
Change his-his-his-
-Iggas trip, trip, trip, this, this
This, this, this, this
You still on this list, list, list, list
I'm off the grid, grid, grid, grid
Off the grid, grid, grid, grid
♪
First, it go viral, then they get digital
Then they get critical, no, I'm not doing no interview
Mask on my face, you can't see what I finna do
Had to move away from people that's miserable
Don't wanna link you, I ain't finna sit with you
Ain't finna talk to you, ain't finna get with you
Don't get me mad just 'cause I don't wanna injure you
She put my paintings inside of her living room
Look at the problems and issues I'm living through
They tryna drown me, I rise to my pinnacle
Walked through the block like the neighborhood general
Drop me the low and then that's what I send it to
I was forgetting you, now I remember, now I remember
Did what I want, and I say what I want
And I thought you was with me, like how you get sensitive?
I got this God power, that's my leverages
I got this Holy Water, that's my beverages
I gotta help myself out of selfishness
I just bought a floor out of Selfridges
I gotta make sure they know who they messin' with
I gotta tell 'em ""sorry"", they too delicate
I gotta stay with God where the blessings is
I ain't delivering Heavenly messages just for the hell of it
Don't try to test me, I keep it clean, but it can get messy
I talk to God everyday, that's my bestie
They playing soccer in my backyard, I think I see Messi
And this money could never neglect me
I pray that my family, they never resent me
And she fell in love with me as soon she met me
We both got it bad, mama, bag is more heavy
We have to stop counting, it's getting too petty
You not a real stepper, you can't overstep me
Just sit back and listen and watch how he bless me
He wait 'til I fall and then pull up and catch me
Your check is too small, you can't run up and check me
Nah, nah, I get 'em fast, see
You feel a way, then go pull up and get me
Might do something wild if I feel like you press me
Nah, I get 'em fast, see
You feel a way, then go pull up and get me
Might do something wild if I feel like you press me
We off the grid, grid, grid
This for my kid, kid, kid
For when my kid-kid-kids have kids
Everything we did for the crib
Pray for what folks them did
Only thing we pray God forgive-give-give
May God forbid-bid-bid
He hit one of the kids, kids, kids
Took off his list, list, list
Look what they did, did, did
Pray for the crib, crib, crib
Some say A-a-adam could never be bla-a-ack
'Cause a black man'll never share his rib, rib, rib, rib, rib, rib",https://open.spotify.com/track/6LNoArVBBVZzUTUiAX2aKO
TALKING,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,3:05,"68,057,652","You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
I love it here, we gonna take (talkin') over the year for another year
It's your bestie (talkin'), Miss, Miss Westie
Don't tryna test (talkin') me
It's gonna get messy
It's gonna get messy (talkin')
Just, just bless me
Bless me (talkin')
It's your bestie (talkin'), Miss, Miss Westie
Just tryna bless me (talkin')
Just bless me
Bless me (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin')
You don't want no problems, you're just- (talkin', talk)
Once again, the clouds are gatherin'
To release what they held in (ooh)
What they held in (held in)
What they held in (held in)
What they held in (held in)
Once again, the clouds are gathering (oh, oh-oh)
(Once again, once, on-, on-, on-)
To release what they held in (oh-oh)
(Once again, once, ag-again, once)
Once again, the clouds are gathering (yeah) (oh, oh-oh)
To release what they held in (oh-oh)
How much to stop the clock from speedin'?
They might try to slow down
How much to stop my daughter from growin'?
I just can't take it now
'Cause she just doin' all the shit I did when I was her age
I don't know how I'm gonna tell her, but her dad's just afraid
Of her choices, know that I've been through it
I just hope I haven't been the wrong influence
Put her on game before the world put her through it
Ooh-ooh, oh-oh, oh-oh
That's why I gotta break the curses that were sent for me
This is hard work, workin', this ain't destiny
My motivation is just lookin' at my family tree
I'm tryna make sure I contribute for the legacy
Once again, the clouds are gathering (oh, oh-oh)
(Once again, once, on-, on-, on-)
To release what they held in (oh-oh)
(Once again, once, ag-again, once)
Once again, the clouds are gathering (once again) (oh, oh-oh, yeah)
To release what they held in (oh-oh)
Once again, the clouds are gathering (oh, oh-oh)
To release what they held in (oh-oh)
Once again, the clouds are gathering (oh, oh-oh)
To release what they held in (oh-oh)
Once again, the clouds are gathering (oh, oh-oh)
To release what they held in (oh-oh)
Once again, the clouds are gathering (oh, oh-oh)
To release what they held in (oh-oh)",https://open.spotify.com/track/2os3F2ZKbj02ZWXWAdWGFD
Life Of The Party (with André 3000),Donda (Deluxe),https://open.spotify.com/album/2Wiyo7LzdeBCsVZiRA6vVZ,2021,6:31,"83,554,083","It's after hours at that glamorous blind spot
Where they're taking it easy, swapping personal experiences
Let's listen in America Today
Life of the party, mhm, 'til I almost cry, mhm
It's the life of the party, to think I could've almost died
Lord, help us
Hey, Miss Donda
You run into my mama, please tell her I said ""Say something""
I'm startin' to believe ain't no such thing as Heaven's trumpets
No after-over, this is it, done
If there's a Heaven, you would think they'd let ya speak to your son
Maybe she has in the form of a baby's laugh
I heard passing by in a stroller reminding me, ""Hey, keep rolling""
I don't know, maybe she has with a prick of a blade of grass
I've been laying on way too long, got me itchy
Got up and roamed a lil' more
Miss Donda, you see my mama, tell her I'm lost
You see, she'd always light a cigarette, we talk, I would cough
Exaggerating a lil' bit so she get the point
Tryna get her to stop smoking, I would leave and fire up a joint
'Til I quit, started back up again, 20 years later
All that time, y'all thought a n- was high, thought I was crazy
My mom, she ain't cut no corners
Got me back on track, I don't miss her overstepping
But do miss her showing Seven civilian life sh-
Ah, Miss Donda, you see my mama, whisper her this
The real reason I was geeked to go to church
Must confess, when y'all grown-ups would be in Bible study
That girl helping me with my homework? Her and I were f-
So pure and p-, so spirit spinning and dirty
So on, so on, and so on, we hoped that no one heard us
And to this day, I think her mama knew but let us explore
Miss Donda, you see my father, please, ask him why he never married
Always smiled, but was he happy inside?
Because I carried my mother's name, did he carry shame with him?
I'm sure she did it out of spite, it was her decision at birth
Shit, she probably was hurt, ah, poor baby
Two young people with different views, a lot for a young lady
No coincidence, they both passed away from heart conditions
There's a dissidence at play, dad and mom do hard division
Three Thou', poster child for big - raised by their mothers
I'm supposed to smile as if God knew that I would be troubled
Keeps me around, for what? I don't know
But I do know that it's crucial, that we do so, pronto
I don't know how much long though
Straight from Shibuya, on some zen
We back, ramped up, we on ten
It's a marathon and look, we coming for the win
Just like Puff told Christopher, we gon' win big (c'mon)
Put the whole family on, look at what my Kim did
Just like Puff told Christopher, we gon' win big (uh)
We gon' win big (what?)
Southside gang mentality way heavy
I was thinking out the box even in a Box Chevy
And my favorite art teacher name was Mrs. Levy
'Round the time, I learned to put my feelings to a medley (the life of the party)
I ain't turn in homework for like four months and I bet she let me
She saw the vision
""Yeezy you special, go make your own decisions then""
Man, that was a good choice, faith driving us like a Rolls Royce
♪
They tried to take my voice away, I ain't try to take ya choice away
I just prayed the water break, just for my daughter sake, from a slip-up
Fake signatures from fake managers, it all damage her, good Lord
Give 'em enough of they own rope to hang 'em with
The paparazzi never really got what my angle is
They treat my married life like some type of entanglement
My neighbor still dissing, wondering why I ain't saying it
I can smell the setup, that's that 2Pac in Vegas hit
I revealed myself and some don't know what to make of it
God has said himself to make sure that the baby live
And if Ye ain't here, then tell me who gonna say this here?
Wait a minute, wait a minute, wait a goddamn minute
Let me stop playing with it, hopped in a Lamb' with it
Hopped in a Lamb' with it, in a damn pandemic
Know that Uncle Sam gotta have his damn hand in it
Listen, straight from Shibuya, on some zen
I'm on ten, it's a marathon and look, we comin' for the win
Just like Puff told Christopher, we gon' win big (c'mon)
Put the whole family on, look at what my Kim did
Just like Puff told Christopher, we gon' win big (uh)
We gon' win big (what?)
Do y'all feel me? Really?
Get off Scott Free, I'm talking Ridley
Get off our knees, that's if you're with me
Get off your knees, that's if you're with me
Get off your knees and let's get free
Get off your knees and let's get free
Really, I mean really
Really, I mean really
I need release, I don't need police
I'm like, ""N-, puh-lease""
Y'all can't hear me, for the real me
For the real me, I mean, mhm-mm
Alright, it's gonna shoot us in the-, woah, uh-oh, uh-oh
Ready mama? (Yup)
I'm so proud of you (yup), you're gonna have so much fun
They gonna shoot us in the air, mama, okay?
C'mon, P, I got you, it's okay, mama
Hold your head back, hold your head back (three, two, one)
Daddy's here, daddy's here, daddy's right here
It's okay, mama, daddy's here, daddy here
(Help, help) Daddy's right here (I'm scared)
Okay, okay, I got you, it's okay
Okay, we going slow, we going slow down
It's okay, stop crying, daddy got you, see, it's over, you did it, P!
You already did it! See? It's already over! Yay! You did it!
Big Girl! It's already over! It's already over, it's already over
Daddy right here, daddy right here
I told you I'm not gon' let you go
I'm not gon' let you go, mama, okay?
Daddy got you, daddy gon' bring us all the way down, okay?
(How was it?) We good
(You did a good job) it was scary
(Good job) our daughter got more heart than you",https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ
On God,JESUS IS KING,https://open.spotify.com/album/0FgZKfoU2Br5sHOfvZKTI9,2019,2:16,"106,201,195","How you get so much favor on your side?
""Accept Him as your Lord and Saviour,"" I replied
Thou should love thy neighbor, not divide
I'ma ride, that's on God
His lights shine the brightest in the dark
Single mothers know they got my heart
And all my brothers locked up on the yard
You can still be anything you wanna be
Went from one in four to one in three
Thirteenth amendment, gotta' end it, that's on me
He the new commander and the chief
That's on Keef, that's on God
Before the ranch, I had horses in the garage
When the Forbes cover was just a mirage
They had me chasin' statues, that's on pride
Oh my God, Bust said, ""That's on Tribe""
When I thought the Book of Job was a job
The Devil had my soul, I can't lie
Life gon' have some lows and some highs
Before the Grammy's ever gave a nod
I wore my heart on my sleeve, I couldn't hide
In '03 they told me not to drive
I bleached my hair for every time I could've died
But I survived, that's on God
I've been tellin' y'all since '05
The greatest artist restin' or alive
That's on L.A. Reid, that's on Clive
That's no jive, that's on God
Off the 350s, he supplied
The IRS want they fifty plus our tithe
Man, that's over half of the pie
I felt dry, that's on God
That's why I charge the prices that I charge
I can't be out here dancing with the stars
No, I cannot let my family starve
I go hard, that's on God",https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
SKY CITY,VULTURES 2,https://open.spotify.com/album/5RV2TNyjylqWJNxQyHBTeJ,2024,4:22,"13,165,909","Say it's my year, know it's my year, my year (oh)
Can we fly, yeah? We can fly, yeah, high, yeah (we can fly)
Build a city in the sky, yeah, sky, yeah
In the sky, yeah, in the sky, yeah, sky, yeah (git, git)
We just fly, yeah (whoo), we just fly yeah, fly yeah (git, git, fly, yeah)
Build a city, in the sky, yeah, sky, yeah
Do Heaven got a penthouse that I could rent out?
I could see Rick James with his feet up on Prince couch
Always wanted to know, did Biggie get a big house?
Do Pac got a thug mansion? Is it pimped out?
Is it a place for the Jews and the Gentiles?
I heard street niggas ain't in the top percentile
Real fast, my wife wanna know, do y'all got a gym now?
She talkin' 'bout she still tryna get her waist to slim down
Anyhow, forgive me for the taxes that I didn't file
I ain't even got back the money that I lent out
Can't even have a Corona, shit is gettin' wild
Runnin' around without a face mask like I'm Jim Brown
Oh, yeah, I heard about your son that you sent down
I wish there was a place that I could send flowers
My OG wrote me from the joint, you know, like a pen pal
And he asked if you could send a letter to the judge when he begin trial
'Cause we don't know when he gettin' out
Ooh, child, things are gonna get easier
Ooh, child, things'll get brighter
Ooh, child, things are gonna get easier
Oh, child, things'll get brighter
Say it's my year, know it's my year, my year (oh)
Can we fly, yeah? We can fly, yeah, high, yeah (we can fly, yeah)
Build a city in the sky, yeah, sky, yeah
In the sky, yeah, in the sky, yeah, sky, yeah (git, git)
We just fly, yeah (whoo), we just fly, yeah, fly, yeah (git, git, fly, yeah)
Build a city, in the sky, yeah, sky, yeah
Yeah, imagine you could visit your ancestors
And all the people that we lost, and you could dance with 'em
We'd probably be more united than Manchester
'Cause my people still dyin' over hand gestures
Keep your enemy close, that's when your man stretch ya
Damn, I guess karma can catch ya
We gotta forgive our trespassers and transgressors
Mandela said, ""It won't get better if we stand separate""
'Cause one hand wash the other, both hands wash the face
Wish they had another place we all could stay
If they don't let us in, then we gon' hop the gate
Out of the body, uh, jewelry is gaudy, um
Serious society, my spirit is Godly
I'm buildin' a buildin' where children can lobby
So we can make billions from buildin' a hobby
I bought a factory, pickin' the cotton
Bought a factory, send 'em to college
He made it already with nothin' to lose
And free attitude with nothin' to prove
We goin' 50, I got that juice
Playin' them dead to get out the noose
I don't need your point-of-views
I can't hear you at this altitude
And they steady sayin' that I'm rude
I'd be rude if I don't come beat the shit out you
And if we die, yeah, then we die, yeah, aw, yeah
We can fly, yeah, we can fly, yeah, aw, yeah
In the night, yeah, in the night, yeah, aw, yeah
In the night, in the night
Oh, in the night, serenity all in the city
I hope I never fall weary
Help me levitate my pain
Oh, good Heaven, sing to me, to me
Let me outsoar my faith
Let me outlast the shame
At the same time, don't change a thing, a thing
Ooh
Ooh
Ooh
Ooh",https://open.spotify.com/track/7a0tTD7xdvKsNcJfMIDWp4
Come to Life,Donda (Deluxe),https://open.spotify.com/album/2Wiyo7LzdeBCsVZiRA6vVZ,2021,5:10,"79,045,285","My soul cries out, ""Hallelujah""
And I thank God for saving me
I, I thank God
Here go all your problems again (I thank God)
Three, two, one, you're pinned (I thank God)
Uncle, now he back in the pen'
Auntie shut down again
Did she finally come to life?
Ever wish you had another life?
Ever wish you had another life?
Ever wish you had another life?
Don't you wish the night would go numb?
I've been feeling low for so long
I ain't had a high in so long
I been in the dark for so long
Night is always darkest 'fore the dawn
Gotta make my mark 'fore I'm gone
I don't wanna die alone, I don't wanna die alone
I get mad when she gone
Mad when she home, sad when she gone
Mad when she home, sad when she gone
(Lose it right now, the spirit that wants to run)
Floating on a silver lining (in the name of Jesus)
Yeah, you know where to find me, riding on a silver lining
And my God won't deny me, tell the Devil, ""Get behind me""
All the stars are aligned, lift me up every time
You know exactly where to find me
(Hallelujah, thank you Jesus, hallelujah, hallelujah)
Did those ideas ever really come to life?
Make it all come to life, make it all come to life
Praying for a change in your life
Well, maybe it's gon' come tonight
Sadness setting in again
Three, two, one, you're pinned
Uncle right back in the pen'
Tell me, how auntie been?
Took your thoughts and penciled 'em in
Should've wrote 'em down in pen
And maybe they'd come to life
♪
And maybe they'd come to life
♪
Sadness setting in again
Three, two, one, you're pinned
Uncle right back to the pen'
Tell me, how auntie been?
Thoughts, you had penciled 'em in
Probably should've wrote 'em in pen
And maybe they'd come to life
They could finally come to life
They could finally come to life
♪
You know where to find me, they cannot define me
So they crucify me, how so fazed when I leave?
Come and purify me, come and sanctify me
You the air that I breathe, the ultra-ultralight beam
Bought a gift to Northie, all she want was Nikes
This is not about me, God is still alive, so I'm free
Floating on a silver lining, floating on a silver lining
So when I'm free, I'm free",https://open.spotify.com/track/14VMRC6EbRfeub5SkIXiad
Donda,Donda,https://open.spotify.com/album/5CnpZV3q5BcESefcB3WJmz,2021,2:08,"40,578,716","Forever, ever
Can you hear me? (Yeah)
Forever-ever, forever, forever, no
Glorious, glory, glory, glory
Glory, glory, glory, glory
It feels good to be home
And to all of you, I thank you so much for your support
For your support of me for so many years
And more importantly, for the work you continue to do
What did he want me to talk about?
Well, he said something that was a little bit dangerous
He told me I could talk about anything I wanted to
And you know, I am my son's mother
The man I described in the introduction is being so decidedly different, my son (every time)
And what made the project extra special to me is
I got a chance to share not only what he has meant to me
But what he has meant to a generation (today's the time)
As one writer said, we came from somewhere
Not just from the wombs of our mothers and the seeds of our fathers
But from a long line of generations who came before us
Is the kingdom (is the kingdom)
And the power (and the power)
And the glory (and the glory)
Forever (forever)
Is the kingdom (is the kingdom)
And the power (and the power)
And the glory (and the glory)
Forever (forever)
Forever, yeah
Forever, yeah
Forever, forever, no, no, oh, yeah
Glory, glory, glory
What did I teach him? (Glory)
And why Kanye ain't scared?",https://open.spotify.com/track/4jkwu5KQbXXrbAZzVmt5fE
Jail pt 2,Donda (Deluxe),https://open.spotify.com/album/2Wiyo7LzdeBCsVZiRA6vVZ,2021,4:56,"72,151,979","Take what you want
Take everything
Take what you want
Take what you want
Better that I change my number so you can't explain
Violence in the night, violence in the night
Priors, priors, do you have any product?
Well, that one time, I'll be honest
I'll be honest, we all liars, let it go
I'll be honest, we all liars
I'll be honest, we all liars
I'm pulled over and I got priors (priors)
Guess we goin' down, guess who's goin' to jail?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight
Don't you curse at me on text, why you try to hit the flex?
I hold up, like, ""What?"" I scroll, I scroll up like, ""Next""
Guess who's getting X'ed? Like, next
Guess who's getting X'ed?
You made a choice, that's your bad, single life ain't so bad
But we ain't finna go there
Something's off, I'll tell you why
Guess who's goin' to jail tonight
What a grand plan to sell you out
I could scream and shout, let it out
I'll be honest, we all liars
I'll be honest, we all liars
I'm pulled over and I got priors
Guess we goin' down, guess who's goin' to jail?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight
Man, tell them haters open up the jail
(Open up the jail)
And you can tell my baby mamas, ""Get the bail money""
(Bail me)
I said one thing they ain't like
Threw me out like they ain't care for me
Threw me out like I'm garbage, huh?
And that food that y'all took off my table
You know that feed my daughters, huh? (Mmm)
But I ain't really mad 'cause when I look at it
I'm getting them snakes up out my grass and n- that's a good habit
But I'm ready for war, let's get at 'em
And teaming up ain't gon' help 'em
'Cause beating the odds too deep, just me and God, sh-, n-, I'm good at it
Matter of fact, I'm great at it, my cell phone back at it
I know these people gon' try to tell me how to talk
Don't know what I seen or what I was taught
My momma worked two or three jobs
To take care of three of her kids, my uncles watched
Yeah, we was raised by the crack addicts
Mmm, raised by the drug dealers, killers, and the junkies (junkies)
Mama couldn't save us 'cause she had to get the...
Mama couldn't save us 'cause she had to get the money
Feel like your world falling, getting too hard to catch it, ain't it?
You and your girl arguin', you don't like how she actin' lately
Giving it everything that you can give and you don't get half the patience
You was busy hustlin', the things come with your hustle
They got in her head, corrupted her
Yeah, that's probably what happened, ain't it?
Large amount of capital, invested in myself
Underground, I ain't even have a basement, I read the affidavit
Let's see what it is with you
Only thing I did to you
Was always keep it real and true
Guilty, guess they 'gon have to take me
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
Guess who's goin' to jail tonight?
God gon' post my bail tonight",https://open.spotify.com/track/4Q8KEe2G03s3URJ0PtYBOU
