SongName,AlbumName,AlbumLink,Year,Runtime,PlayCount,Lyrics,SongLink
Fool In Love,Talk That Talk (Deluxe),https://open.spotify.com/album/3sW7wD2qdMjs7KncaOoIJ5,2012,4:15,"15,590,231","Mama, I found a man
Who loves me and understands
Papa, he's quite a man
He adores me, he's my biggest fan
And don't get me wrong
I know he's not perfect in your eyes
But somehow he's flawless in mine
And you may tell me to run, run now
But I can't do that
We're too far down the hole
He's got a hole on my soul
So I guess I'm a fool
I'm a fool in love
But I'm willin' to stay here
And bask in the glory of his heart
I guess I'm a fool in love
But I'm willin' to look so stupid
'Til i've had enough
Mama, don't judge me now
I'm not trying to hurt you
I know this won't make you proud
Papa, did I let you down?
Are you ashamed of how your little girl turned out?
You'll see a monster
I see a smile
You say it's danger
And I'm in denial
But somehow I feel so safe right now
So I guess I'm a fool
I'm a fool in love
But I'm willin' to stay here
And bask in the glory of his heart
I guess I'm a fool in love
But I'm willing to look so stupid
'Til I've had enough",https://open.spotify.com/track/44fouNXjaqIoI6PVgiGQqw
Man Down,Loud,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38,2010,4:27,"465,451,039","Sak Pasé
I didn't mean to end his life
I know it wasn't right
I can't even sleep at night
I can't get it off my mind
I need to get out of sight
I end up behind bars
What started out as a simple altercation
Turned into a real sticky situation
Me just thinking on the time that I'm facing
Makes me wanna cry
'Cause I didn't mean to hurt him
Could've been somebody's son
And I took his heart when
I pulled out that gun
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down
Oh, mama, mama, mama
I just shot a man down
In central station
In front of a big old crowd
Oh why, oh why?
Oh, mama, mama, mama
I just shot a man down
In central station
It's a 22, I call her Peggy Sue
When she fits right down in my shoes
What do you expect me to do
If you're playin' me for a fool
I will lose my cool
And reach for my firearm
I didn't mean to lay him down
But it's too late to turn back now
Don't know what I was thinking
Now he's no longer living
So I'm 'bout to leave town
Yeah
'Cause I didn't mean to hurt him
Could've been somebody's son
And I took his heart when
I pulled out that gun
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Man down
Oh, mama, mama, mama
I just shot a man down
In central station
In front of a big old crowd
Oh why, oh why?
Oh, mama, mama, mama
I just shot a man down (well hear me now)
In central station
Look I never thought I'd do it
Never thought I'd do it
Never thought I'd do it
Oh, Gosh
What ever happened to me?
Ever happened to me?
Ever happened to me?
Why did I pull the trigger?
Pull the trigger, pull the trigger, boom
And end a nigga, end a nigga life so soon
When me pull the trigger, pull the trigger, pull it on you
Somebody tell me what I'm gonna, what I'm gonna do
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
Me say one man down
Oh, let me say
Rum-pum-pum-pum
Rum-pum-pum-pum
Rum-pum-pum-pum
When me went downtown
'Cause now I'm a criminal, criminal, criminal
Oh Lord, oh, mercy now, I am a criminal
Man down
Tell the judge please give me minimal
Run out of town
None of them can see me now, see me now
Oh, mama, mama, mama
I just shot a man down
In central station
In front of a big old crowd
Oh why, oh why?
Oh, mama, mama, mama
I just shot a man down
In central station",https://open.spotify.com/track/0GLfodYacy3BJE7AI3A8en
Drunk On Love,Talk That Talk,https://open.spotify.com/album/1Kw1bVd07oRqcjrcjQKC8T,2011,3:32,"47,048,270","I feel like I'm a hopeless romantic
♪
I can't help fallin' in love
I fiend for love
I want it, I crave it
I just can't get enough
Take me away
I wear my heart on my sleeve
Always let love take the lead
I may be a little naive, yeah
You know I'm drunk on love
Drunk on love
Nothing can sober me up
It's all that I need
♪
I've been let down
But never been tainted
So I stay thirsty for more
No, I won't hold back
No drop is wasted
I let love run its course
Take me away
I wear my heart on my sleeve
Always let love take the lead
I may be a little naive, yeah
You know I'm drunk on love
Drunk on love
Nothing can sober me up
You know I'm drunk on love
Drunk, drunk on love
Nothing can sober me up
It's all that I need
I'm so intoxicated
I love the way you taste on my lips
When we kiss
You got me so addicted
So much I can't resist falling into your arms
Take me away
I wear my heart on my sleeve
Always let love take the lead
I may be a little naive, yeah
You know I'm drunk on love
Drunk on love
Nothing can sober me up
You know I'm drunk on love
Drunk, drunk on love
Nothing can sober me up
It's all that I need
It's all that I need
It's all that I need",https://open.spotify.com/track/5A0Swrynpx7ALauNv08nBe
Complicated,Loud,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38,2010,4:17,"37,275,562","You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
♪
Oh, why?
Sometimes, I get you
Sometimes, I don't understand
Sometimes, I love you
Sometimes, it's you I can't stand
Sometimes, I wanna hug you
Sometimes, I wanna push you away
Most times, I wanna kiss you
Other times, punch you in the face
'Cause every minute you start switching up
And you say things like you don't give a fuck
Then I say I'm through with you
Take my heart from you
And you come running after me, and baby, I'm back with you
You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?
Sometimes, I catch you
Sometimes, you get away
Sometimes, I read you
Other times, I'm like, ""Where are you on the page?""
Sometimes, I feel like we will be together forever
But you're so complicated, my heart knows better
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?
I'ma stick around just a little while longer
Just to make sure that you're really sure you like sleepin' alone
I'ma stick around just a little while longer
Just to make sure that you're really sure you like sleepin' alone
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?
You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no",https://open.spotify.com/track/5lP1kCqAj1fh9pgJWOKyJa
Only Girl (In The World) - CCW Radio Mix,Loud,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38,2010,3:41,"3,520,029",No Lyrics,https://open.spotify.com/track/25A1RmT5eh7C99KXfESRj5
California King Bed,Loud,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38,2010,4:11,"348,677,957","Chest to chest
Nose to nose
Palm to palm
We were always just that close
Wrist to wrist
Toe to toe
Lips that felt just like the inside of a rose
So how come when I reach out my fingers
It feels like more than distance between us
In this California king bed
We're 10,000 miles apart
I've been California wishing on these stars
For your heart for me
My California king
♪
Eye to eye
Cheek to cheek
Side by side
You were sleeping next to me
Arm in arm
Dusk to dawn
With the curtains drawn
And a little last night on these sheets
So how come when I reach out my fingers
It seems like more than distance between us
In this California king bed
We're 10,000 miles apart
I've been California wishing on these stars
For your heart for me
My California king
♪
Just when I felt like giving up on us
You turned around and gave me one last touch
That made everything feel better
And even then my eyes got wetter
So confused wanna ask you if you love me
But I don't wanna seem so weak
Maybe I've been California dreaming, eh, eh, eh
In this California king bed
We're 10,000 miles apart
I've been California wishing on these stars
For your heart for me
My California king
♪
My California king
♪
In this California king bed
We're 10,000 miles apart
I've been California wishing on these stars
For your heart for me
My California king",https://open.spotify.com/track/1NpDnkQO0yWxTtntrC0UNz
Rude Boy - Chew Fu Vitamin S Fix,Rated R: Remixed,https://open.spotify.com/album/2wi0v7jPzYBCd99GggLtN8,2010,5:41,"4,821,513","Take it, Take it
♪
Baby, baby
Take it, Take it
Baby, baby
Take it, Take it
Rub it, love it
Take it, Take it
Get it up
Time to get it up
Get it up
Time to get it up
Get it up
Time to get it up
You say you're a rude boy
Boy-Boy-Boy-Boy-Boy-Boy
Show me what you got
♪
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is it big enough?
Take it, make it
Baby, baby
Take it, Take it
Rub it, love it
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is it big enough?
Take it, make it
Baby, baby
Take it, Take it, Take it
Love it, love it
Tonight
Imma let you be the captain
Tonight
Imma let you do your thing, yeah
Tonight
Imma let you be a rider
Giddy up
Giddy up
Giddy up, babe
Tonight
Imma let it be fire
Tonight
Imma let you take me higher
Tonight
Baby, we can get it on, yeah
We can get it on, yeah
Do you like it, boy?
I want want want
What you want want want
Give it to me, baby
Like boom, boom, boom
What I want want want
Is what you want want want
Na, na-aaaah
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is it big enough?
Take it, make it
Baby, baby
Take it, Take it
Rub it, love it
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is you big enough?
Take it, make it
Baby, baby
Take it, Take it, Take it
Rub it, love it
Tonight
Imma give it to you harder
Tonight
Imma turn your body out
Relax
Let me do it how I wanna
If you got it
I need it
And I'mma put it down
Buckle up
Imma give it to you stronger
Hands up
We can go a little longer
Tonight
Imma get a little crazy
Get a little crazy, baby
Do you like it, boy?
I want want want
What you want want want
Give it to me baby
Like boom, boom, boom
What I want want want
Is what you want want want
Na, na-aaaah
Boy, is you big enough?
Take it, make it
Baby, baby
Take it, Take it
Rub it, love it
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is you big enough?
Come here, rude boy, boy
Can you get it up?
Yeah
Make it, Take it
♪
Baby, baby
Take it, Make it
Baby, baby
Make it, Take it
Baby, baby
Take it, Take it
Baby, baby
Take it, Take it
Get it up
Time to get it up
Get it up
Time to get it up
Get it up
Time to get it up
Get it up
Time to get it up
Get it up
Time to get it up
You say you're a rude boy
Boy-Boy-Boy-Boy-Boy-Boy
Show me what you got
Make it, Take it
Baby, baby
Take it, Take it
Love me, Love me
Make it, Take it
Baby, baby
Take it, Take it
Love me, Love me
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is it big enough?
Make it, Take it
Baby, baby
Take it, Take it
Love me, Love me
Come here, rude boy, boy
Can you get it up?
Come here, rude boy, boy
Is it big enough?
Make it, Take it
Baby, baby
Take it, Take it
Love me, Love me
Take it, Take it
Baby, baby
Take it, Take it
Love me
Love me",https://open.spotify.com/track/2iMd8V7X5IhINZpVVJaMgY
Russian Roulette - Chew Fu Black Russian Fix,Rated R: Remixed,https://open.spotify.com/album/2wi0v7jPzYBCd99GggLtN8,2010,5:55,"2,836,260","Take a breath, take it deep
Calm yourself, he says to me
If you play, you play for keeps
Take the gun, and count to three
I'm sweating now, moving slow
No time to think, my turn to go
And you can see my heart beating
You can see it through my chest
And I'm terrified but I'm not leaving
I know that I must pass this test
So just pull the trigger
Say a prayer, to yourself
He says close your eyes, sometimes it helps
And then I get, a scary thought
That he's here, means he's never lost
And you can see my heart beating
You can see it through my chest
Said I'm terrified but I'm not leaving
I know that I must pass this test
So just pull the trigger
As my life flashes before my eyes
I'm wondering will I, ever see another sunrise
So many won't get the chance to say goodbye
And it's too late to pick up the value of my life
And you can see my heart beating
You can see it through my chest
Said I'm terrified but I'm not leaving
I know that I must pass this test
And you can see my heart beating
You can see it through my chest
Said I'm terrified but I'm not leaving (No No)
I know that I must pass this test
So just pull the trigger",https://open.spotify.com/track/081sl4BpdkXcLciOJktR9y
Only Girl (In The World) - The Bimbo Jones Radio,Loud,https://open.spotify.com/album/5QG3tjE5L9F6O2vCAPph38,2010,3:50,"2,705,454",No Lyrics,https://open.spotify.com/track/3Tb4oHMR617zvLANuiV1ok
Nobody's Business,Unapologetic,https://open.spotify.com/album/0XJya16l3K1J2dEwY19F8z,2012,3:36,"203,561,042","You'll always be mine, sing it to the world
Always be my boy, I'll always be your girl
Nobody bidness, ain't nobody bidness
Ain't nobody bidness but mine and my baby
Mine and my baby
But mine and my baby
But mine and my baby, ooh
I love to, I love to, love you, baby
I love to, I love to, love you, baby
Me and you, get it (whoo, whoo)
Ain't nobody bidness, said it ain't nobody bidness (whoo, whoo)
Your love is perfection, please point me in the right direction
I'ma give you all my affection, every touch becomes infectious
Let's make out in this Lexus, there's no other love just like this
A life with you, I wonder, can we become love's persona?
You'll always be the one that I wanna come home to, boy
Let me love you and show you how special you are
I wanna be your baby, you'll always be my baby
Tell me what you want now
Let's sing it to the world, baby, give me time
I'ma be your girl, I wanna make you mine
And it ain't nobody's bidness
It ain't nobody's bidness
It ain't nobody's bidness
It ain't nobody's bidness
Just mine and my baby
Ah (ooh-ooh)
♪
Ah (ooh-ooh)
Your love is perfection, please point me in the right direction
I'ma give you all my affection, every touch becomes infectious
Let's make out in this Lexus, there's no other love just like this
A life with you, I wonder, can we become love's persona?
You'll always be the one that I wanna come home to, girl
Let me love you and show you how special you are
I wanna be your baby, you'll always be my baby
Tell me what you want
Sing it to the world, baby, give me some (give me some)
You gon' be my girl (my girl), I wanna make you mine
And it ain't nobody's bidness (no)
It ain't nobody's bidness (no)
It ain't nobody's bidness
It ain't nobody's bidness
Just mine and my baby
It ain't no (ah), it, it, it ain't no (ooh-ooh)
It, it, it ain't no, it ain't no (ah-ah-ah-ah)
Ain't nobody bidness
Said it ain't nobody bidness
It ain't nobody bidness
It ain't nobody bidness (ain't nobody)
You'll always be mine (mine), sing it to the world (world, baby)
Always be my boy (whoo), you'll always be my girl (yeah)
Nobody bidness (nobody bidness)
Ain't nobody bidness (ain't nobody bidness)
Ain't nobody bidness (nobody), but mine and my baby",https://open.spotify.com/track/1gqrHlva1UviyDTl1Bobsj
