SongName,AlbumName,AlbumLink,Year,Runtime,PlayCount,Lyrics,SongLink
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,2024,3:30,"3,218,891,371","('Til I'm in the grave)
I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm going too, uh
'Cause it was always you, alright
And if I'm turnin' blue, please don't save me
Nothing left to lose without my baby
Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, no
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid
And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye
Birds of a feather, we should stick together, I know ('til the day that I die)
I said I'd never think I wasn't better alone ('til the light leaves my eyes)
Can't change the weather, might not be forever ('til the day I die)
But if it's forever, it's even better
I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised",https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,2019,3:00,"1,000,101,010","Bite my tongue, bide my time
Wearing a warning sign
Wait 'til the world is mine
Visions I vandalize
Cold in my kingdom size
Fell for these ocean eyes
You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by, one by one, one by, one by-
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by, one by one, one by, one by one
Count my cards, watch them fall
Blood on a marble wall
I like the way they all
Scream
Tell me which one is worse
Living or dying first
Sleeping inside a hearse
(I don't dream)
You say, ""Come over, baby
I think you're pretty""
I'm okay, I'm not your baby
If you think I'm pretty
You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by, one by one, one by, one by-
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by, one by one, one by, one by one
♪
Crown
I'm gonna run this nothing town
Watch me make 'em bow
One by, one by one, one by, one by-
You should see me in a crown (you should see me, see me)
Your silence is my favorite sound (you should see me, see me)
Watch me make 'em bow
One by, one by one, one by, one by one",https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
GOLDWING,Happier Than Ever,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp,2021,2:31,"162,632,187","He hath come to the bosom of his beloved
Smiling on him, she beareth him to highest heav'n
With yearning heart
On thee we gaze
O' gold-winged messenger of mighty Gods
♪
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
(Goldwing)
Goldwing angel
Go home
Don't tell anyone what you are
You're sacred and they're starved
And their art is getting dark
And there you are to tear apart
Tear apart, tear apart, tear apart
You better keep your head down-down
Da-da-down-down, da-da-down-down
Better keep your head down-down
Da-da-down-down, da-da-down-down
They're gonna tell you what you wanna hear
Then they're gonna disappear
Gonna claim you like you a souvenir
Just to sell you in a year
You better keep your head down-down
Da-da-down-down, da-da-down-down
Keep your head down-down (keep your head down-down-down)
Da-da-down-down, da-da-down-down
Better keep your head down-down (down-down-down-down-down)
Da-da-down-down, da-da-down-down
Keep your head down-down (down-down-down-down-down-down)
Da-da-down-down, da-da-down-down
That's good",https://open.spotify.com/track/0FfqyjhB6Kspvit1oOo7ax
Getting Older,Happier Than Ever,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp,2021,4:04,"334,347,982","I'm getting older, I think I'm aging well
I wish someone had told me I'd be doing this by myself
There's reasons that I'm thankful, there's a lot I'm grateful for
But it's different when a stranger's always waiting at your door
Which is ironic 'cause the strangers seem to want me more
Than anyone before (anyone before)
Too bad they're usually deranged
Last week, I realized I crave pity
When I retell a story, I make everything sound worse
Can't shake the feeling that I'm just bad at healing
And maybe that's the reason every sentence sounds rehearsed
Which is ironic because when I wasn't honest, I was still being ignored
(Lying for attention just to get neglection)
Now we're estranged
Things I once enjoyed (ah-ah)
Just keep me employed now
Things I'm longing for
Someday, I'll be bored of
It's so weird
That we care so much until we don't
I'm getting older, I've got more on my shoulders
But I'm getting better at admitting when I'm wrong
I'm happier than ever, at least that's my endeavor
To keep myself together and prioritize my pleasure
'Cause to be honest, I just wish that what I promise
Would depend on what I'm given (not on his permission)
(Wasn't my decision) to be abused, mmm
Things I once enjoyed
Just keep me employed now
Things I'm longing for, mmh
Someday, I'll be bored of
It's so weird
That we care so much until we don't
But next week, I hope I'm somewhere laughing
For anybody asking, I promise I'll be fine
I've had some trauma, did things I didn't wanna
Was too afraid to tell ya, but now, I think it's time",https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f
Your Power,Happier Than Ever,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp,2021,4:05,"526,977,340","Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But havin' it's so strange
She said ""you were a hero, you played the part""
""But you ruined her in a year, don't act like it was hard""
And you swear you didn't know (didn't know, didn't know)
No wonder why you didn't ask
She was sleepin' in your clothes (in your clothes, in your clothes)
But now she's got to get to class
How dare you?
And how could you?
Will you only feel bad when they find out?
If you could take it all back
Would you?
Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But havin' it's so strange
I thought that I was special, you made me feel
Like it was my fault, you were the devil, lost your appeal
Does it keep you in control? (In control, in control)
For you to keep her in a cage?
And you swear you didn't know (didn't know, didn't know)
You said you thought she was your age
How dare you?
And how could you?
Will you only feel bad if it turns out that they kill your contract?
Would you?
Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But power isn't pain",https://open.spotify.com/track/042Sl6Mn83JHyLEqdK7uI0
SKINNY,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,2024,3:39,"333,293,497","Hm (I never did you wrong)
Hm (and my, my patience is gone)
Fell in love for the first time
With a friend, it's a good sign
Feeling off when I feel fine
21 took a lifetime
People say I look happy
Just because I got skinny
But the old me is still me and maybe the real me
And I think she's pretty
♪
And I still cry
♪
Cry
♪
And you know why
Am I acting my age now?
Am I already on the way out?
When I step off the stage, I'm a bird in a cage
I'm a dog in a dog pound
And you said I was your secret
And you didn't get to keep it
And the internet is hungry for the meanest kind of funny
And somebody's gotta feed it
Oh, do you still cry?
Still cry
I cry
I never did you wrong (never did you wrong)
And my (my), my patience is gone (is gone)
And I (I), I never did you wrong (you wrong)
I loved you for so long, hm",https://open.spotify.com/track/1CsMKhwEmNnmvHUuO5nryA
L’AMOUR DE MA VIE,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,2024,5:33,"467,559,400","I wish you the best for the rest of your life
Felt sorry for you when I looked in your eyes
But I need to confess, I told you a lie
I said you
You were the love of my life
The love of my life
Did I break your heart?
Did I waste your time?
I tried to be there for you
Then you tried to break mine
It isn't asking for a lot for an apology
For making me feel like it'd kill you if I tried to leave
You said you'd never fall in love again because of me
Then you moved on immediately (bum, bum, bum)
But I wish you the best for the rest of your life (rest of your life)
Felt sorry for you when I looked in your eyes
But I need to confess (confess), I told you a lie (I told you a lie)
When I said you (I said you)
You were the love of my life
The love of my life
So you found her, now go fall in love
Just like we were, if I ever was
It's not my fault, I did what I could
You made it so hard, like I knew you would
Thought I was depressed or losing my mind
My stomach upset almost all of the time
But after I left, it was obvious why (ooh), mm
Because for you, you
I was the love of your life, mm
But you were not mine (but you were not mine)
It isn't asking for a lot for an apology
For making me feel like it'd kill you if I tried to leave
You said you'd never fall in love again because of me
Then you moved on, then you moved on
Then you moved on, then you moved on
Then you moved on, then you moved on
♪
Ooh
You wanted to keep it
Like something you found
'Til you didn't need it
But you should've seen it
The way it went down
Wouldn't believe it
Wanna know what I told her
With her hand on my shoulder?
You were so mediocre
And we're so glad it's over now
It's over now
It's over now
It's over now
Camera, caught on camera
The girl's on camera
Your girl's a fan of-
Miss me, say you miss me
It's such a pity
We're both so pretty",https://open.spotify.com/track/6fPan2saHdFaIHuTSatORv
NDA,Happier Than Ever,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp,2021,3:15,"473,973,945","Did you think I'd show up in a limousine? No
Had to save my money for security
Got a stalker walking up and down the street
Says he's Satan and he'd like to meet
I bought a secret house when I was 17
Haven't had a party since I got the keys
Had a pretty boy over, but he couldn't stay
On his way out, made him sign an NDA
♪
Yeah, I made him sign an NDA
Once was good enough
'Cause I don't want him having shit to say
♪
You couldn't save me, but you can't let me go, oh, no
I can crave you, but you don't need to know
♪
30 Under 30 for another year
I can barely go outside, I think I hate it here
Maybe I should think about a new career
Somewhere in Kauai where I can disappear
I've been having fun, getting older now
Didn't change my number, made him shut his mouth
At least I gave him something he can cry about
I thought about my future, but I want it now
Want it now
♪
You can't give me up
♪
You couldn't save me, but you can't let me go, oh, no
I can crave you, but you don't need to know
♪
Did I take it too far?
Now I know what you are
You hit me so hard
I saw stars
Think I took it too far
When I sold you my heart
How'd it get so dark?
I saw stars
Stars",https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
goodbye,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,2019,1:59,"288,419,568","Please, please
Don't leave me be
It's not true
Take me to the rooftop
Told you not to worry
What do you want from me?
Don't ask questions
Wait a minute
Don't you know I'm no good for you?
Baby, I don't feel so good
And all the good girls go to Hell
Bite my tongue, bide my time
♪
What is it about them?
♪
I'm the bad guy",https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,2019,2:48,"735,219,613","My Lucifer is lonely
Standing there, killing time
Can't commit to anything but a crime
Peter's on vacation, an open invitation
Animals, evidence
Pearly Gates look more like a picket fence
Once you get inside 'em
Got friends but can't invite them
Hills burn in California
My turn to ignore ya
Don't say I didn't warn ya
All the good girls go to Hell
'Cause even God herself has enemies
And once the water starts to rise
And Heaven's out of sight
She'll want the Devil on her team
My Lucifer is lonely
Look at you needing me
You know I'm not your friend without some greenery
Walk in wearin' fetters
Peter should know better
Your cover up is caving in
Man is such a fool, why are we saving him?
Poisoning themselves now
Begging for our help, wow
Hills burn in California
My turn to ignore ya
Don't say I didn't warn ya
All the good girls go to Hell
'Cause even God herself has enemies
And once the water starts to rise
And Heaven's out of sight
She'll want the Devil on her team
My Lucifer is lonely
There's nothing left to save now
My god is gonna owe me
There's nothing left to save now
♪
Haha!
I cannot do this snowflake",https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
