SongName,AlbumName,AlbumLink,Year,Runtime,PlayCount,Lyrics,SongLink
Stay,The Diamond Collection (Deluxe),https://open.spotify.com/album/0HeDKsZqyskYWkoHmXObsv,2023,3:24,"659,151,236","It's true
That all that you know is all that you are
You said that it's all that you want and more
Fuck off and pour another drink
And tell me what you think
You know that I'm too drunk to talk right now
You put your cigarette out on my face
So beautiful, please, woman
Don't break your back for me
I'll put you out of your misery
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to
Stay a little longer if you convince me
And tell me all the things that you have against me
Every time we make up, the truth is fadin'
Everybody's blind when the view's amazin'
Damn, who are we right now?
Can we have a little conversation?
Figure it out with no intoxication
We carry on, what is our motivation?
We're never wrong, how the hell we gonna make it?
Maybe we're used to this
Tell me, what are we to do?
It's like we only play to lose
Chasin' pain with an excuse
I love that shit and so do you
But don't break your back for me
I'll put you out of your misery
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay
(Ah, ah-ah, ah)
♪
(Ah, ah-ah, ah)
♪
(Ah, ah-ah, ah)
Tell me that it's all okay (tell me that it's all okay)
I've been waitin' on this all damn day (waitin' on this all damn day)
Call me in the mornin', tell me how last night went
I'm here, but don't count on me to stay",https://open.spotify.com/track/4nvK5SOSQyxuhod097GXz7
Patient,Stoney (Complete Edition),https://open.spotify.com/album/16XHoXcTPdm7CczEvLNlMP,2016,3:14,"244,695,044","Yeah, yeah, yeah
♪
I know my wrist be dancin' crazy
Been on some fly shit lately
Used to be so damn patient
But now it's ""Fuck you, pay me""
Can't let these motherfuckers phase me
Never let that money change me
Ain't the way my momma raised me
Don't mean to brag but can you blame me?
Two hundred K and VVS, yellow diamonds
They wanna run up but they won't ever find me
Sleep right next to the F&N
Motherfuck the government
Sit down and I'm plottin'
One hundred bands on my body
Fuck with them boys, catch a body
Lil' momma just want my pocket
'Rari take off like a rocket
Hol' up, you too close
I don't know, I don't know ya'
Had to run it, run it up
How I roll, how I roll, yeah
It's like after you pop off
They all act like they know ya'
And Young Post be like Pablo
And they all love to blow ya', yeah
I know my wrist be dancin' crazy
Been on some fly shit lately
Used to be so damn patient
But now it's ""Fuck you, pay me""
Can't let these motherfuckers phase me
Never let that money change me
Ain't the way my momma raised me
Don't mean to brag but can you blame me?
Two hundred, swerving, dippin', dodge on the highway
You may contain me but you won't ever stop me
On the way to my residence
Try message your boo again
She pullin' up prolly
Yeah, sturdy inside of that Bentley
Yeah, come take a tat' on my belly
Yeah, people actin' too friendly, man
They tryna get dividends
This shit is a problem
Yeah, you just be talkin' shit but ain't ever met me
DeChino fucked your bitch and now you resent me
I know them people but they don't represent me
Them wastemen, we gonna make 'em all pay
They will never stop the plan
Eighty jumpin' off my hand
Rollie, rollie, rollie
Bust it open, holy moly
I know my wrist be dancin' crazy
Been on some fly shit lately
Used to be so damn patient
But now it's ""Fuck you, pay me""
Can't let these motherfuckers phase me
Never let that money change me
Ain't the way my momma raised me
Don't mean to brag but can you blame me?
Oh, oh, oh, oh, woah
Oh, oh, oh, oh, woah
Oh, oh, oh, oh, woah
Oh, oh, oh, oh, woah
Oh, oh, oh, oh, oh",https://open.spotify.com/track/7hhf2luYytkmDDr8j4LZix
Money Made Me Do It,Stoney (Deluxe),https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC,2016,3:44,"216,875,095","Diamonds in my chain gold
Every 20 minutes, change clothes
I had a mil before the label
Just as long as they know, money made me do it
I said rest in peace to Bankroll
You in a better place, dog
You won't ever see me lay low
Start the engine, watch me take off, money made me do it
I said, yeah, I said money made me do it
I said, yeah, I said money made me do it
Watch me, yeah, I said money made me do it
I said, yeah, I said money made me do it
Take a ride when we wake up
Hit the gas, melt your face off
Spend the day counting cake up
With a dime who think I changed up
I took the Lincoln down Rodeo
Ran through it like some Drain-o
Lot of bags, can't complain though
We was shopping until they closed
Why did I do that? Did I do that? Ooh, yeah
New whip, now I can pay my rent, ooh no, ooh yeah
Diamonds in my chain gold
Every 20 minutes, change clothes
I had a mil before the label
Just as long as they know, money made me do it
I said rest in peace to Bankroll
You in a better place, dog
You won't ever see me lay low
Start the engine, watch me take off, money made me do it
I said, yeah, I said money made me do it
I said, yeah, I said money made me do it
Watch me, yeah, I said money made me do it
I said, yeah, I said money made me do it
Got a bandana 'round my neck
Like Bankroll Fresh
Pocket full of street money
' Bout to count my blessing
One hundred, one thousand
100K, one million
We smoke, we lay up, we rap
We talked about a vision (switch it up)
I got diamonds like a rainbow, every time I change clothes
Shawty fucked my friend but I act like I ain't know
I'ma buy a rain coat, the storm might approach you
Clown like your daddy met your mom at a circus
I do it on purpose, do it for the neighborhood
Smoking on that Meagan Good, with my niggas when I do it
Got that leather and that wood, got the marble on the floor
Got the burglar bars on the door at the bando
Diamonds in my chain gold
Every 20 minutes, change clothes
I had a mil before the label
Just as long as they know, money made me do it
I said rest in peace to Bankroll
You in a better place, dog
You won't ever see me lay low
Start the engine, watch me take off, money made me do it
I said, yeah, I said money made me do it
I said, yeah, I said money made me do it
Watch me, yeah, I said money made me do it
I said, yeah, I said money made me do it",https://open.spotify.com/track/1ysAvOdJgUjc6CqOQxepaz
Socialite,AUSTIN (Bonus),https://open.spotify.com/album/1F9LY06gadScF4g3g3BrDC,2023,3:19,"41,604,477","Fuck
♪
I'm always a drink away from a good day
Put on some Jodeci, gettin' loose, ayy
I pummel the coochie, I'm Bobby Boucher
Maybe that's why they put up with all my bullshit
And I bought a new Bentley without a roof, ayy
In L.A. they tell me my truck is stupid
Doin' cul-de-sac donuts, man, I'm a nuisance
I left my Prince with the Revolutions
Get hammered all alone
But don't feel bad for me
♪
And my chauffeur drinks Patrón
So call a cab for me, and I'll leave
Fuck me up, it's only a body (yeah, yeah, yeah)
♪
If God exists, it shouldn't be a problem (yeah, yeah, yeah)
♪
Socialite
♪
I'm feelin' naughty up on a Sunday
Fuck in the backseat of a Hyundai
I'm callin' her Shrek 'cause she got a donkey
It's crazy how well we get along
My new best friend I just met
Now it's, ""Fuck everybody else""
You love someone for six weekends
And never talk to them again
Call it what you want
It's such a tragedy
♪
I pulled the shortest straw
Another casualty, guess I'll leave
Fuck me up, it's only a body (yeah, yeah, yeah)
If God exists, it shouldn't be a problem (yeah, yeah, yeah)
Fuck me up, it's my birthday party (yeah, yeah, yeah)
So tell me something we got in common (yeah, yeah, yeah)
Socialite, socialite",https://open.spotify.com/track/37MvrBi4UHnb1BjRVTysWm
Finer Things (Feat. Hank Williams Jr.),F-1 Trillion,https://open.spotify.com/album/4BbsHmXEghoPPevQjPnHXx,2024,3:05,"45,555,715","Catfish Caviar, south of Florida cigar
Stag grip single action fallin' out my chrome hearts
Platinum on my teeth, wagyu on my grill
And George Jones crankin' out my coupe deville
Yeah, I'm a five star
Hell raisin' dive bar rockstar
I got a thing for the finer things
I'm in that deer blind with a diamond ring
My lambo and my ammo's all camo green
Yeah, I got an F-1 Trillion limousine
I got a ten-point blonde in the shotgun seat
I got a thing, got a thing for the finer things
Yeah, I do
♪
I got a 50 foot pontoon, tripled up Evinrude
Leaving me a tidal wave of wake when I flow through
Sippin' on a solo of Pappy Reserve
Big H on the top for my getaway bird
Aw, turn up the ""Ramblin' Man""
'Til the whole lake knows I'm a Hank fan
I got a thing for the finer things
I'm in that deer blind with a diamond ring
My lambo and my ammo's all camo green
Yeah, I got an F-1 Trillion limousine
I got a ten-point blonde in the shotgun seat
I got a thing, got a thing for the finer things
Yeah, I do
♪
I got a thing for the finer things
I'm in that deer blind with a diamond ring
My lambo and my ammo's all camo green
Yeah, I got an F-1 Trillion limousine
I got a ten-point blonde in the shotgun seat
I got a thing, got a thing for the finer things
Yeah, I do
♪
Yeah, I do, hm",https://open.spotify.com/track/4Kd9tBUgpXv26OfR6ugBv1
Never Love You Again (Feat. Sierra Ferrell),F-1 Trillion,https://open.spotify.com/album/4BbsHmXEghoPPevQjPnHXx,2024,3:06,"27,146,021","There's a bad moon hangin' over the city
I can't hear no hymns on the wind
As I pour up that glass of forget me
Hung over off what could've been
It's a long lost highway
And this road ain't my friend
I'll love you til tomorrow
Then I'll never love you again
Saw the bible on your dresser
Save some forgiveness for me
Baby this ain't no old cowboy western
Cuz I won't be lookin' back when I leave, oh
It's a long lost highway
And this road ain't my friend
I'll love you til tomorrow
Then I'll never love you again
♪
It's a long lost highway
And this road ain't my friend
I'll love you til tomorrow
Then I'll never love you again
Girl I'll never love you
Again",https://open.spotify.com/track/4rhSYWoLaBbkQccjme9UOJ
Laugh It Off,AUSTIN (Bonus),https://open.spotify.com/album/1F9LY06gadScF4g3g3BrDC,2023,4:06,"36,726,561","When we was lying down on the floor
You said I should smile more
I was killing your vibe
Pretend I didn't hear your voice
But baby, I was taking notes
Keep that in mind
Hey, you say you hate me
Ha-ha, I laugh it off
Your mind is made, and I can't change it
Somehow
♪
Haven't seen the sun in a month
But it's all sunshine
I forgot how to cry
It feels like pain, pain is a world away
Took my cigarettes and flushed them down the drain now
Okay, okay, I'm lying
Mmm, hey, you say you hate me
Ha-ha, I laugh it off
Your mind is made, and I can't change it
Somehow, I laugh it off
And if I learned anything at all
Smile
Talk to me, I know it's over
I'll listen like I did before
Hey, you say you hate me
Ha-ha, I laughed it off
When I fuck up, like I have lately
Somehow, I laugh it off
And if I learned anything at all
Smile, smile
And if I learned anything at all
Smile, smile",https://open.spotify.com/track/1UdagWdhnDqK9a0aWQpReY
Nosedive (Feat. Lainey Wilson),F-1 Trillion,https://open.spotify.com/album/4BbsHmXEghoPPevQjPnHXx,2024,3:12,"61,376,089","I found God lookin' for the devil
Chasin' a high couldn't keep forever
It's always worse before the better I suppose
And how far down it's hard to tell
When to buy and when to sell
Cuz that comedown it hurts like hell
And every thorn has it's rose
Sometimes you're drivin'
Sometimes you're stallin'
Sometimes you're flyin'
Sometimes you're fallin'
But there's still beauty in the nosedive
Sometimes you're runnin'
Sometimes you're crawlin'
Sometimes you're broke
Sometimes you're ballin'
But there's still beauty in the nosedive
I hit rock and dropped the shovel
Clawed my way out past the rubble
Do my best stay outta trouble heaven knows
Sometimes the picture it ain't perfect
But there's learnin' in the hurtin'
Sick of barin' all the burden
Every thorn has it's rose
Sometimes you're drivin'
Sometimes you're stallin'
Sometimes you're flyin'
Sometimes you're fallin'
But there's still beauty in the nosedive
Sometimes you're runnin'
Sometimes you're crawlin'
Sometimes you're broke
Sometimes you're ballin'
But there's still beauty in the nosedive
On my descent
The turbulence
Is my best friend
Buckle up and enjoy the ride
I cut my line
Through pale blue sky
To remind me I'm alive
Sometimes you're drivin'
Sometimes you're stallin'
Sometimes you're flyin'
Sometimes you're fallin'
But there's still beauty in the nosedive
Sometimes you're runnin'
Sometimes you're crawlin'
Sometimes you're broke
Sometimes you're ballin'
But there's still beauty in the nosedive
Sometimes you're drivin'
Sometimes you're stallin'
Sometimes you're flyin'
Sometimes you're fallin'
But there's still beauty in the nosedive",https://open.spotify.com/track/25uMKq5kygC2woAfeetEfE
Oxytocin,Happier Than Ever,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp,2021,3:30,"277,975,749","Can't take it back once it's been set in motion
♪
You know I love to rub it in like lotion
If you only pray on Sunday
Could you come my way on Monday?
'Cause I like to do things God doesn't approve of if she saw us
She couldn't look away, look away, look away
She'd wanna get involved, involved, involved
And what would people say, people say, people say
If they listen through the wall, the wall, the wall?
I can see it clear as day
You don't really need a break
Wanna see what you can take
You should really run away
I wanna do bad things to you (to you)
I wanna make you yell (yell)
I wanna do bad things to you (to you)
Don't wanna treat you well
Can't take it back once it's been set in motion
♪
You know I need you for the oxytocin
If you find it hard to swallow
I can loosen up your collar
'Cause as long as you're still breathing
Don't you even think of leaving
Not gonna wanna look away, look away, look away
You're gonna wanna get involved, involved, involved
And what would people say, people say, people say
If they listen through the wall, the wall, the wall?
I can see it clear as day
You don't really need a break
Wanna see what you can take
You should really run away
Other people wouldn't stay
Other people don't obey
You and me are both the same
You should really run away
Bad things
♪
To you
♪
I wanna do bad things to you
I wanna make you yell
I wanna do bad things to you
Don't wanna treat you well",https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu?uid=31047e382a381787487b&uri=spotify:track:4t2OeILB07eMGTXSUbMPEu
Don't Understand,AUSTIN,https://open.spotify.com/album/6r1lh7fHMB499vGKtIyJLy,2023,3:03,"38,207,420","I'm a rolling stone
Took you by surprise
You're hangin' onto something, anything
♪
Just like a shimmer of light
Oh, how the sword, it fell
I said, ""You're really something—everything
To me, and I'm cold, so hold me closer, baby""
I don't understand why you like me so much
'Cause I don't like myself
I don't understand why you like me so much
Wish I was someone else
You say you got a million reasons
But I can't think of one
I don't understand how you like me so much
'Cause I don't like myself
Mm-mm
♪
I'll build a church for you
They'll come from miles around
Girl, you're really something—everything
To me, and I'm cold, so hold me closer, baby
I don't understand how you like me so much
'Cause I don't like myself
I don't understand how you like me so much
Wish I was someone else
You say you got a million reasons
But I can't think of one
I don't understand how you like me so much
'Cause I don't like myself
Mm-mm, mm-mm",https://open.spotify.com/track/4MTuL20LF3pWebeJbcNh7p
