SongName,AlbumName,AlbumLink,Year,Runtime,PlayCount,Lyrics,SongLink
The Fate of Ophelia - Alone In My Tower Acoustic Version,The Fate of Ophelia (Alone In My Tower Acoustic Version),https://open.spotify.com/album/60pPcuYWCIAdcErvx2TLGB,2025.0,3:45,"1,574,606","I heard you calling on the megaphone You wanna see me all alone As legend has it, you are quite the pyro You light the match to watch it blow And if you'd never come for me I might've drowned in the melancholy I swore my loyalty to me, myself, and I Right before you lit my sky up (All that time) I sat alone in my tower You were just honing your powers, now I can see it all (see it all) (Late one night) you dug me out of my grave And saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land, the sea, the sky Pledge allegiance to your hands, your team, your vibes Don't care where the hell you been 'cause now you're mine It's 'bout to be the sleepless night you've been dreaming of The fate of Ophelia The eldest daughter of a nobleman Ophelia lived in fantasy But love was a cold bed full of scorpions The venom stole her sanity And if you'd never come for me I might've lingered in purgatory You wrap around me like a chain, a crown, a vine Pulling me into the fire (All that time) I sat alone in my tower You were just honing your powers, now I can see it all (see it all) (Late one night) you dug me out of my grave And saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land (land), the sea (sea), the sky Pledge allegiance to your hands, your team, your vibes Don't care where the hell you been 'cause now you're mine It's 'bout to be the sleepless night you've been dreaming of The fate of Ophelia 'Tis locked inside my memory, and only you possess the key No longer drowning and deceived, all because you came for me Locked inside my memory, and only you possess the key No longer drowning and deceived, all because you came for me (All that time) I sat alone in my tower You were just honing your powers, now I can see it all (see it all) (Late one night) you dug me out of my grave And saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land (land), the sea (sea), the sky Pledge allegiance to your hands (your hands), your team, your vibes Don't care where the hell you been 'cause now you're mine It's 'bout to be the sleepless night you've been dreaming of The fate of Ophelia You saved my heart from the fate of Ophelia",https://open.spotify.com/track/3Z2nTctPsTsgqqJm5fCSvG
The Fate of Ophelia,The Fate of Ophelia (Alone In My Tower Acoustic Version),https://open.spotify.com/album/60pPcuYWCIAdcErvx2TLGB,2025.0,3:46,"371,448,377","I heard you calling On the megaphone You wanna see me all alone As legend has it you Are quite the pyro You light the match to watch it blow And if you'd never come for me I might've drowned in the melancholy I swore my loyalty to me, myself and I Right before you lit my sky up All that time I sat alone in my tower You were just honing your powers Now I can see it all (see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia The eldest daughter of a nobleman Ophelia lived in fantasy But love was a cold bed full of scorpions The venom stole her sanity And if you'd never come for me I might've lingered in purgatory You wrap around me like a chain, a crown, a vine Pulling me into the fire All that time I sat alone in my tower You were just honing your powers Now I can see it all (see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia 'Tis locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me Locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me All that time I sat alone in my tower You were just honing your powers Now I can see it all (I can see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia You saved my heart from the fate of Ophelia",https://open.spotify.com/track/5cKBWgDjB5IXZ5jnryewOH
The Fate of Ophelia,The Life of a Showgirl,https://open.spotify.com/album/4a6NzYL1YHRUgx9e3YZI6I,2025.0,3:46,"371,448,377","I heard you calling On the megaphone You wanna see me all alone As legend has it you Are quite the pyro You light the match to watch it blow And if you'd never come for me I might've drowned in the melancholy I swore my loyalty to me, myself and I Right before you lit my sky up All that time I sat alone in my tower You were just honing your powers Now I can see it all (see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia The eldest daughter of a nobleman Ophelia lived in fantasy But love was a cold bed full of scorpions The venom stole her sanity And if you'd never come for me I might've lingered in purgatory You wrap around me like a chain, a crown, a vine Pulling me into the fire All that time I sat alone in my tower You were just honing your powers Now I can see it all (see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia 'Tis locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me Locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me All that time I sat alone in my tower You were just honing your powers Now I can see it all (I can see it all) Late one night You dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been 'Cause now you're mine It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia You saved my heart from the fate of Ophelia",https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W
You’re Losing Me (From The Vault),You're Losing Me (From The Vault),https://open.spotify.com/album/5q3jthpn2h59P7pe2gmAl7,2023.0,4:37,"356,015,345","You say, ""I don't understand, "" and I say, ""I know you don't"" ♪ We thought a cure would come through in time, now, I fear it won't ♪ Remember lookin' at this room, we loved it 'cause of the light ♪ Now, I just sit in the dark and wonder if it's time ♪ Do I throw out everything we built or keep it? I'm getting tired even for a phoenix Always risin' from the ashes Mendin' all her gashes You might just have dealt the final blow Stop, you're losin' me Stop, you're losin' me Stop, you're losin' me I can't find a pulse My heart won't start anymore For you ♪ 'Cause you're losin' me ♪ Every morning, I glared at you with storms in my eyes How can you say that you love someone you can't tell is dying? I sent you signals and bit my nails down to the quick My face was gray, but you wouldn't admit that we were sick And the air is thick with loss and indecision I know my pain is such an imposition Now, you're runnin' down the hallway And you know what they all say You don't know what you got until it's gone Stop, you're losin' me Stop, you're losin' me Stop, you're losin' me I can't find a pulse My heart won't start anymore For you 'Cause you're losin' me 'Cause you're losin' me Stop (stop) 'cause you're losin' me My heart won't start anymore ('cause you're losin' me) My heart won't start anymore ('cause you're losin' me) How long could we be a sad song 'Til we were too far gone to bring back to life? I gave you all my best me's, my endless empathy And all I did was bleed as I tried to be the bravest soldier Fighting in only your army Frontlines, don't you ignore me I'm the best thing at this party (You're losin' me) And I wouldn't marry me either A pathological people-pleaser Who only wanted you to see her And I'm fadin', thinkin' Do something, babe, say something (say something) Lose something, babe, risk something (you're losin' me) Choose something, babe, I got nothing (got nothing) To believe Unless you're choosin' me You're losin' me Stop (stop, stop), you're losin' me Stop (stop, stop), you're losin' me I can't find a pulse My heart won't start anymore",https://open.spotify.com/track/3CWq0pAKKTWb0K4yiglDc4
Mine (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,3:51,"261,765,959","Ah-ah, ah ♪ Ah-ah, ah ♪ You were in college, working part-time, waiting tables Left a small town, never looked back I was a flight risk, with a fear of falling Wondering why we bother with love, if it never lasts I say, ""Can you believe it?"" As we're lying on the couch The moment, I can see it Yes, yes, I can see it now Do you remember we were sitting there by the water? You put your arm around me for the first time You made a rebel of a careless man's careful daughter You are the best thing that's ever been mine ♪ Flash forward, and we're taking on the world together And there's a drawer of my things at your place You learn my secrets, and you figure out why I'm guarded You say we'll never make my parents' mistakes But we got bills to pay We got nothing figured out When it was hard to take Yes, yes, this is what I thought about Do you remember we were sitting there by the water? You put your arm around me for the first time You made a rebel of a careless man's careful daughter You are the best thing that's ever been mine Do you remember all the city lights on the water? You saw me start to believe for the first time You made a rebel of a careless man's careful daughter You are the best thing that's ever been mine Oh-oh, oh And I remember that fight, 2:30 a.m As everything was slipping right out of our hands I ran out crying, and you followed me out into the street ♪ Braced myself for the goodbye 'Cause that's all I've ever known Then you took me by surprise You said, ""I'll never leave you alone"" You said, ""I remember how we felt, sitting by the water And every time I look at you, it's like the first time I fell in love with a careless man's careful daughter She is the best thing that's ever been mine"" Hold on and make it last Hold on, never turn back (Hold on) you made a rebel of a careless man's careful daughter (Hold on) you are the best thing that's ever been mine Do you believe it? We're gonna make it now And I can see it (yeah, yeah) I can see it now",https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,4:21,"176,827,364","The way you move is like a full-on rainstorm, and I'm a house of cards You're the kind of reckless that should send me running But I kinda know that I won't get far And you stood there in front of me, just close enough to touch Close enough to hope you couldn't see what I was thinking of Drop everything now, meet me in the pouring rain Kiss me on the sidewalk, take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile ♪ My mind forgets to remind me you're a bad idea You touch me once and it's really something You find I'm even better than you imagined I would be I'm on my guard for the rest of the world, but with you, I know it's no good And I could wait patiently, but I really wish you would Drop everything now, meet me in the pouring rain Kiss me on the sidewalk, take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile ♪ I'll run my fingers through your hair and watch the lights go wild Just keep on keeping your eyes on me, it's just wrong enough to make it feel right And lead me up the staircase, won't you whisper soft and slow? I'm captivated by you, baby, like a fireworks show Drop everything now, meet me in the pouring rain Kiss me on the sidewalk, take away the pain 'Cause I see sparks fly whenever you smile Get me with those green eyes, baby, as the lights go down Give me something that'll haunt me when you're not around 'Cause I see sparks fly whenever you smile And the sparks fly And, oh, baby, smile And the sparks fly",https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp
Back To December (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,4:54,"280,581,527","I'm so glad you made time to see me How's life? Tell me, how's your family? I haven't seen them in a while You've been good, busier than ever We small talk, work and the weather Your guard is up and I know why Because the last time you saw me Is still burned in the back of your mind You gave me roses and I left them there to die So this is me swallowin' my pride Standin' in front of you, sayin' I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothin' but missin' you Wishin' I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I go back to December all the time ♪ These days, I haven't been sleepin' Stayin' up playin' back myself leavin' When your birthday passed and I didn't call Then I think about summer, all the beautiful times I watched you laughin' from the passenger side and Realized I loved you in the fall And then the cold came, the dark days When fear crept into my mind You gave me all your love, and all I gave you was goodbye So this is me swallowin' my pride Standin' in front of you, sayin' I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothin' but missin' you Wishin' I'd realized what I had when you were mine I'd go back to December, turn around and change my own mind I go back to December all the time ♪ I miss your tan skin, your sweet smile So good to me, so right And how you held me in your arms that September night The first time you ever saw me cry Maybe this is wishful thinkin' Probably mindless dreamin' But if we loved again, I swear I'd love you right I'd go back in time and change it, but I can't So if the chain is on your door, I understand But this is me swallowin' my pride Standin' in front of you, sayin' I'm sorry for that night And I go back to December It turns out freedom ain't nothin' but missin' you Wishin' I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I'd go back to December, turn around and change my own mind I go back to December all the time ♪ All the time",https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2
Speak Now (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,4:02,"139,631,952","I am not the kind of girl Who should be rudely barging in on a white-veil occasion But you are not the kind of boy Who should be marrying the wrong girl I sneak in and see your friends And her snotty little family all dressed in pastel And she is yelling at a bridesmaid Somewhere back inside a room, wearing a gown shaped like a pastry This is surely not what you thought it would be I lose myself in a daydream Where I stand and say Don't say, ""Yes,"" run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out, and they said, ""Speak now"" ♪ Fond gestures are exchanged And the organ starts to play a song that sounds like a death march And I am hiding in the curtains It seems that I was uninvited by your lovely bride-to-be She floats down the aisle like a pageant queen But I know you wish it was me You wish it was me, don't you? Don't say, ""Yes,"" run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out, and they said, ""Speak now"" Don't say, ""Yes,"" run away now (run away now) I'll meet you when you're out of the church at the back door Don't wait, or say a single vow (say a single vow) Your time is running out, and they said, ""Speak now"" Ooh (run away now) Ooh, ooh (say a single vow) I hear the preacher say, ""Speak now or forever hold your peace"" There's the silence, there's my last chance I stand up with shaky hands, all eyes on me Horrified looks from everyone in the room But I'm only looking at you I am not the kind of girl Who should be rudely barging in on a white-veil occasion But you are not the kind of boy Who should be marrying the wrong girl So don't say, ""Yes,"" run away now I'll meet you when you're out of the church at the back door Don't wait or say a single vow You need to hear me out, they said, ""Speak now"" You'll say, ""Let's run away now (run away now) I'll meet you when I'm out of my tux at the back door Baby, I didn't say my vows (say a single vow) So glad you were around when they said, 'Speak now'""",https://open.spotify.com/track/5xXqyjLicvEpch72qEryFT
Dear John (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,6:45,"143,648,284","Long were the nights when my days once revolved around you ♪ Counting my footsteps, praying the floor won't fall through again And my mother accused me of losing my mind But I swore I was fine You paint me a blue sky and go back and turn it to rain And I lived in your chess game, but you changed the rules every day ♪ Wondering which version of you I might get on the phone tonight Well, I stopped picking up, and this song is to let you know why Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I should've known ♪ Well, maybe it's me and my blind optimism to blame Or maybe it's you and your sick need to give love, then take it away And you'll add my name to your long list of traitors who don't understand And I'll look back and regret how I ignored when they said, ""Run as fast as you can"" Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home Dear John, I see it all now, it was wrong Don't you think 19's too young to be played By your dark, twisted games, when I loved you so? I should've known ♪ You are an expert at sorry and keeping lines blurry Never impressed by me acing your tests All the girls that you've run dry have tired, lifeless eyes 'Cause you burned them out But I took your matches before fire could catch me So don't look now I'm shining like fireworks over your sad, empty town ♪ Oh, oh ♪ Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress wrote you a song You should've known You should've known Don't you think I was too young? You should've known",https://open.spotify.com/track/1zU8j1x3yi9xalMF96pzKp
Mean (Taylor's Version),Speak Now (Taylor's Version),https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023.0,3:58,"133,840,158","You, with your words like knives And swords and weapons that you use against me You have knocked me off my feet again Got me feeling like a nothing You, with your voice like nails on a chalkboard Calling me out when I'm wounded You, picking on the weaker man ♪ Well, you can take me down With just one single blow But you don't know what you don't know Someday, I'll be living in a big old city And all you're ever gonna be is mean Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean Why you gotta be so mean? You, with your switching sides And your wildfire lies and your humiliation You have pointed out my flaws again As if I don't already see them I walk with my head down Trying to block you out, 'cause I'll never impress you I just wanna feel okay again I bet you got pushed around Somebody made you cold But the cycle ends right now 'Cause you can't lead me down that road And you don't know what you don't know Someday, I'll be living in a big old city And all you're ever gonna be is mean Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean Why you gotta be so mean? ♪ ♪ And I can see you years from now in a bar Talking over a football game With that same big loud opinion but nobody's listening Washed up and ranting about the same old bitter things Drunk and grumbling on about how I can't sing But all you are is mean All you are is mean And a liar, and pathetic, and alone in life And mean, and mean, and mean, and mean But someday, I'll be living in a big old city And all you're ever gonna be is mean, yeah Someday, I'll be big enough so you can't hit me And all you're ever gonna be is mean (Why you gotta be so mean?) Someday, I'll be living in a big old city (why you gotta be so mean?) And all you're ever gonna be is mean (why you gotta be so mean?) Someday, I'll be big enough so you can't hit me (why you gotta be so mean?) But all you're ever gonna be is mean Why you gotta be so mean?",https://open.spotify.com/track/30Y4CV7A6YqtQtTTo7Ue4j
