SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),https://open.spotify.com/album/0boA7GUGSxOMWwdnnTR0yI,2018,470313795,"I'm out of my head, out of my mind, oh, I
If you let me, I'll be
Out of my dress and into your arms tonight
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me
Out of my head, and into your arms tonight, tonight
Yeah, I don't mean to make you wait
Just the pressure's been gettin' heavy
I know if I fuck us up, we'll be over, done, you'll forget me
Forget me, I'm feelin' bad that I act this way, 'cause you let me
They call me king, but I know my queen will be there to check me
Last year, was runnin' 'round 45th lookin' for SoHo
Last night, was ridin' down Rodeo lookin' for no ho
It's crazy what can change in a year, think that you know though
Go back and forth like a yo-yo, they live their life for the photos
They see me, I'm actin' solo, 'cause I'm afraid to commit
Now, can you tell me how I'm different than him, and him, and him?
Yeah, I know I'm always questionin' things, like, girl
Would you say that love cannot be found inside a vow or a ring?
She laughs and says, ""Only material things
Those are material things, imagine buyin' all my trust with a ring
Imagine spendin' all my love on a fling, got a thing for you
If I had the talent you had, I probably would sing for you, like""
I'm out of my head, out of my mind, oh, I
If you let me, I'll be
Out of my dress and into your arms tonight
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me
Out of my head, and into your arms tonight, tonight
Yeah, I don't mean to make you wait or to contemplate about us
My ex, she loved to lie, guess that's why it's harder to trust
I been searchin' to find myself and not get too lost into lust
I heard once that you can try, but can't fill from an empty cup
That's no lie, and all I ever say is how I need time
If it was up to you now, you would be mine
I'm on the road more than I'm home
And still I find it's only you on my mind
The last three were gemini, I take that shit as a sign, it's funny
You can't buy time with your money
And you love goin' to the beach whether it's cloudy or sunny
And you love drinkin' all your wine until it hurts in your tummy
You call me, ""Honey, I'm tipsy
And really all I want is for you to love me""
Flashbacks to backroads drivin' back to my side of state
I know I need to tell you, I care before it's too late
Before someone steps to the plate, before you decide not to wait
Before you decide not to chase, then you call me up, just to say
""I'm out of my head, out of my mind, oh, I
If you let me, I'll be
Out of my dress and into your arms tonight (oh, baby)
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me (oh)
Out of my head, and into your arms tonight
Tonight"" (yeah, yeah)",https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM,186
Kindest Regards,Kindest Regards,https://open.spotify.com/album/5Py5aOEeAsp9oz7pD30wZL,2014,67174138,"Here to tell you the truth
Tell you I'm nervous
Tell you my story
Tell you I'm worth it
Tell you my flaws and my faults and my doubts
Give you my heart and what's left of it now
Tell you my hurt, tell you my pain
Tell you the thoughts I keep trapped in my brain
Tell you that nothing's the same
Tell you I'm nothing much more than a man
And tell you I fear I may never find love
Tell you I'm getting in touch with above
And right now, can't deny that I'm scared
All this music I wrote won't compare or warrant the buzz
Alone in my room
Dissecting each line that I rhyme
I don't know how I finish on time
Miss a drop date three times
I know that I let you all down
Well, I was the first in that line, so
Sever my soul from my body, engulf it in music, then give you something to relate
This is somewhere to go when your heart becomes cold and your friends become fake
As you stand on the edge of the world, you feel like you're destined to break
And your grandma is screaming, ""You're worthless!"", and calling you names to your face
Mom and I had to move to a place second time that I'll rhyme to paint this picture
And I can't deny I would hide in my room and would cry from dealing with ya
Pictures so vivid, you yell in the kitchen
I'm taking my boxes, I've made a decision
I'm done with your dissing, your father they're fixing
I tried to be nice but you just wouldn't listen
I couldn't wait for the day just to give you my take on the shit that you did
Silly old bitch, never be like you
Never be so rude, I hope
I wish alone and sit, you sit, but this is where we end it
It's crazy to me how the truth is often most offensive, battle tested
Learned my lesson to forgive, but not forget
I spilled my heart, opened my chest
Irrelevant you are to me, but part to me, honestly
Thought I should address, life often makes this mess
I've come to give you more while everybody gives you less, yeah
And, looking back on it all was a lie
At your friend's house and there's no other guys
Surprise! Now look who you're with—I'm not trying to diss
I'm just telling you this that your feelings may fade, but your memories stick
Hope you're happy with him
I honestly hope you're happy with him
And he does all the things that I would, and I tried, but I couldn't
Could keep going on, but I know that I shouldn't
I shouldn't waste any more time
Shouldn't waste any more lines when you're drunk off the wine
Do you find me crossing your mind?
We knew this would happen with time
But I think that we finally figured it out
That we would just never work out
I tried picking you up
You tried pulling me down
But now life without you is where happy is found
And right now I'm just focused on music
Trust you would lose it
Ripped out my heart, you abused and you used it
Love's not a label on Facebook
When I gave you everything like, ""Girl, wait, look!""
But you didn't care
I would just stare at my wall
And you gave me no reason at all when you left
Picked myself up when you made me feel less
Much better off, and at that I detest
Well, now let's just put it to rest
I wish you the best
My friends don't respond to my texts
Yes, I've been busy with 'Kindest Regards'
But is it that hard just to call?
I wanna hang out yet you shutting me out
And you put in no effort at all
Now, you got me confused like, ""What did I do?""
Used to tell you if I make it, I'll be bringing all you
Now, my circles are limited
Few of y'all walked out and left
That left no one to lose
I got nothing to lose
And nothing to gain by not telling the truth
Been barely believing in love
I still really don't even know if I do
But, if someone was ever to make me believe
Then that someone is you
I promise it's you
I never took action, you're Snapchattin'
Asking me where all my music is at
We're talking right now as I'm writing this rap
You're someone I wish that I always could have
And to be blatant, girl, your name is—
Still can't say it, never could say it
Scared you would hate it
Wonder what crosses your mind when you play it
I'm patient, I'm waiting for you
Even wrote 'Rescue' about me and you
Maybe one day we'll be, we'll wait and we'll see
Now, I'm chasing my dream and I hope you do too
And I'm hoping to prove I'm paying my dues
Dad would get drunk and pass out, I'm like, ""What are you doin'?""
Booze and you lose it—he knew it
So he got sober, so proud, I knew you could do it!
I'm out at a party, ya'll tell me to drink
Here's what I think—I think you look stupid!
Sinking my soul into music, I do it for free
And just know that I'm woven into it
My fans, we turned into fam
I'm here to guide you; give me your hands
Tell me your thoughts and your dreams and your plans
They told me I never could be what I am
Now look where we stand
We stand for everything we said we'd stand for
When they tried to give us less, we said, ""No, fuck that—we demand more!""
And we stand tall
Dan told me jump on the beat and go tell 'em the truth
That's what I do, I do this for you
I tell you my story to help you get through
And you see that this life is hard
The darkest nights make the brightest stars
I'm bringing y'all with me, let's raise the bar
I know y'all come feel this, whoever you are
Kindest regards
Mark",https://open.spotify.com/track/67HRSCGK3ZQIxb3Spr1cHQ,294
Coupons,Dreaming With Our Eyes Open,https://open.spotify.com/album/0x8V30SsjfBNY2PuQ9TO3w,2015,13296339,"Couple more bills are hear
you tell me don't worry you
Coupons on the table, yeahh
tryna find a way to buy food
and i'm feeling so lost out here
I run to you
and i'm feeling so lost our here
i run to you run to you
running is something you
and i had to know well
honestly no scars i won't tell honestly scared to death i won't sell
i ain't worried about the money
go to benefit the hungry
its a feeling that i know we both felt
and i ain't no help
cause i'm trying to live a dream
and it means that it seems I got no wealth
and we know hell
seen it twice
looks something like a bottle with a glass of ice
it looks something like a house over half our life
it looks something like a letter turning off the lights
we can't pay the price
how i am i gonna write at night with no lights
and I want it more i see you charging up a bill that you can't afford
so i pray for the day that i can say that i gave you more
gave you more
open that door
you know you deserve it
and one day in the future you'll realize that one day all the pain it was worth it
and i get you that house out in Florida with gizmo that view will be perfect
you should know that i feel like you raised me alone because daddy was worthless
never was working
drunk on the couch
i'm almost ashamed that i came from you know
you finally got sober
you figured it out
but you sit and you pout
no ones ever around when i cap in the gown for sobriety found
and forget about years about you letting me down
i'm surrounded by people who care about me now
now i'm cutting you out and i like how it sound
Yeah, i know that we been through it all No, we don't fall, nobody can break us Cause
you believe in me Believe in me that I'm gon make it And I promise on my bones I've
built this home I've built it all for you, just know I built it all for you x2
And ontop of it all
You call my phone: ""mark, the car broke while driving home, just found out we gotta
leave our home you see I'm tryna pay the bills in this student loan
You see I could have signed a deal, but I wanna keep it real I can barely buy a meal
got me feeling broke
Until I'm sitting on a bill I ain't worried bout a mill now i'm hoping that I bring
it to the people, hope the used to laugh and joke, they used to push me down
I had to find my soul inside I'm lost and found would have been better of without a
dad around I know it's sad to say, but can you blame me now?
Can you blame me now?
Yelling and screaming alcohol over us what were you thinking I'm tired of watching
you drinking
I tried to be nice, okay now I'm hoping to sink in
And when there was nothing to eat I had friends who were feeding me dinner Drived
to your house, stomach would growl
open the door and, you notice that I've been getting thinner been working all winter
been losing my mind, I've been stuck in my room it analysing my lines
But me, I'm tryna get to know me
Momma working at a two jobs ot we got two things in common
We fight and believe now I'm trimming the leaves on the family tree
I don't do this for me, me I do this for we
we got passion and heart, we're apart of a ream
All I need is a mic and a mac and a beat
We're a fraction of what we could actually be",https://open.spotify.com/track/4hhmHMURglfJa44XXKC2V8,266
Off the Strength,If You Don't Like the Story Write Your Own,https://open.spotify.com/album/1rKIT2C7BONrvYegtGjeAp,2022,561371,"They thought they buried me, apparently, but buried a seed
Somebody said I changed a lot, but honestly a lot's been changin' me
They started signin' virtual rappers, we'll have to wait and see
If there's a place for me once they dumb the art down to make-believe
The dirt sits on the Tesla and Balenciaga trainers
Just so every time I see 'em, I'm reminded where I came from
I came a long way from three digits on the paystub
To some millions dollar deals I decided to walk away from
I push my limits to the borderline
So versatile, and you only hate 'cause you're the old design
They wanna steal your soul but they can never get ahold of mine
Been workin' every night, it's like my life is stuck on overtime
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
But you're so stuck in your bubble, you love to hear yourself talk
And you just can't understand why I don't fit in a box
I own my masters, motherfucker, just in case you forgot
Does it hurt to know you
Don't own all those average records you've got?
You said I fell off, but your views on success are so basic
You talk a lot of shit for someone that lives in their mother's basement
Funded all this outta pocket, never took a product placement
See, success to me is winning with the people that I came with
I push my limits to the borderline
So versatile, and you only hate 'cause you're the old design
They wanna steal your soul but they can never get ahold of mine
Been workin' every night, it's like my life is stuck on, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Went multiplatinum off a song that didn't even make the album
Did LaLa a cappella 'cause I couldn't get the sound on
The truth is that the journey's more important than the outcome
Look, when I leave, I hope I leave 'em better than I found 'em
And my grandpa's got dementia, so I know nobody's prayin' for me
Fucked me up when people that I trusted started changin' on me
Feelin' like a titan, seems like everybody's aimin' for me
You thought you could stop me?
You thought you could stop me?
I won't ever stop
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah
Off of the strength, ah
Off of the strength, yeah
Fuck what they say, I'm in a game, I've got a place, yeah",https://open.spotify.com/track/2Vdx6LNHBG321T8G56yUXe,201
Fxcked Up,If You Don't Like the Story Write Your Own,https://open.spotify.com/album/1rKIT2C7BONrvYegtGjeAp,2022,851437,"For the first time
For the first time
Listen, my heart is breakin', maybe I lack the patience
But how have all your vices now become my obligation?
With every slip you take, you change, and damn, I fuckin' hate it
I might take every bottle in this motherfuckin' house and break it
I can't take it, as you've become a slave to somethin' faceless
You always say you'll change, yeah, you always say the same shit
How could someone so wise become so equally complacent?
You're about to lose it all, do you not care enough to save it, motherfucker?
I'm sorry, damn, it's been a long day
But think about it, have you ever asked if I was okay?
You see, your problems create problems, then you drink 'em away
It's not until you sober up enough that that's when you say (hey)
I fucked up again and slept in all of my clothes
For the first time in a while (for the first time, for the first time)
I fucked up again, and blocked out, I lost all control
For the first time in a while (for the first time, for the first time)
Yeah, you wasted years gettin' wasted, I don't need your sorry, just save it
You think I can't tell you're faded? I don't mean to be so abrasive
I know you have a disease, and that you're just scared to face it
I don't mean to make this 'bout me, but can't you see why I'm jaded?
I miss the you you are when you're sober, you've added years to your face
And not just because you're gettin' older, but 'cause you drank and you drank
It feels like the world's on your shoulders, you carry all of its weight
And the doctor said you're bipolar, you think there's been a mistake
And I know, I'm not your brain, it's not my place to tell you what is real
All that I can do is try to tell you how I fuckin' feel
Stuck by you through it all, I don't ever question if I love you still
The greatest gift that you could ever give me is to fuckin' heal
I never would've thought you'd let the liquor run your life
You drink when everything is wrong, you drink when everything is right
Not here to downplay all your pain or all the demons that you fight
But over family and friends, how could you pick a vodka sprite?
Another night and another lie, you try to hide it, I can tell
You're drunk again, 'cause on your breath, the alcohol is all I smell
We only have this life to live, why would you choose to live in hell?
If you won't get sober for me, at least just do it for yourself
Damn, I feel you fadin' away
I never let you hit rock bottom, maybe that's what it takes
For you to finally put the bottle down before it's too late
It's not until you sober up enough that that's when you say (hey)
I fucked up again and slept in all of my clothes
For the first time in a while (for the first time, for the first time)
I fucked up again, and blocked out, I lost all control
For the first time in a while (for the first time, for the first time)",https://open.spotify.com/track/6A6SPJsG3OKjD7l0vu0tg5,211
Into Your Arms (feat. Ava Max) - BEAUZ Remix,Into Your Arms (feat. Ava Max),https://open.spotify.com/album/0boA7GUGSxOMWwdnnTR0yI,2018,6251311,"I'm out of my head, out of my mind, oh, I
If you let me, I'll be
Out of my dress and into your arms tonight
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me
Out of my head, and into your arms tonight
Tonight
♪
Tonight
♪
Into your arms tonight, tonight
♪
Yeah, I don't mean to make you wait
Just the pressure's been gettin' heavy
I know if I fuck us up, we'll be over, done, you'll forget me
Forget me, I'm feelin' bad that I act this way, 'cause you let me
They call me king, but I know my queen will be there to check me
Last year, was runnin' 'round 45th lookin' for SoHo
Last night, was ridin' down Rodeo lookin' for no ho
It's crazy what can change in a year, think that you know though
Go back and forth like a yo-yo, they live their life for the photos
They see me, I'm actin' solo, 'cause I'm afraid to commit
Now can you tell me how I'm different than him, and him, and him?
Yeah, I know I'm always questionin' things, like, girl
Would you say that love cannot be found inside a vow or a ring?
She laughs and says, ""Only material things""
Those are material things, imagine buyin' all my trust with a ring
Imagine spendin' all my love on a fling, got a thing for you
If I had the talent you had, I probably would sing for you, like
I'm out of my head, out of my mind, oh, I
If you let me, I'll be
Out of my dress and into your arms tonight (oh, baby)
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me (ooh)
Out of my head, and into your arms tonight
Tonight
Yeah, I'm lost without it
Feels like I'm always waitin'
I need you to come get me (ooh)
Out of my head, and into your arms tonight
Tonight
♪
Into your arms tonight, tonight",https://open.spotify.com/track/4O4P8RYiPZmBIqdkbPPacm,175
DEBT,NEVERS ROAD,https://open.spotify.com/album/3kIUmStYlCKTlM9eZmN1Nb,2019,5294443,"Why do you let us hate one another just for the dollar?
Did you lose your heart in the darkness, deep in your pocket?
No, I don't care of the price I'd pay
I don't wanna spend my life that way
Tell me is the pain that you're causin' worth what you profit?
Yeah, they say that money don't buy happiness, just beautiful things
But I wouldn't mind the extra time and piece of mind that it brings
I wouldn't mind if I could afford AC in the spring
Or for the heat in the winter,
Not being bitter but they live like kings
And here we are in one bedroom we could barely afford
Hang your sheets up on the walls just to mimic the doors
Can barely afford to pay for a Ford, why you pay for your Porsche?
See, where I'm from nobody makes it to Forbes
And I'm so tired of this dead-end job
While I was workin' last night, my fuckin' car got robbed
There's glass everywhere, I'm searchin' for the things I lost
All the things I bought
You steal from me just to cut your cost
My mom's worked her whole life just to get me a life to live
So I spilled my fuckin' soul and gave everything I could give
I think we can agree that Sallie Mae is a bitch
And there's gotta be more to life than this
Why do you let us—
Why do you let us hate one another just for the dollar?
Did you lose your heart in the darkness, deep in your pocket?
No, I don't care of the price I'd pay
I don't wanna spend my life that way
Tell me is the pain that you're causin' worth what you profit?
Yeah, another day, another bill, lately hatin' how I feel
Need a tax refund just to buy a fuckin' meal
Your follows on your social's essential for signin' deals
Man, it's crazy how a fake affects a room full of real
My boss told me, ""Turn tables,"" I told him, ""Tables will turn""
What I'm laughin' at: What I make in a day is more than you earn
The waiters start to laugh like to mention that is absurd
But they never focus their vision, their vision focus is blurred
And they think I'm out of my mind, or ahead of my time
Or I'm the one that grinds and puts himself on the line
To learn how to win, you have to lose a hundred times
Honestly, I think that losin' is better than not tryin'
They say, ""Make money, don't let the money make you""
The question is, what if it's the only thing to save you?
Would you sell your soul for a price if they paid you?
Or would you keep it real and stay you?
Why do you let us—
Why do you let us hate one another just for the dollar?
Did you lose your heart in the darkness, deep in your pocket?
No, I don't care of the price I'd pay
I don't wanna spend my life that way
Tell me is the pain that you're causin' worth what you profit?
Yeah, I know that money don't buy
Happiness, but buys you more material shit
Then rewordin' how I think and what it means to be rich
I used to think it meant to flex a Rolex on my wrist
Feels bad to take more than you give, lately, hate how we live
I never want become the face that I hate
When the man in the mirror will laugh and spit in my face
And tell me that the money has made me another fake
I've been drownin' in my mind and my money's been addin' weight
Oh Lord, oh Lord, please save me
I should have known that somethin' man-made couldn't make me
I say I'm makin' music, or is music what creates me?
I never have an answer, same question every day
See, when we pass on, all our things are passed on to the next
Everything we didn't do is everything we regret
Every day we fuckin' work for this worthless check
If you're not happy, you're forever in debt
You're forever in debt",https://open.spotify.com/track/2hAQ0tj7uAWAo4llKhrSL0,238
Piece of Mind 4,Piece of Mind 4,https://open.spotify.com/album/3uDYkLp0gYBuXjJK5IIPkD,2018,9160287,"Yeah
I hate it when you're here but you're not here
Hate it when your friends turn to old peers
Hate it when you talk but you don't hear
Hate it when your energy feels weird
Last time I think I laughed, it was last year
Made more money last month than the past year
When everything feels fake, only facts here
I remember working back as a cashier, simpler times
Now it's been three weeks, still the page is empty
They hang on every word I fuckin' say
While I appreciate you, wait for my perspective
Gotta keep it real, there's somethin' else in play
Somethin' I can't explain, yeah
Like the lyrics I find in my mind were put in my brain, damn
Is it really that deep? Maybe it's me
Then one day, I came across what the Romans believed
And even the Greek
You see, they believe we create from our Genii
It's not in our genes, that got me to think
'Bout rappers who claim that they're more than just human
Promote what they pour in their drink
Was makin' me think, I needed a substance to create
With somethin' that wasn't in me
But pardon me, please
Fuck all that nonsense
I believe that my music is bigger than me
If I'm bein' honest
And I think that it's lame for an artist
To claim they're a god or a goddess
Because that type of thinkin' is silently killing off all of our artists
While the industry profit, fillin' their wallets, damn
Feel like I'm on a hamster wheel
While I focus on makin' the music
You don't need your hands to feel
Is it fair when we follow our passion
We barely can land a meal?
In an industry where they can take
They don't need hands to steal!
They told me, ""Go get a degree!""
Was stupid for followin' dreams
Your job was to push me to think
Instead you're just hurdling sheep
I spill out my soul into ink
I told 'em I need to pursue what I love
If not, then I'm makin' this money for what?
Buy shit from a brand led by someone that does
I needed to find out who I really was, now...
They would never get it
Said I couldn't do it, so they were shook when I did it
They never could see the vision, they never wanted me winnin'
I never need an opinion, I never was one to fit it
Too fast to follow along, then I'll bring it back in a minute
I take the beat for a trip and I'll bring it back when I'm finished
I see my room as a womb, and I build and grow while I'm in it
I'm livin', but am I livin'? I can't even tell the difference
Since the last four lines, it's been about one week
Anxiety hit me real hard, and I think
I've been sacrificin' my own mental to prove
The potential in me with the music they seek
'Cause the more that I'm makin', the more that they need
The more that I'm open, the more that I bleed
The more that they're lyin', the less I believe
The more that I please 'em, the less that I'm me
I been back and forth, daily
Am I even making art, or did the art make me?
No wonder why I'm feelin' lost lately
Do they hate the art, or do they really hate me?
They're so negative on the daily
But I don't need your help, to me I'm twice as mean
Yeah, I'm twice as mean, it's seemin' like your dream
Is really only takin' shots at my self-esteem, mo'fucker!
You question why you should care
Like, ""This don't affect what I do""
But maybe, just maybe, if you change your thinkin'
Then you would find you'd start believin' in you
You see, as a human, you're made to create
Not just sit at a desk with some paper and glue
And maybe, just maybe, we do have a genius
So all of the blame and the praise is for two, damn
♪
So, who am I when the world tells me who I should be?
Look around, you'll see ideas are essential as air and sleep
Everything you see, it came from the mind of a human being
That's mind-blowin', you're not your mistakes or the fears you think
And I think, I need to pray and take care of myself more
Deep hidden in my mind's where you'll find ""Piece of Mind 4""",https://open.spotify.com/track/69uAVuw8p5rFRRUus7V6YN,232
Rescue,Rescue,https://open.spotify.com/album/3BTPwQkmnMR9PKocWk0yBX,2014,8477355,"Girl, I can't deny I'm feeling butterflies
Looking in your eyes hopefully you're someone I can believe
Yeah see I've been hurt before and I've dealt with the pain
But now I realize I need more, more, more
Could that be, you, who, knew I get these crazy feelings every time I see you
I, promise I'm not drunk see I'm just tryna spill the truth
And girl I know it's been some time but in my life is what I need
You right now, you right now, ima tell you how I feel right now
Can we go back, all the way back, back to when I first made you smile
It's been a while since I've seen your pretty face
Yeah just always know these other girls will never replace
Yeah I'm wasting all my time on all these girls that don't mean nothing
Thinking way back to that summer, oo I knew you felt that something
You can't tell me there was nothing in this crush the longest one I've ever had
I'm looking back like girl you're the best thing that I never had, so
()
Just know, if you ever had your doubts
Or you're feeling down at night I'll pick you right up off the ground
Girl I want you
Should've never made you wait
Just to listen to me say no one has made me feel this way
Girl I want you to know, I want you to know
I want you, I want you, I want you to know
That I want you
Think about you every day I feel it's finally safe to say that you could be the one to rescue
See we've been friends forever
And every time me and my last don't last I'm texting you to feel better
Now I wonder if you see us together
Cause you've been through a hailstorm
I feel like me and you could weather this weather
Yeah, that last line was a subliminal clue
I hope you hear this so you know just how I feel about you
Too scared to tell you how I feel but always wished that you knew
And now I'm stuck here writing songs and all these songs are to prove
Do you ever miss me?
Remember last summer when you kissed me?
Honestly that night was the best
Yeah, but I think we'd agree that night was a mess
You see now at the time I had this friend that really liked you
And was talking to this girl that would do anything to spite you
Due to them, I never made a move
That was my mistake because they showed me what it's like to get walked on and be betrayed
Now I'm sitting on this train just thinking 'bout you and me
So if I fall will you be there to catch me
Please baby don't go
Just know, if you ever had your doubts
Or you're feeling down at night I'll pick you right up off the ground
Girl I want you
Should've never made you wait
Just to listen to me say no one has made me feel this way
Girl I want you to know, I want you to know
I want you, I want you, I want you to know
That I want you
Think about you every day I feel it's finally safe to say that you could be the one to rescue
♪
.Me, you could be the one to rescue, me",https://open.spotify.com/track/2x5pD9kq98twldO2PYmS4g,237
I Could Not Plan This,I Could Not Plan This,https://open.spotify.com/album/4dR2U031e2XkziQH53khB9,2017,14028655,"Yeah
An idle mind is where the demons roam
Last night I met fear, doubt, hurt, hate, pain
Told me, ""If you don't change, then we don't go""
They'll give us life, and then we don't grow
They've got me thinking, ""Am I really in control now?""
This whole town doesn't really feel like home now
My family been sayin', ""Mark, you gotta slow it down""
Out on a date, she say, ""You really on your phone?""
""Wow,"" livin' through my phone now
I've been feelin' disconnected
Everyone around me, they would never get it
Do they love me 'cause I'm hurtin' or they get the message?
Only love me when I'm workin' 'cause they want percentage
I remember late night writin' here to tell you the truth
Back when I was too broke, servin' tables just to pay for a booth
Back when really, I had nothin' to lose
Back when—ugh! Fuck it, brace yourself for the news
Last year I saw my dad pass away right in front of my eyes
A couple fake friends showed me who they were in disguise
My ex-girl told me nothing but lies
So maybe I was just in love with who she was in my mind
I been lost inside my mind lately
I been losing track of time lately
It's like I barely know who I'm lately
I been prayin' for a sign lately
I been yellin' at the sky lately
My only question now is ""Why?"" lately
Why is it I'm weak if I show the people I feel?
And why is it they told me that time is all that can heal?
And in time who needs to heal me? Been searchin' for somethin' real
And I know that we attracted the energy that we deal
I been overthinkin', overthinkin'
And nowadays I find 'em over drinkin' on a weekend
The people yellin', ""Where is Mark? 'Cause we fuckin' need him!""
See, this is somewhere you can go when you feel like there's nothin' else to believe in
I never could plan the doubt, I never could plan the pain
I never could plan the number where people screamin' our name
I never could plan the love, I never could plan the hate
I never could plan the love would turn into hate when it's fake
I never could plan the fear, I never could plan the hurt
I never could plan that I will be helpin' people with words
I never could plan a heart that was put inside of my chest
I'm a human here with a vision, no less or more than the rest, ah!",https://open.spotify.com/track/5yobzuQqXAmFVH1sOgyBFt,124
