SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Crazy - Linslee's Master Mix,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,3502,"All of these girls trippin' on me (trippin')
See here now I'm goin' crazy ever since
I went Number One (like a bomb)
My whole world pandemonium
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy trippin' on me
Ain't nothin' wrong standing strong
Walking my 'hood day and night (day and night)
People saying Mark ain't right no (you're crazy)
Doing wrong souped on my song (step off)
Ain't nothing changed leave me alone
Everybody crazy frontin' on me (step off)
Why dis a brother (jungle) for keeping street
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong movin' on
Well true we are badder than that
We rougher than that
We tougher than that
We are the wickedest wickedest yout's on the counteract
That nuff a' them wants to see us rise then go see us drop
We're not gonna stop rise until we done hit the top
So don't dispute the wrong just dispute the facts
That if we're coming back we're coming back well phat
So don't believe the hype just go and back your chat
Because round the corner you will find the golden jackpot
Gonna live my life doing my thing (my thing)
Despite the trippin' strong I said yeah
Ain't up on type doggin' my swing (fe real)
My prerogative can never change
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong moving on
(Crazy) true they are turning crazy crazy
Yes definitely crazy
Like to say they want to change our personalities
No crazy crazy like mentally crazy
But hip-hop ragamuffin DJ
Is not going to let them get to we (crazy)
Because nuff a' them try hard just to blank we
But they can't get us out of their memory
Those who can't believe it or even see we
Might as well hear we out in reality
Everybody crazy all of these girls (everybody)
Trippin' on me (everybody) see me now (everybody)
I'm going crazy (I don't wanna talk to you no more)
Repeat to fade",https://open.spotify.com/track/1hLQxexDcFzpHNUqUOlqa8,281
Trippin',Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,845668,"Thinking of you, thinking of me
Thinking of you (thinking of you)
Thinking of me (thinking of me)
Yes, it pains me to say you're gone
But I guess it's for the best, done
Everything I did was wrong
Now there's tears in all my songs
But I loved you and you know it's true
Even though I couldn't keep my cool
And it's killing me to face each day
Dear God, help me, I pray
(Trippin') I be trippin'
(Trippin') thinking of you
(Trippin') can't stop trippin'
Thinking of you, thinking of me
Haven't heard from you in so long (so long)
Wonder how she is getting on (oh)
Is he treating you better than me?
Yes, I'm happy, but I feel empty
'Cause you know that I love you bad (so bad)
All the things he got, I had
But what makes me feel so sad (so sad)
You had the child we always planned
(Trippin') I be trippin'
(Trippin') thinking of you
(Trippin', baby, don't you know) can't stop trippin'
Thinking of you (hmm), thinking of me
(Trippin') I be trippin'
(Trippin') when I'm thinking of you
(Trippin', baby, don't you know) always trippin'
Thinking of you, thinking of me
I'll be trippin', I'll be trippin', I'll be trippin'
I'll be trippin', I'll be trippin', I'll be trippin'
(Trippin') I'm just crying on my own
(Trippin') mark is sitting all alone
(Trippin') yes, I'm crying, baby
Mark is trippin', lady, oh, oh (thinking of you, thinking of me)
(Trippin') I'm just crying on my own
(Trippin') mark is sitting all alone
(Trippin') yes, I'm crying, baby
Mark is dying, lady (thinking of you, thinking of me)
Listen, break it down
(Trippin') ooh-ooh
(Trippin') ooh-ooh
(Trippin', baby, don't you know) ooh-ooh
Thinking of you, thinking of me (ooh-ooh)
Yeah, yeah
(Trippin') ooh-ooh
(Trippin') ooh-ooh
(Trippin') ooh-ooh
Thinking of you, thinking of me (ooh-ooh)
(Trippin') it's all because of, because of you (because of you)
(Trippin') I'm feeling sad and blue (I'm feeling sad and blue)
(Trippin') 'cause you went away
'Cause you went away
Thinking of you, thinking of me ('cause she went away)
Listen
Trippin' on you, trippin' on me
Trippin' on you, trippin' on me
Trippin' on you, trippin' on me
Trippin' on you, trippin' on me",https://open.spotify.com/track/42EFUlC1BFiK9t163E6ZxA,285
Crazy,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,898347,"All of these girls trippin' on me (trippin')
See here now I'm goin' crazy ever since
I went Number One (like a bomb)
My whole world pandemonium
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy trippin' on me
Ain't nothin' wrong standing strong
Walking my 'hood day and night (day and night)
People saying Mark ain't right no (you're crazy)
Doing wrong souped on my song (step off)
Ain't nothing changed leave me alone
Everybody crazy frontin' on me (step off)
Why dis a brother (jungle) for keeping street
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong movin' on
Well true we are badder than that
We rougher than that
We tougher than that
We are the wickedest wickedest yout's on the counteract
That nuff a' them wants to see us rise then go see us drop
We're not gonna stop rise until we done hit the top
So don't dispute the wrong just dispute the facts
That if we're coming back we're coming back well phat
So don't believe the hype just go and back your chat
Because round the corner you will find the golden jackpot
Gonna live my life doing my thing (my thing)
Despite the trippin' strong I said yeah
Ain't up on type doggin' my swing (fe real)
My prerogative can never change
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong moving on
(Crazy) true they are turning crazy crazy
Yes definitely crazy
Like to say they want to change our personalities
No crazy crazy like mentally crazy
But hip-hop ragamuffin DJ
Is not going to let them get to we (crazy)
Because nuff a' them try hard just to blank we
But they can't get us out of their memory
Those who can't believe it or even see we
Might as well hear we out in reality
Everybody crazy all of these girls (everybody)
Trippin' on me (everybody) see me now (everybody)
I'm going crazy (I don't wanna talk to you no more)
Everybody crazy all of these girls (everybody)
Trippin' on me (everybody) see me now (everybody)
I'm going crazy (I don't wanna talk to you no more)
Everybody crazy all of these girls (everybody)
Trippin' on me (everybody) see me now (everybody)
I'm going crazy (I don't wanna talk to you no more)",https://open.spotify.com/track/4msefaPyTg2ff1EPWOsiBF,221
Return of the Mack - Joe T. Vannelli Light Radio Edit,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,83248,"Return of the Mack
Return of the Mack
Return of the Mack
You know that I'll be back
Return of the Mack
Return of the Mack
Return of the Mack
You know that I'll be back
Return of the Mack
Return of the Mack
Return of the Mack
You know that I'll be back
Oh, come on, ooh, come on, ooh yeah
Well I tried to tell you so (yes, I did)
But I guess you didn't know, as the saddest story goes
Baby, now I got the flow, 'cause I knew it from the start
Baby, when you broke my heart that I had to come again
And show you that I'm with
You lied to me, you lied to me
You lied to me, you lied to me
(Return of the Mack) yeah
(Return of the Mack) come on
(Return of the Mack) oh my God
(You know that I'll be back) here I am
(Return of the Mack) once again
(Return of the Mack) pump up the world
(Return of the Mack) watch my flow
(You know that I'll be back) here I go
So, I'm back up in the game, running things like half my swing
Lettin' all the people know that I'm back to run the show
'Cause what you did you know was wrong
And all the nasty things you've done
So baby, listen carefully while I sing my comeback song
You lied to me, you lied to me
You lied to me, you lied to me
(Return of the Mack) yeah
(Return of the Mack) come on
(Return of the Mack) oh my God
(You know that I'll be back) here I am
(Return of the Mack) once again
(Return of the Mack) pump up the world
(Return of the Mack) watch my flow
(You know that I'll be back) here I go
You lied to me, you lied to me
You lied to me, you lied to me
(Return of the Mack) yeah
(Return of the Mack) come on
(Return of the Mack) oh my God
(You know that I'll be back) here I am
(Return of the Mack) once again
(Return of the Mack) pump up the world
(Return of the Mack) watch my flow
(You know that I'll be back) here I go
(Return of the Mack) yeah
(Return of the Mack) come on
(Return of the Mack) oh my God
(You know that I'll be back) here I am
(Return of the Mack) once again
(Return of the Mack) pump up the world
(Return of the Mack) watch my flow
(You know that I'll be back) here I go",https://open.spotify.com/track/15UVpiiIObcnLSaHGs1IcI,238
Let's Get Down - Matt Darey House Mix,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,10906,No Lyrics,https://open.spotify.com/track/0Ph0INKWyrZQRjRL5Iq6yF,356
Moan and Groan,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,695495,"Ahhh
This ain't no love song girl
wow wow wow
This is for the G's, the bedroom G's
If you wanna to take me home
you better make me moan and groan, (oh oh oh)
If you wanna to take me home
your better make me groan and moan, (oh yeah, and moan)
If you need it, need it, need it
It's right here
All you have to do is ask
Have no fear
I will show, show you, show you, (Whoa)
What I can do (ooh ooh)
And if you still don't believe
Thats cool,
you fool,
But you gotta wet me up and wet me down
I can do it (down oh yeah)
Then you gotta dry me up with some foreplay
Any problem
I can solve it
Push it, work it, hurt it, all night, all night, all day
Show me how you love a woman
till the morning light (morning light, morning light)
If you wanna take me home you better make me groan and moan (oh yeah)
If you wanna take me home you better make me moan (whoa)
gonna moan
If you wanna take me home you better make moan
make me moan
If you wanna take me home you better make me groan
Cos I told her, told her, told her (whoa)
What I've got
If you want to come and see
Just open my drawers (hahaha)
Cos I've got, got it, got it, got it, going on, going on
And baby
If you dare to play
lets just go my place
You'd better lick me up and lick me down
I will lick you
Then you gotta rub me up with some foreplay
Rub it on, rub it on (ooh)
Make it, break it, shake it, all night, all night, all night
Show me you can love a woman to the morning light, morning light,
it's her night
If you wanna take me home you gotta make me moan (gonna moan)
If you wanna take me home you gotta make me groan (yes I'm ready)
If you wanna take me home you gotta make me moan (make me moan)
wow wow wow,
make me moan
make me groan
take me home
yeah
make me moan
take me home
yeah,
But you gotta lick me up and lick me down
I will lick you
Then you gotta rub me up with some foreplay
Rub it on, rub it on
Make it, break it, shake it, all night, all night, all night.
Show me you can love a woman to the morning light, morning light
If you wanna take me home you better make me moan (make me moan)
Repeat and fade.",https://open.spotify.com/track/7lCg5EwSd9EXTdH27wY16W,327
Return of the Mack - C&J X-Tended Radio Edit,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,21571591,"Ooh, come on, ooh yeah, well, I tried to tell you so
(Yes, I did)
But I guess you didn't know, as the saddest story goes
Baby, now I got the flow? cause I knew it from the start
Baby, when you broke my heart that I had to come again
And show you that I'm with
You lied to me
All those times I said that I loved you
You lied to me
Yes, I tried, yes, I tried
You lied to me
Even though you know I'd die for you
You lied to me
Yes, I cried, yes, I cried
Return of the Mack
It is return of the Mack
Come on, return of the Mack
Oh, my God, you know that I'll be back
Here I am
Return of the Mack
Once again, return of the Mack
Top of the world, return of the Mack
Watch my flow, you know that I'll be back
Here I go
So, I'm back up in the game, running things like half my swing
Lettin' all the people know that I'm back to run the show
'Cause what you did you know was wrong
And all the nasty things you've done
So baby, listen carefully while I sing my comeback song
You lied to me
Cause she said she'd never turn on me
You lied to me
But you did, but you did
You lied to me
All this pain you said I'd never feel
You lied to me
But I do, but I do, do, do
Return of the Mack
It is return of the Mack
Hold on, return of the Mack
Don't you know, you know that I'll be back
(Here I go)
Return of the Mack
Oh, little girl
Return of the Mack
Once more, girl
Return of the Mack
Up and down
You know that
I'll be back round and round
Ahh, Mark
Stop worrying about your big break
You lied to me
Cause he said she'd never turn on me
You lied to me
But you did, but you did
You lied to me
All this pain you said I'd never feel
You lied to me
But I do, but I do, do, do
Return of the Mack
It is
Return of the Mack
Come on
Return of the Mack
Oh, my God
You know that I'll be back
Here I am
Return of the Mack
Once again
Return of the Mack
Top of the world
Return of the Mack
Watch my flow
You know that I'll be back
Don't you know
Return of the Mack",https://open.spotify.com/track/01GJz5oTwuUtbxYbSwIOCO,441
Return of the Mack - C&J Radio Edit,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,593160668,"Oh, oo-o-oh, come on, ooh, yeah
Well I tried to tell you so (yes, I did)
But I guess you didn't know, as I said the story goes
Baby, now I got the flow
'Cause I knew it from the start
Baby, when you broke my heart
That I had to come again, and show you that I'm real
(You lied to me) All those times I said that I love you
(You lied to me) Yes, I tried, yes, I tried
(You lied to me) Even though you know I'd die for you
(You lied to me) Yes, I cried, yes, I cried
(Return of the Mack) It is
(Return of the Mack) Come on
(Return of the Mack) Oh my God
(You know that I'll be back) Here I am
(Return of the Mack) Once again
(Return of the Mack) Pump up the world
(Return of the Mack) Watch my flow
(You know that I'll be back) Here I go
So I'm back up in the game
Running things to keep my swing
Letting all the people know
That I'm back to run the show
'Cause what you did, you know, was wrong
And all the nasty things you've done
So, baby, listen carefully
While I sing my come-back song
(You lied to me) 'Cause she said she'd never turn on me
(You lied to me) But you did, but you do
(You lied to me) All these pains you said I'd never feel
(You lied to me) But I do, but I do, do, do
(Return of the Mack) Here it is
(Return of the Mack) Hold on
(Return of the Mack) Don't you know
(You know that I'll be back) Here I go
(Return of the Mack) Oh little girl
(Return of the Mack) Wants my pearl
(Return of the Mack) Up and down
(You know that I'll be back) Round and round
(You lied to me) 'Cause she said she'd never turn on me
(You lied to me) But you did, but you do
(You lied to me) All these pains you said I'd never feel
(You lied to me) But I do, but I do, do, do
(You know that I'll be back) Don't you know
(Return of the Mack) Here it is
(Return of the Mack) Hold on
(Return of the Mack) Don't you know
♪
(You know that I'll be back) Here I go
(Return of the Mack) Oh little girl
(Return of the Mack) Wants my pearl
(Return of the Mack) Up and down
(You know that I'll be back) Round and round",https://open.spotify.com/track/0Rg8QW7ZDYwL7VwfVAIj3z,211
Return of the Mack - A Capella,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,5200813,"Oooooh, come on, ooh yeah
Well I tried to tell you so (yes I did)
But I guess you didn't know
As the saddest story goes
Baby, now I got the flow
'Cause I know it from the start
Baby, when you broke my heart
That I had to come again
And show you that I'm with
You lied to me
All those times I said that I loved you
You lied to me
Yes, I tried, yes, I tried
You lied to me
Even though you know I'd die for you
You lied to me
Yes, I cried, yes, I cried
Return of the mack
It is
Return of the mack
Come on
Return of the mack
Oh, my God
You know that I'll be back
Here I am
Return of the mack
Once again
Return of the mack
Top of the world
Return of the mack
Watch my flow
You know that I'll be back
Here I go
So, I'm back up in the game
Running things like my swing
Lettin' all the people know
That I'm back to run the show
'Cause what they didn't know was wrong
And all the nasty things you've done
So, baby, listen carefully
While I sing my comeback song
You lied to me
'Cause she said she'd never turn on me
You lied to me
But you did, but you did
You lied to me
All this pain you said I'd never feel
You lied to me
But I do, but I do do do
Return of the mack
It is
Return of the mack
Come on
Return of the mack
Oh my God
You know that I'll be back
Here I am
Return of the mack
Once again
Return of the mack
Top of the world
Return of the mack
Watch my flow
You know that I'll be back (don't you know)
Return of the mack
It is
Return of the mack
Hold on
Return of the mack
Be strong
You know that I'll be back
Here I come
Return of the mack
My little girl
Return of the mack
Watch my back
Return of the mack
Up and down
You know that I'll be back (around and round)
Return of the mack
Yes it is
Return of the mack
Yes it is
Return of the mack
Yes it is
You know that I'll be back
Oh, oh, oh, oh
Return of the mack
Yes it is
Return of the mack
Yes it is
Return of the mack
Yes it is
You know that I'll be back (aww)",https://open.spotify.com/track/3H9tVZ4aVDoDhm8G205i8u,180
Crazy - D-Influence Mix,Return of the Mack (#25ROTM Deluxe Edition),https://open.spotify.com/album/7E3HLjcYb1YKClyj1WsJ3v,2021,473522,"All of these girls trippin' on me (trippin')
See here now I'm goin' crazy ever since
I went Number One (like a bomb)
My whole world pandemonium
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy trippin' on me
Ain't nothin' wrong standing strong
Walking my 'hood day and night (day and night)
People saying Mark ain't right no (you're crazy)
Doing wrong souped on my song (step off)
Ain't nothing changed leave me alone
Everybody crazy frontin' on me (step off)
Why dis a brother (jungle) for keeping street
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong movin' on
Well true we are badder than that
We rougher than that
We tougher than that
We are the wickedest wickedest yout's on the counteract
That nuff a' them wants to see us rise then go see us drop
We're not gonna stop rise until we done hit the top
So don't dispute the wrong just dispute the facts
That if we're coming back we're coming back well phat
So don't believe the hype just go and back your chat
Because round the corner you will find the golden jackpot
Gonna live my life doing my thing (my thing)
Despite the trippin' strong I said yeah
Ain't up on type doggin' my swing (fe real)
My prerogative can never change
Everybody crazy turnin' on me
Can't dis a brother for going silly
Everybody crazy (you're crazy) trippin' on me (you're crazy)
Tell me what's wrong moving on
(Crazy) true they are turning crazy crazy
Yes definitely crazy
Like to say they want to change our personalities
No crazy crazy like mentally crazy
But hip-hop ragamuffin DJ
Is not going to let them get to we (crazy)
Because nuff a' them try hard just to blank we
But they can't get us out of their memory
Those who can't believe it or even see we
Might as well hear we out in reality
Everybody crazy all of these girls (everybody)
Trippin' on me (everybody) see me now (everybody)
I'm going crazy (I don't wanna talk to you no more)",https://open.spotify.com/track/24qy2gIc32ID62XweYBUw0,262
