SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
1.5x,Knives For Aries,https://open.spotify.com/album/2EL0n7jffmOwkdEvm60kwi,2024,252562,"Modern life is radicalized at 1.5 time
At 1.5 time
Anxious vibes are optimized at 1.5 time
At 1.5 time
Ooh-ooh-ooh-ooh-ooh
Feeling good, doing great
You know me, I can't complain
Feeling good, doing great
You know me, I can't complain
It's not enough to fill your plate
The more you have, the more that you feel you're entitled to take
Chewing gum that lost its taste
A great escape to the same place
Change the rules (change the rules) but not the game (But not the game)
Don't conflate (don't conflate) your fear with hate
Chewing gum (chewing gum) that lost its taste (lost its taste)
A great escape (great escape) to the same place (to the same place)
Change the rules (change the rules) but not the game (but not the game)
Don't conflate (don't conflate) violence with strength (violence with strength)
Chewing gum (chewing gum) that lost its taste (that lost its taste)
A great escape (great escape) to the same place (to the same place)",https://open.spotify.com/track/6MX3n12rN2hjZh9buscxjK,173
Afraid,Pathétique aesthétique,https://open.spotify.com/album/6HeCE0WHNMvOALy2D9a4tX,2018,838918,"(Tell me when you're ready)
(Okay)
Every single thing you try to hold will
Fade like a dying ember
Gasping like a foal thrown in the water
You will refuse surrender
Dismantling
Muscle memory, piece by piece
Taken by a light with pitiless eyes
You were afraid of leaving
Bones are razed in time
I hope you'll find a lull that feels like breathing
Dismantling
Muscle memory, piece by piece",https://open.spotify.com/track/48UEMsf7nalCi1hiE2gQ7V,152
Arson Eyes,Pathétique aesthétique,https://open.spotify.com/album/6HeCE0WHNMvOALy2D9a4tX,2018,469996,"This is how I built a mountain with my failed attempts to love you
It became the color dust,
and like a copper fox on rust, would hide too
I would murder hours, hands inside the Earth
Pulling perfect stones, who
When I begged them to convince you of their shape
Only seemed to refuse
Save all your effort that cannot be measured
Currently you're just a man selling vapor
Arson eyes
See a world
Made of paper
Arson eyes
See a world
Made of paper
Arson eyes
See a world
Made of paper
Arson eyes
See a world
Made of paper
Arson eyes
See a world
Made of paper
Arson eyes
See a world
Made of paper",https://open.spotify.com/track/1AVM7LVdL7NC0vZGEsSaND,147
Copperfield,Diamond Destroyer of Death,https://open.spotify.com/album/0HluD9vyApLeKgijnCU3Fx,2021,886569,"I can make the world disappear
Turn it into silence
Into silence
Into silence
Into-
Ashes that we leave behind here
Turn them into diamonds
Into diamonds
Into diamonds
Into-
I can make the world disappear
I can make the world disappear
I can make the world disappear
I can make the world disappear
Nothing's nothing, too
♪
(Nothing's nothing, too)
♪
(Nothing's nothing, too)",https://open.spotify.com/track/72TpT45ZZraMl1PwADOSYB,202
Demon Ghost Cave,Diamond Destroyer of Death,https://open.spotify.com/album/0HluD9vyApLeKgijnCU3Fx,2021,1269619,"At the end of your life
You were worried about how I would live mine
Even when you were alive
You can choose not to shine, in the darkest of times
It's okay to want to die
But you can't hide from
It's okay to want to die
But you can't hide from every subsequent new life
I can love you everyday
But I can't guarantee that you will be safe
Still you can't be destroyed
By anything else, not even yourself
Though you really tried to do all you could
Though you really tried to do all you could
Though you really tried to do all you could
Though you really tried to do all you could
(In a dream my shadow came to me)
(In the skin of my enemy)
(In a dream my shadow came to me)
(In the skin of my enemy)",https://open.spotify.com/track/67wPFcBT3vuQxawN2yYhNn,197
Difluoroethane,Knives For Aries,https://open.spotify.com/album/2EL0n7jffmOwkdEvm60kwi,2024,562596,"Meeting oblivion, free from haters
Feeling cute now, might delete it later
Pilot a light rain just like paper airplanes
Live life on live display, but you want it that way
Difluoroethane is more fleeting than pain",https://open.spotify.com/track/6wqlEKnSMVq37ZipY04pMp,126
Drama Queen,Pathétique aesthétique,https://open.spotify.com/album/6HeCE0WHNMvOALy2D9a4tX,2018,560928,"You were right about one thing
I can't seem to love me
Can I speak with management please
I'd like to see
The alternate ending
♪
Along with everybody
I'd like to believe
That there's something special in me
There are daisies in the trash heap
There's something special in me
There are daisies in the trash heap
I don't care to elaborate
I've got too much on my plate
So low expectations will remain
If I can't change this can I still change
Playstation 2 into a bag of cocaine
It's true what they say
Not all magicians wear capes
Straight‐edge tattoo Xs into figure eights
A family into some people who've been estranged",https://open.spotify.com/track/2aJPpACjzL8bUWt4O2zWZS,139
Dream,Impossible Animals,https://open.spotify.com/album/4XriwpnB6fJm8OMxb7wQcV,2016,1203116,"I think I know what you want
I think I know what you need
I should be making you happy
Lord knows I'm trying
But the things you can't see
Make it harder to breathe
This is just what you asked for
When you fell asleep
You can't see the forest if the trees
Never stop burning
It sounds like a joke when told to me
I should be learning
Feeling ashamed of an empty threat
I can still change if I want to
Dreams never come true
No one else can help you
No one else can help you
No one else can help you",https://open.spotify.com/track/0xCDu7mf62Pb29TnRFH2lt,164
Easy,Pathétique aesthétique,https://open.spotify.com/album/6HeCE0WHNMvOALy2D9a4tX,2018,931466,"I'll be an anchor
But I won't bring you down
Somehow
My love is easy
Like breathing anything
♪
Stay with me
I know you're exhausted
I'll be what you want, now
What was it you wanted?
My love is easy
Like breathing anything
Try to look cute when I'm frozen from fear
I die inside
And smile from ear to ear
Then hope that you
Will notice me here
All you have to do is call me
Every day without you's so
Lonely
My love is easy
Like breathing anything",https://open.spotify.com/track/3JDbSUF3rrR3HNvRujpe7L,138
Ghost (Of 7th St.),Impossible Animals,https://open.spotify.com/album/4XriwpnB6fJm8OMxb7wQcV,2016,902353,"When you wake up screaming
You have to do what you can
To turn a city sidewalk into a desert island
There's so much here to ignore
The world's much uglier than we gave it credit for
I don't need a god to punish me
I'm perfectly capable of doing it on my own
So leave me alone, oh
It's a shame to make the same mistakes
But I'm afraid people don't change
You'll never save the moth from the flame
You made a tape, and play it loud
To try and drown the demons out
Afraid of what will grow in me
A sap to drown the family tree
My body's just a thing to eat
And where they find me
A star is shining
Burning my shadow's shape in the concrete",https://open.spotify.com/track/2WvIK92x1hYNGbzTayTW0B,251
